#    L    TT             EE             BB             TE          
     2    0.94404E+03    0.54028E-01    0.11406E-05    0.28125E+01
     3    0.86970E+03    0.88805E-01    0.22817E-05    0.36349E+01
     4    0.80695E+03    0.10075E+00    0.38039E-05    0.37927E+01
     5    0.76211E+03    0.90485E-01    0.57079E-05    0.35358E+01
     6    0.73271E+03    0.67897E-01    0.79945E-05    0.30711E+01
     7    0.71553E+03    0.43894E-01    0.10665E-04    0.25339E+01
     8    0.70709E+03    0.25420E-01    0.13719E-04    0.20149E+01
     9    0.70504E+03    0.14405E-01    0.17160E-04    0.15699E+01
    10    0.70811E+03    0.93525E-02    0.20987E-04    0.12260E+01
    11    0.71478E+03    0.75942E-02    0.25203E-04    0.99181E+00
    12    0.72487E+03    0.70052E-02    0.29810E-04    0.86493E+00
    13    0.73675E+03    0.64620E-02    0.34807E-04    0.82808E+00
    14    0.74968E+03    0.59110E-02    0.40199E-04    0.85821E+00
    15    0.76378E+03    0.55410E-02    0.45985E-04    0.93037E+00
    16    0.77925E+03    0.55085E-02    0.52168E-04    0.10212E+01
    17    0.79610E+03    0.58193E-02    0.58749E-04    0.11125E+01
    18    0.81352E+03    0.62523E-02    0.65731E-04    0.11916E+01
    19    0.83233E+03    0.66779E-02    0.73115E-04    0.12561E+01
    20    0.85084E+03    0.70713E-02    0.80903E-04    0.13036E+01
    21    0.86945E+03    0.74689E-02    0.89097E-04    0.13357E+01
    22    0.88847E+03    0.80058E-02    0.97697E-04    0.13549E+01
    23    0.90766E+03    0.87922E-02    0.10671E-03    0.13677E+01
    24    0.92700E+03    0.98761E-02    0.11613E-03    0.13807E+01
    25    0.94642E+03    0.11254E-01    0.12596E-03    0.13963E+01
    26    0.96576E+03    0.12875E-01    0.13620E-03    0.14172E+01
    27    0.98527E+03    0.14718E-01    0.14686E-03    0.14420E+01
    28    0.10048E+04    0.16784E-01    0.15794E-03    0.14698E+01
    29    0.10245E+04    0.19043E-01    0.16943E-03    0.14983E+01
    30    0.10443E+04    0.21469E-01    0.18134E-03    0.15235E+01
    31    0.10639E+04    0.24071E-01    0.19367E-03    0.15422E+01
    32    0.10836E+04    0.26851E-01    0.20641E-03    0.15520E+01
    33    0.11034E+04    0.29807E-01    0.21958E-03    0.15529E+01
    34    0.11232E+04    0.32950E-01    0.23316E-03    0.15458E+01
    35    0.11429E+04    0.36278E-01    0.24716E-03    0.15289E+01
    36    0.11626E+04    0.39802E-01    0.26159E-03    0.14994E+01
    37    0.11821E+04    0.43565E-01    0.27643E-03    0.14575E+01
    38    0.12019E+04    0.47607E-01    0.29169E-03    0.14058E+01
    39    0.12219E+04    0.51918E-01    0.30737E-03    0.13457E+01
    40    0.12418E+04    0.56477E-01    0.32347E-03    0.12782E+01
    41    0.12617E+04    0.61275E-01    0.33998E-03    0.12037E+01
    42    0.12815E+04    0.66326E-01    0.35691E-03    0.11208E+01
    43    0.13012E+04    0.71647E-01    0.37425E-03    0.10278E+01
    44    0.13208E+04    0.77242E-01    0.39201E-03    0.92396E+00
    45    0.13405E+04    0.83126E-01    0.41019E-03    0.80855E+00
    46    0.13605E+04    0.89310E-01    0.42877E-03    0.67913E+00
    47    0.13804E+04    0.95779E-01    0.44777E-03    0.53631E+00
    48    0.14002E+04    0.10252E+00    0.46717E-03    0.38412E+00
    49    0.14201E+04    0.10950E+00    0.48698E-03    0.22600E+00
    50    0.14403E+04    0.11667E+00    0.50720E-03    0.58594E-01
    51    0.14605E+04    0.12400E+00    0.52783E-03   -0.12271E+00
    52    0.14810E+04    0.13158E+00    0.54885E-03   -0.32197E+00
    53    0.15014E+04    0.13957E+00    0.57028E-03   -0.54123E+00
    54    0.15217E+04    0.14798E+00    0.59212E-03   -0.77458E+00
    55    0.15419E+04    0.15680E+00    0.61435E-03   -0.10160E+01
    56    0.15625E+04    0.16591E+00    0.63698E-03   -0.12660E+01
    57    0.15832E+04    0.17518E+00    0.66001E-03   -0.15252E+01
    58    0.16042E+04    0.18461E+00    0.68344E-03   -0.17953E+01
    59    0.16253E+04    0.19424E+00    0.70727E-03   -0.20781E+01
    60    0.16464E+04    0.20409E+00    0.73149E-03   -0.23739E+01
    61    0.16679E+04    0.21426E+00    0.75611E-03   -0.26828E+01
    62    0.16892E+04    0.22473E+00    0.78112E-03   -0.30054E+01
    63    0.17106E+04    0.23547E+00    0.80653E-03   -0.33421E+01
    64    0.17323E+04    0.24650E+00    0.83233E-03   -0.36937E+01
    65    0.17540E+04    0.25779E+00    0.85852E-03   -0.40603E+01
    66    0.17760E+04    0.26927E+00    0.88512E-03   -0.44396E+01
    67    0.17981E+04    0.28096E+00    0.91211E-03   -0.48290E+01
    68    0.18205E+04    0.29289E+00    0.93949E-03   -0.52270E+01
    69    0.18432E+04    0.30501E+00    0.96727E-03   -0.56320E+01
    70    0.18660E+04    0.31737E+00    0.99545E-03   -0.60459E+01
    71    0.18890E+04    0.32995E+00    0.10240E-02   -0.64713E+01
    72    0.19121E+04    0.34273E+00    0.10530E-02   -0.69096E+01
    73    0.19354E+04    0.35567E+00    0.10824E-02   -0.73612E+01
    74    0.19587E+04    0.36875E+00    0.11122E-02   -0.78255E+01
    75    0.19824E+04    0.38199E+00    0.11424E-02   -0.83007E+01
    76    0.20063E+04    0.39538E+00    0.11730E-02   -0.87863E+01
    77    0.20305E+04    0.40891E+00    0.12040E-02   -0.92820E+01
    78    0.20551E+04    0.42262E+00    0.12354E-02   -0.97889E+01
    79    0.20798E+04    0.43644E+00    0.12673E-02   -0.10303E+02
    80    0.21048E+04    0.45038E+00    0.12995E-02   -0.10826E+02
    81    0.21300E+04    0.46440E+00    0.13322E-02   -0.11358E+02
    82    0.21554E+04    0.47850E+00    0.13653E-02   -0.11897E+02
    83    0.21810E+04    0.49267E+00    0.13988E-02   -0.12445E+02
    84    0.22069E+04    0.50689E+00    0.14328E-02   -0.12998E+02
    85    0.22328E+04    0.52115E+00    0.14672E-02   -0.13559E+02
    86    0.22590E+04    0.53546E+00    0.15020E-02   -0.14125E+02
    87    0.22855E+04    0.54978E+00    0.15373E-02   -0.14697E+02
    88    0.23121E+04    0.56412E+00    0.15730E-02   -0.15275E+02
    89    0.23390E+04    0.57848E+00    0.16091E-02   -0.15859E+02
    90    0.23660E+04    0.59282E+00    0.16457E-02   -0.16448E+02
    91    0.23933E+04    0.60712E+00    0.16827E-02   -0.17042E+02
    92    0.24208E+04    0.62137E+00    0.17202E-02   -0.17639E+02
    93    0.24486E+04    0.63558E+00    0.17582E-02   -0.18241E+02
