#    L    TT             EE             BB             TE          
     2    0.14319E+04    0.69642E-01    0.24822E-01    0.31364E+01
     3    0.12598E+04    0.10883E+00    0.28621E-01    0.32510E+01
     4    0.11718E+04    0.12204E+00    0.28100E-01    0.31808E+01
     5    0.11166E+04    0.11006E+00    0.24693E-01    0.28808E+01
     6    0.10825E+04    0.84021E-01    0.19976E-01    0.24587E+01
     7    0.10636E+04    0.56101E-01    0.15204E-01    0.19966E+01
     8    0.10548E+04    0.34184E-01    0.11142E-01    0.15551E+01
     9    0.10534E+04    0.20652E-01    0.81081E-02    0.11759E+01
    10    0.10577E+04    0.14101E-01    0.61162E-02    0.88406E+00
    11    0.10656E+04    0.11709E-01    0.50231E-02    0.68548E+00
    12    0.10764E+04    0.11107E-01    0.46289E-02    0.57916E+00
    13    0.10888E+04    0.10956E-01    0.47335E-02    0.54996E+00
    14    0.11024E+04    0.11019E-01    0.51563E-02    0.57681E+00
    15    0.11174E+04    0.11385E-01    0.57826E-02    0.63669E+00
    16    0.11341E+04    0.12146E-01    0.65249E-02    0.70802E+00
    17    0.11521E+04    0.13290E-01    0.73380E-02    0.77373E+00
    18    0.11702E+04    0.14590E-01    0.81920E-02    0.82219E+00
    19    0.11892E+04    0.15917E-01    0.90765E-02    0.85229E+00
    20    0.12076E+04    0.17248E-01    0.99863E-02    0.86268E+00
    21    0.12258E+04    0.18620E-01    0.10919E-01    0.85484E+00
    22    0.12442E+04    0.20165E-01    0.11873E-01    0.83096E+00
    23    0.12626E+04    0.21988E-01    0.12847E-01    0.79793E+00
    24    0.12809E+04    0.24130E-01    0.13839E-01    0.76281E+00
    25    0.12991E+04    0.26588E-01    0.14847E-01    0.72848E+00
    26    0.13171E+04    0.29310E-01    0.15866E-01    0.69769E+00
    27    0.13351E+04    0.32270E-01    0.16899E-01    0.66982E+00
    28    0.13529E+04    0.35470E-01    0.17947E-01    0.64414E+00
    29    0.13708E+04    0.38885E-01    0.19008E-01    0.61787E+00
