#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.14319E+04    0.69641E-01    0.24821E-01    0.31364E+01    0.52545E-07    0.36195E-02   -0.16516E-04
     3    0.12598E+04    0.10883E+00    0.28618E-01    0.32510E+01    0.64063E-07    0.35645E-02   -0.20343E-04
     4    0.11718E+04    0.12204E+00    0.28096E-01    0.31808E+01    0.73888E-07    0.34452E-02   -0.20707E-04
     5    0.11166E+04    0.11005E+00    0.24687E-01    0.28808E+01    0.82385E-07    0.33026E-02   -0.18536E-04
     6    0.10825E+04    0.84013E-01    0.19968E-01    0.24587E+01    0.89764E-07    0.31561E-02   -0.14730E-04
     7    0.10636E+04    0.56091E-01    0.15193E-01    0.19966E+01    0.96224E-07    0.30156E-02   -0.10208E-04
     8    0.10548E+04    0.34171E-01    0.11128E-01    0.15551E+01    0.10191E-06    0.28789E-02   -0.57441E-05
     9    0.10534E+04    0.20635E-01    0.80910E-02    0.11759E+01    0.10693E-06    0.27431E-02   -0.18896E-05
    10    0.10576E+04    0.14080E-01    0.60952E-02    0.88407E+00    0.11136E-06    0.26116E-02    0.99381E-06
    11    0.10655E+04    0.11684E-01    0.49979E-02    0.68549E+00    0.11532E-06    0.24918E-02    0.26921E-05
    12    0.10763E+04    0.11078E-01    0.45991E-02    0.57918E+00    0.11881E-06    0.23845E-02    0.31599E-05
    13    0.10887E+04    0.10922E-01    0.46987E-02    0.54998E+00    0.12190E-06    0.22862E-02    0.26913E-05
    14    0.11023E+04    0.10979E-01    0.51161E-02    0.57684E+00    0.12465E-06    0.21934E-02    0.16384E-05
    15    0.11173E+04    0.11339E-01    0.57366E-02    0.63673E+00    0.12707E-06    0.21055E-02    0.31696E-06
    16    0.11340E+04    0.12094E-01    0.64728E-02    0.70807E+00    0.12921E-06    0.20227E-02   -0.10023E-05
    17    0.11519E+04    0.13231E-01    0.72793E-02    0.77380E+00    0.13110E-06    0.19454E-02   -0.21729E-05
    18    0.11700E+04    0.14524E-01    0.81263E-02    0.82227E+00    0.13276E-06    0.18733E-02   -0.30705E-05
    19    0.11891E+04    0.15844E-01    0.90034E-02    0.85238E+00    0.13421E-06    0.18048E-02   -0.35359E-05
    20    0.12074E+04    0.17167E-01    0.99054E-02    0.86279E+00    0.13546E-06    0.17383E-02   -0.34685E-05
    21    0.12256E+04    0.18531E-01    0.10830E-01    0.85498E+00    0.13653E-06    0.16748E-02   -0.30310E-05
    22    0.12440E+04    0.20068E-01    0.11775E-01    0.83112E+00    0.13744E-06    0.16154E-02   -0.24378E-05
    23    0.12624E+04    0.21881E-01    0.12740E-01    0.79812E+00    0.13821E-06    0.15595E-02   -0.18556E-05
    24    0.12807E+04    0.24014E-01    0.13723E-01    0.76304E+00    0.13884E-06    0.15061E-02   -0.14033E-05
    25    0.12989E+04    0.26462E-01    0.14721E-01    0.72873E+00    0.13935E-06    0.14551E-02   -0.10606E-05
    26    0.13168E+04    0.29174E-01    0.15730E-01    0.69798E+00    0.13975E-06    0.14063E-02   -0.79569E-06
    27    0.13348E+04    0.32124E-01    0.16752E-01    0.67016E+00    0.14005E-06    0.13601E-02   -0.66659E-06
    28    0.13526E+04    0.35312E-01    0.17789E-01    0.64452E+00    0.14025E-06    0.13169E-02   -0.73392E-06
    29    0.13704E+04    0.38717E-01    0.18839E-01    0.61830E+00    0.14036E-06    0.12761E-02   -0.98006E-06
    30    0.13881E+04    0.42323E-01    0.19901E-01    0.58703E+00    0.14038E-06    0.12376E-02   -0.13467E-05
    31    0.14056E+04    0.46137E-01    0.20975E-01    0.54795E+00    0.14033E-06    0.12005E-02   -0.16899E-05
    32    0.14230E+04    0.50153E-01    0.22057E-01    0.49921E+00    0.14020E-06    0.11646E-02   -0.18760E-05
    33    0.14404E+04    0.54358E-01    0.23148E-01    0.44119E+00    0.14002E-06    0.11302E-02   -0.18951E-05
