#           k/h    P           
    0.10000E-03    0.48446E+03
    0.10202E-03    0.49386E+03
    0.10408E-03    0.50344E+03
    0.10618E-03    0.51321E+03
    0.10833E-03    0.52316E+03
    0.11052E-03    0.53331E+03
    0.11275E-03    0.54366E+03
    0.11503E-03    0.55421E+03
    0.11735E-03    0.56496E+03
    0.11972E-03    0.57593E+03
    0.12214E-03    0.58710E+03
    0.12461E-03    0.59850E+03
    0.12712E-03    0.61011E+03
    0.12969E-03    0.62195E+03
    0.13231E-03    0.63402E+03
    0.13499E-03    0.64633E+03
    0.13771E-03    0.65887E+03
    0.14049E-03    0.67166E+03
    0.14333E-03    0.68470E+03
    0.14623E-03    0.69799E+03
    0.14918E-03    0.71155E+03
    0.15220E-03    0.72536E+03
    0.15527E-03    0.73944E+03
    0.15841E-03    0.75380E+03
    0.16161E-03    0.76844E+03
    0.16487E-03    0.78336E+03
    0.16820E-03    0.79858E+03
    0.17160E-03    0.81409E+03
    0.17507E-03    0.82990E+03
    0.17860E-03    0.84602E+03
    0.18221E-03    0.86246E+03
    0.18589E-03    0.87921E+03
    0.18965E-03    0.89630E+03
    0.19348E-03    0.91371E+03
    0.19739E-03    0.93147E+03
    0.20138E-03    0.94957E+03
    0.20544E-03    0.96803E+03
    0.20959E-03    0.98685E+03
    0.21383E-03    0.10060E+04
    0.21815E-03    0.10256E+04
    0.22255E-03    0.10455E+04
    0.22705E-03    0.10659E+04
    0.23164E-03    0.10866E+04
    0.23632E-03    0.11077E+04
    0.24109E-03    0.11293E+04
    0.24596E-03    0.11513E+04
    0.25093E-03    0.11737E+04
    0.25600E-03    0.11965E+04
    0.26117E-03    0.12198E+04
    0.26645E-03    0.12435E+04
    0.27183E-03    0.12677E+04
    0.27732E-03    0.12924E+04
    0.28292E-03    0.13176E+04
    0.28864E-03    0.13432E+04
    0.29447E-03    0.13694E+04
    0.30042E-03    0.13961E+04
    0.30649E-03    0.14233E+04
    0.31268E-03    0.14510E+04
    0.31899E-03    0.14793E+04
    0.32544E-03    0.15081E+04
    0.33201E-03    0.15375E+04
    0.33872E-03    0.15675E+04
    0.34556E-03    0.15981E+04
    0.35254E-03    0.16292E+04
    0.35966E-03    0.16610E+04
    0.36693E-03    0.16934E+04
    0.37434E-03    0.17265E+04
    0.38190E-03    0.17602E+04
    0.38962E-03    0.17945E+04
    0.39749E-03    0.18295E+04
    0.40552E-03    0.18653E+04
    0.41371E-03    0.19017E+04
    0.42207E-03    0.19388E+04
    0.43060E-03    0.19767E+04
    0.43929E-03    0.20153E+04
    0.44817E-03    0.20547E+04
    0.45722E-03    0.20948E+04
    0.46646E-03    0.21357E+04
    0.47588E-03    0.21775E+04
    0.48550E-03    0.22200E+04
    0.49530E-03    0.22634E+04
    0.50531E-03    0.23077E+04
    0.51552E-03    0.23528E+04
    0.52593E-03    0.23987E+04
