#    L    TT             EE             TE             PP             TP          
     2    0.94404E+03    0.54027E-01    0.28125E+01    0.10900E+07    0.33739E+05
     3    0.86969E+03    0.88803E-01    0.36349E+01    0.16819E+07    0.39648E+05
     4    0.80694E+03    0.10075E+00    0.37927E+01    0.22071E+07    0.42216E+05
     5    0.76209E+03    0.90480E-01    0.35358E+01    0.26703E+07    0.43024E+05
     6    0.73269E+03    0.67889E-01    0.30711E+01    0.30781E+07    0.42890E+05
     7    0.71550E+03    0.43884E-01    0.25339E+01    0.34385E+07    0.42269E+05
     8    0.70705E+03    0.25406E-01    0.20149E+01    0.37581E+07    0.41317E+05
     9    0.70500E+03    0.14387E-01    0.15699E+01    0.40425E+07    0.40108E+05
    10    0.70806E+03    0.93315E-02    0.12260E+01    0.42957E+07    0.38765E+05
    11    0.71472E+03    0.75690E-02    0.99182E+00    0.45226E+07    0.37450E+05
    12    0.72480E+03    0.69754E-02    0.86495E+00    0.47252E+07    0.36215E+05
    13    0.73667E+03    0.64272E-02    0.82810E+00    0.49059E+07    0.35032E+05
    14    0.74959E+03    0.58708E-02    0.85824E+00    0.50679E+07    0.33869E+05
    15    0.76367E+03    0.54950E-02    0.93041E+00    0.52128E+07    0.32730E+05
    16    0.77913E+03    0.54563E-02    0.10213E+01    0.53422E+07    0.31628E+05
    17    0.79597E+03    0.57605E-02    0.11126E+01    0.54580E+07    0.30577E+05
    18    0.81337E+03    0.61866E-02    0.11917E+01    0.55614E+07    0.29581E+05
    19    0.83216E+03    0.66049E-02    0.12562E+01    0.56533E+07    0.28618E+05
    20    0.85066E+03    0.69905E-02    0.13037E+01    0.57345E+07    0.27668E+05
    21    0.86925E+03    0.73799E-02    0.13358E+01    0.58060E+07    0.26748E+05
    22    0.88826E+03    0.79082E-02    0.13551E+01    0.58691E+07    0.25879E+05
    23    0.90743E+03    0.86856E-02    0.13679E+01    0.59244E+07    0.25055E+05
    24    0.92675E+03    0.97601E-02    0.13809E+01    0.59723E+07    0.24260E+05
    25    0.94615E+03    0.11128E-01    0.13966E+01    0.60134E+07    0.23494E+05
    26    0.96547E+03    0.12740E-01    0.14175E+01    0.60485E+07    0.22757E+05
    27    0.98497E+03    0.14571E-01    0.14424E+01    0.60780E+07    0.22056E+05
    28    0.10045E+04    0.16627E-01    0.14702E+01    0.61024E+07    0.21395E+05
    29    0.10242E+04    0.18874E-01    0.14987E+01    0.61218E+07    0.20770E+05
    30    0.10439E+04    0.21289E-01    0.15240E+01    0.61364E+07    0.20176E+05
    31    0.10635E+04    0.23879E-01    0.15427E+01    0.61466E+07    0.19603E+05
    32    0.10832E+04    0.26645E-01    0.15526E+01    0.61532E+07    0.19044E+05
    33    0.11030E+04    0.29589E-01    0.15535E+01    0.61563E+07    0.18507E+05
    34    0.11227E+04    0.32718E-01    0.15465E+01    0.61562E+07    0.17996E+05
    35    0.11425E+04    0.36032E-01    0.15297E+01    0.61531E+07    0.17511E+05
    36    0.11621E+04    0.39543E-01    0.15003E+01    0.61472E+07    0.17047E+05
    37    0.11816E+04    0.43291E-01    0.14584E+01    0.61387E+07    0.16598E+05
    38    0.12014E+04    0.47318E-01    0.14068E+01    0.61278E+07    0.16159E+05
    39    0.12213E+04    0.51614E-01    0.13468E+01    0.61147E+07    0.15733E+05
    40    0.12412E+04    0.56157E-01    0.12795E+01    0.60995E+07    0.15324E+05
    41    0.12611E+04    0.60939E-01    0.12050E+01    0.60824E+07    0.14936E+05
    42    0.12809E+04    0.65974E-01    0.11222E+01    0.60634E+07    0.14569E+05
    43    0.13006E+04    0.71278E-01    0.10293E+01    0.60427E+07    0.14219E+05
    44    0.13201E+04    0.76857E-01    0.92556E+00    0.60205E+07    0.13884E+05
    45    0.13399E+04    0.82724E-01    0.81025E+00    0.59968E+07    0.13562E+05
    46    0.13597E+04    0.88889E-01    0.68093E+00    0.59719E+07    0.13251E+05
    47    0.13796E+04    0.95341E-01    0.53822E+00    0.59457E+07    0.12949E+05
    48    0.13995E+04    0.10206E+00    0.38613E+00    0.59185E+07    0.12656E+05
    49    0.14194E+04    0.10902E+00    0.22811E+00    0.58903E+07    0.12370E+05
