#    L    TT             EE             BB             TE          
     2    0.48782E+03    0.15614E-01    0.24821E-01    0.32392E+00
     3    0.39012E+03    0.20028E-01    0.28618E-01   -0.38394E+00
     4    0.36482E+03    0.21290E-01    0.28096E-01   -0.61188E+00
     5    0.35448E+03    0.19573E-01    0.24687E-01   -0.65506E+00
     6    0.34983E+03    0.16124E-01    0.19968E-01   -0.61240E+00
     7    0.34806E+03    0.12207E-01    0.15193E-01   -0.53733E+00
     8    0.34776E+03    0.87641E-02    0.11128E-01   -0.45978E+00
     9    0.34840E+03    0.62478E-02    0.80910E-02   -0.39403E+00
    10    0.34957E+03    0.47481E-02    0.60952E-02   -0.34195E+00
    11    0.35080E+03    0.41145E-02    0.49979E-02   -0.30633E+00
    12    0.35153E+03    0.41021E-02    0.45991E-02   -0.28576E+00
    13    0.35204E+03    0.44945E-02    0.46987E-02   -0.27812E+00
    14    0.35270E+03    0.51079E-02    0.51161E-02   -0.28140E+00
    15    0.35365E+03    0.58441E-02    0.57366E-02   -0.29368E+00
    16    0.35484E+03    0.66379E-02    0.64728E-02   -0.31319E+00
    17    0.35596E+03    0.74708E-02    0.72793E-02   -0.33878E+00
    18    0.35665E+03    0.83374E-02    0.81263E-02   -0.36942E+00
    19    0.35691E+03    0.92387E-02    0.90034E-02   -0.40381E+00
    20    0.35679E+03    0.10177E-01    0.99054E-02   -0.44089E+00
    21    0.35639E+03    0.11151E-01    0.10830E-01   -0.48083E+00
    22    0.35577E+03    0.12160E-01    0.11775E-01   -0.52393E+00
    23    0.35495E+03    0.13196E-01    0.12740E-01   -0.56978E+00
    24    0.35392E+03    0.14254E-01    0.13723E-01   -0.61785E+00
    25    0.35270E+03    0.15334E-01    0.14721E-01   -0.66785E+00
    26    0.35132E+03    0.16435E-01    0.15730E-01   -0.71949E+00
    27    0.34978E+03    0.17553E-01    0.16752E-01   -0.77222E+00
    28    0.34808E+03    0.18686E-01    0.17789E-01   -0.82569E+00
    29    0.34622E+03    0.19843E-01    0.18839E-01   -0.88042E+00
    30    0.34422E+03    0.21034E-01    0.19901E-01   -0.93694E+00
    31    0.34208E+03    0.22258E-01    0.20975E-01   -0.99479E+00
    32    0.33982E+03    0.23508E-01    0.22057E-01   -0.10533E+01
    33    0.33742E+03    0.24769E-01    0.23148E-01   -0.11124E+01
    34    0.33489E+03    0.26033E-01    0.24245E-01   -0.11717E+01
    35    0.33224E+03    0.27306E-01    0.25347E-01   -0.12311E+01
    36    0.32949E+03    0.28596E-01    0.26450E-01   -0.12907E+01
    37    0.32663E+03    0.29907E-01    0.27557E-01   -0.13501E+01
    38    0.32367E+03    0.31238E-01    0.28668E-01   -0.14093E+01
    39    0.32059E+03    0.32586E-01    0.29782E-01   -0.14681E+01
    40    0.31742E+03    0.33944E-01    0.30895E-01   -0.15264E+01
    41    0.31416E+03    0.35310E-01    0.32003E-01   -0.15843E+01
    42    0.31081E+03    0.36683E-01    0.33105E-01   -0.16415E+01
    43    0.30737E+03    0.38061E-01    0.34199E-01   -0.16981E+01
    44    0.30385E+03    0.39444E-01    0.35286E-01   -0.17538E+01
    45    0.30025E+03    0.40831E-01    0.36364E-01   -0.18087E+01
    46    0.29658E+03    0.42221E-01    0.37431E-01   -0.18626E+01
    47    0.29284E+03    0.43613E-01    0.38487E-01   -0.19154E+01
    48    0.28903E+03    0.45007E-01    0.39530E-01   -0.19670E+01
    49    0.28516E+03    0.46400E-01    0.40558E-01   -0.20174E+01
    50    0.28122E+03    0.47791E-01    0.41569E-01   -0.20662E+01
    51    0.27724E+03    0.49180E-01    0.42563E-01   -0.21136E+01
    52    0.27320E+03    0.50564E-01    0.43538E-01   -0.21594E+01
    53    0.26911E+03    0.51941E-01    0.44493E-01   -0.22035E+01
    54    0.26498E+03    0.53311E-01    0.45429E-01   -0.22461E+01
    55    0.26082E+03    0.54670E-01    0.46343E-01   -0.22870E+01
    56    0.25662E+03    0.56018E-01    0.47235E-01   -0.23262E+01
    57    0.25239E+03    0.57353E-01    0.48105E-01   -0.23636E+01
    58    0.24813E+03    0.58675E-01    0.48951E-01   -0.23992E+01
    59    0.24384E+03    0.59984E-01    0.49772E-01   -0.24328E+01
    60    0.23953E+03    0.61278E-01    0.50567E-01   -0.24645E+01
    61    0.23520E+03    0.62557E-01    0.51336E-01   -0.24941E+01
    62    0.23086E+03    0.63821E-01    0.52077E-01   -0.25216E+01
    63    0.22650E+03    0.65068E-01    0.52791E-01   -0.25472E+01
    64    0.22213E+03    0.66297E-01    0.53477E-01   -0.25708E+01
    65    0.21776E+03    0.67508E-01    0.54134E-01   -0.25924E+01
    66    0.21339E+03    0.68699E-01    0.54763E-01   -0.26121E+01
    67    0.20903E+03    0.69869E-01    0.55363E-01   -0.26299E+01
    68    0.20466E+03    0.71015E-01    0.55932E-01   -0.26456E+01
    69    0.20031E+03    0.72135E-01    0.56471E-01   -0.26592E+01
    70    0.19597E+03    0.73227E-01    0.56979E-01   -0.26705E+01
    71    0.19164E+03    0.74289E-01    0.57456E-01   -0.26795E+01
    72    0.18733E+03    0.75322E-01    0.57902E-01   -0.26863E+01
