#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101464E-04   0.193423E+08   0.193423E+08   0.257762E+08   0.257758E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193487E+08  -0.463465E+00   0.988514E+07   0.988514E+07   0.593179E+01
   0.112140E-04   0.193423E+08   0.193423E+08   0.257732E+08   0.257727E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193487E+08  -0.463465E+00   0.988514E+07   0.988514E+07   0.655574E+01
   0.123940E-04   0.193423E+08   0.193423E+08   0.257696E+08   0.257690E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193487E+08  -0.463466E+00   0.988514E+07   0.988514E+07   0.724529E+01
   0.136981E-04   0.193423E+08   0.193423E+08   0.257651E+08   0.257644E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193488E+08  -0.463466E+00   0.988514E+07   0.988514E+07   0.800729E+01
   0.151395E-04   0.193423E+08   0.193423E+08   0.257597E+08   0.257588E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193488E+08  -0.463467E+00   0.988515E+07   0.988515E+07   0.884935E+01
   0.167325E-04   0.193423E+08   0.193423E+08   0.257530E+08   0.257519E+08   0.193424E+08   0.193423E+08   0.193423E+08   0.193488E+08  -0.463468E+00   0.988515E+07   0.988515E+07   0.977984E+01
   0.184932E-04   0.193424E+08   0.193424E+08   0.257449E+08   0.257436E+08   0.193425E+08   0.193424E+08   0.193424E+08   0.193488E+08  -0.463469E+00   0.988515E+07   0.988515E+07   0.108080E+02
   0.204391E-04   0.193424E+08   0.193424E+08   0.257350E+08   0.257334E+08   0.193425E+08   0.193424E+08   0.193424E+08   0.193488E+08  -0.463471E+00   0.988515E+07   0.988515E+07   0.119441E+02
   0.225897E-04   0.193424E+08   0.193424E+08   0.257229E+08   0.257209E+08   0.193425E+08   0.193424E+08   0.193424E+08   0.193489E+08  -0.463473E+00   0.988516E+07   0.988515E+07   0.131992E+02
   0.249666E-04   0.193425E+08   0.193425E+08   0.257081E+08   0.257057E+08   0.193425E+08   0.193425E+08   0.193425E+08   0.193489E+08  -0.463475E+00   0.988516E+07   0.988516E+07   0.145859E+02
   0.275937E-04   0.193425E+08   0.193425E+08   0.256901E+08   0.256871E+08   0.193426E+08   0.193425E+08   0.193425E+08   0.193489E+08  -0.463478E+00   0.988516E+07   0.988516E+07   0.161177E+02
   0.304972E-04   0.193426E+08   0.193426E+08   0.256681E+08   0.256645E+08   0.193426E+08   0.193426E+08   0.193426E+08   0.193490E+08  -0.463482E+00   0.988517E+07   0.988517E+07   0.178096E+02
   0.337062E-04   0.193426E+08   0.193426E+08   0.256413E+08   0.256368E+08   0.193427E+08   0.193426E+08   0.193426E+08   0.193490E+08  -0.463486E+00   0.988517E+07   0.988517E+07   0.196782E+02
   0.372528E-04   0.193427E+08   0.193427E+08   0.256085E+08   0.256031E+08   0.193428E+08   0.193427E+08   0.193427E+08   0.193491E+08  -0.463491E+00   0.988518E+07   0.988518E+07   0.217415E+02
   0.411726E-04   0.193428E+08   0.193428E+08   0.255685E+08   0.255619E+08   0.193429E+08   0.193428E+08   0.193428E+08   0.193492E+08  -0.463497E+00   0.988519E+07   0.988519E+07   0.240194E+02
   0.455049E-04   0.193429E+08   0.193429E+08   0.255198E+08   0.255117E+08   0.193430E+08   0.193429E+08   0.193429E+08   0.193493E+08  -0.463505E+00   0.988520E+07   0.988520E+07   0.265335E+02
   0.502931E-04   0.193431E+08   0.193431E+08   0.254603E+08   0.254505E+08   0.193432E+08   0.193431E+08   0.193431E+08   0.193495E+08  -0.463514E+00   0.988522E+07   0.988521E+07   0.293076E+02
   0.555850E-04   0.193433E+08   0.193433E+08   0.253879E+08   0.253759E+08   0.193434E+08   0.193433E+08   0.193433E+08   0.193496E+08  -0.463526E+00   0.988524E+07   0.988523E+07   0.323673E+02
   0.614338E-04   0.193435E+08   0.193435E+08   0.252997E+08   0.252851E+08   0.193436E+08   0.193435E+08   0.193435E+08   0.193498E+08  -0.463540E+00   0.988526E+07   0.988525E+07   0.357406E+02
   0.678981E-04   0.193438E+08   0.193438E+08   0.251923E+08   0.251745E+08   0.193439E+08   0.193438E+08   0.193438E+08   0.193501E+08  -0.463557E+00   0.988528E+07   0.988528E+07   0.394576E+02
   0.750425E-04   0.193441E+08   0.193441E+08   0.250617E+08   0.250401E+08   0.193442E+08   0.193441E+08   0.193441E+08   0.193504E+08  -0.463578E+00   0.988532E+07   0.988531E+07   0.435504E+02
   0.829386E-04   0.193445E+08   0.193445E+08   0.249030E+08   0.248768E+08   0.193446E+08   0.193445E+08   0.193445E+08   0.193508E+08  -0.463603E+00   0.988536E+07   0.988534E+07   0.480533E+02
   0.916656E-04   0.193450E+08   0.193450E+08   0.247104E+08   0.246786E+08   0.193451E+08   0.193450E+08   0.193450E+08   0.193512E+08  -0.463633E+00   0.988540E+07   0.988539E+07   0.530026E+02
   0.101311E-03   0.193456E+08   0.193456E+08   0.244770E+08   0.244384E+08   0.193457E+08   0.193456E+08   0.193456E+08   0.193517E+08  -0.463670E+00   0.988546E+07   0.988544E+07   0.584356E+02
   0.111971E-03   0.193464E+08   0.193463E+08   0.241947E+08   0.241480E+08   0.193464E+08   0.193464E+08   0.193464E+08   0.193524E+08  -0.463715E+00   0.988553E+07   0.988551E+07   0.643907E+02
   0.123753E-03   0.193473E+08   0.193472E+08   0.238539E+08   0.237974E+08   0.193473E+08   0.193473E+08   0.193473E+08   0.193532E+08  -0.463770E+00   0.988562E+07   0.988559E+07   0.709058E+02
   0.136775E-03   0.193484E+08   0.193482E+08   0.234436E+08   0.233756E+08   0.193484E+08   0.193483E+08   0.193483E+08   0.193542E+08  -0.463836E+00   0.988572E+07   0.988569E+07   0.780174E+02
   0.151166E-03   0.193497E+08   0.193495E+08   0.229512E+08   0.228695E+08   0.193497E+08   0.193496E+08   0.193496E+08   0.193554E+08  -0.463915E+00   0.988584E+07   0.988580E+07   0.857585E+02
   0.167072E-03   0.193512E+08   0.193511E+08   0.223627E+08   0.222649E+08   0.193512E+08   0.193512E+08   0.193512E+08   0.193568E+08  -0.464010E+00   0.988600E+07   0.988595E+07   0.941558E+02
