#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.90195E+03   -0.24162E+01    0.31039E-02   -0.24162E+01    0.72207E-01   -0.87484E-05    0.31039E-02   -0.87484E-05    0.13784E-07
     3    0.73193E+03   -0.15766E+01    0.20468E-02   -0.15766E+01    0.11847E+00   -0.78914E-05    0.20468E-02   -0.78914E-05    0.86404E-08
     4    0.68081E+03   -0.89275E+00    0.14660E-02   -0.89275E+00    0.13532E+00   -0.65069E-05    0.14660E-02   -0.65069E-05    0.60884E-08
     5    0.68892E+03   -0.51599E+00    0.11047E-02   -0.51599E+00    0.12369E+00   -0.50717E-05    0.11047E-02   -0.50717E-05    0.45836E-08
     6    0.72943E+03   -0.41029E+00    0.86095E-03   -0.41029E+00    0.95708E-01   -0.37735E-05    0.86095E-03   -0.37735E-05    0.36007E-08
     7    0.78769E+03   -0.48926E+00    0.68592E-03   -0.48926E+00    0.64642E-01   -0.27008E-05    0.68592E-03   -0.27008E-05    0.29151E-08
     8    0.85516E+03   -0.63812E+00    0.55491E-03   -0.63812E+00    0.39144E-01   -0.18765E-05    0.55491E-03   -0.18765E-05    0.24139E-08
     9    0.92840E+03   -0.75598E+00    0.45581E-03   -0.75598E+00    0.22220E-01   -0.12892E-05    0.45581E-03   -0.12892E-05    0.20344E-08
    10    0.10076E+04   -0.77644E+00    0.38039E-03   -0.77644E+00    0.13010E-01   -0.91509E-06    0.38039E-03   -0.91509E-06    0.17388E-08
    11    0.10905E+04   -0.67738E+00    0.32120E-03   -0.67738E+00    0.91195E-02   -0.71932E-06    0.32120E-03   -0.71932E-06    0.15038E-08
    12    0.11710E+04   -0.46652E+00    0.27206E-03   -0.46652E+00    0.83686E-02   -0.65081E-06    0.27206E-03   -0.65081E-06    0.13130E-08
    13    0.12490E+04   -0.17539E+00    0.23117E-03   -0.17539E+00    0.90886E-02   -0.65333E-06    0.23117E-03   -0.65333E-06    0.11562E-08
    14    0.13267E+04    0.15513E+00    0.19775E-03    0.15513E+00    0.10548E-01   -0.67787E-06    0.19775E-03   -0.67787E-06    0.10252E-08
    15    0.14039E+04    0.47327E+00    0.17083E-03    0.47327E+00    0.12173E-01   -0.70580E-06    0.17083E-03   -0.70580E-06    0.91489E-09
    16    0.14796E+04    0.73122E+00    0.14920E-03    0.73122E+00    0.13454E-01   -0.72638E-06    0.14920E-03   -0.72638E-06    0.82089E-09
    17    0.15536E+04    0.90447E+00    0.13091E-03    0.90447E+00    0.14213E-01   -0.73013E-06    0.13091E-03   -0.73013E-06    0.74026E-09
    18    0.16252E+04    0.98129E+00    0.11430E-03    0.98129E+00    0.14232E-01   -0.70953E-06    0.11430E-03   -0.70953E-06    0.67049E-09
    19    0.16957E+04    0.97088E+00    0.99525E-04    0.97088E+00    0.13657E-01   -0.66377E-06    0.99525E-04   -0.66377E-06    0.60974E-09
    20    0.17641E+04    0.88541E+00    0.87031E-04    0.88541E+00    0.12783E-01   -0.59673E-06    0.87031E-04   -0.59673E-06    0.55642E-09
    21    0.18308E+04    0.74218E+00    0.76648E-04    0.74218E+00    0.11886E-01   -0.52455E-06    0.76648E-04   -0.52455E-06    0.50942E-09
    22    0.18962E+04    0.56002E+00    0.67987E-04    0.56002E+00    0.11284E-01   -0.46290E-06    0.67987E-04   -0.46290E-06    0.46781E-09
