#    L    TT             EE             BB             TE          
     2    0.48686E+03    0.15404E-01    0.24412E-01    0.30637E+00
     3    0.38947E+03    0.19874E-01    0.28264E-01   -0.39617E+00
     4    0.36432E+03    0.21238E-01    0.27864E-01   -0.62326E+00
     5    0.35407E+03    0.19630E-01    0.24586E-01   -0.66619E+00
     6    0.34945E+03    0.16263E-01    0.19971E-01   -0.62291E+00
     7    0.34769E+03    0.12383E-01    0.15261E-01   -0.54669E+00
     8    0.34740E+03    0.89341E-02    0.11224E-01   -0.46779E+00
     9    0.34804E+03    0.63859E-02    0.81860E-02   -0.40048E+00
    10    0.34921E+03    0.48433E-02    0.61743E-02   -0.34701E+00
    11    0.35045E+03    0.41702E-02    0.50550E-02   -0.31006E+00
    12    0.35120E+03    0.41286E-02    0.46348E-02   -0.28841E+00
    13    0.35173E+03    0.45022E-02    0.47169E-02   -0.27989E+00
    14    0.35242E+03    0.51060E-02    0.51219E-02   -0.28248E+00
    15    0.35340E+03    0.58385E-02    0.57347E-02   -0.29421E+00
    16    0.35464E+03    0.66311E-02    0.64668E-02   -0.31332E+00
    17    0.35579E+03    0.74638E-02    0.72717E-02   -0.33862E+00
    18    0.35653E+03    0.83303E-02    0.81185E-02   -0.36903E+00
    19    0.35683E+03    0.92316E-02    0.89960E-02   -0.40324E+00
    20    0.35676E+03    0.10170E-01    0.98987E-02   -0.44018E+00
    21    0.35639E+03    0.11144E-01    0.10824E-01   -0.48001E+00
    22    0.35582E+03    0.12153E-01    0.11771E-01   -0.52302E+00
    23    0.35504E+03    0.13190E-01    0.12737E-01   -0.56879E+00
    24    0.35404E+03    0.14249E-01    0.13721E-01   -0.61681E+00
    25    0.35285E+03    0.15330E-01    0.14719E-01   -0.66677E+00
    26    0.35151E+03    0.16433E-01    0.15730E-01   -0.71839E+00
    27    0.35000E+03    0.17552E-01    0.16753E-01   -0.77113E+00
    28    0.34832E+03    0.18685E-01    0.17791E-01   -0.82460E+00
    29    0.34649E+03    0.19843E-01    0.18842E-01   -0.87935E+00
    30    0.34450E+03    0.21035E-01    0.19906E-01   -0.93589E+00
    31    0.34238E+03    0.22259E-01    0.20980E-01   -0.99378E+00
    32    0.34013E+03    0.23509E-01    0.22064E-01   -0.10524E+01
    33    0.33775E+03    0.24771E-01    0.23155E-01   -0.11115E+01
    34    0.33523E+03    0.26036E-01    0.24253E-01   -0.11708E+01
    35    0.33259E+03    0.27309E-01    0.25356E-01   -0.12304E+01
    36    0.32984E+03    0.28601E-01    0.26460E-01   -0.12900E+01
    37    0.32699E+03    0.29913E-01    0.27567E-01   -0.13495E+01
    38    0.32403E+03    0.31244E-01    0.28680E-01   -0.14087E+01
    39    0.32096E+03    0.32592E-01    0.29795E-01   -0.14676E+01
    40    0.31779E+03    0.33951E-01    0.30908E-01   -0.15261E+01
    41    0.31453E+03    0.35317E-01    0.32017E-01   -0.15840E+01
    42    0.31118E+03    0.36690E-01    0.33121E-01   -0.16413E+01
    43    0.30775E+03    0.38069E-01    0.34217E-01   -0.16979E+01
    44    0.30423E+03    0.39453E-01    0.35305E-01   -0.17538E+01
    45    0.30063E+03    0.40841E-01    0.36384E-01   -0.18087E+01
    46    0.29696E+03    0.42232E-01    0.37454E-01   -0.18627E+01
    47    0.29321E+03    0.43626E-01    0.38511E-01   -0.19156E+01
    48    0.28940E+03    0.45021E-01    0.39556E-01   -0.19673E+01
    49    0.28553E+03    0.46415E-01    0.40586E-01   -0.20177E+01
    50    0.28160E+03    0.47809E-01    0.41600E-01   -0.20667E+01
    51    0.27761E+03    0.49199E-01    0.42596E-01   -0.21141E+01
    52    0.27357E+03    0.50585E-01    0.43573E-01   -0.21600E+01
    53    0.26948E+03    0.51964E-01    0.44531E-01   -0.22042E+01
    54    0.26536E+03    0.53336E-01    0.45469E-01   -0.22469E+01
    55    0.26119E+03    0.54697E-01    0.46386E-01   -0.22879E+01
    56    0.25699E+03    0.56047E-01    0.47281E-01   -0.23271E+01
    57    0.25276E+03    0.57384E-01    0.48153E-01   -0.23647E+01
    58    0.24850E+03    0.58708E-01    0.49002E-01   -0.24003E+01
    59    0.24422E+03    0.60019E-01    0.49826E-01   -0.24341E+01
    60    0.23991E+03    0.61316E-01    0.50624E-01   -0.24658E+01
    61    0.23558E+03    0.62598E-01    0.51396E-01   -0.24955E+01
    62    0.23124E+03    0.63865E-01    0.52140E-01   -0.25232E+01
    63    0.22688E+03    0.65115E-01    0.52857E-01   -0.25488E+01
    64    0.22252E+03    0.66347E-01    0.53547E-01   -0.25725E+01
    65    0.21815E+03    0.67561E-01    0.54207E-01   -0.25943E+01
    66    0.21379E+03    0.68756E-01    0.54839E-01   -0.26141E+01
    67    0.20942E+03    0.69929E-01    0.55442E-01   -0.26320E+01
    68    0.20506E+03    0.71078E-01    0.56015E-01   -0.26478E+01
    69    0.20071E+03    0.72201E-01    0.56558E-01   -0.26615E+01
    70    0.19637E+03    0.73297E-01    0.57070E-01   -0.26729E+01
