#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102023E-04   0.192963E+08   0.192963E+08   0.257150E+08   0.257146E+08   0.192964E+08   0.192963E+08   0.192963E+08   0.193027E+08  -0.465607E+00   0.979903E+07   0.979903E+07   0.584380E+01
   0.112760E-04   0.192963E+08   0.192963E+08   0.257120E+08   0.257115E+08   0.192964E+08   0.192963E+08   0.192963E+08   0.193027E+08  -0.465607E+00   0.979903E+07   0.979903E+07   0.645864E+01
   0.124628E-04   0.192963E+08   0.192963E+08   0.257083E+08   0.257077E+08   0.192963E+08   0.192963E+08   0.192963E+08   0.193027E+08  -0.465606E+00   0.979902E+07   0.979902E+07   0.713813E+01
   0.137744E-04   0.192962E+08   0.192962E+08   0.257039E+08   0.257032E+08   0.192963E+08   0.192963E+08   0.192962E+08   0.193027E+08  -0.465606E+00   0.979902E+07   0.979902E+07   0.788904E+01
   0.152242E-04   0.192962E+08   0.192962E+08   0.256985E+08   0.256976E+08   0.192963E+08   0.192962E+08   0.192962E+08   0.193027E+08  -0.465606E+00   0.979901E+07   0.979901E+07   0.871885E+01
   0.168264E-04   0.192962E+08   0.192962E+08   0.256919E+08   0.256908E+08   0.192963E+08   0.192962E+08   0.192962E+08   0.193027E+08  -0.465606E+00   0.979901E+07   0.979901E+07   0.963583E+01
   0.185974E-04   0.192962E+08   0.192962E+08   0.256838E+08   0.256824E+08   0.192963E+08   0.192962E+08   0.192962E+08   0.193026E+08  -0.465605E+00   0.979900E+07   0.979900E+07   0.106491E+02
   0.205547E-04   0.192962E+08   0.192962E+08   0.256739E+08   0.256723E+08   0.192963E+08   0.192962E+08   0.192962E+08   0.193026E+08  -0.465605E+00   0.979899E+07   0.979899E+07   0.117687E+02
   0.227180E-04   0.192962E+08   0.192962E+08   0.256618E+08   0.256599E+08   0.192963E+08   0.192962E+08   0.192962E+08   0.193026E+08  -0.465604E+00   0.979898E+07   0.979898E+07   0.130057E+02
   0.251090E-04   0.192962E+08   0.192961E+08   0.256471E+08   0.256447E+08   0.192962E+08   0.192962E+08   0.192962E+08   0.193026E+08  -0.465603E+00   0.979897E+07   0.979897E+07   0.143723E+02
   0.277517E-04   0.192961E+08   0.192961E+08   0.256291E+08   0.256262E+08   0.192962E+08   0.192961E+08   0.192961E+08   0.193025E+08  -0.465602E+00   0.979895E+07   0.979895E+07   0.158821E+02
   0.306724E-04   0.192961E+08   0.192961E+08   0.256072E+08   0.256036E+08   0.192962E+08   0.192961E+08   0.192961E+08   0.193025E+08  -0.465601E+00   0.979893E+07   0.979893E+07   0.175497E+02
   0.339006E-04   0.192960E+08   0.192960E+08   0.255804E+08   0.255760E+08   0.192961E+08   0.192960E+08   0.192960E+08   0.193024E+08  -0.465600E+00   0.979891E+07   0.979891E+07   0.193914E+02
   0.374685E-04   0.192960E+08   0.192960E+08   0.255477E+08   0.255424E+08   0.192961E+08   0.192960E+08   0.192960E+08   0.193024E+08  -0.465598E+00   0.979888E+07   0.979888E+07   0.214251E+02
   0.414120E-04   0.192959E+08   0.192959E+08   0.255078E+08   0.255013E+08   0.192960E+08   0.192959E+08   0.192959E+08   0.193023E+08  -0.465596E+00   0.979885E+07   0.979884E+07   0.236703E+02
   0.457705E-04   0.192958E+08   0.192958E+08   0.254592E+08   0.254513E+08   0.192959E+08   0.192958E+08   0.192958E+08   0.193022E+08  -0.465594E+00   0.979880E+07   0.979880E+07   0.261484E+02
   0.505877E-04   0.192957E+08   0.192957E+08   0.253999E+08   0.253902E+08   0.192958E+08   0.192957E+08   0.192957E+08   0.193021E+08  -0.465591E+00   0.979875E+07   0.979875E+07   0.288828E+02
   0.559119E-04   0.192956E+08   0.192956E+08   0.253277E+08   0.253159E+08   0.192957E+08   0.192956E+08   0.192956E+08   0.193019E+08  -0.465587E+00   0.979869E+07   0.979868E+07   0.318988E+02
   0.617964E-04   0.192954E+08   0.192954E+08   0.252396E+08   0.252253E+08   0.192955E+08   0.192954E+08   0.192954E+08   0.193018E+08  -0.465582E+00   0.979861E+07   0.979860E+07   0.352239E+02
   0.683003E-04   0.192953E+08   0.192952E+08   0.251325E+08   0.251150E+08   0.192953E+08   0.192953E+08   0.192953E+08   0.193015E+08  -0.465577E+00   0.979851E+07   0.979851E+07   0.388879E+02
   0.754887E-04   0.192950E+08   0.192950E+08   0.250022E+08   0.249810E+08   0.192951E+08   0.192950E+08   0.192950E+08   0.193013E+08  -0.465570E+00   0.979840E+07   0.979839E+07   0.429223E+02
   0.834336E-04   0.192948E+08   0.192947E+08   0.248439E+08   0.248180E+08   0.192948E+08   0.192948E+08   0.192947E+08   0.193010E+08  -0.465562E+00   0.979826E+07   0.979824E+07   0.473612E+02
   0.922147E-04   0.192944E+08   0.192944E+08   0.246517E+08   0.246203E+08   0.192945E+08   0.192944E+08   0.192944E+08   0.193006E+08  -0.465551E+00   0.979808E+07   0.979807E+07   0.522399E+02
