#    L    TT             EE             TE             PP             TP          
     2    0.95414E+03    0.52715E-01    0.26432E+01    0.10681E+07    0.33716E+05
     3    0.88080E+03    0.86373E-01    0.33987E+01    0.16477E+07    0.39688E+05
     4    0.81872E+03    0.97565E-01    0.35411E+01    0.21625E+07    0.42325E+05
     5    0.77406E+03    0.87134E-01    0.33108E+01    0.26171E+07    0.43196E+05
     6    0.74433E+03    0.64945E-01    0.28997E+01    0.30180E+07    0.43106E+05
     7    0.72644E+03    0.41730E-01    0.24278E+01    0.33728E+07    0.42505E+05
     8    0.71710E+03    0.24187E-01    0.19725E+01    0.36879E+07    0.41565E+05
     9    0.71410E+03    0.14022E-01    0.15803E+01    0.39687E+07    0.40374E+05
    10    0.71614E+03    0.95903E-02    0.12732E+01    0.42191E+07    0.39048E+05
    11    0.72171E+03    0.81647E-02    0.10596E+01    0.44439E+07    0.37735E+05
    12    0.73082E+03    0.76419E-02    0.93921E+00    0.46447E+07    0.36491E+05
    13    0.74182E+03    0.69784E-02    0.89790E+00    0.48243E+07    0.35300E+05
    14    0.75389E+03    0.62107E-02    0.91619E+00    0.49854E+07    0.34140E+05
    15    0.76714E+03    0.56072E-02    0.97301E+00    0.51298E+07    0.33006E+05
    16    0.78177E+03    0.53898E-02    0.10486E+01    0.52591E+07    0.31900E+05
    17    0.79780E+03    0.55829E-02    0.11270E+01    0.53748E+07    0.30836E+05
    18    0.81443E+03    0.59671E-02    0.11969E+01    0.54783E+07    0.29826E+05
    19    0.83248E+03    0.63943E-02    0.12563E+01    0.55706E+07    0.28853E+05
    20    0.85027E+03    0.68171E-02    0.13025E+01    0.56522E+07    0.27900E+05
    21    0.86817E+03    0.72547E-02    0.13364E+01    0.57244E+07    0.26979E+05
    22    0.88649E+03    0.78281E-02    0.13599E+01    0.57881E+07    0.26104E+05
    23    0.90499E+03    0.86422E-02    0.13784E+01    0.58441E+07    0.25268E+05
    24    0.92366E+03    0.97430E-02    0.13977E+01    0.58928E+07    0.24462E+05
    25    0.94245E+03    0.11128E-01    0.14198E+01    0.59348E+07    0.23686E+05
    26    0.96119E+03    0.12749E-01    0.14467E+01    0.59708E+07    0.22944E+05
    27    0.98013E+03    0.14586E-01    0.14769E+01    0.60013E+07    0.22238E+05
    28    0.99915E+03    0.16645E-01    0.15093E+01    0.60267E+07    0.21572E+05
    29    0.10183E+04    0.18894E-01    0.15416E+01    0.60471E+07    0.20940E+05
    30    0.10376E+04    0.21312E-01    0.15698E+01    0.60627E+07    0.20338E+05
