#    L    TT             EE             BB             TE          
     2    0.15515E+04    0.74131E-01    0.26613E-01   -0.42068E+01
     3    0.11873E+04    0.11187E+00    0.29885E-01   -0.49751E+01
     4    0.10479E+04    0.12072E+00    0.28573E-01   -0.48058E+01
     5    0.99891E+03    0.10437E+00    0.24432E-01   -0.42740E+01
     6    0.99839E+03    0.76094E-01    0.19223E-01   -0.36205E+01
     7    0.10279E+04    0.48489E-01    0.14235E-01   -0.29863E+01
     8    0.10755E+04    0.28473E-01    0.10180E-01   -0.24259E+01
     9    0.11344E+04    0.17116E-01    0.72917E-02   -0.19515E+01
    10    0.12013E+04    0.12169E-01    0.55037E-02   -0.15508E+01
    11    0.12737E+04    0.10664E-01    0.46174E-02   -0.12100E+01
    12    0.13476E+04    0.10583E-01    0.43950E-02   -0.90677E+00
    13    0.14225E+04    0.10928E-01    0.46271E-02   -0.63114E+00
    14    0.14998E+04    0.11696E-01    0.51321E-02   -0.38291E+00
    15    0.15779E+04    0.12859E-01    0.58043E-02   -0.17638E+00
    16    0.16549E+04    0.14314E-01    0.65673E-02   -0.26858E-01
    17    0.17309E+04    0.15891E-01    0.73862E-02    0.57711E-01
    18    0.18055E+04    0.17259E-01    0.82399E-02    0.75592E-01
    19    0.18796E+04    0.18354E-01    0.91215E-02    0.35793E-01
    20    0.19514E+04    0.19262E-01    0.10028E-01   -0.53351E-01
    21    0.20213E+04    0.20128E-01    0.10957E-01   -0.18261E+00
    22    0.20896E+04    0.21182E-01    0.11908E-01   -0.34202E+00
    23    0.21560E+04    0.22558E-01    0.12879E-01   -0.51456E+00
    24    0.22201E+04    0.24310E-01    0.13867E-01   -0.68449E+00
    25    0.22819E+04    0.26437E-01    0.14870E-01   -0.84818E+00
    26    0.23414E+04    0.28882E-01    0.15885E-01   -0.10033E+01
    27    0.23988E+04    0.31589E-01    0.16915E-01   -0.11474E+01
    28    0.24543E+04    0.34524E-01    0.17959E-01   -0.12790E+01
    29    0.25080E+04    0.37622E-01    0.19018E-01   -0.14038E+01
    30    0.25597E+04    0.40834E-01    0.20090E-01   -0.15298E+01
    31    0.26091E+04    0.44169E-01    0.21174E-01   -0.16597E+01
    32    0.26564E+04    0.47635E-01    0.22266E-01   -0.17942E+01
    33    0.27016E+04    0.51232E-01    0.23366E-01   -0.19316E+01
    34    0.27447E+04    0.54977E-01    0.24473E-01   -0.20698E+01
    35    0.27857E+04    0.58899E-01    0.25585E-01   -0.22106E+01
    36    0.28244E+04    0.63040E-01    0.26698E-01   -0.23566E+01
    37    0.28613E+04    0.67429E-01    0.27816E-01   -0.25061E+01
    38    0.28969E+04    0.72088E-01    0.28937E-01   -0.26557E+01
    39    0.29310E+04    0.76992E-01    0.30061E-01   -0.28058E+01
    40    0.29634E+04    0.82110E-01    0.31182E-01   -0.29585E+01
    41    0.29940E+04    0.87421E-01    0.32299E-01   -0.31157E+01
    42    0.30226E+04    0.92933E-01    0.33409E-01   -0.32789E+01
    43    0.30496E+04    0.98659E-01    0.34511E-01   -0.34495E+01
    44    0.30749E+04    0.10460E+00    0.35605E-01   -0.36280E+01
    45    0.30989E+04    0.11076E+00    0.36689E-01   -0.38147E+01
    46    0.31218E+04    0.11715E+00    0.37763E-01   -0.40117E+01
    47    0.31434E+04    0.12377E+00    0.38825E-01   -0.42175E+01
    48    0.31637E+04    0.13061E+00    0.39874E-01   -0.44275E+01
    49    0.31828E+04    0.13765E+00    0.40907E-01   -0.46372E+01
    50    0.32010E+04    0.14484E+00    0.41923E-01   -0.48494E+01
    51    0.32181E+04    0.15217E+00    0.42922E-01   -0.50679E+01
    52    0.32343E+04    0.15970E+00    0.43902E-01   -0.52967E+01
    53    0.32493E+04    0.16760E+00    0.44862E-01   -0.55380E+01
    54    0.32632E+04    0.17586E+00    0.45801E-01   -0.57859E+01
    55    0.32761E+04    0.18446E+00    0.46720E-01   -0.60345E+01
    56    0.32884E+04    0.19325E+00    0.47616E-01   -0.62845E+01
    57    0.33000E+04    0.20212E+00    0.48489E-01   -0.65368E+01
    58    0.33109E+04    0.21108E+00    0.49338E-01   -0.67937E+01
    59    0.33212E+04    0.22013E+00    0.50162E-01   -0.70575E+01
    60    0.33307E+04    0.22934E+00    0.50961E-01   -0.73289E+01
    61    0.33398E+04    0.23878E+00    0.51733E-01   -0.76083E+01
    62    0.33481E+04    0.24845E+00    0.52477E-01   -0.78960E+01
    63    0.33558E+04    0.25830E+00    0.53195E-01   -0.81920E+01
    64    0.33631E+04    0.26837E+00    0.53884E-01   -0.84966E+01
    65    0.33699E+04    0.27862E+00    0.54544E-01   -0.88094E+01
    66    0.33764E+04    0.28901E+00    0.55176E-01   -0.91279E+01
    67    0.33825E+04    0.29952E+00    0.55778E-01   -0.94496E+01
    68    0.33885E+04    0.31018E+00    0.56351E-01   -0.97734E+01
    69    0.33942E+04    0.32096E+00    0.56893E-01   -0.10098E+02
    70    0.33996E+04    0.33189E+00    0.57405E-01   -0.10426E+02
    71    0.34048E+04    0.34294E+00    0.57885E-01   -0.10760E+02
    72    0.34097E+04    0.35410E+00    0.58334E-01   -0.11102E+02
    73    0.34144E+04    0.36532E+00    0.58752E-01   -0.11451E+02
    74    0.34188E+04    0.37661E+00    0.59139E-01   -0.11807E+02
    75    0.34233E+04    0.38798E+00    0.59496E-01   -0.12169E+02
    76    0.34277E+04    0.39942E+00    0.59821E-01   -0.12535E+02
    77    0.34321E+04    0.41093E+00    0.60116E-01   -0.12905E+02
    78    0.34366E+04    0.42254E+00    0.60380E-01   -0.13282E+02
    79    0.34410E+04    0.43418E+00    0.60613E-01   -0.13661E+02
    80    0.34455E+04    0.44585E+00    0.60817E-01   -0.14044E+02
    81    0.34500E+04    0.45751E+00    0.60990E-01   -0.14432E+02
    82    0.34545E+04    0.46917E+00    0.61132E-01   -0.14824E+02
    83    0.34590E+04    0.48082E+00    0.61245E-01   -0.15220E+02
    84    0.34636E+04    0.49244E+00    0.61328E-01   -0.15617E+02
    85    0.34682E+04    0.50402E+00    0.61380E-01   -0.16018E+02
    86    0.34727E+04    0.51558E+00    0.61403E-01   -0.16422E+02
    87    0.34775E+04    0.52707E+00    0.61396E-01   -0.16827E+02
    88    0.34822E+04    0.53851E+00    0.61359E-01   -0.17234E+02
    89    0.34871E+04    0.54990E+00    0.61294E-01   -0.17644E+02
    90    0.34921E+04    0.56120E+00    0.61201E-01   -0.18054E+02
    91    0.34972E+04    0.57239E+00    0.61080E-01   -0.18466E+02
    92    0.35025E+04    0.58346E+00    0.60933E-01   -0.18878E+02
    93    0.35080E+04    0.59442E+00    0.60758E-01   -0.19291E+02
    94    0.35136E+04    0.60523E+00    0.60559E-01   -0.19704E+02
    95    0.35194E+04    0.61589E+00    0.60334E-01   -0.20117E+02
    96    0.35251E+04    0.62640E+00    0.60085E-01   -0.20530E+02
    97    0.35313E+04    0.63673E+00    0.59812E-01   -0.20942E+02
    98    0.35377E+04    0.64689E+00    0.59517E-01   -0.21351E+02
    99    0.35441E+04    0.65684E+00    0.59200E-01   -0.21761E+02
   100    0.35508E+04    0.66659E+00    0.58861E-01   -0.22168E+02
   101    0.35576E+04    0.67620E+00    0.58501E-01   -0.22573E+02
   102    0.35650E+04    0.68553E+00    0.58121E-01   -0.22976E+02
   103    0.35723E+04    0.69464E+00    0.57723E-01   -0.23377E+02
   104    0.35798E+04    0.70356E+00    0.57305E-01   -0.23774E+02
   105    0.35875E+04    0.71219E+00    0.56870E-01   -0.24167E+02
   106    0.35955E+04    0.72064E+00    0.56417E-01   -0.24558E+02
   107    0.36034E+04    0.72874E+00    0.55948E-01   -0.24943E+02
   108    0.36117E+04    0.73657E+00    0.55463E-01   -0.25325E+02
   109    0.36203E+04    0.74408E+00    0.54963E-01   -0.25701E+02
   110    0.36289E+04    0.75125E+00    0.54448E-01   -0.26071E+02
   111    0.36378E+04    0.75817E+00    0.53920E-01   -0.26437E+02
   112    0.36469E+04    0.76477E+00    0.53379E-01   -0.26797E+02
   113    0.36563E+04    0.77106E+00    0.52826E-01   -0.27150E+02
   114    0.36658E+04    0.77696E+00    0.52262E-01   -0.27496E+02
   115    0.36757E+04    0.78263E+00    0.51687E-01   -0.27835E+02
   116    0.36856E+04    0.78785E+00    0.51102E-01   -0.28166E+02
   117    0.36959E+04    0.79270E+00    0.50509E-01   -0.28488E+02
   118    0.37065E+04    0.79734E+00    0.49908E-01   -0.28803E+02
   119    0.37171E+04    0.80163E+00    0.49300E-01   -0.29108E+02
   120    0.37280E+04    0.80541E+00    0.48686E-01   -0.29403E+02
   121    0.37390E+04    0.80900E+00    0.48066E-01   -0.29688E+02
   122    0.37502E+04    0.81209E+00    0.47441E-01   -0.29964E+02
   123    0.37615E+04    0.81478E+00    0.46813E-01   -0.30229E+02
   124    0.37731E+04    0.81714E+00    0.46181E-01   -0.30481E+02
   125    0.37848E+04    0.81910E+00    0.45548E-01   -0.30723E+02
   126    0.37966E+04    0.82074E+00    0.44913E-01   -0.30953E+02
   127    0.38086E+04    0.82192E+00    0.44277E-01   -0.31171E+02
   128    0.38207E+04    0.82279E+00    0.43642E-01   -0.31377E+02
   129    0.38331E+04    0.82322E+00    0.43008E-01   -0.31570E+02
   130    0.38455E+04    0.82319E+00    0.42376E-01   -0.31749E+02
   131    0.38581E+04    0.82288E+00    0.41747E-01   -0.31915E+02
   132    0.38709E+04    0.82213E+00    0.41121E-01   -0.32067E+02
   133    0.38838E+04    0.82104E+00    0.40498E-01   -0.32206E+02
   134    0.38968E+04    0.81960E+00    0.39880E-01   -0.32328E+02
   135    0.39100E+04    0.81775E+00    0.39267E-01   -0.32436E+02
   136    0.39231E+04    0.81549E+00    0.38659E-01   -0.32527E+02
   137    0.39364E+04    0.81291E+00    0.38057E-01   -0.32602E+02
   138    0.39498E+04    0.80995E+00    0.37461E-01   -0.32662E+02
   139    0.39630E+04    0.80675E+00    0.36872E-01   -0.32704E+02
   140    0.39765E+04    0.80310E+00    0.36290E-01   -0.32730E+02
   141    0.39899E+04    0.79908E+00    0.35717E-01   -0.32739E+02
   142    0.40034E+04    0.79477E+00    0.35151E-01   -0.32730E+02
   143    0.40170E+04    0.79019E+00    0.34594E-01   -0.32703E+02
   144    0.40305E+04    0.78526E+00    0.34047E-01   -0.32660E+02
   145    0.40440E+04    0.78014E+00    0.33509E-01   -0.32598E+02
   146    0.40577E+04    0.77461E+00    0.32981E-01   -0.32517E+02
   147    0.40711E+04    0.76890E+00    0.32465E-01   -0.32418E+02
   148    0.40845E+04    0.76287E+00    0.31959E-01   -0.32300E+02
   149    0.40980E+04    0.75661E+00    0.31466E-01   -0.32164E+02
   150    0.41114E+04    0.75020E+00    0.30985E-01   -0.32006E+02
   151    0.41247E+04    0.74356E+00    0.30516E-01   -0.31830E+02
   152    0.41378E+04    0.73662E+00    0.30061E-01   -0.31635E+02
   153    0.41509E+04    0.72955E+00    0.29618E-01   -0.31418E+02
   154    0.41640E+04    0.72234E+00    0.29188E-01   -0.31182E+02
   155    0.41769E+04    0.71500E+00    0.28772E-01   -0.30926E+02
   156    0.41896E+04    0.70753E+00    0.28369E-01   -0.30650E+02
   157    0.42024E+04    0.69994E+00    0.27979E-01   -0.30352E+02
   158    0.42150E+04    0.69231E+00    0.27602E-01   -0.30035E+02
   159    0.42275E+04    0.68449E+00    0.27239E-01   -0.29697E+02
   160    0.42398E+04    0.67663E+00    0.26890E-01   -0.29337E+02
   161    0.42521E+04    0.66881E+00    0.26554E-01   -0.28957E+02
   162    0.42642E+04    0.66090E+00    0.26232E-01   -0.28558E+02
   163    0.42764E+04    0.65296E+00    0.25924E-01   -0.28137E+02
   164    0.42882E+04    0.64508E+00    0.25630E-01   -0.27696E+02
   165    0.43000E+04    0.63718E+00    0.25349E-01   -0.27233E+02
   166    0.43117E+04    0.62942E+00    0.25083E-01   -0.26749E+02
   167    0.43233E+04    0.62158E+00    0.24830E-01   -0.26246E+02
   168    0.43346E+04    0.61403E+00    0.24592E-01   -0.25722E+02
   169    0.43457E+04    0.60649E+00    0.24369E-01   -0.25176E+02
   170    0.43567E+04    0.59918E+00    0.24159E-01   -0.24610E+02
   171    0.43674E+04    0.59210E+00    0.23964E-01   -0.24021E+02
   172    0.43779E+04    0.58518E+00    0.23784E-01   -0.23413E+02
   173    0.43880E+04    0.57843E+00    0.23618E-01   -0.22783E+02
   174    0.43981E+04    0.57215E+00    0.23466E-01   -0.22134E+02
   175    0.44079E+04    0.56605E+00    0.23330E-01   -0.21463E+02
   176    0.44174E+04    0.56035E+00    0.23208E-01   -0.20772E+02
   177    0.44266E+04    0.55498E+00    0.23100E-01   -0.20061E+02
   178    0.44356E+04    0.55016E+00    0.23007E-01   -0.19329E+02
   179    0.44442E+04    0.54560E+00    0.22927E-01   -0.18577E+02
   180    0.44528E+04    0.54153E+00    0.22861E-01   -0.17805E+02
   181    0.44609E+04    0.53793E+00    0.22807E-01   -0.17015E+02
   182    0.44688E+04    0.53490E+00    0.22766E-01   -0.16204E+02
   183    0.44763E+04    0.53235E+00    0.22738E-01   -0.15374E+02
   184    0.44836E+04    0.53036E+00    0.22722E-01   -0.14525E+02
   185    0.44907E+04    0.52908E+00    0.22717E-01   -0.13659E+02
   186    0.44970E+04    0.52838E+00    0.22723E-01   -0.12772E+02
   187    0.45034E+04    0.52838E+00    0.22740E-01   -0.11867E+02
   188    0.45094E+04    0.52909E+00    0.22768E-01   -0.10945E+02
   189    0.45150E+04    0.53053E+00    0.22805E-01   -0.10004E+02
   190    0.45206E+04    0.53276E+00    0.22853E-01   -0.90479E+01
   191    0.45255E+04    0.53581E+00    0.22910E-01   -0.80724E+01
   192    0.45302E+04    0.53969E+00    0.22976E-01   -0.70802E+01
   193    0.45344E+04    0.54446E+00    0.23050E-01   -0.60730E+01
   194    0.45385E+04    0.55014E+00    0.23133E-01   -0.50485E+01
   195    0.45421E+04    0.55677E+00    0.23224E-01   -0.40090E+01
   196    0.45453E+04    0.56439E+00    0.23323E-01   -0.29540E+01
   197    0.45482E+04    0.57305E+00    0.23429E-01   -0.18849E+01
