#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10730E+04   -0.46057E+01    0.29764E-02   -0.46057E+01    0.57821E-01   -0.70790E-05    0.29764E-02   -0.70790E-05    0.11752E-07
     3    0.80172E+03   -0.46624E+01    0.19820E-02   -0.46624E+01    0.91703E-01   -0.61201E-05    0.19820E-02   -0.61201E-05    0.73875E-08
     4    0.68655E+03   -0.42726E+01    0.14386E-02   -0.42726E+01    0.99996E-01   -0.47804E-05    0.14386E-02   -0.47804E-05    0.52302E-08
     5    0.64741E+03   -0.37030E+01    0.10964E-02   -0.37030E+01    0.85969E-01   -0.34614E-05    0.10964E-02   -0.34614E-05    0.39591E-08
     6    0.65118E+03   -0.30915E+01    0.86262E-03   -0.30915E+01    0.61489E-01   -0.23135E-05    0.86262E-03   -0.23135E-05    0.31277E-08
     7    0.68219E+03   -0.25259E+01    0.69518E-03   -0.25259E+01    0.37827E-01   -0.14025E-05    0.69518E-03   -0.14025E-05    0.25464E-08
     8    0.72973E+03   -0.20340E+01    0.57039E-03   -0.20340E+01    0.21030E-01   -0.73809E-06    0.57039E-03   -0.73809E-06    0.21201E-08
     9    0.78769E+03   -0.16143E+01    0.47416E-03   -0.16143E+01    0.11840E-01   -0.29915E-06    0.47416E-03   -0.29915E-06    0.17962E-08
    10    0.85327E+03   -0.12550E+01    0.39801E-03   -0.12550E+01    0.80281E-02   -0.55536E-07    0.39801E-03   -0.55536E-07    0.15430E-08
    11    0.92421E+03   -0.93948E+00    0.33708E-03   -0.93948E+00    0.68609E-02    0.28556E-07    0.33708E-03    0.28556E-07    0.13409E-08
    12    0.99711E+03   -0.64798E+00    0.28777E-03   -0.64798E+00    0.65903E-02    0.46884E-10    0.28777E-03    0.46884E-10    0.11761E-08
    13    0.10714E+04   -0.37293E+00    0.24751E-03   -0.37293E+00    0.64248E-02   -0.88411E-07    0.24751E-03   -0.88411E-07    0.10401E-08
    14    0.11479E+04   -0.11557E+00    0.21416E-03   -0.11557E+00    0.65217E-02   -0.19022E-06    0.21416E-03   -0.19022E-06    0.92618E-09
    15    0.12249E+04    0.10795E+00    0.18629E-03    0.10795E+00    0.69270E-02   -0.28629E-06    0.18629E-03   -0.28629E-06    0.82979E-09
    16    0.13006E+04    0.28058E+00    0.16271E-03    0.28058E+00    0.75787E-02   -0.36539E-06    0.16271E-03   -0.36539E-06    0.74735E-09
    17    0.13754E+04    0.39354E+00    0.14263E-03    0.39354E+00    0.83167E-02   -0.42039E-06    0.14263E-03   -0.42039E-06    0.67636E-09
    18    0.14493E+04    0.44436E+00    0.12538E-03    0.44436E+00    0.88106E-02   -0.44620E-06    0.12538E-03   -0.44620E-06    0.61470E-09
    19    0.15231E+04    0.44085E+00    0.11048E-03    0.44085E+00    0.89951E-02   -0.44201E-06    0.11048E-03   -0.44201E-06    0.56081E-09
    20    0.15949E+04    0.39035E+00    0.97511E-04    0.39035E+00    0.89542E-02   -0.41101E-06    0.97511E-04   -0.41101E-06    0.51337E-09
    21    0.16652E+04    0.30238E+00    0.86212E-04    0.30238E+00    0.88361E-02   -0.36830E-06    0.86212E-04   -0.36830E-06    0.47142E-09
    22    0.17341E+04    0.18733E+00    0.76367E-04    0.18733E+00    0.88727E-02   -0.32898E-06    0.76367E-04   -0.32898E-06    0.43415E-09
    23    0.18012E+04    0.61789E-01    0.67743E-04    0.61789E-01    0.92050E-02   -0.29640E-06    0.67743E-04   -0.29640E-06    0.40090E-09
    24    0.18664E+04   -0.59052E-01    0.60124E-04   -0.59052E-01    0.98934E-02   -0.27046E-06    0.60124E-04   -0.27046E-06    0.37109E-09
    25    0.19294E+04   -0.17188E+00    0.53392E-04   -0.17188E+00    0.10935E-01   -0.24929E-06    0.53392E-04   -0.24929E-06    0.34427E-09
    26    0.19902E+04   -0.27461E+00    0.47451E-04   -0.27461E+00    0.12272E-01   -0.23148E-06    0.47451E-04   -0.23148E-06    0.32007E-09
    27    0.20492E+04   -0.36539E+00    0.42201E-04   -0.36539E+00    0.13851E-01   -0.21945E-06    0.42201E-04   -0.21945E-06    0.29816E-09
    28    0.21064E+04   -0.44281E+00    0.37544E-04   -0.44281E+00    0.15641E-01   -0.21519E-06    0.37544E-04   -0.21519E-06    0.27825E-09
    29    0.21620E+04   -0.51221E+00    0.33396E-04   -0.51221E+00    0.17568E-01   -0.21515E-06    0.33396E-04   -0.21515E-06    0.26012E-09
    30    0.22157E+04   -0.58110E+00    0.29680E-04   -0.58110E+00    0.19576E-01   -0.21466E-06    0.29680E-04   -0.21466E-06    0.24354E-09
    31    0.22673E+04   -0.65261E+00    0.26342E-04   -0.65261E+00    0.21675E-01   -0.21000E-06    0.26342E-04   -0.21000E-06    0.22835E-09
    32    0.23169E+04   -0.72815E+00    0.23335E-04   -0.72815E+00    0.23881E-01   -0.19902E-06    0.23335E-04   -0.19902E-06    0.21443E-09
    33    0.23646E+04   -0.80622E+00    0.20639E-04   -0.80622E+00    0.26206E-01   -0.18484E-06    0.20639E-04   -0.18484E-06    0.20162E-09
