#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10914E+04    0.33833E+01    0.13378E-02    0.33833E+01    0.52221E-01   -0.65411E-05    0.13378E-02   -0.65411E-05    0.83248E-08
     3    0.10225E+04    0.42360E+01    0.94505E-03    0.42360E+01    0.85855E-01   -0.56737E-05    0.94505E-03   -0.56737E-05    0.50565E-08
     4    0.95643E+03    0.43662E+01    0.71444E-03    0.43662E+01    0.97337E-01   -0.44486E-05    0.71444E-03   -0.44486E-05    0.34911E-08
     5    0.90495E+03    0.40640E+01    0.56354E-03    0.40640E+01    0.87276E-01   -0.32238E-05    0.56354E-03   -0.32238E-05    0.25908E-08
     6    0.86737E+03    0.35546E+01    0.45811E-03    0.35546E+01    0.65333E-01   -0.21332E-05    0.45811E-03   -0.21332E-05    0.20139E-08
     7    0.84126E+03    0.29797E+01    0.38109E-03    0.29797E+01    0.42176E-01   -0.12420E-05    0.38109E-03   -0.12420E-05    0.16177E-08
     8    0.82362E+03    0.24282E+01    0.32233E-03    0.24282E+01    0.24563E-01   -0.56925E-06    0.32233E-03   -0.56925E-06    0.13316E-08
     9    0.81243E+03    0.19520E+01    0.27588E-03    0.19520E+01    0.14301E-01   -0.10273E-06    0.27588E-03   -0.10273E-06    0.11173E-08
    10    0.80638E+03    0.15751E+01    0.23857E-03    0.15751E+01    0.98133E-02    0.18292E-06    0.23857E-03    0.18292E-06    0.95169E-09
    11    0.80405E+03    0.13056E+01    0.20860E-03    0.13056E+01    0.83793E-02    0.31684E-06    0.20860E-03    0.31684E-06    0.82100E-09
    12    0.80557E+03    0.11415E+01    0.18427E-03    0.11415E+01    0.78586E-02    0.33251E-06    0.18427E-03    0.33251E-06    0.71550E-09
    13    0.80907E+03    0.10664E+01    0.16418E-03    0.10664E+01    0.71736E-02    0.27362E-06    0.16418E-03    0.27362E-06    0.62925E-09
    14    0.81357E+03    0.10589E+01    0.14719E-03    0.10589E+01    0.63390E-02    0.18215E-06    0.14719E-03    0.18215E-06    0.55755E-09
    15    0.81946E+03    0.10975E+01    0.13264E-03    0.10975E+01    0.56416E-02    0.83649E-07    0.13264E-03    0.83649E-07    0.49735E-09
    16    0.82723E+03    0.11622E+01    0.12007E-03    0.11622E+01    0.53308E-02   -0.34420E-08    0.12007E-03   -0.34420E-08    0.44621E-09
    17    0.83676E+03    0.12362E+01    0.10919E-03    0.12362E+01    0.54554E-02   -0.72565E-07    0.10919E-03   -0.72565E-07    0.40245E-09
    18    0.84701E+03    0.13076E+01    0.99724E-04    0.13076E+01    0.58142E-02   -0.11997E-06    0.99724E-04   -0.11997E-06    0.36465E-09
    19    0.85881E+03    0.13734E+01    0.91411E-04    0.13734E+01    0.62546E-02   -0.14126E-06    0.91411E-04   -0.14126E-06    0.33180E-09
    20    0.87049E+03    0.14299E+01    0.84003E-04    0.14299E+01    0.67191E-02   -0.13481E-06    0.84003E-04   -0.13481E-06    0.30301E-09
    21    0.88244E+03    0.14776E+01    0.77401E-04    0.14776E+01    0.72137E-02   -0.11080E-06    0.77401E-04   -0.11080E-06    0.27767E-09
