#           k/h    P           
    0.10000E-03    0.80771E+03
    0.10202E-03    0.82303E+03
    0.10408E-03    0.83862E+03
    0.10618E-03    0.85449E+03
    0.10833E-03    0.87064E+03
    0.11052E-03    0.88708E+03
    0.11275E-03    0.90382E+03
    0.11503E-03    0.92085E+03
    0.11735E-03    0.93819E+03
    0.11972E-03    0.95583E+03
    0.12214E-03    0.97378E+03
    0.12461E-03    0.99204E+03
    0.12712E-03    0.10106E+04
    0.12969E-03    0.10295E+04
    0.13231E-03    0.10487E+04
    0.13499E-03    0.10683E+04
    0.13771E-03    0.10882E+04
    0.14049E-03    0.11084E+04
    0.14333E-03    0.11290E+04
    0.14623E-03    0.11499E+04
    0.14918E-03    0.11712E+04
    0.15220E-03    0.11928E+04
    0.15527E-03    0.12147E+04
    0.15841E-03    0.12371E+04
    0.16161E-03    0.12598E+04
    0.16487E-03    0.12828E+04
    0.16820E-03    0.13062E+04
    0.17160E-03    0.13300E+04
    0.17507E-03    0.13542E+04
    0.17860E-03    0.13787E+04
    0.18221E-03    0.14036E+04
    0.18589E-03    0.14289E+04
    0.18965E-03    0.14546E+04
    0.19348E-03    0.14806E+04
    0.19739E-03    0.15071E+04
    0.20138E-03    0.15339E+04
    0.20544E-03    0.15611E+04
    0.20959E-03    0.15887E+04
    0.21383E-03    0.16166E+04
    0.21815E-03    0.16450E+04
    0.22255E-03    0.16737E+04
    0.22705E-03    0.17028E+04
    0.23164E-03    0.17323E+04
    0.23632E-03    0.17622E+04
    0.24109E-03    0.17924E+04
    0.24596E-03    0.18230E+04
    0.25093E-03    0.18540E+04
    0.25600E-03    0.18853E+04
    0.26117E-03    0.19170E+04
    0.26645E-03    0.19490E+04
    0.27183E-03    0.19814E+04
    0.27732E-03    0.20141E+04
    0.28292E-03    0.20472E+04
    0.28864E-03    0.20806E+04
    0.29447E-03    0.21142E+04
    0.30042E-03    0.21482E+04
    0.30649E-03    0.21825E+04
    0.31268E-03    0.22171E+04
    0.31899E-03    0.22519E+04
    0.32544E-03    0.22870E+04
    0.33201E-03    0.23224E+04
    0.33872E-03    0.23580E+04
    0.34556E-03    0.23938E+04
    0.35254E-03    0.24298E+04
    0.35966E-03    0.24660E+04
    0.36693E-03    0.25024E+04
    0.37434E-03    0.25389E+04
    0.38190E-03    0.25755E+04
    0.38962E-03    0.26123E+04
    0.39749E-03    0.26492E+04
    0.40552E-03    0.26862E+04
    0.41371E-03    0.27232E+04
    0.42207E-03    0.27603E+04
    0.43060E-03    0.27974E+04
    0.43929E-03    0.28345E+04
    0.44817E-03    0.28716E+04
    0.45722E-03    0.29086E+04
    0.46646E-03    0.29456E+04
    0.47588E-03    0.29825E+04
    0.48550E-03    0.30193E+04
    0.49530E-03    0.30560E+04
    0.50531E-03    0.30926E+04
    0.51552E-03    0.31290E+04
    0.52593E-03    0.31652E+04
    0.53656E-03    0.32013E+04
    0.54739E-03    0.32372E+04
    0.55845E-03    0.32728E+04
    0.56973E-03    0.33082E+04
    0.58124E-03    0.33434E+04
    0.59299E-03    0.33784E+04
    0.60496E-03    0.34131E+04
    0.61719E-03    0.34476E+04
    0.62965E-03    0.34818E+04
    0.64237E-03    0.35158E+04
    0.65535E-03    0.35496E+04
    0.66859E-03    0.35831E+04
    0.68210E-03    0.36164E+04
    0.69588E-03    0.36495E+04
    0.70993E-03    0.36824E+04
    0.72427E-03    0.37152E+04
    0.73891E-03    0.37478E+04
    0.75383E-03    0.37803E+04
    0.76906E-03    0.38127E+04
    0.78460E-03    0.38450E+04
    0.80045E-03    0.38774E+04
    0.81662E-03    0.39098E+04
    0.83311E-03    0.39422E+04
    0.84994E-03    0.39747E+04
    0.86711E-03    0.40074E+04
    0.88463E-03    0.40403E+04
    0.90250E-03    0.40735E+04
    0.92073E-03    0.41069E+04
    0.93933E-03    0.41408E+04
    0.95831E-03    0.41750E+04
    0.97767E-03    0.42096E+04
    0.99742E-03    0.42448E+04
    0.10176E-02    0.42805E+04
    0.10381E-02    0.43168E+04
    0.10591E-02    0.43538E+04
    0.10805E-02    0.43914E+04
    0.11023E-02    0.44298E+04
    0.11246E-02    0.44690E+04
    0.11473E-02    0.45089E+04
    0.11705E-02    0.45497E+04
    0.11941E-02    0.45914E+04
    0.12182E-02    0.46340E+04
    0.12429E-02    0.46775E+04
    0.12680E-02    0.47219E+04
    0.12936E-02    0.47673E+04
    0.13197E-02    0.48138E+04
    0.13464E-02    0.48612E+04
    0.13736E-02    0.49097E+04
    0.14013E-02    0.49592E+04
    0.14296E-02    0.50099E+04
    0.14585E-02    0.50616E+04
    0.14880E-02    0.51144E+04
    0.15180E-02    0.51683E+04
    0.15487E-02    0.52234E+04
    0.15800E-02    0.52797E+04
    0.16119E-02    0.53371E+04
    0.16445E-02    0.53958E+04
    0.16777E-02    0.54557E+04
    0.17116E-02    0.55168E+04
    0.17462E-02    0.55792E+04
    0.17814E-02    0.56429E+04
    0.18174E-02    0.57079E+04
    0.18541E-02    0.57741E+04
    0.18916E-02    0.58417E+04
    0.19298E-02    0.59107E+04
    0.19688E-02    0.59810E+04
    0.20086E-02    0.60526E+04
    0.20491E-02    0.61256E+04
    0.20905E-02    0.62000E+04
    0.21328E-02    0.62758E+04
    0.21758E-02    0.63530E+04
    0.22198E-02    0.64315E+04
    0.22646E-02    0.65116E+04
    0.23104E-02    0.65930E+04
    0.23571E-02    0.66759E+04
    0.24047E-02    0.67602E+04
    0.24533E-02    0.68460E+04
    0.25028E-02    0.69333E+04
    0.25534E-02    0.70220E+04
    0.26050E-02    0.71122E+04
    0.26576E-02    0.72038E+04
    0.27113E-02    0.72969E+04
    0.27660E-02    0.73915E+04
    0.28219E-02    0.74876E+04
    0.28789E-02    0.75851E+04
    0.29371E-02    0.76841E+04
    0.29964E-02    0.77845E+04
    0.30569E-02    0.78864E+04
    0.31187E-02    0.79898E+04
    0.31817E-02    0.80946E+04
    0.32460E-02    0.82008E+04
    0.33115E-02    0.83085E+04
    0.33784E-02    0.84176E+04
    0.34467E-02    0.85280E+04
    0.35163E-02    0.86399E+04
    0.35874E-02    0.87531E+04
    0.36598E-02    0.88676E+04
    0.37338E-02    0.89835E+04
    0.38092E-02    0.91007E+04
    0.38861E-02    0.92191E+04
    0.39646E-02    0.93388E+04
    0.40447E-02    0.94597E+04
    0.41264E-02    0.95818E+04
    0.42098E-02    0.97050E+04
    0.42948E-02    0.98293E+04
    0.43816E-02    0.99547E+04
    0.44701E-02    0.10081E+05
    0.45604E-02    0.10209E+05
    0.46525E-02    0.10337E+05
    0.47465E-02    0.10466E+05
    0.48424E-02    0.10596E+05
    0.49402E-02    0.10727E+05
    0.50400E-02    0.10858E+05
    0.51419E-02    0.10990E+05
    0.52457E-02    0.11123E+05
    0.53517E-02    0.11256E+05
    0.54598E-02    0.11390E+05
    0.55701E-02    0.11524E+05
    0.56826E-02    0.11658E+05
    0.57974E-02    0.11793E+05
    0.59145E-02    0.11927E+05
    0.60340E-02    0.12062E+05
    0.61559E-02    0.12196E+05
    0.62803E-02    0.12331E+05
    0.64072E-02    0.12465E+05
    0.65366E-02    0.12598E+05
    0.66686E-02    0.12732E+05
    0.68033E-02    0.12864E+05
    0.69408E-02    0.12996E+05
    0.70810E-02    0.13127E+05
    0.72240E-02    0.13257E+05
    0.73700E-02    0.13386E+05
    0.75189E-02    0.13513E+05
    0.76708E-02    0.13639E+05
    0.78257E-02    0.13764E+05
    0.79838E-02    0.13887E+05
    0.81451E-02    0.14008E+05
    0.83096E-02    0.14128E+05
    0.84775E-02    0.14245E+05
    0.86488E-02    0.14359E+05
    0.88235E-02    0.14472E+05
    0.90017E-02    0.14582E+05
    0.91836E-02    0.14688E+05
    0.93691E-02    0.14792E+05
    0.95583E-02    0.14893E+05
    0.97514E-02    0.14991E+05
    0.99484E-02    0.15085E+05
    0.10149E-01    0.15175E+05
    0.10354E-01    0.15262E+05
    0.10564E-01    0.15344E+05
    0.10777E-01    0.15422E+05
    0.10995E-01    0.15496E+05
    0.11217E-01    0.15565E+05
    0.11443E-01    0.15629E+05
    0.11675E-01    0.15689E+05
    0.11910E-01    0.15743E+05
    0.12151E-01    0.15792E+05
    0.12397E-01    0.15835E+05
    0.12647E-01    0.15873E+05
    0.12902E-01    0.15905E+05
    0.13163E-01    0.15931E+05
    0.13429E-01    0.15950E+05
    0.13700E-01    0.15963E+05
    0.13977E-01    0.15968E+05
    0.14259E-01    0.15966E+05
    0.14547E-01    0.15958E+05
    0.14841E-01    0.15944E+05
    0.15141E-01    0.15925E+05
    0.15447E-01    0.15901E+05
    0.15759E-01    0.15872E+05
    0.16077E-01    0.15836E+05
    0.16402E-01    0.15791E+05
    0.16734E-01    0.15738E+05
    0.17072E-01    0.15675E+05
    0.17416E-01    0.15603E+05
    0.17768E-01    0.15521E+05
    0.18127E-01    0.15431E+05
    0.18493E-01    0.15334E+05
    0.18867E-01    0.15230E+05
    0.19248E-01    0.15118E+05
    0.19637E-01    0.14999E+05
    0.20034E-01    0.14871E+05
    0.20438E-01    0.14734E+05
    0.20851E-01    0.14588E+05
    0.21272E-01    0.14433E+05
    0.21702E-01    0.14270E+05
    0.22141E-01    0.14100E+05
    0.22588E-01    0.13924E+05
    0.23044E-01    0.13743E+05
    0.23510E-01    0.13557E+05
    0.23985E-01    0.13367E+05
    0.24469E-01    0.13171E+05
    0.24964E-01    0.12972E+05
    0.25468E-01    0.12768E+05
    0.25982E-01    0.12559E+05
