#    L    TT             EE             BB             TE          
     2    0.22174E+05    0.58526E-01    0.87846E-06    0.35159E+02
     3    0.18745E+05    0.96504E-01    0.17573E-05    0.41207E+02
     4    0.16188E+05    0.10967E+00    0.29296E-05    0.40835E+02
     5    0.14217E+05    0.98543E-01    0.43960E-05    0.36452E+02
     6    0.12656E+05    0.73910E-01    0.61570E-05    0.29926E+02
     7    0.11388E+05    0.47805E-01    0.82133E-05    0.22665E+02
     8    0.10341E+05    0.27945E-01    0.10566E-04    0.15676E+02
     9    0.94622E+04    0.16460E-01    0.13215E-04    0.96134E+01
    10    0.87103E+04    0.11587E-01    0.16163E-04    0.48393E+01
    11    0.80570E+04    0.10190E-01    0.19409E-04    0.14604E+01
    12    0.74843E+04    0.97314E-02    0.22956E-04   -0.59389E+00
    13    0.69826E+04    0.89794E-02    0.26805E-04   -0.15324E+01
    14    0.65452E+04    0.78965E-02    0.30956E-04   -0.16004E+01
    15    0.61638E+04    0.68819E-02    0.35411E-04   -0.10706E+01
    16    0.58294E+04    0.63167E-02    0.40172E-04   -0.20791E+00
    17    0.55316E+04    0.62929E-02    0.45239E-04    0.77854E+00
    18    0.52607E+04    0.66138E-02    0.50615E-04    0.17145E+01
    19    0.50154E+04    0.70637E-02    0.56300E-04    0.25040E+01
    20    0.47933E+04    0.75146E-02    0.62295E-04    0.30830E+01
    21    0.45926E+04    0.79416E-02    0.68603E-04    0.34513E+01
    22    0.44108E+04    0.84427E-02    0.75224E-04    0.36300E+01
    23    0.42461E+04    0.91447E-02    0.82159E-04    0.36640E+01
    24    0.40967E+04    0.10126E-01    0.89411E-04    0.36019E+01
    25    0.39611E+04    0.11410E-01    0.96979E-04    0.34832E+01
    26    0.38376E+04    0.12970E-01    0.10486E-03    0.33438E+01
    27    0.37251E+04    0.14781E-01    0.11307E-03    0.32078E+01
    28    0.36219E+04    0.16838E-01    0.12159E-03    0.30944E+01
    29    0.35272E+04    0.19105E-01    0.13044E-03    0.30105E+01
    30    0.34399E+04    0.21554E-01    0.13960E-03    0.29552E+01
    31    0.33597E+04    0.24197E-01    0.14909E-03    0.29153E+01
    32    0.32863E+04    0.27039E-01    0.15890E-03    0.28767E+01
    33    0.32192E+04    0.30082E-01    0.16903E-03    0.28339E+01
    34    0.31576E+04    0.33336E-01    0.17948E-03    0.27852E+01
    35    0.31011E+04    0.36791E-01    0.19026E-03    0.27312E+01
    36    0.30493E+04    0.40452E-01    0.20136E-03    0.26714E+01
    37    0.30014E+04    0.44351E-01    0.21278E-03    0.26031E+01
    38    0.29573E+04    0.48525E-01    0.22452E-03    0.25255E+01
    39    0.29167E+04    0.52962E-01    0.23658E-03    0.24407E+01
    40    0.28793E+04    0.57645E-01    0.24897E-03    0.23509E+01
    41    0.28452E+04    0.62568E-01    0.26167E-03    0.22576E+01
    42    0.28138E+04    0.67745E-01    0.27470E-03    0.21586E+01
    43    0.27852E+04    0.73193E-01    0.28805E-03    0.20510E+01
    44    0.27589E+04    0.78918E-01    0.30171E-03    0.19326E+01
    45    0.27350E+04    0.84932E-01    0.31569E-03    0.18015E+01
    46    0.27132E+04    0.91248E-01    0.32999E-03    0.16540E+01
    47    0.26934E+04    0.97853E-01    0.34460E-03    0.14903E+01
    48    0.26753E+04    0.10474E+00    0.35953E-03    0.13141E+01
    49    0.26590E+04    0.11186E+00    0.37477E-03    0.11285E+01
    50    0.26446E+04    0.11919E+00    0.39032E-03    0.92993E+00
    51    0.26319E+04    0.12668E+00    0.40619E-03    0.71371E+00
    52    0.26209E+04    0.13443E+00    0.42237E-03    0.47745E+00
    53    0.26112E+04    0.14260E+00    0.43885E-03    0.22105E+00
    54    0.26025E+04    0.15121E+00    0.45565E-03   -0.47591E-01
    55    0.25951E+04    0.16023E+00    0.47275E-03   -0.32047E+00
    56    0.25890E+04    0.16954E+00    0.49016E-03   -0.59676E+00
    57    0.25841E+04    0.17903E+00    0.50787E-03   -0.87799E+00
    58    0.25804E+04    0.18868E+00    0.52589E-03   -0.11675E+01
