#    L    TT             EE             TE             PP             TP          
     2    0.27799E+06    0.84167E-01    0.14958E+03    0.15923E+06   -0.22108E+06
     3    0.22732E+06    0.13984E+00    0.17332E+03    0.25580E+06   -0.25327E+06
     4    0.19283E+06    0.16087E+00    0.17066E+03    0.34542E+06   -0.27044E+06
     5    0.16757E+06    0.14692E+00    0.15172E+03    0.42735E+06   -0.28005E+06
     6    0.14819E+06    0.11232E+00    0.12409E+03    0.50184E+06   -0.28540E+06
     7    0.13281E+06    0.74005E-01    0.93471E+02    0.56960E+06   -0.28823E+06
     8    0.12026E+06    0.43568E-01    0.63962E+02    0.63132E+06   -0.28932E+06
     9    0.10979E+06    0.24999E-01    0.38248E+02    0.68767E+06   -0.28914E+06
    10    0.10084E+06    0.16545E-01    0.17817E+02    0.73910E+06   -0.28797E+06
    11    0.93081E+05    0.13981E-01    0.31292E+01    0.78629E+06   -0.28622E+06
    12    0.86332E+05    0.13414E-01   -0.60679E+01    0.82944E+06   -0.28412E+06
    13    0.80470E+05    0.12775E-01   -0.10583E+02    0.86890E+06   -0.28177E+06
    14    0.75375E+05    0.11491E-01   -0.11378E+02    0.90510E+06   -0.27927E+06
    15    0.70891E+05    0.10047E-01   -0.95658E+01    0.93829E+06   -0.27660E+06
    16    0.66864E+05    0.90456E-02   -0.62367E+01    0.96869E+06   -0.27374E+06
    17    0.63213E+05    0.87372E-02   -0.22470E+01    0.99658E+06   -0.27073E+06
    18    0.59879E+05    0.90157E-02    0.16797E+01    0.10222E+07   -0.26761E+06
    19    0.56829E+05    0.95590E-02    0.51070E+01    0.10456E+07   -0.26442E+06
    20    0.54037E+05    0.10093E-01    0.77296E+01    0.10669E+07   -0.26117E+06
    21    0.51476E+05    0.10487E-01    0.94947E+01    0.10864E+07   -0.25790E+06
    22    0.49121E+05    0.10768E-01    0.10441E+02    0.11042E+07   -0.25463E+06
    23    0.46948E+05    0.11099E-01    0.10723E+02    0.11204E+07   -0.25137E+06
    24    0.44939E+05    0.11622E-01    0.10522E+02    0.11351E+07   -0.24811E+06
    25    0.43077E+05    0.12446E-01    0.99900E+01    0.11485E+07   -0.24487E+06
    26    0.41348E+05    0.13619E-01    0.92693E+01    0.11605E+07   -0.24165E+06
    27    0.39737E+05    0.15135E-01    0.84766E+01    0.11714E+07   -0.23846E+06
    28    0.38232E+05    0.16990E-01    0.77131E+01    0.11812E+07   -0.23530E+06
    29    0.36821E+05    0.19130E-01    0.70374E+01    0.11899E+07   -0.23215E+06
    30    0.35495E+05    0.21505E-01    0.64815E+01    0.11975E+07   -0.22901E+06
    31    0.34249E+05    0.24111E-01    0.60178E+01    0.12042E+07   -0.22591E+06
    32    0.33078E+05    0.26942E-01    0.56094E+01    0.12101E+07   -0.22286E+06
    33    0.31976E+05    0.29998E-01    0.52418E+01    0.12151E+07   -0.21986E+06
    34    0.30936E+05    0.33283E-01    0.49120E+01    0.12194E+07   -0.21688E+06
    35    0.29954E+05    0.36786E-01    0.46386E+01    0.12230E+07   -0.21394E+06
    36    0.29024E+05    0.40504E-01    0.44366E+01    0.12259E+07   -0.21104E+06
    37    0.28143E+05    0.44462E-01    0.42874E+01    0.12282E+07   -0.20816E+06
    38    0.27305E+05    0.48684E-01    0.41696E+01    0.12300E+07   -0.20534E+06
    39    0.26510E+05    0.53161E-01    0.40733E+01    0.12311E+07   -0.20255E+06
    40    0.25754E+05    0.57879E-01    0.39912E+01    0.12318E+07   -0.19980E+06
    41    0.25034E+05    0.62830E-01    0.39156E+01    0.12319E+07   -0.19710E+06
    42    0.24349E+05    0.68027E-01    0.38377E+01    0.12316E+07   -0.19443E+06
    43    0.23696E+05    0.73484E-01    0.37486E+01    0.12308E+07   -0.19180E+06
    44    0.23073E+05    0.79201E-01    0.36400E+01    0.12296E+07   -0.18921E+06
