#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.30728E+04    0.62438E-01    0.21956E-01    0.10196E+02    0.45816E-07   -0.39438E-03   -0.14635E-04
     3    0.26558E+04    0.98235E-01    0.25835E-01    0.11326E+02    0.55605E-07   -0.21336E-03   -0.17981E-04
     4    0.23578E+04    0.11046E+00    0.25861E-01    0.10973E+02    0.63943E-07   -0.16038E-03   -0.18194E-04
     5    0.21329E+04    0.99785E-01    0.23163E-01    0.96494E+01    0.71147E-07   -0.16123E-03   -0.16118E-04
     6    0.19614E+04    0.76365E-01    0.19100E-01    0.78465E+01    0.77401E-07   -0.18503E-03   -0.12576E-04
     7    0.18293E+04    0.51303E-01    0.14821E-01    0.59242E+01    0.82874E-07   -0.21767E-03   -0.84015E-05
     8    0.17268E+04    0.31755E-01    0.11070E-01    0.41320E+01    0.87689E-07   -0.25603E-03   -0.42978E-05
     9    0.16472E+04    0.19821E-01    0.81934E-02    0.26262E+01    0.91946E-07   -0.29945E-03   -0.76282E-06
    10    0.15851E+04    0.14131E-01    0.62499E-02    0.14863E+01    0.95709E-07   -0.34336E-03    0.18720E-05
    11    0.15356E+04    0.12059E-01    0.51420E-02    0.72372E+00    0.99065E-07   -0.38249E-03    0.34091E-05
    12    0.14955E+04    0.11450E-01    0.47048E-02    0.30957E+00    0.10204E-06   -0.41532E-03    0.38105E-05
    13    0.14623E+04    0.11112E-01    0.47584E-02    0.17699E+00    0.10466E-06   -0.44396E-03    0.33540E-05
    14    0.14353E+04    0.10929E-01    0.51362E-02    0.24875E+00    0.10700E-06   -0.47060E-03    0.23690E-05
    15    0.14148E+04    0.11048E-01    0.57270E-02    0.44595E+00    0.10907E-06   -0.49548E-03    0.11393E-05
    16    0.14010E+04    0.11601E-01    0.64437E-02    0.69500E+00    0.11090E-06   -0.51831E-03   -0.92270E-07
    17    0.13921E+04    0.12601E-01    0.72389E-02    0.94194E+00    0.11251E-06   -0.53855E-03   -0.11875E-05
    18    0.13856E+04    0.13837E-01    0.80802E-02    0.11458E+01    0.11394E-06   -0.55598E-03   -0.20260E-05
    19    0.13821E+04    0.15181E-01    0.89551E-02    0.12910E+01    0.11518E-06   -0.57168E-03   -0.24545E-05
    20    0.13800E+04    0.16606E-01    0.98571E-02    0.13691E+01    0.11626E-06   -0.58670E-03   -0.23766E-05
    21    0.13798E+04    0.18122E-01    0.10783E-01    0.13875E+01    0.11719E-06   -0.60050E-03   -0.19520E-05
    22    0.13813E+04    0.19838E-01    0.11732E-01    0.13584E+01    0.11798E-06   -0.61242E-03   -0.13898E-05
    23    0.13842E+04    0.21831E-01    0.12702E-01    0.13005E+01    0.11866E-06   -0.62280E-03   -0.84907E-06
    24    0.13884E+04    0.24120E-01    0.13690E-01    0.12324E+01    0.11921E-06   -0.63213E-03   -0.44269E-06
    25    0.13937E+04    0.26689E-01    0.14693E-01    0.11649E+01    0.11967E-06   -0.64044E-03   -0.15117E-06
    26    0.13998E+04    0.29482E-01    0.15709E-01    0.11074E+01    0.12003E-06   -0.64765E-03    0.56491E-07
    27    0.14067E+04    0.32479E-01    0.16738E-01    0.10631E+01    0.12030E-06   -0.65358E-03    0.12737E-06
    28    0.14143E+04    0.35696E-01    0.17780E-01    0.10337E+01    0.12050E-06   -0.65810E-03    0.62108E-08
    29    0.14225E+04    0.39123E-01    0.18836E-01    0.10155E+01    0.12061E-06   -0.66131E-03   -0.28928E-06
    30    0.14311E+04    0.42763E-01    0.19904E-01    0.10014E+01    0.12065E-06   -0.66341E-03   -0.70333E-06
    31    0.14401E+04    0.46622E-01    0.20981E-01    0.98373E+00    0.12063E-06   -0.66489E-03   -0.10999E-05
    32    0.14497E+04    0.50696E-01    0.22067E-01    0.95567E+00    0.12054E-06   -0.66610E-03   -0.13510E-05
    33    0.14598E+04    0.54969E-01    0.23161E-01    0.91498E+00    0.12041E-06   -0.66677E-03   -0.14392E-05
    34    0.14702E+04    0.59436E-01    0.24261E-01    0.86112E+00    0.12022E-06   -0.66659E-03   -0.13888E-05
    35    0.14809E+04    0.64099E-01    0.25364E-01    0.79280E+00    0.11999E-06   -0.66569E-03   -0.12818E-05
    36    0.14919E+04    0.68975E-01    0.26468E-01    0.70811E+00    0.11971E-06   -0.66437E-03   -0.11917E-05
    37    0.15030E+04    0.74111E-01    0.27575E-01    0.60722E+00    0.11940E-06   -0.66291E-03   -0.11031E-05
    38    0.15146E+04    0.79551E-01    0.28688E-01    0.49296E+00    0.11905E-06   -0.66151E-03   -0.98781E-06
    39    0.15265E+04    0.85280E-01    0.29802E-01    0.36806E+00    0.11867E-06   -0.65994E-03   -0.85446E-06
    40    0.15386E+04    0.91275E-01    0.30915E-01    0.23502E+00    0.11825E-06   -0.65789E-03   -0.72093E-06
    41    0.15509E+04    0.97522E-01    0.32024E-01    0.95485E-01    0.11780E-06   -0.65511E-03   -0.60222E-06
    42    0.15633E+04    0.10403E+00    0.33126E-01   -0.51390E-01    0.11733E-06   -0.65167E-03   -0.50215E-06
