#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.202760E+08   0.202760E+08   0.270206E+08   0.270202E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202828E+08  -0.392788E+00   0.102118E+08   0.102118E+08   0.610958E+01
   0.112819E-04   0.202760E+08   0.202760E+08   0.270175E+08   0.270170E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202828E+08  -0.392788E+00   0.102118E+08   0.102118E+08   0.675238E+01
   0.124693E-04   0.202760E+08   0.202760E+08   0.270137E+08   0.270131E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202828E+08  -0.392788E+00   0.102118E+08   0.102118E+08   0.746276E+01
   0.137816E-04   0.202760E+08   0.202760E+08   0.270090E+08   0.270083E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202828E+08  -0.392788E+00   0.102118E+08   0.102118E+08   0.824781E+01
   0.152321E-04   0.202760E+08   0.202760E+08   0.270034E+08   0.270024E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202828E+08  -0.392788E+00   0.102118E+08   0.102118E+08   0.911535E+01
   0.168352E-04   0.202760E+08   0.202760E+08   0.269964E+08   0.269953E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202827E+08  -0.392787E+00   0.102118E+08   0.102118E+08   0.100740E+02
   0.186070E-04   0.202760E+08   0.202760E+08   0.269879E+08   0.269865E+08   0.202761E+08   0.202760E+08   0.202760E+08   0.202827E+08  -0.392787E+00   0.102118E+08   0.102118E+08   0.111333E+02
   0.205653E-04   0.202760E+08   0.202760E+08   0.269776E+08   0.269759E+08   0.202760E+08   0.202760E+08   0.202760E+08   0.202827E+08  -0.392787E+00   0.102118E+08   0.102118E+08   0.123038E+02
   0.227297E-04   0.202759E+08   0.202759E+08   0.269649E+08   0.269628E+08   0.202760E+08   0.202759E+08   0.202759E+08   0.202827E+08  -0.392786E+00   0.102118E+08   0.102118E+08   0.135971E+02
   0.251219E-04   0.202759E+08   0.202759E+08   0.269494E+08   0.269469E+08   0.202760E+08   0.202759E+08   0.202759E+08   0.202826E+08  -0.392785E+00   0.102117E+08   0.102117E+08   0.150259E+02
   0.277659E-04   0.202759E+08   0.202759E+08   0.269306E+08   0.269275E+08   0.202760E+08   0.202759E+08   0.202759E+08   0.202826E+08  -0.392785E+00   0.102117E+08   0.102117E+08   0.166042E+02
   0.306881E-04   0.202758E+08   0.202758E+08   0.269076E+08   0.269038E+08   0.202759E+08   0.202758E+08   0.202758E+08   0.202826E+08  -0.392784E+00   0.102117E+08   0.102117E+08   0.183476E+02
   0.339179E-04   0.202758E+08   0.202758E+08   0.268795E+08   0.268749E+08   0.202759E+08   0.202758E+08   0.202758E+08   0.202825E+08  -0.392782E+00   0.102117E+08   0.102117E+08   0.202731E+02
   0.374876E-04   0.202757E+08   0.202757E+08   0.268452E+08   0.268396E+08   0.202758E+08   0.202757E+08   0.202757E+08   0.202824E+08  -0.392781E+00   0.102116E+08   0.102116E+08   0.223992E+02
   0.414330E-04   0.202757E+08   0.202756E+08   0.268033E+08   0.267965E+08   0.202757E+08   0.202757E+08   0.202757E+08   0.202824E+08  -0.392779E+00   0.102116E+08   0.102116E+08   0.247465E+02
   0.457936E-04   0.202756E+08   0.202756E+08   0.267523E+08   0.267440E+08   0.202757E+08   0.202756E+08   0.202756E+08   0.202823E+08  -0.392777E+00   0.102116E+08   0.102116E+08   0.273374E+02
   0.506132E-04   0.202755E+08   0.202754E+08   0.266901E+08   0.266800E+08   0.202756E+08   0.202755E+08   0.202755E+08   0.202821E+08  -0.392774E+00   0.102115E+08   0.102115E+08   0.301961E+02
   0.559400E-04   0.202753E+08   0.202753E+08   0.266143E+08   0.266020E+08   0.202754E+08   0.202753E+08   0.202753E+08   0.202820E+08  -0.392771E+00   0.102114E+08   0.102114E+08   0.333493E+02
   0.618274E-04   0.202752E+08   0.202752E+08   0.265219E+08   0.265070E+08   0.202753E+08   0.202752E+08   0.202752E+08   0.202818E+08  -0.392767E+00   0.102114E+08   0.102114E+08   0.368257E+02
   0.683345E-04   0.202750E+08   0.202750E+08   0.264095E+08   0.263913E+08   0.202751E+08   0.202750E+08   0.202750E+08   0.202816E+08  -0.392762E+00   0.102113E+08   0.102113E+08   0.406563E+02
   0.755264E-04   0.202747E+08   0.202747E+08   0.262728E+08   0.262506E+08   0.202748E+08   0.202747E+08   0.202747E+08   0.202813E+08  -0.392756E+00   0.102111E+08   0.102111E+08   0.448744E+02
   0.834752E-04   0.202745E+08   0.202744E+08   0.261067E+08   0.260797E+08   0.202745E+08   0.202745E+08   0.202745E+08   0.202810E+08  -0.392749E+00   0.102110E+08   0.102110E+08   0.495154E+02
   0.922605E-04   0.202741E+08   0.202741E+08   0.259050E+08   0.258723E+08   0.202742E+08   0.202741E+08   0.202741E+08   0.202806E+08  -0.392741E+00   0.102108E+08   0.102108E+08   0.546164E+02
   0.101971E-03   0.202737E+08   0.202736E+08   0.256607E+08   0.256210E+08   0.202737E+08   0.202737E+08   0.202737E+08   0.202801E+08  -0.392730E+00   0.102106E+08   0.102106E+08   0.602161E+02
   0.112702E-03   0.202732E+08   0.202731E+08   0.253650E+08   0.253170E+08   0.202732E+08   0.202732E+08   0.202731E+08   0.202795E+08  -0.392717E+00   0.102103E+08   0.102103E+08   0.663540E+02
   0.124564E-03   0.202725E+08   0.202724E+08   0.250081E+08   0.249501E+08   0.202726E+08   0.202725E+08   0.202725E+08   0.202788E+08  -0.392701E+00   0.102100E+08   0.102100E+08   0.730693E+02
   0.137674E-03   0.202717E+08   0.202716E+08   0.245784E+08   0.245085E+08   0.202718E+08   0.202717E+08   0.202717E+08   0.202779E+08  -0.392682E+00   0.102096E+08   0.102096E+08   0.803996E+02
