#           k/h    P           
    0.10000E-03    0.61698E+03
    0.10202E-03    0.62893E+03
    0.10408E-03    0.64112E+03
    0.10618E-03    0.65354E+03
    0.10833E-03    0.66620E+03
    0.11052E-03    0.67911E+03
    0.11275E-03    0.69227E+03
    0.11503E-03    0.70568E+03
    0.11735E-03    0.71935E+03
    0.11972E-03    0.73329E+03
    0.12214E-03    0.74749E+03
    0.12461E-03    0.76197E+03
    0.12712E-03    0.77673E+03
    0.12969E-03    0.79178E+03
    0.13231E-03    0.80711E+03
    0.13499E-03    0.82275E+03
    0.13771E-03    0.83868E+03
    0.14049E-03    0.85492E+03
    0.14333E-03    0.87148E+03
    0.14623E-03    0.88836E+03
    0.14918E-03    0.90556E+03
    0.15220E-03    0.92310E+03
    0.15527E-03    0.94097E+03
    0.15841E-03    0.95919E+03
    0.16161E-03    0.97777E+03
    0.16487E-03    0.99670E+03
    0.16820E-03    0.10160E+04
    0.17160E-03    0.10357E+04
    0.17507E-03    0.10557E+04
    0.17860E-03    0.10761E+04
    0.18221E-03    0.10970E+04
    0.18589E-03    0.11182E+04
    0.18965E-03    0.11398E+04
    0.19348E-03    0.11619E+04
    0.19739E-03    0.11844E+04
    0.20138E-03    0.12073E+04
    0.20544E-03    0.12307E+04
    0.20959E-03    0.12545E+04
    0.21383E-03    0.12787E+04
    0.21815E-03    0.13035E+04
    0.22255E-03    0.13287E+04
    0.22705E-03    0.13544E+04
    0.23164E-03    0.13806E+04
    0.23632E-03    0.14073E+04
    0.24109E-03    0.14345E+04
    0.24596E-03    0.14622E+04
    0.25093E-03    0.14905E+04
    0.25600E-03    0.15193E+04
    0.26117E-03    0.15486E+04
    0.26645E-03    0.15786E+04
    0.27183E-03    0.16091E+04
    0.27732E-03    0.16402E+04
    0.28292E-03    0.16718E+04
    0.28864E-03    0.17041E+04
    0.29447E-03    0.17370E+04
    0.30042E-03    0.17706E+04
    0.30649E-03    0.18047E+04
    0.31268E-03    0.18396E+04
    0.31899E-03    0.18751E+04
    0.32544E-03    0.19113E+04
    0.33201E-03    0.19481E+04
    0.33872E-03    0.19857E+04
    0.34556E-03    0.20240E+04
    0.35254E-03    0.20630E+04
    0.35966E-03    0.21028E+04
    0.36693E-03    0.21433E+04
    0.37434E-03    0.21846E+04
    0.38190E-03    0.22267E+04
    0.38962E-03    0.22695E+04
    0.39749E-03    0.23132E+04
    0.40552E-03    0.23578E+04
    0.41371E-03    0.24031E+04
    0.42207E-03    0.24494E+04
    0.43060E-03    0.24965E+04
    0.43929E-03    0.25445E+04
    0.44817E-03    0.25934E+04
    0.45722E-03    0.26432E+04
    0.46646E-03    0.26940E+04
    0.47588E-03    0.27457E+04
    0.48550E-03    0.27984E+04
    0.49530E-03    0.28521E+04
    0.50531E-03    0.29068E+04
    0.51552E-03    0.29625E+04
    0.52593E-03    0.30193E+04
    0.53656E-03    0.30771E+04
    0.54739E-03    0.31360E+04
    0.55845E-03    0.31961E+04
    0.56973E-03    0.32572E+04
    0.58124E-03    0.33195E+04
    0.59299E-03    0.33829E+04
    0.60496E-03    0.34476E+04
    0.61719E-03    0.35134E+04
    0.62965E-03    0.35804E+04
    0.64237E-03    0.36487E+04
    0.65535E-03    0.37183E+04
    0.66859E-03    0.37891E+04
    0.68210E-03    0.38613E+04
    0.69588E-03    0.39347E+04
    0.70993E-03    0.40096E+04
    0.72427E-03    0.40858E+04
    0.73891E-03    0.41633E+04
    0.75383E-03    0.42424E+04
    0.76906E-03    0.43228E+04
    0.78460E-03    0.44047E+04
    0.80045E-03    0.44881E+04
    0.81662E-03    0.45731E+04
    0.83311E-03    0.46595E+04
    0.84994E-03    0.47475E+04
    0.86711E-03    0.48372E+04
    0.88463E-03    0.49284E+04
    0.90250E-03    0.50212E+04
    0.92073E-03    0.51158E+04
    0.93933E-03    0.52120E+04
    0.95831E-03    0.53099E+04
    0.97767E-03    0.54096E+04
    0.99742E-03    0.55110E+04
    0.10176E-02    0.56142E+04
    0.10381E-02    0.57193E+04
    0.10591E-02    0.58262E+04
    0.10805E-02    0.59350E+04
    0.11023E-02    0.60456E+04
    0.11246E-02    0.61582E+04
    0.11473E-02    0.62728E+04
    0.11705E-02    0.63893E+04
    0.11941E-02    0.65079E+04
    0.12182E-02    0.66285E+04
    0.12429E-02    0.67511E+04
    0.12680E-02    0.68759E+04
    0.12936E-02    0.70027E+04
    0.13197E-02    0.71318E+04
    0.13464E-02    0.72629E+04
    0.13736E-02    0.73963E+04
    0.14013E-02    0.75320E+04
    0.14296E-02    0.76698E+04
    0.14585E-02    0.78100E+04
    0.14880E-02    0.79525E+04
    0.15180E-02    0.80973E+04
    0.15487E-02    0.82445E+04
    0.15800E-02    0.83940E+04
    0.16119E-02    0.85460E+04
    0.16445E-02    0.87004E+04
    0.16777E-02    0.88573E+04
    0.17116E-02    0.90167E+04
    0.17462E-02    0.91785E+04
    0.17814E-02    0.93430E+04
    0.18174E-02    0.95099E+04
    0.18541E-02    0.96795E+04
    0.18916E-02    0.98517E+04
    0.19298E-02    0.10026E+05
    0.19688E-02    0.10204E+05
    0.20086E-02    0.10384E+05
    0.20491E-02    0.10567E+05
    0.20905E-02    0.10752E+05
    0.21328E-02    0.10940E+05
    0.21758E-02    0.11131E+05
    0.22198E-02    0.11325E+05
    0.22646E-02    0.11521E+05
    0.23104E-02    0.11721E+05
    0.23571E-02    0.11922E+05
    0.24047E-02    0.12127E+05
    0.24533E-02    0.12335E+05
    0.25028E-02    0.12545E+05
    0.25534E-02    0.12758E+05
    0.26050E-02    0.12974E+05
    0.26576E-02    0.13193E+05
    0.27113E-02    0.13414E+05
    0.27660E-02    0.13639E+05
    0.28219E-02    0.13866E+05
    0.28789E-02    0.14096E+05
    0.29371E-02    0.14329E+05
    0.29964E-02    0.14564E+05
    0.30569E-02    0.14802E+05
    0.31187E-02    0.15043E+05
    0.31817E-02    0.15287E+05
    0.32460E-02    0.15533E+05
    0.33115E-02    0.15782E+05
    0.33784E-02    0.16034E+05
    0.34467E-02    0.16288E+05
    0.35163E-02    0.16545E+05
    0.35874E-02    0.16804E+05
    0.36598E-02    0.17066E+05
    0.37338E-02    0.17330E+05
    0.38092E-02    0.17597E+05
    0.38861E-02    0.17865E+05
    0.39646E-02    0.18137E+05
    0.40447E-02    0.18410E+05
    0.41264E-02    0.18685E+05
    0.42098E-02    0.18963E+05
    0.42948E-02    0.19242E+05
    0.43816E-02    0.19524E+05
    0.44701E-02    0.19807E+05
    0.45604E-02    0.20092E+05
    0.46525E-02    0.20378E+05
    0.47465E-02    0.20666E+05
    0.48424E-02    0.20955E+05
    0.49402E-02    0.21246E+05
    0.50400E-02    0.21538E+05
    0.51419E-02    0.21830E+05
    0.52457E-02    0.22124E+05
    0.53517E-02    0.22418E+05
    0.54598E-02    0.22713E+05
    0.55701E-02    0.23008E+05
    0.56826E-02    0.23304E+05
    0.57974E-02    0.23600E+05
    0.59145E-02    0.23895E+05
    0.60340E-02    0.24190E+05
    0.61559E-02    0.24485E+05
    0.62803E-02    0.24779E+05
    0.64072E-02    0.25073E+05
    0.65366E-02    0.25365E+05
    0.66686E-02    0.25655E+05
    0.68033E-02    0.25945E+05
    0.69408E-02    0.26232E+05
    0.70810E-02    0.26518E+05
    0.72240E-02    0.26801E+05
    0.73700E-02    0.27081E+05
    0.75189E-02    0.27359E+05
    0.76708E-02    0.27633E+05
    0.78257E-02    0.27904E+05
    0.79838E-02    0.28172E+05
    0.81451E-02    0.28435E+05
    0.83096E-02    0.28694E+05
    0.84775E-02    0.28948E+05
    0.86488E-02    0.29198E+05
    0.88235E-02    0.29442E+05
    0.90017E-02    0.29680E+05
    0.91836E-02    0.29912E+05
    0.93691E-02    0.30138E+05
    0.95583E-02    0.30358E+05
    0.97514E-02    0.30570E+05
    0.99484E-02    0.30775E+05
    0.10149E-01    0.30972E+05
    0.10354E-01    0.31161E+05
    0.10564E-01    0.31341E+05
    0.10777E-01    0.31512E+05
    0.10995E-01    0.31674E+05
    0.11217E-01    0.31826E+05
    0.11443E-01    0.31968E+05
    0.11675E-01    0.32099E+05
    0.11910E-01    0.32220E+05
    0.12151E-01    0.32330E+05
    0.12397E-01    0.32428E+05
    0.12647E-01    0.32515E+05
    0.12902E-01    0.32589E+05
    0.13163E-01    0.32650E+05
    0.13429E-01    0.32698E+05
    0.13700E-01    0.32731E+05
    0.13977E-01    0.32749E+05
    0.14259E-01    0.32753E+05
    0.14547E-01    0.32744E+05
    0.14841E-01    0.32722E+05
    0.15141E-01    0.32689E+05
    0.15447E-01    0.32647E+05
    0.15759E-01    0.32592E+05
    0.16077E-01    0.32524E+05
    0.16402E-01    0.32439E+05
    0.16734E-01    0.32335E+05
    0.17072E-01    0.32211E+05
    0.17416E-01    0.32067E+05
    0.17768E-01    0.31904E+05
    0.18127E-01    0.31725E+05
    0.18493E-01    0.31529E+05
    0.18867E-01    0.31319E+05
    0.19248E-01    0.31095E+05
    0.19637E-01    0.30853E+05
    0.20034E-01    0.30594E+05
    0.20438E-01    0.30317E+05
    0.20851E-01    0.30020E+05
    0.21272E-01    0.29704E+05
    0.21702E-01    0.29372E+05
    0.22141E-01    0.29026E+05
    0.22588E-01    0.28667E+05
    0.23044E-01    0.28298E+05
    0.23510E-01    0.27918E+05
    0.23985E-01    0.27528E+05
    0.24469E-01    0.27128E+05
    0.24964E-01    0.26720E+05
    0.25468E-01    0.26302E+05
    0.25982E-01    0.25876E+05
    0.26507E-01    0.25441E+05
    0.27043E-01    0.24998E+05
    0.27589E-01    0.24546E+05
    0.28146E-01    0.24088E+05
    0.28715E-01    0.23622E+05
    0.29295E-01    0.23151E+05
    0.29887E-01    0.22677E+05
    0.30490E-01    0.22200E+05
    0.31106E-01    0.21722E+05
    0.31735E-01    0.21243E+05
    0.32376E-01    0.20766E+05
    0.33030E-01    0.20291E+05
    0.33697E-01    0.19820E+05
