#    L    TT             EE             BB             TE          
     2    0.39613E+03    0.14412E-01    0.22594E-01    0.80562E-01
     3    0.35415E+03    0.19023E-01    0.26663E-01   -0.47763E+00
     4    0.34572E+03    0.20574E-01    0.26633E-01   -0.66104E+00
     5    0.34302E+03    0.19200E-01    0.23743E-01   -0.68346E+00
     6    0.34237E+03    0.16043E-01    0.19456E-01   -0.62986E+00
     7    0.34285E+03    0.12313E-01    0.14985E-01   -0.54843E+00
     8    0.34395E+03    0.89489E-02    0.11100E-01   -0.46670E+00
     9    0.34550E+03    0.64331E-02    0.81493E-02   -0.39815E+00
    10    0.34725E+03    0.48911E-02    0.61780E-02   -0.34432E+00
    11    0.34892E+03    0.42043E-02    0.50716E-02   -0.30734E+00
    12    0.34999E+03    0.41467E-02    0.46503E-02   -0.28591E+00
    13    0.35075E+03    0.45071E-02    0.47251E-02   -0.27774E+00
    14    0.35164E+03    0.51024E-02    0.51222E-02   -0.28062E+00
    15    0.35279E+03    0.58300E-02    0.57285E-02   -0.29264E+00
    16    0.35416E+03    0.66198E-02    0.64562E-02   -0.31205E+00
    17    0.35542E+03    0.74508E-02    0.72585E-02   -0.33762E+00
    18    0.35626E+03    0.83163E-02    0.81041E-02   -0.36822E+00
    19    0.35664E+03    0.92172E-02    0.89813E-02   -0.40257E+00
    20    0.35665E+03    0.10156E-01    0.98844E-02   -0.43964E+00
    21    0.35635E+03    0.11131E-01    0.10811E-01   -0.47960E+00
    22    0.35584E+03    0.12141E-01    0.11759E-01   -0.52272E+00
    23    0.35510E+03    0.13180E-01    0.12726E-01   -0.56860E+00
    24    0.35415E+03    0.14241E-01    0.13712E-01   -0.61671E+00
    25    0.35300E+03    0.15323E-01    0.14713E-01   -0.66677E+00
    26    0.35169E+03    0.16427E-01    0.15725E-01   -0.71848E+00
    27    0.35020E+03    0.17548E-01    0.16750E-01   -0.77130E+00
    28    0.34855E+03    0.18682E-01    0.17790E-01   -0.82487E+00
    29    0.34673E+03    0.19841E-01    0.18843E-01   -0.87972E+00
    30    0.34476E+03    0.21034E-01    0.19907E-01   -0.93637E+00
    31    0.34264E+03    0.22259E-01    0.20983E-01   -0.99437E+00
    32    0.34040E+03    0.23510E-01    0.22067E-01   -0.10531E+01
    33    0.33801E+03    0.24772E-01    0.23158E-01   -0.11123E+01
    34    0.33549E+03    0.26037E-01    0.24257E-01   -0.11717E+01
    35    0.33285E+03    0.27311E-01    0.25360E-01   -0.12313E+01
    36    0.33010E+03    0.28602E-01    0.26464E-01   -0.12910E+01
    37    0.32724E+03    0.29913E-01    0.27571E-01   -0.13506E+01
    38    0.32427E+03    0.31245E-01    0.28683E-01   -0.14100E+01
    39    0.32119E+03    0.32592E-01    0.29798E-01   -0.14689E+01
    40    0.31801E+03    0.33951E-01    0.30912E-01   -0.15274E+01
    41    0.31473E+03    0.35317E-01    0.32021E-01   -0.15854E+01
    42    0.31137E+03    0.36690E-01    0.33124E-01   -0.16428E+01
    43    0.30792E+03    0.38069E-01    0.34220E-01   -0.16994E+01
    44    0.30439E+03    0.39452E-01    0.35308E-01   -0.17553E+01
    45    0.30078E+03    0.40840E-01    0.36387E-01   -0.18102E+01
    46    0.29710E+03    0.42232E-01    0.37457E-01   -0.18642E+01
    47    0.29334E+03    0.43625E-01    0.38515E-01   -0.19171E+01
    48    0.28952E+03    0.45020E-01    0.39559E-01   -0.19688E+01
    49    0.28563E+03    0.46415E-01    0.40590E-01   -0.20191E+01
    50    0.28169E+03    0.47808E-01    0.41603E-01   -0.20680E+01
    51    0.27769E+03    0.49199E-01    0.42600E-01   -0.21154E+01
    52    0.27364E+03    0.50585E-01    0.43577E-01   -0.21612E+01
    53    0.26955E+03    0.51964E-01    0.44535E-01   -0.22055E+01
    54    0.26541E+03    0.53336E-01    0.45474E-01   -0.22480E+01
    55    0.26124E+03    0.54698E-01    0.46391E-01   -0.22889E+01
