#    L    TT             EE             BB             TE          
     2    0.12006E+04    0.53921E-01    0.10160E-05    0.66801E+01
     3    0.10683E+04    0.88295E-01    0.20323E-05    0.74943E+01
     4    0.97232E+03    0.10006E+00    0.33881E-05    0.71579E+01
     5    0.90617E+03    0.89817E-01    0.50838E-05    0.62382E+01
     6    0.86098E+03    0.67365E-01    0.71202E-05    0.50998E+01
     7    0.83063E+03    0.43552E-01    0.94978E-05    0.39625E+01
     8    0.81102E+03    0.25298E-01    0.12218E-04    0.29551E+01
     9    0.79951E+03    0.14524E-01    0.15281E-04    0.21426E+01
    10    0.79390E+03    0.97016E-02    0.18688E-04    0.15455E+01
    11    0.79198E+03    0.81092E-02    0.22441E-04    0.11571E+01
    12    0.79354E+03    0.75715E-02    0.26541E-04    0.95533E+00
    13    0.79692E+03    0.69614E-02    0.30988E-04    0.89885E+00
    14    0.80138E+03    0.62447E-02    0.35785E-04    0.94169E+00
    15    0.80741E+03    0.56718E-02    0.40933E-04    0.10436E+01
    16    0.81552E+03    0.54634E-02    0.46432E-04    0.11692E+01
    17    0.82545E+03    0.56585E-02    0.52286E-04    0.12941E+01
    18    0.83604E+03    0.60528E-02    0.58495E-04    0.14012E+01
    19    0.84818E+03    0.64994E-02    0.65060E-04    0.14852E+01
    20    0.86027E+03    0.69489E-02    0.71983E-04    0.15423E+01
    21    0.87266E+03    0.74168E-02    0.79266E-04    0.15779E+01
    22    0.88561E+03    0.80216E-02    0.86909E-04    0.15992E+01
    23    0.89892E+03    0.88685E-02    0.94915E-04    0.16155E+01
    24    0.91262E+03    0.10004E-01    0.10328E-03    0.16351E+01
    25    0.92664E+03    0.11426E-01    0.11202E-03    0.16602E+01
    26    0.94081E+03    0.13083E-01    0.12112E-03    0.16927E+01
    27    0.95535E+03    0.14956E-01    0.13058E-03    0.17317E+01
    28    0.97011E+03    0.17050E-01    0.14042E-03    0.17766E+01
    29    0.98516E+03    0.19338E-01    0.15062E-03    0.18242E+01
    30    0.10004E+04    0.21803E-01    0.16119E-03    0.18694E+01
    31    0.10158E+04    0.24453E-01    0.17213E-03    0.19069E+01
    32    0.10314E+04    0.27292E-01    0.18345E-03    0.19320E+01
    33    0.10474E+04    0.30318E-01    0.19513E-03    0.19445E+01
    34    0.10636E+04    0.33540E-01    0.20718E-03    0.19455E+01
    35    0.10800E+04    0.36953E-01    0.21961E-03    0.19349E+01
    36    0.10964E+04    0.40564E-01    0.23240E-03    0.19111E+01
    37    0.11129E+04    0.44416E-01    0.24557E-03    0.18740E+01
    38    0.11298E+04    0.48550E-01    0.25911E-03    0.18257E+01
    39    0.11471E+04    0.52956E-01    0.27302E-03    0.17678E+01
    40    0.11645E+04    0.57614E-01    0.28729E-03    0.17019E+01
    41    0.11821E+04    0.62517E-01    0.30194E-03    0.16287E+01
    42    0.11997E+04    0.67679E-01    0.31696E-03    0.15471E+01
    43    0.12174E+04    0.73117E-01    0.33234E-03    0.14552E+01
    44    0.12351E+04    0.78837E-01    0.34809E-03    0.13524E+01
    45    0.12532E+04    0.84853E-01    0.36421E-03    0.12377E+01
    46    0.12715E+04    0.91176E-01    0.38070E-03    0.11088E+01
    47    0.12900E+04    0.97793E-01    0.39754E-03    0.96626E+00
    48    0.13086E+04    0.10469E+00    0.41476E-03    0.81391E+00
    49    0.13273E+04    0.11183E+00    0.43233E-03    0.65514E+00
    50    0.13465E+04    0.11917E+00    0.45026E-03    0.48652E+00
    51    0.13658E+04    0.12667E+00    0.46856E-03    0.30336E+00
    52    0.13855E+04    0.13443E+00    0.48722E-03    0.10164E+00
    53    0.14052E+04    0.14261E+00    0.50623E-03   -0.12065E+00
    54    0.14249E+04    0.15121E+00    0.52560E-03   -0.35756E+00
    55    0.14448E+04    0.16024E+00    0.54533E-03   -0.60300E+00
    56    0.14650E+04    0.16955E+00    0.56541E-03   -0.85751E+00
    57    0.14855E+04    0.17904E+00    0.58585E-03   -0.11217E+01
    58    0.15063E+04    0.18870E+00    0.60664E-03   -0.13973E+01
    59    0.15273E+04    0.19856E+00    0.62778E-03   -0.16862E+01
    60    0.15485E+04    0.20866E+00    0.64928E-03   -0.19889E+01
    61    0.15701E+04    0.21908E+00    0.67113E-03   -0.23053E+01
    62    0.15917E+04    0.22981E+00    0.69333E-03   -0.26361E+01
    63    0.16134E+04    0.24082E+00    0.71588E-03   -0.29816E+01
    64    0.16355E+04    0.25212E+00    0.73879E-03   -0.33424E+01
    65    0.16576E+04    0.26370E+00    0.76204E-03   -0.37186E+01
    66    0.16801E+04    0.27548E+00    0.78565E-03   -0.41079E+01
