#    L    TT             EE             BB             TE          
     2    0.16658E+04    0.69102E-01    0.24007E-01    0.69318E+01
     3    0.14502E+04    0.10799E+00    0.27915E-01    0.70795E+01
     4    0.13329E+04    0.12116E+00    0.27603E-01    0.65262E+01
     5    0.12581E+04    0.10936E+00    0.24414E-01    0.55679E+01
     6    0.12091E+04    0.83592E-01    0.19875E-01    0.44750E+01
     7    0.11774E+04    0.55931E-01    0.15219E-01    0.34149E+01
     8    0.11578E+04    0.34246E-01    0.11216E-01    0.24870E+01
     9    0.11471E+04    0.20928E-01    0.81991E-02    0.17422E+01
    10    0.11427E+04    0.14560E-01    0.61979E-02    0.11986E+01
    11    0.11421E+04    0.12289E-01    0.50837E-02    0.84729E+00
    12    0.11445E+04    0.11705E-01    0.46663E-02    0.66720E+00
    13    0.11485E+04    0.11465E-01    0.47504E-02    0.61924E+00
    14    0.11537E+04    0.11349E-01    0.51580E-02    0.65949E+00
    15    0.11607E+04    0.11508E-01    0.57742E-02    0.74964E+00
    16    0.11701E+04    0.12091E-01    0.65108E-02    0.85612E+00
    17    0.11812E+04    0.13119E-01    0.73211E-02    0.95569E+00
    18    0.11925E+04    0.14379E-01    0.81738E-02    0.10324E+01
    19    0.12050E+04    0.15727E-01    0.90579E-02    0.10822E+01
    20    0.12170E+04    0.17115E-01    0.99677E-02    0.11023E+01
    21    0.12291E+04    0.18557E-01    0.10901E-01    0.10981E+01
    22    0.12414E+04    0.20171E-01    0.11855E-01    0.10764E+01
    23    0.12540E+04    0.22056E-01    0.12830E-01    0.10469E+01
    24    0.12667E+04    0.24251E-01    0.13823E-01    0.10184E+01
    25    0.12795E+04    0.26754E-01    0.14830E-01    0.99357E+00
    26    0.12924E+04    0.29514E-01    0.15851E-01    0.97445E+00
    27    0.13054E+04    0.32506E-01    0.16884E-01    0.96076E+00
    28    0.13185E+04    0.35733E-01    0.17932E-01    0.95208E+00
    29    0.13317E+04    0.39180E-01    0.18994E-01    0.94493E+00
    30    0.13450E+04    0.42837E-01    0.20068E-01    0.93362E+00
    31    0.13582E+04    0.46711E-01    0.21154E-01    0.91317E+00
    32    0.13716E+04    0.50800E-01    0.22248E-01    0.87967E+00
    33    0.13853E+04    0.55089E-01    0.23352E-01    0.83309E+00
    34    0.13989E+04    0.59575E-01    0.24462E-01    0.77475E+00
    35    0.14126E+04    0.64261E-01    0.25577E-01    0.70449E+00
    36    0.14263E+04    0.69164E-01    0.26694E-01    0.62113E+00
    37    0.14400E+04    0.74328E-01    0.27815E-01    0.52451E+00
    38    0.14539E+04    0.79793E-01    0.28941E-01    0.41690E+00
    39    0.14681E+04    0.85546E-01    0.30070E-01    0.30013E+00
