#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.198701E+08   0.198701E+08   0.264799E+08   0.264795E+08   0.198702E+08   0.198701E+08   0.198701E+08   0.198767E+08  -0.365246E+00   0.103372E+08   0.103372E+08   0.588176E+01
   0.112819E-04   0.198701E+08   0.198701E+08   0.264769E+08   0.264764E+08   0.198702E+08   0.198701E+08   0.198701E+08   0.198767E+08  -0.365246E+00   0.103372E+08   0.103372E+08   0.650059E+01
   0.124693E-04   0.198701E+08   0.198701E+08   0.264732E+08   0.264726E+08   0.198702E+08   0.198701E+08   0.198701E+08   0.198767E+08  -0.365246E+00   0.103372E+08   0.103372E+08   0.718449E+01
   0.137816E-04   0.198701E+08   0.198701E+08   0.264687E+08   0.264679E+08   0.198702E+08   0.198701E+08   0.198701E+08   0.198767E+08  -0.365246E+00   0.103371E+08   0.103371E+08   0.794026E+01
   0.152321E-04   0.198701E+08   0.198701E+08   0.264632E+08   0.264623E+08   0.198701E+08   0.198701E+08   0.198701E+08   0.198767E+08  -0.365245E+00   0.103371E+08   0.103371E+08   0.877545E+01
   0.168352E-04   0.198700E+08   0.198700E+08   0.264565E+08   0.264554E+08   0.198701E+08   0.198700E+08   0.198700E+08   0.198767E+08  -0.365245E+00   0.103371E+08   0.103371E+08   0.969837E+01
   0.186070E-04   0.198700E+08   0.198700E+08   0.264483E+08   0.264470E+08   0.198701E+08   0.198700E+08   0.198700E+08   0.198766E+08  -0.365245E+00   0.103371E+08   0.103371E+08   0.107182E+02
   0.205653E-04   0.198700E+08   0.198700E+08   0.264383E+08   0.264367E+08   0.198701E+08   0.198700E+08   0.198700E+08   0.198766E+08  -0.365244E+00   0.103371E+08   0.103371E+08   0.118450E+02
   0.227297E-04   0.198700E+08   0.198700E+08   0.264261E+08   0.264241E+08   0.198701E+08   0.198700E+08   0.198700E+08   0.198766E+08  -0.365244E+00   0.103371E+08   0.103371E+08   0.130901E+02
   0.251219E-04   0.198700E+08   0.198700E+08   0.264111E+08   0.264087E+08   0.198700E+08   0.198700E+08   0.198700E+08   0.198766E+08  -0.365243E+00   0.103371E+08   0.103371E+08   0.144656E+02
