#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.20281E+06    0.12339E+03   -0.95857E-02    0.12339E+03    0.78233E-01   -0.45487E-05   -0.95857E-02   -0.45487E-05    0.20448E-08
     3    0.16643E+06    0.14316E+03   -0.64399E-02    0.14316E+03    0.12982E+00   -0.40776E-05   -0.64399E-02   -0.40776E-05    0.12767E-08
     4    0.14148E+06    0.14100E+03   -0.48077E-02    0.14100E+03    0.14897E+00   -0.32791E-05   -0.48077E-02   -0.32791E-05    0.89900E-09
     5    0.12312E+06    0.12530E+03   -0.38101E-02    0.12530E+03    0.13555E+00   -0.24371E-05   -0.38101E-02   -0.24371E-05    0.67750E-09
     6    0.10899E+06    0.10236E+03   -0.31384E-02    0.10236E+03    0.10317E+00   -0.16612E-05   -0.31384E-02   -0.16612E-05    0.53337E-09
     7    0.97749E+05    0.76957E+02   -0.26566E-02    0.76957E+02    0.67680E-01   -0.10073E-05   -0.26566E-02   -0.10073E-05    0.43311E-09
     8    0.88557E+05    0.52492E+02   -0.22939E-02    0.52492E+02    0.39778E-01   -0.49891E-06   -0.22939E-02   -0.49891E-06    0.35991E-09
     9    0.80879E+05    0.31207E+02   -0.20106E-02    0.31207E+02    0.22994E-01   -0.13506E-06   -0.20106E-02   -0.13506E-06    0.30453E-09
    10    0.74312E+05    0.14341E+02   -0.17827E-02    0.14341E+02    0.15518E-01    0.99915E-07   -0.17827E-02    0.99915E-07    0.26138E-09
    11    0.68615E+05    0.22694E+01   -0.15964E-02    0.22694E+01    0.13330E-01    0.22593E-06   -0.15964E-02    0.22593E-06    0.22706E-09
    12    0.63649E+05   -0.52282E+01   -0.14416E-02   -0.52282E+01    0.12826E-01    0.26270E-06   -0.14416E-02    0.26270E-06    0.19915E-09
    13    0.59331E+05   -0.88373E+01   -0.13113E-02   -0.88373E+01    0.12141E-01    0.23648E-06   -0.13113E-02    0.23648E-06    0.17618E-09
    14    0.55577E+05   -0.93692E+01   -0.12001E-02   -0.93692E+01    0.10846E-01    0.17425E-06   -0.12001E-02    0.17425E-06    0.15696E-09
