#    L    TT             EE             TE             PP             TP          
     2    0.14340E+05    0.57689E-01    0.28059E+02    0.78415E+06   -0.65332E+05
     3    0.11991E+05    0.95048E-01    0.32637E+02    0.12111E+07   -0.71563E+05
     4    0.10260E+05    0.10808E+00    0.32118E+02    0.15908E+07   -0.74845E+05
     5    0.89435E+04    0.97273E-01    0.28495E+02    0.19265E+07   -0.76781E+05
     6    0.79130E+04    0.73122E-01    0.23272E+02    0.22229E+07   -0.77965E+05
     7    0.70865E+04    0.47387E-01    0.17557E+02    0.24856E+07   -0.78692E+05
     8    0.64111E+04    0.27641E-01    0.12126E+02    0.27192E+07   -0.79116E+05
     9    0.58508E+04    0.16034E-01    0.74725E+01    0.29278E+07   -0.79323E+05
    10    0.53771E+04    0.10927E-01    0.38544E+01    0.31142E+07   -0.79326E+05
    11    0.49701E+04    0.93263E-02    0.13354E+01    0.32818E+07   -0.79162E+05
    12    0.46167E+04    0.87921E-02   -0.15461E+00    0.34320E+07   -0.78858E+05
    13    0.43089E+04    0.80935E-02   -0.79122E+00    0.35665E+07   -0.78464E+05
    14    0.40414E+04    0.71618E-02   -0.77676E+00    0.36875E+07   -0.78024E+05
    15    0.38098E+04    0.63262E-02   -0.32756E+00    0.37962E+07   -0.77537E+05
    16    0.36095E+04    0.59005E-02    0.34948E+00    0.38938E+07   -0.76991E+05
    17    0.34336E+04    0.59581E-02    0.10961E+01    0.39814E+07   -0.76386E+05
    18    0.32750E+04    0.63028E-02    0.17834E+01    0.40601E+07   -0.75727E+05
    19    0.31332E+04    0.67469E-02    0.23443E+01    0.41305E+07   -0.75035E+05
    20    0.30061E+04    0.71931E-02    0.27362E+01    0.41930E+07   -0.74329E+05
    21    0.28926E+04    0.76318E-02    0.29666E+01    0.42485E+07   -0.73608E+05
    22    0.27911E+04    0.81681E-02    0.30582E+01    0.42979E+07   -0.72871E+05
    23    0.27003E+04    0.89204E-02    0.30502E+01    0.43415E+07   -0.72123E+05
    24    0.26192E+04    0.99549E-02    0.29830E+01    0.43797E+07   -0.71369E+05
    25    0.25468E+04    0.11286E-01    0.28864E+01    0.44129E+07   -0.70611E+05
    26    0.24818E+04    0.12878E-01    0.27866E+01    0.44417E+07   -0.69850E+05
    27    0.24236E+04    0.14706E-01    0.26999E+01    0.44663E+07   -0.69083E+05
    28    0.23712E+04    0.16770E-01    0.26383E+01    0.44872E+07   -0.68306E+05
    29    0.23240E+04    0.19037E-01    0.26038E+01    0.45044E+07   -0.67518E+05
    30    0.22813E+04    0.21483E-01    0.25919E+01    0.45179E+07   -0.66722E+05
    31    0.22429E+04    0.24119E-01    0.25890E+01    0.45283E+07   -0.65930E+05
    32    0.22088E+04    0.26949E-01    0.25815E+01    0.45359E+07   -0.65151E+05
    33    0.21786E+04    0.29976E-01    0.25644E+01    0.45409E+07   -0.64380E+05
    34    0.21517E+04    0.33208E-01    0.25362E+01    0.45435E+07   -0.63608E+05
    35    0.21278E+04    0.36638E-01    0.24978E+01    0.45438E+07   -0.62835E+05
    36    0.21068E+04    0.40270E-01    0.24491E+01    0.45420E+07   -0.62062E+05
    37    0.20882E+04    0.44142E-01    0.23883E+01    0.45382E+07   -0.61297E+05
    38    0.20719E+04    0.48290E-01    0.23160E+01    0.45327E+07   -0.60544E+05
    39    0.20578E+04    0.52704E-01    0.22348E+01    0.45255E+07   -0.59801E+05
    40    0.20455E+04    0.57367E-01    0.21476E+01    0.45166E+07   -0.59064E+05
    41    0.20353E+04    0.62271E-01    0.20561E+01    0.45063E+07   -0.58331E+05
    42    0.20266E+04    0.67429E-01    0.19588E+01    0.44945E+07   -0.57601E+05
    43    0.20196E+04    0.72860E-01    0.18529E+01    0.44814E+07   -0.56875E+05
    44    0.20138E+04    0.78570E-01    0.17369E+01    0.44672E+07   -0.56155E+05
    45    0.20096E+04    0.84571E-01    0.16092E+01    0.44518E+07   -0.55440E+05
    46    0.20068E+04    0.90876E-01    0.14665E+01    0.44354E+07   -0.54732E+05
    47    0.20050E+04    0.97471E-01    0.13090E+01    0.44181E+07   -0.54033E+05
    48    0.20042E+04    0.10434E+00    0.11403E+01    0.44000E+07   -0.53342E+05
    49    0.20045E+04    0.11146E+00    0.96357E+00    0.43810E+07   -0.52662E+05
    50    0.20061E+04    0.11878E+00    0.77499E+00    0.43613E+07   -0.51993E+05
    51    0.20087E+04    0.12626E+00    0.56989E+00    0.43410E+07   -0.51338E+05
    52    0.20124E+04    0.13400E+00    0.34529E+00    0.43200E+07   -0.50693E+05
    53    0.20168E+04    0.14216E+00    0.10051E+00    0.42984E+07   -0.50056E+05
    54    0.20218E+04    0.15074E+00   -0.15717E+00    0.42764E+07   -0.49426E+05
    55    0.20275E+04    0.15975E+00   -0.42037E+00    0.42538E+07   -0.48799E+05
    56    0.20341E+04    0.16905E+00   -0.68867E+00    0.42308E+07   -0.48175E+05
    57    0.20415E+04    0.17852E+00   -0.96341E+00    0.42074E+07   -0.47555E+05
    58    0.20497E+04    0.18816E+00   -0.12476E+01    0.41836E+07   -0.46940E+05
    59    0.20584E+04    0.19800E+00   -0.15441E+01    0.41595E+07   -0.46334E+05
    60    0.20678E+04    0.20807E+00   -0.18546E+01    0.41350E+07   -0.45739E+05
    61    0.20781E+04    0.21847E+00   -0.21799E+01    0.41102E+07   -0.45155E+05
    62    0.20887E+04    0.22918E+00   -0.25200E+01    0.40852E+07   -0.44583E+05
    63    0.20998E+04    0.24017E+00   -0.28742E+01    0.40599E+07   -0.44020E+05
    64    0.21116E+04    0.25144E+00   -0.32424E+01    0.40344E+07   -0.43465E+05
    65    0.21238E+04    0.26299E+00   -0.36235E+01    0.40087E+07   -0.42916E+05
    66    0.21366E+04    0.27475E+00   -0.40148E+01    0.39830E+07   -0.42372E+05
    67    0.21498E+04    0.28672E+00   -0.44145E+01    0.39571E+07   -0.41833E+05
    68    0.21638E+04    0.29893E+00   -0.48228E+01    0.39312E+07   -0.41299E+05
    69    0.21783E+04    0.31135E+00   -0.52396E+01    0.39052E+07   -0.40771E+05
    70    0.21933E+04    0.32402E+00   -0.56683E+01    0.38791E+07   -0.40248E+05
    71    0.22087E+04    0.33692E+00   -0.61125E+01    0.38530E+07   -0.39732E+05
    72    0.22246E+04    0.35002E+00   -0.65729E+01    0.38269E+07   -0.39222E+05
    73    0.22409E+04    0.36328E+00   -0.70490E+01    0.38008E+07   -0.38719E+05
    74    0.22576E+04    0.37670E+00   -0.75388E+01    0.37747E+07   -0.38223E+05
    75    0.22748E+04    0.39029E+00   -0.80397E+01    0.37485E+07   -0.37734E+05
    76    0.22925E+04    0.40403E+00   -0.85500E+01    0.37224E+07   -0.37254E+05
    77    0.23107E+04    0.41793E+00   -0.90692E+01    0.36962E+07   -0.36782E+05
    78    0.23295E+04    0.43200E+00   -0.95982E+01    0.36701E+07   -0.36316E+05
    79    0.23486E+04    0.44620E+00   -0.10133E+02    0.36441E+07   -0.35857E+05
    80    0.23683E+04    0.46052E+00   -0.10674E+02    0.36180E+07   -0.35405E+05
    81    0.23883E+04    0.47492E+00   -0.11223E+02    0.35921E+07   -0.34958E+05
    82    0.24087E+04    0.48942E+00   -0.11779E+02    0.35662E+07   -0.34517E+05
    83    0.24295E+04    0.50399E+00   -0.12342E+02    0.35404E+07   -0.34081E+05
    84    0.24508E+04    0.51862E+00   -0.12911E+02    0.35147E+07   -0.33650E+05
    85    0.24723E+04    0.53330E+00   -0.13489E+02    0.34891E+07   -0.33225E+05
    86    0.24942E+04    0.54802E+00   -0.14074E+02    0.34637E+07   -0.32804E+05
    87    0.25167E+04    0.56276E+00   -0.14667E+02    0.34383E+07   -0.32389E+05
    88    0.25393E+04    0.57754E+00   -0.15267E+02    0.34131E+07   -0.31979E+05
    89    0.25624E+04    0.59234E+00   -0.15874E+02    0.33880E+07   -0.31574E+05
    90    0.25858E+04    0.60711E+00   -0.16486E+02    0.33631E+07   -0.31175E+05
    91    0.26095E+04    0.62186E+00   -0.17103E+02    0.33383E+07   -0.30782E+05
    92    0.26337E+04    0.63657E+00   -0.17724E+02    0.33136E+07   -0.30394E+05
    93    0.26583E+04    0.65123E+00   -0.18350E+02    0.32891E+07   -0.30012E+05
    94    0.26830E+04    0.66580E+00   -0.18978E+02    0.32647E+07   -0.29636E+05
    95    0.27082E+04    0.68029E+00   -0.19609E+02    0.32405E+07   -0.29265E+05
    96    0.27335E+04    0.69467E+00   -0.20244E+02    0.32164E+07   -0.28899E+05
    97    0.27593E+04    0.70894E+00   -0.20881E+02    0.31925E+07   -0.28539E+05
    98    0.27855E+04    0.72309E+00   -0.21517E+02    0.31688E+07   -0.28183E+05
    99    0.28119E+04    0.73708E+00   -0.22156E+02    0.31452E+07   -0.27833E+05
   100    0.28386E+04    0.75091E+00   -0.22794E+02    0.31218E+07   -0.27488E+05
   101    0.28657E+04    0.76464E+00   -0.23433E+02    0.30985E+07   -0.27147E+05
   102    0.28933E+04    0.77812E+00   -0.24071E+02    0.30754E+07   -0.26811E+05
   103    0.29210E+04    0.79142E+00   -0.24709E+02    0.30524E+07   -0.26480E+05
   104    0.29489E+04    0.80456E+00   -0.25343E+02    0.30297E+07   -0.26154E+05
   105    0.29772E+04    0.81744E+00   -0.25977E+02    0.30071E+07   -0.25831E+05
   106    0.30057E+04    0.83015E+00   -0.26607E+02    0.29846E+07   -0.25514E+05
   107    0.30342E+04    0.84254E+00   -0.27234E+02    0.29624E+07   -0.25200E+05
   108    0.30632E+04    0.85468E+00   -0.27858E+02    0.29403E+07   -0.24891E+05
   109    0.30925E+04    0.86650E+00   -0.28478E+02    0.29183E+07   -0.24585E+05
   110    0.31219E+04    0.87800E+00   -0.29091E+02    0.28966E+07   -0.24284E+05
   111    0.31515E+04    0.88925E+00   -0.29700E+02    0.28751E+07   -0.23987E+05
   112    0.31813E+04    0.90018E+00   -0.30304E+02    0.28537E+07   -0.23693E+05
   113    0.32115E+04    0.91079E+00   -0.30901E+02    0.28325E+07   -0.23403E+05
   114    0.32417E+04    0.92101E+00   -0.31490E+02    0.28115E+07   -0.23117E+05
   115    0.32723E+04    0.93098E+00   -0.32072E+02    0.27906E+07   -0.22835E+05
   116    0.33029E+04    0.94049E+00   -0.32645E+02    0.27700E+07   -0.22556E+05
   117    0.33339E+04    0.94961E+00   -0.33209E+02    0.27495E+07   -0.22281E+05
   118    0.33651E+04    0.95848E+00   -0.33764E+02    0.27292E+07   -0.22010E+05
   119    0.33964E+04    0.96697E+00   -0.34309E+02    0.27090E+07   -0.21742E+05
   120    0.34278E+04    0.97492E+00   -0.34843E+02    0.26891E+07   -0.21478E+05
   121    0.34593E+04    0.98263E+00   -0.35366E+02    0.26693E+07   -0.21217E+05
   122    0.34910E+04    0.98981E+00   -0.35877E+02    0.26497E+07   -0.20960E+05
   123    0.35227E+04    0.99652E+00   -0.36377E+02    0.26302E+07   -0.20706E+05
   124    0.35546E+04    0.10029E+01   -0.36862E+02    0.26110E+07   -0.20456E+05
   125    0.35865E+04    0.10087E+01   -0.37335E+02    0.25919E+07   -0.20209E+05
   126    0.36185E+04    0.10142E+01   -0.37794E+02    0.25729E+07   -0.19965E+05
   127    0.36505E+04    0.10192E+01   -0.38240E+02    0.25542E+07   -0.19725E+05
   128    0.36826E+04    0.10237E+01   -0.38670E+02    0.25356E+07   -0.19488E+05
   129    0.37147E+04    0.10278E+01   -0.39085E+02    0.25172E+07   -0.19254E+05
   130    0.37469E+04    0.10313E+01   -0.39483E+02    0.24990E+07   -0.19023E+05
   131    0.37791E+04    0.10345E+01   -0.39867E+02    0.24809E+07   -0.18795E+05
   132    0.38114E+04    0.10371E+01   -0.40233E+02    0.24630E+07   -0.18571E+05
   133    0.38437E+04    0.10392E+01   -0.40583E+02    0.24453E+07   -0.18350E+05
   134    0.38760E+04    0.10409E+01   -0.40913E+02    0.24277E+07   -0.18131E+05
   135    0.39083E+04    0.10421E+01   -0.41226E+02    0.24103E+07   -0.17916E+05
   136    0.39404E+04    0.10428E+01   -0.41518E+02    0.23931E+07   -0.17703E+05
   137    0.39726E+04    0.10431E+01   -0.41792E+02    0.23760E+07   -0.17494E+05
   138    0.40048E+04    0.10428E+01   -0.42046E+02    0.23591E+07   -0.17287E+05
   139    0.40367E+04    0.10422E+01   -0.42280E+02    0.23423E+07   -0.17083E+05
   140    0.40687E+04    0.10409E+01   -0.42493E+02    0.23257E+07   -0.16882E+05
   141    0.41005E+04    0.10392E+01   -0.42685E+02    0.23092E+07   -0.16684E+05
   142    0.41324E+04    0.10371E+01   -0.42855E+02    0.22930E+07   -0.16489E+05
   143    0.41642E+04    0.10345E+01   -0.43004E+02    0.22768E+07   -0.16296E+05
   144    0.41958E+04    0.10314E+01   -0.43132E+02    0.22608E+07   -0.16106E+05
   145    0.42272E+04    0.10280E+01   -0.43236E+02    0.22450E+07   -0.15918E+05
   146    0.42588E+04    0.10240E+01   -0.43318E+02    0.22293E+07   -0.15733E+05
   147    0.42900E+04    0.10196E+01   -0.43376E+02    0.22138E+07   -0.15550E+05
   148    0.43211E+04    0.10148E+01   -0.43412E+02    0.21984E+07   -0.15370E+05
   149    0.43521E+04    0.10095E+01   -0.43423E+02    0.21831E+07   -0.15193E+05
   150    0.43829E+04    0.10039E+01   -0.43408E+02    0.21680E+07   -0.15018E+05
   151    0.44135E+04    0.99794E+00   -0.43370E+02    0.21531E+07   -0.14845E+05
   152    0.44438E+04    0.99145E+00   -0.43308E+02    0.21382E+07   -0.14674E+05
   153    0.44740E+04    0.98463E+00   -0.43219E+02    0.21236E+07   -0.14506E+05
   154    0.45040E+04    0.97748E+00   -0.43105E+02    0.21090E+07   -0.14340E+05
   155    0.45338E+04    0.97001E+00   -0.42966E+02    0.20946E+07   -0.14177E+05
   156    0.45632E+04    0.96221E+00   -0.42801E+02    0.20803E+07   -0.14015E+05
   157    0.45926E+04    0.95409E+00   -0.42610E+02    0.20662E+07   -0.13856E+05
   158    0.46217E+04    0.94573E+00   -0.42393E+02    0.20522E+07   -0.13699E+05
   159    0.46504E+04    0.93697E+00   -0.42149E+02    0.20384E+07   -0.13544E+05
   160    0.46790E+04    0.92798E+00   -0.41879E+02    0.20246E+07   -0.13391E+05
   161    0.47073E+04    0.91882E+00   -0.41582E+02    0.20110E+07   -0.13241E+05
   162    0.47354E+04    0.90936E+00   -0.41259E+02    0.19976E+07   -0.13092E+05
   163    0.47632E+04    0.89966E+00   -0.40909E+02    0.19842E+07   -0.12945E+05
   164    0.47907E+04    0.88980E+00   -0.40533E+02    0.19710E+07   -0.12801E+05
   165    0.48179E+04    0.87972E+00   -0.40129E+02    0.19579E+07   -0.12658E+05
   166    0.48449E+04    0.86957E+00   -0.39699E+02    0.19450E+07   -0.12517E+05
   167    0.48716E+04    0.85912E+00   -0.39242E+02    0.19321E+07   -0.12378E+05
   168    0.48978E+04    0.84874E+00   -0.38758E+02    0.19194E+07   -0.12241E+05
   169    0.49238E+04    0.83815E+00   -0.38245E+02    0.19068E+07   -0.12106E+05
   170    0.49494E+04    0.82757E+00   -0.37706E+02    0.18944E+07   -0.11972E+05
   171    0.49746E+04    0.81699E+00   -0.37138E+02    0.18820E+07   -0.11840E+05
   172    0.49993E+04    0.80636E+00   -0.36543E+02    0.18698E+07   -0.11710E+05
   173    0.50236E+04    0.79567E+00   -0.35921E+02    0.18577E+07   -0.11582E+05
   174    0.50476E+04    0.78522E+00   -0.35271E+02    0.18457E+07   -0.11455E+05
   175    0.50711E+04    0.77472E+00   -0.34594E+02    0.18338E+07   -0.11330E+05
   176    0.50941E+04    0.76439E+00   -0.33888E+02    0.18220E+07   -0.11207E+05
   177    0.51167E+04    0.75416E+00   -0.33156E+02    0.18104E+07   -0.11085E+05
   178    0.51388E+04    0.74425E+00   -0.32397E+02    0.17988E+07   -0.10965E+05
   179    0.51605E+04    0.73438E+00   -0.31609E+02    0.17874E+07   -0.10846E+05
   180    0.51818E+04    0.72477E+00   -0.30796E+02    0.17761E+07   -0.10729E+05
   181    0.52025E+04    0.71542E+00   -0.29956E+02    0.17648E+07   -0.10613E+05
   182    0.52228E+04    0.70640E+00   -0.29089E+02    0.17537E+07   -0.10499E+05
   183    0.52426E+04    0.69765E+00   -0.28196E+02    0.17427E+07   -0.10387E+05
   184    0.52619E+04    0.68925E+00   -0.27276E+02    0.17318E+07   -0.10276E+05
   185    0.52807E+04    0.68134E+00   -0.26332E+02    0.17210E+07   -0.10166E+05
   186    0.52987E+04    0.67379E+00   -0.25360E+02    0.17103E+07   -0.10058E+05
   187    0.53166E+04    0.66674E+00   -0.24363E+02    0.16997E+07   -0.99508E+04
   188    0.53339E+04    0.66017E+00   -0.23341E+02    0.16893E+07   -0.98454E+04
   189    0.53505E+04    0.65414E+00   -0.22294E+02    0.16789E+07   -0.97414E+04
   190    0.53670E+04    0.64869E+00   -0.21224E+02    0.16686E+07   -0.96387E+04
   191    0.53825E+04    0.64384E+00   -0.20127E+02    0.16584E+07   -0.95374E+04
