#           k/h    P           
    0.10000E-03    0.69285E+03
    0.10202E-03    0.70627E+03
    0.10408E-03    0.71996E+03
    0.10618E-03    0.73390E+03
    0.10833E-03    0.74812E+03
    0.11052E-03    0.76262E+03
    0.11275E-03    0.77739E+03
    0.11503E-03    0.79245E+03
    0.11735E-03    0.80780E+03
    0.11972E-03    0.82345E+03
    0.12214E-03    0.83940E+03
    0.12461E-03    0.85566E+03
    0.12712E-03    0.87223E+03
    0.12969E-03    0.88912E+03
    0.13231E-03    0.90634E+03
    0.13499E-03    0.92389E+03
    0.13771E-03    0.94179E+03
    0.14049E-03    0.96002E+03
    0.14333E-03    0.97862E+03
    0.14623E-03    0.99756E+03
    0.14918E-03    0.10169E+04
    0.15220E-03    0.10366E+04
    0.15527E-03    0.10566E+04
    0.15841E-03    0.10771E+04
    0.16161E-03    0.10979E+04
    0.16487E-03    0.11192E+04
    0.16820E-03    0.11409E+04
    0.17160E-03    0.11629E+04
    0.17507E-03    0.11855E+04
    0.17860E-03    0.12084E+04
    0.18221E-03    0.12318E+04
    0.18589E-03    0.12556E+04
    0.18965E-03    0.12799E+04
    0.19348E-03    0.13047E+04
    0.19739E-03    0.13299E+04
    0.20138E-03    0.13556E+04
    0.20544E-03    0.13819E+04
    0.20959E-03    0.14086E+04
    0.21383E-03    0.14358E+04
    0.21815E-03    0.14636E+04
    0.22255E-03    0.14919E+04
    0.22705E-03    0.15207E+04
    0.23164E-03    0.15501E+04
    0.23632E-03    0.15801E+04
    0.24109E-03    0.16106E+04
    0.24596E-03    0.16418E+04
    0.25093E-03    0.16735E+04
    0.25600E-03    0.17058E+04
    0.26117E-03    0.17388E+04
    0.26645E-03    0.17723E+04
    0.27183E-03    0.18066E+04
    0.27732E-03    0.18415E+04
    0.28292E-03    0.18770E+04
    0.28864E-03    0.19132E+04
    0.29447E-03    0.19502E+04
    0.30042E-03    0.19878E+04
    0.30649E-03    0.20261E+04
    0.31268E-03    0.20652E+04
    0.31899E-03    0.21051E+04
    0.32544E-03    0.21456E+04
    0.33201E-03    0.21870E+04
    0.33872E-03    0.22292E+04
    0.34556E-03    0.22721E+04
    0.35254E-03    0.23159E+04
    0.35966E-03    0.23605E+04
    0.36693E-03    0.24059E+04
    0.37434E-03    0.24523E+04
    0.38190E-03    0.24995E+04
    0.38962E-03    0.25476E+04
    0.39749E-03    0.25966E+04
    0.40552E-03    0.26465E+04
    0.41371E-03    0.26974E+04
    0.42207E-03    0.27492E+04
    0.43060E-03    0.28020E+04
    0.43929E-03    0.28558E+04
    0.44817E-03    0.29107E+04
    0.45722E-03    0.29665E+04
    0.46646E-03    0.30234E+04
    0.47588E-03    0.30814E+04
    0.48550E-03    0.31405E+04
    0.49530E-03    0.32007E+04
    0.50531E-03    0.32620E+04
    0.51552E-03    0.33244E+04
    0.52593E-03    0.33881E+04
    0.53656E-03    0.34529E+04
    0.54739E-03    0.35189E+04
    0.55845E-03    0.35862E+04
    0.56973E-03    0.36547E+04
    0.58124E-03    0.37244E+04
    0.59299E-03    0.37955E+04
