#    L    TT             EE             TE             PP             TP          
     2    0.44642E+05    0.75684E-01    0.56689E+02    0.68760E+06   -0.11784E+06
     3    0.37856E+05    0.12496E+00    0.66560E+02    0.10683E+07   -0.12887E+06
     4    0.32867E+05    0.14226E+00    0.66224E+02    0.14090E+07   -0.13417E+06
     5    0.29030E+05    0.12803E+00    0.59426E+02    0.17116E+07   -0.13689E+06
     6    0.25981E+05    0.96113E-01    0.49080E+02    0.19797E+07   -0.13828E+06
     7    0.23497E+05    0.62239E-01    0.37407E+02    0.22182E+07   -0.13897E+06
     8    0.21430E+05    0.36650E-01    0.26012E+02    0.24309E+07   -0.13917E+06
     9    0.19682E+05    0.22265E-01    0.15966E+02    0.26213E+07   -0.13896E+06
    10    0.18175E+05    0.16735E-01    0.78897E+01    0.27918E+07   -0.13838E+06
    11    0.16852E+05    0.15741E-01    0.20025E+01    0.29455E+07   -0.13758E+06
    12    0.15682E+05    0.15642E-01   -0.17625E+01    0.30834E+07   -0.13663E+06
    13    0.14651E+05    0.14793E-01   -0.36926E+01    0.32073E+07   -0.13561E+06
    14    0.13752E+05    0.13038E-01   -0.41371E+01    0.33189E+07   -0.13457E+06
    15    0.12962E+05    0.11127E-01   -0.35091E+01    0.34194E+07   -0.13349E+06
    16    0.12262E+05    0.98430E-02   -0.22193E+01    0.35098E+07   -0.13232E+06
    17    0.11630E+05    0.94271E-02   -0.60971E+00    0.35911E+07   -0.13108E+06
    18    0.11050E+05    0.97109E-02    0.10251E+01    0.36642E+07   -0.12977E+06
    19    0.10519E+05    0.10289E-01    0.25033E+01    0.37298E+07   -0.12841E+06
    20    0.10035E+05    0.10815E-01    0.36921E+01    0.37881E+07   -0.12703E+06
    21    0.95923E+04    0.11142E-01    0.45559E+01    0.38401E+07   -0.12564E+06
    22    0.91875E+04    0.11303E-01    0.50942E+01    0.38863E+07   -0.12425E+06
    23    0.88164E+04    0.11489E-01    0.53555E+01    0.39273E+07   -0.12286E+06
    24    0.84760E+04    0.11875E-01    0.54003E+01    0.39633E+07   -0.12148E+06
    25    0.81634E+04    0.12587E-01    0.52870E+01    0.39947E+07   -0.12010E+06
    26    0.78756E+04    0.13683E-01    0.50728E+01    0.40220E+07   -0.11872E+06
    27    0.76100E+04    0.15153E-01    0.48043E+01    0.40455E+07   -0.11735E+06
    28    0.73638E+04    0.16987E-01    0.45235E+01    0.40655E+07   -0.11597E+06
    29    0.71349E+04    0.19121E-01    0.42582E+01    0.40820E+07   -0.11459E+06
    30    0.69214E+04    0.21498E-01    0.40258E+01    0.40952E+07   -0.11320E+06
    31    0.67224E+04    0.24113E-01    0.38226E+01    0.41055E+07   -0.11182E+06
    32    0.65376E+04    0.26958E-01    0.36409E+01    0.41131E+07   -0.11048E+06
    33    0.63657E+04    0.30031E-01    0.34781E+01    0.41184E+07   -0.10916E+06
    34    0.62052E+04    0.33334E-01    0.33350E+01    0.41214E+07   -0.10784E+06
    35    0.60552E+04    0.36855E-01    0.32162E+01    0.41223E+07   -0.10653E+06
    36    0.59149E+04    0.40593E-01    0.31238E+01    0.41213E+07   -0.10521E+06
    37    0.57830E+04    0.44565E-01    0.30494E+01    0.41184E+07   -0.10389E+06
    38    0.56587E+04    0.48796E-01    0.29850E+01    0.41138E+07   -0.10259E+06
    39    0.55418E+04    0.53277E-01    0.29260E+01    0.41077E+07   -0.10131E+06
    40    0.54318E+04    0.57996E-01    0.28681E+01    0.41000E+07   -0.10004E+06
    41    0.53285E+04    0.62948E-01    0.28071E+01    0.40910E+07   -0.98801E+05
    42    0.52313E+04    0.68146E-01    0.27377E+01    0.40806E+07   -0.97576E+05
    43    0.51399E+04    0.73602E-01    0.26546E+01    0.40690E+07   -0.96365E+05
    44    0.50536E+04    0.79317E-01    0.25535E+01    0.40563E+07   -0.95165E+05
    45    0.49722E+04    0.85300E-01    0.24299E+01    0.40425E+07   -0.93975E+05
    46    0.48953E+04    0.91561E-01    0.22787E+01    0.40278E+07   -0.92792E+05
