#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.44642E+05    0.56689E+02   -0.51608E-02    0.56689E+02    0.75684E-01   -0.67507E-05   -0.51608E-02   -0.67507E-05    0.55245E-08
     3    0.37856E+05    0.66560E+02   -0.33446E-02    0.66560E+02    0.12496E+00   -0.58926E-05   -0.33446E-02   -0.58926E-05    0.33910E-08
     4    0.32867E+05    0.66224E+02   -0.24483E-02    0.66224E+02    0.14226E+00   -0.46374E-05   -0.24483E-02   -0.46374E-05    0.23585E-08
     5    0.29030E+05    0.59426E+02   -0.19185E-02    0.59426E+02    0.12803E+00   -0.33677E-05   -0.19185E-02   -0.33677E-05    0.17602E-08
     6    0.25981E+05    0.49080E+02   -0.15702E-02    0.49080E+02    0.96113E-01   -0.22235E-05   -0.15702E-02   -0.22235E-05    0.13746E-08
     7    0.23497E+05    0.37407E+02   -0.13249E-02    0.37407E+02    0.62239E-01   -0.12755E-05   -0.13249E-02   -0.12755E-05    0.11085E-08
     8    0.21430E+05    0.26012E+02   -0.11428E-02    0.26012E+02    0.36650E-01   -0.55242E-06   -0.11428E-02   -0.55242E-06    0.91551E-09
     9    0.19682E+05    0.15966E+02   -0.10018E-02    0.15966E+02    0.22265E-01   -0.47438E-07   -0.10018E-02   -0.47438E-07    0.77039E-09
    10    0.18175E+05    0.78897E+01   -0.88889E-03    0.78897E+01    0.16735E-01    0.26804E-06   -0.88889E-03    0.26804E-06    0.65797E-09
    11    0.16852E+05    0.20025E+01   -0.79674E-03    0.20025E+01    0.15741E-01    0.42695E-06   -0.79674E-03    0.42695E-06    0.56897E-09
    12    0.15682E+05   -0.17625E+01   -0.72023E-03   -0.17625E+01    0.15642E-01    0.45811E-06   -0.72023E-03    0.45811E-06    0.49693E-09
    13    0.14651E+05   -0.36926E+01   -0.65603E-03   -0.36926E+01    0.14793E-01    0.39882E-06   -0.65603E-03    0.39882E-06    0.43789E-09
    14    0.13752E+05   -0.41371E+01   -0.60139E-03   -0.41371E+01    0.13038E-01    0.28802E-06   -0.60139E-03    0.28802E-06    0.38870E-09
    15    0.12962E+05   -0.35091E+01   -0.55430E-03   -0.35091E+01    0.11127E-01    0.16101E-06   -0.55430E-03    0.16101E-06    0.34732E-09
    16    0.12262E+05   -0.22193E+01   -0.51310E-03   -0.22193E+01    0.98430E-02    0.46636E-07   -0.51310E-03    0.46636E-07    0.31209E-09
    17    0.11630E+05   -0.60971E+00   -0.47673E-03   -0.60971E+00    0.94271E-02   -0.48304E-07   -0.47673E-03   -0.48304E-07    0.28189E-09
    18    0.11050E+05    0.10251E+01   -0.44436E-03    0.10251E+01    0.97109E-02   -0.12210E-06   -0.44436E-03   -0.12210E-06    0.25576E-09
    19    0.10519E+05    0.25033E+01   -0.41542E-03    0.25033E+01    0.10289E-01   -0.17126E-06   -0.41542E-03   -0.17126E-06    0.23301E-09
    20    0.10035E+05    0.36921E+01   -0.38944E-03    0.36921E+01    0.10815E-01   -0.19335E-06   -0.38944E-03   -0.19335E-06    0.21305E-09
    21    0.95923E+04    0.45559E+01   -0.36602E-03    0.45559E+01    0.11142E-01   -0.19184E-06   -0.36602E-03   -0.19184E-06    0.19545E-09
    22    0.91875E+04    0.50942E+01   -0.34480E-03    0.50942E+01    0.11303E-01   -0.17257E-06   -0.34480E-03   -0.17257E-06    0.17985E-09
    23    0.88164E+04    0.53555E+01   -0.32550E-03    0.53555E+01    0.11489E-01   -0.14487E-06   -0.32550E-03   -0.14487E-06    0.16598E-09
    24    0.84760E+04    0.54003E+01   -0.30788E-03    0.54003E+01    0.11875E-01   -0.11718E-06   -0.30788E-03   -0.11718E-06    0.15356E-09
    25    0.81634E+04    0.52870E+01   -0.29174E-03    0.52870E+01    0.12587E-01   -0.91053E-07   -0.29174E-03   -0.91053E-07    0.14242E-09
    26    0.78756E+04    0.50728E+01   -0.27690E-03    0.50728E+01    0.13683E-01   -0.66709E-07   -0.27690E-03   -0.66709E-07    0.13238E-09
    27    0.76100E+04    0.48043E+01   -0.26320E-03    0.48043E+01    0.15153E-01   -0.46011E-07   -0.26320E-03   -0.46011E-07    0.12330E-09
    28    0.73638E+04    0.45235E+01   -0.25050E-03    0.45235E+01    0.16987E-01   -0.30989E-07   -0.25050E-03   -0.30989E-07    0.11507E-09
    29    0.71349E+04    0.42582E+01   -0.23869E-03    0.42582E+01    0.19121E-01   -0.22695E-07   -0.23869E-03   -0.22695E-07    0.10758E-09
    30    0.69214E+04    0.40258E+01   -0.22769E-03    0.40258E+01    0.21498E-01   -0.20966E-07   -0.22769E-03   -0.20966E-07    0.10074E-09
    31    0.67224E+04    0.38226E+01   -0.21744E-03    0.38226E+01    0.24113E-01   -0.21741E-07   -0.21744E-03   -0.21741E-07    0.94483E-10
    32    0.65376E+04    0.36409E+01   -0.20791E-03    0.36409E+01    0.26958E-01   -0.20842E-07   -0.20791E-03   -0.20842E-07    0.88749E-10
    33    0.63657E+04    0.34781E+01   -0.19902E-03    0.34781E+01    0.30031E-01   -0.17498E-07   -0.19902E-03   -0.17498E-07    0.83483E-10
    34    0.62052E+04    0.33350E+01   -0.19067E-03    0.33350E+01    0.33334E-01   -0.12406E-07   -0.19067E-03   -0.12406E-07    0.78633E-10
    35    0.60552E+04    0.32162E+01   -0.18281E-03    0.32162E+01    0.36855E-01   -0.87181E-08   -0.18281E-03   -0.87181E-08    0.74160E-10
    36    0.59149E+04    0.31238E+01   -0.17539E-03    0.31238E+01    0.40593E-01   -0.91877E-08   -0.17539E-03   -0.91877E-08    0.70025E-10
    37    0.57830E+04    0.30494E+01   -0.16839E-03    0.30494E+01    0.44565E-01   -0.12511E-07   -0.16839E-03   -0.12511E-07    0.66196E-10
    38    0.56587E+04    0.29850E+01   -0.16180E-03    0.29850E+01    0.48796E-01   -0.16626E-07   -0.16180E-03   -0.16626E-07    0.62644E-10
    39    0.55418E+04    0.29260E+01   -0.15558E-03    0.29260E+01    0.53277E-01   -0.20501E-07   -0.15558E-03   -0.20501E-07    0.59345E-10
    40    0.54318E+04    0.28681E+01   -0.14970E-03    0.28681E+01    0.57996E-01   -0.23360E-07   -0.14970E-03   -0.23360E-07    0.56275E-10
    41    0.53285E+04    0.28071E+01   -0.14415E-03    0.28071E+01    0.62948E-01   -0.24631E-07   -0.14415E-03   -0.24631E-07    0.53412E-10
    42    0.52313E+04    0.27377E+01   -0.13889E-03    0.27377E+01    0.68146E-01   -0.24546E-07   -0.13889E-03   -0.24546E-07    0.50739E-10
    43    0.51399E+04    0.26546E+01   -0.13390E-03    0.26546E+01    0.73602E-01   -0.23541E-07   -0.13390E-03   -0.23541E-07    0.48243E-10
    44    0.50536E+04    0.25535E+01   -0.12917E-03    0.25535E+01    0.79317E-01   -0.22052E-07   -0.12917E-03   -0.22052E-07    0.45908E-10
    45    0.49722E+04    0.24299E+01   -0.12466E-03    0.24299E+01    0.85300E-01   -0.20514E-07   -0.12466E-03   -0.20514E-07    0.43722E-10
    46    0.48953E+04    0.22787E+01   -0.12036E-03    0.22787E+01    0.91561E-01   -0.19265E-07   -0.12036E-03   -0.19265E-07    0.41670E-10
    47    0.48225E+04    0.21008E+01   -0.11626E-03    0.21008E+01    0.98093E-01   -0.18249E-07   -0.11626E-03   -0.18249E-07    0.39742E-10
    48    0.47536E+04    0.19014E+01   -0.11234E-03    0.19014E+01    0.10489E+00   -0.17313E-07   -0.11234E-03   -0.17313E-07    0.37931E-10
    49    0.46884E+04    0.16850E+01   -0.10862E-03    0.16850E+01    0.11194E+00   -0.16304E-07   -0.10862E-03   -0.16304E-07    0.36228E-10
    50    0.46271E+04    0.14495E+01   -0.10507E-03    0.14495E+01    0.11920E+00   -0.15068E-07   -0.10507E-03   -0.15068E-07    0.34624E-10
    51    0.45691E+04    0.11919E+01   -0.10169E-03    0.11919E+01    0.12663E+00   -0.13520E-07   -0.10169E-03   -0.13520E-07    0.33112E-10
    52    0.45147E+04    0.91214E+00   -0.98461E-04    0.91214E+00    0.13434E+00   -0.11853E-07   -0.98461E-04   -0.11853E-07    0.31685E-10
    53    0.44630E+04    0.61275E+00   -0.95381E-04    0.61275E+00    0.14248E+00   -0.10325E-07   -0.95381E-04   -0.10325E-07    0.30337E-10
    54    0.44139E+04    0.30417E+00   -0.92432E-04    0.30417E+00    0.15106E+00   -0.91972E-08   -0.92432E-04   -0.91972E-08    0.29065E-10
    55    0.43674E+04   -0.30338E-02   -0.89601E-04   -0.30338E-02    0.16006E+00   -0.87294E-08   -0.89601E-04   -0.87294E-08    0.27860E-10
    56    0.43235E+04   -0.30616E+00   -0.86877E-04   -0.30616E+00    0.16935E+00   -0.90767E-08   -0.86877E-04   -0.90767E-08    0.26720E-10
    57    0.42819E+04   -0.60762E+00   -0.84256E-04   -0.60762E+00    0.17882E+00   -0.99747E-08   -0.84256E-04   -0.99747E-08    0.25639E-10
    58    0.42427E+04   -0.91236E+00   -0.81736E-04   -0.91236E+00    0.18845E+00   -0.11054E-07   -0.81736E-04   -0.11054E-07    0.24615E-10
    59    0.42055E+04   -0.12253E+01   -0.79314E-04   -0.12253E+01    0.19827E+00   -0.11946E-07   -0.79314E-04   -0.11946E-07    0.23643E-10
    60    0.41704E+04   -0.15501E+01   -0.76987E-04   -0.15501E+01    0.20833E+00   -0.12281E-07   -0.76987E-04   -0.12281E-07    0.22720E-10
    61    0.41376E+04   -0.18889E+01   -0.74753E-04   -0.18889E+01    0.21871E+00   -0.11825E-07   -0.74753E-04   -0.11825E-07    0.21843E-10
    62    0.41063E+04   -0.22418E+01   -0.72608E-04   -0.22418E+01    0.22940E+00   -0.10890E-07   -0.72608E-04   -0.10890E-07    0.21009E-10
    63    0.40768E+04   -0.26076E+01   -0.70546E-04   -0.26076E+01    0.24036E+00   -0.99213E-08   -0.70546E-04   -0.99213E-08    0.20215E-10
    64    0.40491E+04   -0.29855E+01   -0.68564E-04   -0.29855E+01    0.25161E+00   -0.93663E-08   -0.68564E-04   -0.93663E-08    0.19460E-10
    65    0.40230E+04   -0.33742E+01   -0.66658E-04   -0.33742E+01    0.26314E+00   -0.96714E-08   -0.66658E-04   -0.96714E-08    0.18741E-10
    66    0.39986E+04   -0.37704E+01   -0.64823E-04   -0.37704E+01    0.27488E+00   -0.11117E-07   -0.64823E-04   -0.11117E-07    0.18055E-10
    67    0.39756E+04   -0.41740E+01   -0.63055E-04   -0.41740E+01    0.28684E+00   -0.13321E-07   -0.63055E-04   -0.13321E-07    0.17402E-10
    68    0.39544E+04   -0.45864E+01   -0.61350E-04   -0.45864E+01    0.29904E+00   -0.15735E-07   -0.61350E-04   -0.15735E-07    0.16778E-10
    69    0.39346E+04   -0.50092E+01   -0.59705E-04   -0.50092E+01    0.31146E+00   -0.17810E-07   -0.59705E-04   -0.17810E-07    0.16184E-10
    70    0.39163E+04   -0.54473E+01   -0.58115E-04   -0.54473E+01    0.32411E+00   -0.18998E-07   -0.58115E-04   -0.18998E-07    0.15616E-10
    71    0.38992E+04   -0.59054E+01   -0.56578E-04   -0.59054E+01    0.33701E+00   -0.18906E-07   -0.56578E-04   -0.18906E-07    0.15073E-10
    72    0.38835E+04   -0.63830E+01   -0.55092E-04   -0.63830E+01    0.35010E+00   -0.17766E-07   -0.55092E-04   -0.17766E-07    0.14554E-10
    73    0.38689E+04   -0.68780E+01   -0.53654E-04   -0.68780E+01    0.36336E+00   -0.15965E-07   -0.53654E-04   -0.15965E-07    0.14058E-10
    74    0.38555E+04   -0.73866E+01   -0.52264E-04   -0.73866E+01    0.37678E+00   -0.13891E-07   -0.52264E-04   -0.13891E-07    0.13583E-10
    75    0.38433E+04   -0.79046E+01   -0.50920E-04   -0.79046E+01    0.39035E+00   -0.11930E-07   -0.50920E-04   -0.11930E-07    0.13128E-10
    76    0.38323E+04   -0.84291E+01   -0.49619E-04   -0.84291E+01    0.40409E+00   -0.10400E-07   -0.49619E-04   -0.10400E-07    0.12693E-10
    77    0.38225E+04   -0.89595E+01   -0.48361E-04   -0.89595E+01    0.41798E+00   -0.93332E-08   -0.48361E-04   -0.93332E-08    0.12276E-10
    78    0.38138E+04   -0.94973E+01   -0.47145E-04   -0.94973E+01    0.43205E+00   -0.86923E-08   -0.47145E-04   -0.86923E-08    0.11876E-10
    79    0.38062E+04   -0.10039E+02   -0.45968E-04   -0.10039E+02    0.44624E+00   -0.84395E-08   -0.45968E-04   -0.84395E-08    0.11492E-10
    80    0.37997E+04   -0.10586E+02   -0.44829E-04   -0.10586E+02    0.46056E+00   -0.85370E-08   -0.44829E-04   -0.85370E-08    0.11124E-10
    81    0.37942E+04   -0.11139E+02   -0.43726E-04   -0.11139E+02    0.47496E+00   -0.89355E-08   -0.43726E-04   -0.89355E-08    0.10770E-10
    82    0.37898E+04   -0.11698E+02   -0.42659E-04   -0.11698E+02    0.48946E+00   -0.95388E-08   -0.42659E-04   -0.95388E-08    0.10431E-10
    83    0.37862E+04   -0.12264E+02   -0.41625E-04   -0.12264E+02    0.50403E+00   -0.10239E-07   -0.41625E-04   -0.10239E-07    0.10105E-10
    84    0.37837E+04   -0.12836E+02   -0.40623E-04   -0.12836E+02    0.51867E+00   -0.10929E-07   -0.40623E-04   -0.10929E-07    0.97925E-11
    85    0.37820E+04   -0.13416E+02   -0.39652E-04   -0.13416E+02    0.53335E+00   -0.11500E-07   -0.39652E-04   -0.11500E-07    0.94919E-11
    86    0.37812E+04   -0.14005E+02   -0.38710E-04   -0.14005E+02    0.54807E+00   -0.11869E-07   -0.38710E-04   -0.11869E-07    0.92029E-11
    87    0.37815E+04   -0.14601E+02   -0.37795E-04   -0.14601E+02    0.56282E+00   -0.12055E-07   -0.37795E-04   -0.12055E-07    0.89250E-11
    88    0.37824E+04   -0.15204E+02   -0.36907E-04   -0.15204E+02    0.57760E+00   -0.12097E-07   -0.36907E-04   -0.12097E-07    0.86576E-11
