#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.231381E+08   0.231381E+08   0.308347E+08   0.308342E+08   0.231381E+08   0.231381E+08   0.231381E+08   0.231458E+08  -0.358892E+00   0.117569E+08   0.117569E+08   0.698214E+01
   0.112819E-04   0.231380E+08   0.231380E+08   0.308311E+08   0.308305E+08   0.231381E+08   0.231381E+08   0.231380E+08   0.231458E+08  -0.358892E+00   0.117569E+08   0.117569E+08   0.771674E+01
   0.124693E-04   0.231380E+08   0.231380E+08   0.308268E+08   0.308261E+08   0.231381E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358892E+00   0.117569E+08   0.117569E+08   0.852858E+01
   0.137816E-04   0.231380E+08   0.231380E+08   0.308214E+08   0.308206E+08   0.231381E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358892E+00   0.117569E+08   0.117569E+08   0.942575E+01
   0.152321E-04   0.231380E+08   0.231380E+08   0.308149E+08   0.308139E+08   0.231381E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358891E+00   0.117569E+08   0.117569E+08   0.104172E+02
   0.168352E-04   0.231380E+08   0.231380E+08   0.308070E+08   0.308057E+08   0.231381E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358891E+00   0.117569E+08   0.117569E+08   0.115128E+02
   0.186070E-04   0.231380E+08   0.231380E+08   0.307973E+08   0.307957E+08   0.231381E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358891E+00   0.117569E+08   0.117569E+08   0.127234E+02
   0.205653E-04   0.231380E+08   0.231380E+08   0.307855E+08   0.307836E+08   0.231380E+08   0.231380E+08   0.231380E+08   0.231457E+08  -0.358890E+00   0.117569E+08   0.117569E+08   0.140611E+02
   0.227297E-04   0.231379E+08   0.231379E+08   0.307710E+08   0.307687E+08   0.231380E+08   0.231379E+08   0.231379E+08   0.231456E+08  -0.358890E+00   0.117569E+08   0.117569E+08   0.155390E+02
   0.251219E-04   0.231379E+08   0.231379E+08   0.307534E+08   0.307505E+08   0.231380E+08   0.231379E+08   0.231379E+08   0.231456E+08  -0.358889E+00   0.117568E+08   0.117568E+08   0.171719E+02
   0.277659E-04   0.231379E+08   0.231378E+08   0.307318E+08   0.307284E+08   0.231379E+08   0.231379E+08   0.231379E+08   0.231455E+08  -0.358888E+00   0.117568E+08   0.117568E+08   0.189757E+02
   0.306881E-04   0.231378E+08   0.231378E+08   0.307055E+08   0.307013E+08   0.231379E+08   0.231378E+08   0.231378E+08   0.231455E+08  -0.358887E+00   0.117568E+08   0.117568E+08   0.209681E+02
   0.339179E-04   0.231377E+08   0.231377E+08   0.306734E+08   0.306683E+08   0.231378E+08   0.231377E+08   0.231377E+08   0.231454E+08  -0.358886E+00   0.117568E+08   0.117568E+08   0.231685E+02
   0.374876E-04   0.231377E+08   0.231377E+08   0.306343E+08   0.306280E+08   0.231378E+08   0.231377E+08   0.231377E+08   0.231453E+08  -0.358884E+00   0.117567E+08   0.117567E+08   0.255984E+02
   0.414330E-04   0.231376E+08   0.231376E+08   0.305865E+08   0.305788E+08   0.231377E+08   0.231376E+08   0.231376E+08   0.231452E+08  -0.358882E+00   0.117567E+08   0.117567E+08   0.282810E+02
   0.457936E-04   0.231375E+08   0.231374E+08   0.305282E+08   0.305188E+08   0.231375E+08   0.231375E+08   0.231375E+08   0.231451E+08  -0.358880E+00   0.117566E+08   0.117566E+08   0.312419E+02
   0.506132E-04   0.231373E+08   0.231373E+08   0.304572E+08   0.304457E+08   0.231374E+08   0.231373E+08   0.231373E+08   0.231449E+08  -0.358877E+00   0.117565E+08   0.117565E+08   0.345090E+02
