#    L    TT             EE             BB             TE          
     2    0.30159E+05    0.73415E-01    0.81657E-06    0.46010E+02
     3    0.25119E+05    0.12100E+00    0.16335E-05    0.53443E+02
     4    0.21495E+05    0.13820E+00    0.27233E-05    0.52739E+02
     5    0.18761E+05    0.12519E+00    0.40864E-05    0.47025E+02
     6    0.16624E+05    0.94835E-01    0.57234E-05    0.38665E+02
     7    0.14907E+05    0.61897E-01    0.76350E-05    0.29418E+02
     8    0.13497E+05    0.36207E-01    0.98219E-05    0.20525E+02
     9    0.12320E+05    0.20865E-01    0.12285E-04    0.12790E+02
    10    0.11315E+05    0.14061E-01    0.15025E-04    0.66561E+01
    11    0.10445E+05    0.12039E-01    0.18044E-04    0.22562E+01
    12    0.96827E+04    0.11526E-01    0.21342E-04   -0.49237E+00
    13    0.90165E+04    0.10856E-01    0.24920E-04   -0.18406E+01
    14    0.84363E+04    0.97185E-02    0.28780E-04   -0.20848E+01
    15    0.79300E+04    0.85593E-02    0.32922E-04   -0.15571E+01
    16    0.74847E+04    0.78706E-02    0.37349E-04   -0.58170E+00
    17    0.70871E+04    0.78014E-02    0.42061E-04    0.58450E+00
    18    0.67252E+04    0.81748E-02    0.47060E-04    0.17254E+01
    19    0.63970E+04    0.87028E-02    0.52347E-04    0.27158E+01
    20    0.60995E+04    0.91725E-02    0.57923E-04    0.34685E+01
    21    0.58300E+04    0.95174E-02    0.63789E-04    0.39730E+01
    22    0.55854E+04    0.98181E-02    0.69947E-04    0.42448E+01
    23    0.53630E+04    0.10241E-01    0.76398E-04    0.43317E+01
    24    0.51607E+04    0.10916E-01    0.83143E-04    0.42874E+01
    25    0.49766E+04    0.11919E-01    0.90183E-04    0.41565E+01
    26    0.48084E+04    0.13259E-01    0.97519E-04    0.39807E+01
    27    0.46545E+04    0.14917E-01    0.10515E-03    0.37911E+01
    28    0.45130E+04    0.16880E-01    0.11308E-03    0.36140E+01
    29    0.43825E+04    0.19094E-01    0.12131E-03    0.34631E+01
    30    0.42619E+04    0.21518E-01    0.12984E-03    0.33432E+01
    31    0.41506E+04    0.24153E-01    0.13866E-03    0.32434E+01
    32    0.40482E+04    0.27001E-01    0.14779E-03    0.31506E+01
    33    0.39541E+04    0.30063E-01    0.15721E-03    0.30604E+01
    34    0.38671E+04    0.33347E-01    0.16694E-03    0.29722E+01
    35    0.37868E+04    0.36843E-01    0.17697E-03    0.28900E+01
    36    0.37125E+04    0.40551E-01    0.18729E-03    0.28161E+01
    37    0.36434E+04    0.44496E-01    0.19792E-03    0.27453E+01
    38    0.35792E+04    0.48708E-01    0.20885E-03    0.26735E+01
    39    0.35195E+04    0.53177E-01    0.22007E-03    0.25999E+01
    40    0.34641E+04    0.57887E-01    0.23160E-03    0.25242E+01
    41    0.34129E+04    0.62834E-01    0.24342E-03    0.24454E+01
    42    0.33654E+04    0.68029E-01    0.25554E-03    0.23600E+01
    43    0.33215E+04    0.73489E-01    0.26796E-03    0.22640E+01
    44    0.32806E+04    0.79216E-01    0.28067E-03    0.21542E+01
    45    0.32428E+04    0.85222E-01    0.29368E-03    0.20276E+01
    46    0.32077E+04    0.91517E-01    0.30699E-03    0.18799E+01
    47    0.31752E+04    0.98093E-01    0.32059E-03    0.17114E+01
    48    0.31449E+04    0.10494E+00    0.33448E-03    0.15266E+01
    49    0.31169E+04    0.11203E+00    0.34866E-03    0.13291E+01
    50    0.30914E+04    0.11933E+00    0.36313E-03    0.11161E+01
    51    0.30680E+04    0.12680E+00    0.37790E-03    0.88352E+00
    52    0.30467E+04    0.13454E+00    0.39295E-03    0.63007E+00
    53    0.30272E+04    0.14270E+00    0.40829E-03    0.35677E+00
    54    0.30091E+04    0.15130E+00    0.42391E-03    0.72623E-01
    55    0.29925E+04    0.16032E+00    0.43983E-03   -0.21324E+00
    56    0.29775E+04    0.16963E+00    0.45603E-03   -0.49918E+00
    57    0.29641E+04    0.17911E+00    0.47251E-03   -0.78717E+00
    58    0.29521E+04    0.18876E+00    0.48928E-03   -0.10814E+01
    59    0.29413E+04    0.19861E+00    0.50633E-03   -0.13859E+01
    60    0.29319E+04    0.20870E+00    0.52366E-03   -0.17034E+01
    61    0.29239E+04    0.21910E+00    0.54127E-03   -0.20357E+01
    62    0.29168E+04    0.22981E+00    0.55917E-03   -0.23826E+01
    63    0.29107E+04    0.24079E+00    0.57735E-03   -0.27430E+01
    64    0.29058E+04    0.25207E+00    0.59581E-03   -0.31163E+01
    65    0.29019E+04    0.26362E+00    0.61455E-03   -0.35011E+01
    66    0.28990E+04    0.27539E+00    0.63358E-03   -0.38943E+01
    67    0.28970E+04    0.28737E+00    0.65289E-03   -0.42951E+01
    68    0.28962E+04    0.29960E+00    0.67248E-03   -0.47046E+01
    69    0.28962E+04    0.31203E+00    0.69235E-03   -0.51237E+01
    70    0.28973E+04    0.32471E+00    0.71251E-03   -0.55567E+01
    71    0.28991E+04    0.33762E+00    0.73295E-03   -0.60081E+01
    72    0.29017E+04    0.35073E+00    0.75368E-03   -0.64778E+01
    73    0.29050E+04    0.36401E+00    0.77470E-03   -0.69643E+01
    74    0.29091E+04    0.37744E+00    0.79600E-03   -0.74646E+01
    75    0.29140E+04    0.39103E+00    0.81760E-03   -0.79750E+01
    76    0.29197E+04    0.40479E+00    0.83948E-03   -0.84930E+01
    77    0.29262E+04    0.41870E+00    0.86166E-03   -0.90182E+01
    78    0.29335E+04    0.43278E+00    0.88413E-03   -0.95517E+01
    79    0.29415E+04    0.44699E+00    0.90690E-03   -0.10090E+02
    80    0.29502E+04    0.46133E+00    0.92996E-03   -0.10633E+02
    81    0.29596E+04    0.47574E+00    0.95333E-03   -0.11183E+02
    82    0.29696E+04    0.49026E+00    0.97699E-03   -0.11740E+02
    83    0.29803E+04    0.50484E+00    0.10010E-02   -0.12303E+02
    84    0.29917E+04    0.51950E+00    0.10252E-02   -0.12873E+02
    85    0.30036E+04    0.53419E+00    0.10498E-02   -0.13451E+02
    86    0.30160E+04    0.54893E+00    0.10747E-02   -0.14038E+02
    87    0.30293E+04    0.56369E+00    0.10999E-02   -0.14631E+02
    88    0.30429E+04    0.57848E+00    0.11254E-02   -0.15232E+02
    89    0.30571E+04    0.59329E+00    0.11513E-02   -0.15841E+02
    90    0.30720E+04    0.60808E+00    0.11774E-02   -0.16454E+02
    91    0.30873E+04    0.62285E+00    0.12039E-02   -0.17072E+02
    92    0.31032E+04    0.63757E+00    0.12307E-02   -0.17695E+02
    93    0.31197E+04    0.65224E+00    0.12578E-02   -0.18321E+02
    94    0.31365E+04    0.66683E+00    0.12853E-02   -0.18951E+02
    95    0.31540E+04    0.68133E+00    0.13131E-02   -0.19583E+02
    96    0.31717E+04    0.69573E+00    0.13412E-02   -0.20219E+02
    97    0.31902E+04    0.71001E+00    0.13696E-02   -0.20856E+02
    98    0.32091E+04    0.72418E+00    0.13984E-02   -0.21494E+02
    99    0.32284E+04    0.73818E+00    0.14275E-02   -0.22133E+02
   100    0.32482E+04    0.75202E+00    0.14570E-02   -0.22772E+02
   101    0.32685E+04    0.76576E+00    0.14868E-02   -0.23411E+02
   102    0.32895E+04    0.77926E+00    0.15170E-02   -0.24050E+02
   103    0.33106E+04    0.79258E+00    0.15475E-02   -0.24688E+02
   104    0.33322E+04    0.80573E+00    0.15783E-02   -0.25323E+02
   105    0.33542E+04    0.81863E+00    0.16095E-02   -0.25956E+02
   106    0.33766E+04    0.83135E+00    0.16411E-02   -0.26587E+02
   107    0.33991E+04    0.84376E+00    0.16730E-02   -0.27214E+02
   108    0.34222E+04    0.85592E+00    0.17053E-02   -0.27838E+02
   109    0.34457E+04    0.86775E+00    0.17379E-02   -0.28458E+02
   110    0.34694E+04    0.87927E+00    0.17709E-02   -0.29071E+02
   111    0.34934E+04    0.89054E+00    0.18043E-02   -0.29679E+02
   112    0.35178E+04    0.90148E+00    0.18380E-02   -0.30283E+02
   113    0.35426E+04    0.91211E+00    0.18721E-02   -0.30879E+02
   114    0.35676E+04    0.92235E+00    0.19066E-02   -0.31467E+02
   115    0.35930E+04    0.93234E+00    0.19415E-02   -0.32048E+02
   116    0.36185E+04    0.94187E+00    0.19767E-02   -0.32621E+02
   117    0.36445E+04    0.95101E+00    0.20123E-02   -0.33184E+02
   118    0.36708E+04    0.95991E+00    0.20483E-02   -0.33738E+02
   119    0.36972E+04    0.96842E+00    0.20847E-02   -0.34282E+02
   120    0.37239E+04    0.97639E+00    0.21215E-02   -0.34814E+02
   121    0.37508E+04    0.98412E+00    0.21587E-02   -0.35336E+02
   122    0.37778E+04    0.99132E+00    0.21962E-02   -0.35846E+02
   123    0.38051E+04    0.99807E+00    0.22342E-02   -0.36345E+02
   124    0.38325E+04    0.10044E+01    0.22726E-02   -0.36829E+02
   125    0.38601E+04    0.10103E+01    0.23114E-02   -0.37300E+02
   126    0.38878E+04    0.10158E+01    0.23505E-02   -0.37758E+02
   127    0.39157E+04    0.10208E+01    0.23901E-02   -0.38202E+02
   128    0.39436E+04    0.10254E+01    0.24302E-02   -0.38631E+02
   129    0.39718E+04    0.10295E+01    0.24706E-02   -0.39044E+02
   130    0.40000E+04    0.10331E+01    0.25115E-02   -0.39441E+02
   131    0.40283E+04    0.10363E+01    0.25528E-02   -0.39823E+02
   132    0.40568E+04    0.10389E+01    0.25945E-02   -0.40187E+02
