#           k/h    P           
    0.10000E-03    0.69000E+03
    0.10202E-03    0.70337E+03
    0.10408E-03    0.71700E+03
    0.10618E-03    0.73089E+03
    0.10833E-03    0.74505E+03
    0.11052E-03    0.75948E+03
    0.11275E-03    0.77420E+03
    0.11503E-03    0.78920E+03
    0.11735E-03    0.80448E+03
    0.11972E-03    0.82007E+03
    0.12214E-03    0.83595E+03
    0.12461E-03    0.85214E+03
    0.12712E-03    0.86865E+03
    0.12969E-03    0.88547E+03
    0.13231E-03    0.90262E+03
    0.13499E-03    0.92011E+03
    0.13771E-03    0.93792E+03
    0.14049E-03    0.95609E+03
    0.14333E-03    0.97460E+03
    0.14623E-03    0.99347E+03
    0.14918E-03    0.10127E+04
    0.15220E-03    0.10323E+04
    0.15527E-03    0.10523E+04
    0.15841E-03    0.10727E+04
    0.16161E-03    0.10934E+04
    0.16487E-03    0.11146E+04
    0.16820E-03    0.11362E+04
    0.17160E-03    0.11582E+04
    0.17507E-03    0.11806E+04
    0.17860E-03    0.12034E+04
    0.18221E-03    0.12267E+04
    0.18589E-03    0.12505E+04
    0.18965E-03    0.12747E+04
    0.19348E-03    0.12993E+04
    0.19739E-03    0.13245E+04
    0.20138E-03    0.13501E+04
    0.20544E-03    0.13762E+04
    0.20959E-03    0.14028E+04
    0.21383E-03    0.14300E+04
    0.21815E-03    0.14576E+04
    0.22255E-03    0.14858E+04
    0.22705E-03    0.15145E+04
    0.23164E-03    0.15438E+04
    0.23632E-03    0.15736E+04
    0.24109E-03    0.16041E+04
    0.24596E-03    0.16351E+04
    0.25093E-03    0.16667E+04
    0.25600E-03    0.16989E+04
    0.26117E-03    0.17317E+04
    0.26645E-03    0.17651E+04
    0.27183E-03    0.17992E+04
    0.27732E-03    0.18340E+04
    0.28292E-03    0.18694E+04
    0.28864E-03    0.19055E+04
    0.29447E-03    0.19422E+04
    0.30042E-03    0.19797E+04
    0.30649E-03    0.20179E+04
    0.31268E-03    0.20568E+04
    0.31899E-03    0.20965E+04
    0.32544E-03    0.21369E+04
    0.33201E-03    0.21781E+04
    0.33872E-03    0.22201E+04
    0.34556E-03    0.22629E+04
    0.35254E-03    0.23065E+04
    0.35966E-03    0.23509E+04
    0.36693E-03    0.23962E+04
    0.37434E-03    0.24424E+04
    0.38190E-03    0.24894E+04
    0.38962E-03    0.25373E+04
    0.39749E-03    0.25861E+04
    0.40552E-03    0.26358E+04
    0.41371E-03    0.26865E+04
    0.42207E-03    0.27382E+04
    0.43060E-03    0.27908E+04
    0.43929E-03    0.28444E+04
    0.44817E-03    0.28990E+04
    0.45722E-03    0.29546E+04
    0.46646E-03    0.30113E+04
    0.47588E-03    0.30691E+04
    0.48550E-03    0.31280E+04
    0.49530E-03    0.31879E+04
    0.50531E-03    0.32490E+04
    0.51552E-03    0.33112E+04
    0.52593E-03    0.33746E+04
    0.53656E-03    0.34392E+04
