#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.30159E+05    0.46010E+02   -0.45675E-02    0.46010E+02    0.73414E-01   -0.67535E-05   -0.45675E-02   -0.67535E-05    0.53632E-08
     3    0.25119E+05    0.53443E+02   -0.29930E-02    0.53443E+02    0.12099E+00   -0.59294E-05   -0.29930E-02   -0.59294E-05    0.33032E-08
     4    0.21495E+05    0.52739E+02   -0.22053E-02    0.52739E+02    0.13820E+00   -0.47072E-05   -0.22053E-02   -0.47072E-05    0.23031E-08
     5    0.18761E+05    0.47025E+02   -0.17351E-02    0.47025E+02    0.12519E+00   -0.34638E-05   -0.17351E-02   -0.34638E-05    0.17223E-08
     6    0.16624E+05    0.38665E+02   -0.14236E-02    0.38665E+02    0.94829E-01   -0.23398E-05   -0.14236E-02   -0.23398E-05    0.13472E-08
     7    0.14907E+05    0.29418E+02   -0.12028E-02    0.29418E+02    0.61889E-01   -0.14059E-05   -0.12028E-02   -0.14059E-05    0.10879E-08
     8    0.13497E+05    0.20525E+02   -0.10381E-02    0.20525E+02    0.36197E-01   -0.68892E-06   -0.10381E-02   -0.68892E-06    0.89969E-09
     9    0.12320E+05    0.12790E+02   -0.91031E-03    0.12790E+02    0.20853E-01   -0.18237E-06   -0.91031E-03   -0.18237E-06    0.75794E-09
    10    0.11315E+05    0.66562E+01   -0.80799E-03    0.66562E+01    0.14046E-01    0.13952E-06   -0.80799E-03    0.13952E-06    0.64801E-09
    11    0.10445E+05    0.22562E+01   -0.72438E-03    0.22562E+01    0.12021E-01    0.30718E-06   -0.72438E-03    0.30718E-06    0.56089E-09
    12    0.96827E+04   -0.49236E+00   -0.65475E-03   -0.49236E+00    0.11505E-01    0.35010E-06   -0.65475E-03    0.35010E-06    0.49031E-09
    13    0.90165E+04   -0.18406E+01   -0.59615E-03   -0.18406E+01    0.10831E-01    0.30665E-06   -0.59615E-03    0.30665E-06    0.43242E-09
    14    0.84363E+04   -0.20847E+01   -0.54619E-03   -0.20847E+01    0.96897E-02    0.21580E-06   -0.54619E-03    0.21580E-06    0.38414E-09
    15    0.79300E+04   -0.15571E+01   -0.50308E-03   -0.15571E+01    0.85264E-02    0.10916E-06   -0.50308E-03    0.10916E-06    0.34349E-09
    16    0.74847E+04   -0.58166E+00   -0.46536E-03   -0.58166E+00    0.78333E-02    0.11983E-07   -0.46536E-03    0.11983E-07    0.30887E-09
    17    0.70871E+04    0.58455E+00   -0.43208E-03    0.58455E+00    0.77594E-02   -0.68706E-07   -0.43208E-03   -0.68706E-07    0.27916E-09
    18    0.67252E+04    0.17255E+01   -0.40246E-03    0.17255E+01    0.81278E-02   -0.13010E-06   -0.40246E-03   -0.13010E-06    0.25345E-09
    19    0.63970E+04    0.27159E+01   -0.37600E-03    0.27159E+01    0.86505E-02   -0.16813E-06   -0.37600E-03   -0.16813E-06    0.23104E-09
    20    0.60996E+04    0.34686E+01   -0.35225E-03    0.34686E+01    0.91147E-02   -0.18036E-06   -0.35225E-03   -0.18036E-06    0.21137E-09
    21    0.58300E+04    0.39731E+01   -0.33085E-03    0.39731E+01    0.94536E-02   -0.17195E-06   -0.33085E-03   -0.17195E-06    0.19401E-09
    22    0.55854E+04    0.42450E+01   -0.31145E-03    0.42450E+01    0.97483E-02   -0.15022E-06   -0.31145E-03   -0.15022E-06    0.17863E-09
    23    0.53630E+04    0.43319E+01   -0.29382E-03    0.43319E+01    0.10165E-01   -0.12357E-06   -0.29382E-03   -0.12357E-06    0.16493E-09
    24    0.51607E+04    0.42876E+01   -0.27771E-03    0.42876E+01    0.10833E-01   -0.99016E-07   -0.27771E-03   -0.99016E-07    0.15267E-09
    25    0.49766E+04    0.41567E+01   -0.26296E-03    0.41567E+01    0.11829E-01   -0.77195E-07   -0.26296E-03   -0.77195E-07    0.14165E-09
    26    0.48084E+04    0.39810E+01   -0.24941E-03    0.39810E+01    0.13162E-01   -0.57667E-07   -0.24941E-03   -0.57667E-07    0.13172E-09
    27    0.46544E+04    0.37914E+01   -0.23690E-03    0.37914E+01    0.14812E-01   -0.42113E-07   -0.23690E-03   -0.42113E-07    0.12275E-09
