#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.34321E+05    0.46188E+02   -0.43274E-02    0.46188E+02    0.87666E-01   -0.63186E-05   -0.43274E-02   -0.63186E-05    0.10517E-08
     3    0.24737E+05    0.45595E+02   -0.33227E-02    0.45595E+02    0.13466E+00   -0.61074E-05   -0.33227E-02   -0.61074E-05    0.71290E-09
     4    0.19118E+05    0.40356E+02   -0.26383E-02    0.40356E+02    0.15149E+00   -0.52305E-05   -0.26383E-02   -0.52305E-05    0.53018E-09
     5    0.15461E+05    0.33262E+02   -0.21639E-02    0.33262E+02    0.13856E+00   -0.41714E-05   -0.21639E-02   -0.41714E-05    0.41747E-09
     6    0.12908E+05    0.25883E+02   -0.18202E-02    0.25883E+02    0.10780E+00   -0.31417E-05   -0.18202E-02   -0.31417E-05    0.34160E-09
     7    0.11032E+05    0.19124E+02   -0.15611E-02    0.19124E+02    0.73082E-01   -0.22432E-05   -0.15611E-02   -0.22432E-05    0.28728E-09
     8    0.96054E+04    0.13464E+02   -0.13596E-02    0.13464E+02    0.43997E-01   -0.15210E-05   -0.13596E-02   -0.15210E-05    0.24657E-09
     9    0.84920E+04    0.90880E+01   -0.11992E-02    0.90880E+01    0.24317E-01   -0.98385E-06   -0.11992E-02   -0.98385E-06    0.21502E-09
    10    0.76006E+04    0.59849E+01   -0.10685E-02    0.59849E+01    0.13384E-01   -0.61824E-06   -0.10685E-02   -0.61824E-06    0.18985E-09
    11    0.68711E+04    0.40217E+01   -0.96009E-03    0.40217E+01    0.84909E-02   -0.39857E-06   -0.96009E-03   -0.39857E-06    0.16939E-09
    12    0.62611E+04    0.29994E+01   -0.86835E-03    0.29994E+01    0.69494E-02   -0.29368E-06   -0.86835E-03   -0.29368E-06    0.15237E-09
    13    0.57455E+04    0.26618E+01   -0.78996E-03    0.26618E+01    0.68631E-02   -0.26772E-06   -0.78996E-03   -0.26772E-06    0.13804E-09
    14    0.53052E+04    0.27521E+01   -0.72229E-03    0.27521E+01    0.74322E-02   -0.28617E-06   -0.72229E-03   -0.28617E-06    0.12580E-09
    15    0.49275E+04    0.30653E+01   -0.66344E-03    0.30653E+01    0.83261E-02   -0.32381E-06   -0.66344E-03   -0.32381E-06    0.11523E-09
    16    0.46018E+04    0.34294E+01   -0.61181E-03    0.34294E+01    0.93040E-02   -0.36054E-06   -0.61181E-03   -0.36054E-06    0.10601E-09
    17    0.43188E+04    0.37491E+01   -0.56621E-03    0.37491E+01    0.10235E-01   -0.38735E-06   -0.56621E-03   -0.38735E-06    0.97917E-10
    18    0.40698E+04    0.39586E+01   -0.52563E-03    0.39586E+01    0.10851E-01   -0.39863E-06   -0.52563E-03   -0.39863E-06    0.90755E-10
    19    0.38510E+04    0.40283E+01   -0.48934E-03    0.40283E+01    0.11083E-01   -0.39128E-06   -0.48934E-03   -0.39128E-06    0.84378E-10
    20    0.36568E+04    0.39478E+01   -0.45674E-03    0.39478E+01    0.10998E-01   -0.36474E-06   -0.45674E-03   -0.36474E-06    0.78660E-10
    21    0.34841E+04    0.37608E+01   -0.42732E-03    0.37608E+01    0.10759E-01   -0.32597E-06   -0.42732E-03   -0.32597E-06    0.73512E-10
    22    0.33301E+04    0.35218E+01   -0.40066E-03    0.35218E+01    0.10628E-01   -0.28328E-06   -0.40066E-03   -0.28328E-06    0.68859E-10
    23    0.31923E+04    0.32787E+01   -0.37642E-03    0.32787E+01    0.10811E-01   -0.24281E-06   -0.37642E-03   -0.24281E-06    0.64636E-10
    24    0.30686E+04    0.30697E+01   -0.35428E-03    0.30697E+01    0.11431E-01   -0.20903E-06   -0.35428E-03   -0.20903E-06    0.60786E-10
    25    0.29574E+04    0.29015E+01   -0.33401E-03    0.29015E+01    0.12499E-01   -0.18171E-06   -0.33401E-03   -0.18171E-06    0.57265E-10
    26    0.28570E+04    0.27755E+01   -0.31540E-03    0.27755E+01    0.13958E-01   -0.15991E-06   -0.31540E-03   -0.15991E-06    0.54036E-10
    27    0.27664E+04    0.26967E+01   -0.29826E-03    0.26967E+01    0.15756E-01   -0.14441E-06   -0.29826E-03   -0.14441E-06    0.51067E-10
    28    0.26841E+04    0.26689E+01   -0.28242E-03    0.26689E+01    0.17861E-01   -0.13596E-06   -0.28242E-03   -0.13596E-06    0.48328E-10
    29    0.26094E+04    0.26827E+01   -0.26773E-03    0.26827E+01    0.20201E-01   -0.13347E-06   -0.26773E-03   -0.13347E-06    0.45795E-10
    30    0.25415E+04    0.27213E+01   -0.25409E-03    0.27213E+01    0.22717E-01   -0.13491E-06   -0.25409E-03   -0.13491E-06    0.43443E-10
    31    0.24797E+04    0.27573E+01   -0.24141E-03    0.27573E+01    0.25389E-01   -0.13654E-06   -0.24141E-03   -0.13654E-06    0.41259E-10
    32    0.24240E+04    0.27657E+01   -0.22961E-03    0.27657E+01    0.28199E-01   -0.13492E-06   -0.22961E-03   -0.13492E-06    0.39227E-10
    33    0.23735E+04    0.27428E+01   -0.21862E-03    0.27428E+01    0.31150E-01   -0.12971E-06   -0.21862E-03   -0.12971E-06    0.37333E-10
    34    0.23277E+04    0.26925E+01   -0.20835E-03    0.26925E+01    0.34260E-01   -0.12166E-06   -0.20835E-03   -0.12166E-06    0.35564E-10
    35    0.22861E+04    0.26259E+01   -0.19873E-03    0.26259E+01    0.37542E-01   -0.11288E-06   -0.19873E-03   -0.11288E-06    0.33910E-10
    36    0.22484E+04    0.25518E+01   -0.18971E-03    0.25518E+01    0.41020E-01   -0.10528E-06   -0.18971E-03   -0.10528E-06    0.32360E-10
