#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.35637E+07    0.94553E+00    0.24389E-01    0.16138E+04    0.40768E-05    0.19179E+01    0.37988E-03
     3    0.25686E+07    0.12469E+01    0.28244E-01    0.14852E+04    0.43872E-05    0.16545E+01    0.31887E-03
     4    0.19824E+07    0.14072E+01    0.27851E-01    0.13247E+04    0.45854E-05    0.14848E+01    0.27112E-03
     5    0.15982E+07    0.14108E+01    0.24581E-01    0.11514E+04    0.47076E-05    0.13578E+01    0.23139E-03
     6    0.13280E+07    0.12964E+01    0.19973E-01    0.98262E+03    0.47730E-05    0.12546E+01    0.19809E-03
     7    0.11283E+07    0.11186E+01    0.15266E-01    0.82863E+03    0.47978E-05    0.11674E+01    0.17114E-03
     8    0.97511E+06    0.92448E+00    0.11230E-01    0.69438E+03    0.47927E-05    0.10919E+01    0.14984E-03
     9    0.85425E+06    0.74680E+00    0.81923E-02    0.58156E+03    0.47656E-05    0.10253E+01    0.13297E-03
    10    0.75657E+06    0.60232E+00    0.61795E-02    0.48962E+03    0.47218E-05    0.96569E+00    0.11922E-03
    11    0.67634E+06    0.49440E+00    0.50588E-02    0.41666E+03    0.46666E-05    0.91210E+00    0.10796E-03
    12    0.60920E+06    0.41865E+00    0.46373E-02    0.35988E+03    0.46018E-05    0.86328E+00    0.99133E-04
    13    0.55237E+06    0.36706E+00    0.47182E-02    0.31604E+03    0.45299E-05    0.81853E+00    0.92070E-04
    14    0.50363E+06    0.33208E+00    0.51225E-02    0.28197E+03    0.44534E-05    0.77745E+00    0.85984E-04
    15    0.46146E+06    0.30728E+00    0.57348E-02    0.25495E+03    0.43738E-05    0.73956E+00    0.80293E-04
    16    0.42461E+06    0.28709E+00    0.64667E-02    0.23262E+03    0.42919E-05    0.70447E+00    0.74661E-04
    17    0.39220E+06    0.26861E+00    0.72716E-02    0.21357E+03    0.42088E-05    0.67189E+00    0.69503E-04
    18    0.36350E+06    0.24976E+00    0.81184E-02    0.19668E+03    0.41253E-05    0.64157E+00    0.65223E-04
    19    0.33795E+06    0.23013E+00    0.89959E-02    0.18116E+03    0.40416E-05    0.61325E+00    0.61467E-04
    20    0.31504E+06    0.20994E+00    0.98987E-02    0.16640E+03    0.39581E-05    0.58670E+00    0.57804E-04
    21    0.29443E+06    0.19005E+00    0.10824E-01    0.15236E+03    0.38751E-05    0.56179E+00    0.54222E-04
    22    0.27582E+06    0.17151E+00    0.11771E-01    0.13918E+03    0.37933E-05    0.53841E+00    0.50833E-04
    23    0.25895E+06    0.15514E+00    0.12737E-01    0.12708E+03    0.37127E-05    0.51642E+00    0.47836E-04
    24    0.24358E+06    0.14153E+00    0.13721E-01    0.11623E+03    0.36334E-05    0.49568E+00    0.45358E-04
    25    0.22955E+06    0.13074E+00    0.14720E-01    0.10654E+03    0.35555E-05    0.47610E+00    0.43175E-04
    26    0.21669E+06    0.12259E+00    0.15730E-01    0.97891E+02    0.34792E-05    0.45760E+00    0.41045E-04
