#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.94003E+07    0.10962E+01    0.24389E-01    0.31096E+04    0.35126E-06    0.57547E+00    0.12591E-03
     3    0.76792E+07    0.18159E+01    0.28244E-01    0.35949E+04    0.39079E-06    0.50164E+00    0.14158E-03
     4    0.65240E+07    0.21279E+01    0.27851E-01    0.35782E+04    0.42063E-06    0.45899E+00    0.13928E-03
     5    0.56837E+07    0.19994E+01    0.24581E-01    0.32413E+04    0.44337E-06    0.42931E+00    0.12463E-03
     6    0.50411E+07    0.15814E+01    0.19973E-01    0.27203E+04    0.46046E-06    0.40637E+00    0.10078E-03
     7    0.45322E+07    0.10793E+01    0.15266E-01    0.21195E+04    0.47330E-06    0.38774E+00    0.71946E-04
     8    0.41168E+07    0.65517E+00    0.11230E-01    0.15160E+04    0.48278E-06    0.37180E+00    0.43383E-04
     9    0.37697E+07    0.38605E+00    0.81923E-02    0.96413E+03    0.48965E-06    0.35766E+00    0.18599E-04
    10    0.34726E+07    0.26927E+00    0.61795E-02    0.49794E+03    0.49435E-06    0.34483E+00   -0.21636E-05
    11    0.32140E+07    0.25464E+00    0.50588E-02    0.13378E+03    0.49741E-06    0.33326E+00   -0.19223E-04
    12    0.29881E+07    0.27981E+00    0.46373E-02   -0.12451E+03    0.49899E-06    0.32275E+00   -0.30194E-04
    13    0.27918E+07    0.30642E+00    0.47182E-02   -0.28379E+03    0.49936E-06    0.31310E+00   -0.32859E-04
    14    0.26218E+07    0.31136E+00    0.51225E-02   -0.35505E+03    0.49878E-06    0.30418E+00   -0.26582E-04
    15    0.24721E+07    0.30259E+00    0.57348E-02   -0.35680E+03    0.49740E-06    0.29586E+00   -0.16063E-04
    16    0.23367E+07    0.29501E+00    0.64667E-02   -0.30885E+03    0.49535E-06    0.28800E+00   -0.60149E-05
    17    0.22133E+07    0.30050E+00    0.72716E-02   -0.22876E+03    0.49274E-06    0.28054E+00    0.36281E-05
    18    0.21002E+07    0.32629E+00    0.81184E-02   -0.13263E+03    0.48969E-06    0.27347E+00    0.13895E-04
