#           k/h    P           
    0.10000E-03    0.10930E+05
    0.10202E-03    0.11141E+05
    0.10408E-03    0.11357E+05
    0.10618E-03    0.11577E+05
    0.10833E-03    0.11801E+05
    0.11052E-03    0.12029E+05
    0.11275E-03    0.12262E+05
    0.11503E-03    0.12499E+05
    0.11735E-03    0.12741E+05
    0.11972E-03    0.12988E+05
    0.12214E-03    0.13239E+05
    0.12461E-03    0.13495E+05
    0.12712E-03    0.13756E+05
    0.12969E-03    0.14022E+05
    0.13231E-03    0.14294E+05
    0.13499E-03    0.14570E+05
    0.13771E-03    0.14852E+05
    0.14049E-03    0.15139E+05
    0.14333E-03    0.15432E+05
    0.14623E-03    0.15730E+05
    0.14918E-03    0.16034E+05
    0.15220E-03    0.16344E+05
    0.15527E-03    0.16660E+05
    0.15841E-03    0.16982E+05
    0.16161E-03    0.17310E+05
    0.16487E-03    0.17644E+05
    0.16820E-03    0.17985E+05
    0.17160E-03    0.18332E+05
    0.17507E-03    0.18686E+05
    0.17860E-03    0.19047E+05
    0.18221E-03    0.19415E+05
    0.18589E-03    0.19789E+05
    0.18965E-03    0.20171E+05
    0.19348E-03    0.20561E+05
    0.19739E-03    0.20957E+05
    0.20138E-03    0.21361E+05
    0.20544E-03    0.21773E+05
    0.20959E-03    0.22193E+05
    0.21383E-03    0.22621E+05
    0.21815E-03    0.23057E+05
    0.22255E-03    0.23501E+05
    0.22705E-03    0.23953E+05
    0.23164E-03    0.24415E+05
    0.23632E-03    0.24885E+05
    0.24109E-03    0.25364E+05
    0.24596E-03    0.25852E+05
    0.25093E-03    0.26349E+05
    0.25600E-03    0.26856E+05
    0.26117E-03    0.27372E+05
    0.26645E-03    0.27898E+05
    0.27183E-03    0.28434E+05
    0.27732E-03    0.28980E+05
    0.28292E-03    0.29536E+05
    0.28864E-03    0.30103E+05
    0.29447E-03    0.30680E+05
    0.30042E-03    0.31268E+05
    0.30649E-03    0.31868E+05
    0.31268E-03    0.32478E+05
    0.31899E-03    0.33100E+05
    0.32544E-03    0.33734E+05
    0.33201E-03    0.34379E+05
    0.33872E-03    0.35037E+05
    0.34556E-03    0.35706E+05
    0.35254E-03    0.36389E+05
    0.35966E-03    0.37083E+05
    0.36693E-03    0.37791E+05
    0.37434E-03    0.38512E+05
    0.38190E-03    0.39246E+05
    0.38962E-03    0.39994E+05
    0.39749E-03    0.40755E+05
    0.40552E-03    0.41530E+05
    0.41371E-03    0.42320E+05
    0.42207E-03    0.43124E+05
    0.43060E-03    0.43943E+05
    0.43929E-03    0.44777E+05
    0.44817E-03    0.45626E+05
    0.45722E-03    0.46490E+05
    0.46646E-03    0.47370E+05
    0.47588E-03    0.48266E+05
    0.48550E-03    0.49178E+05
    0.49530E-03    0.50107E+05
    0.50531E-03    0.51053E+05
    0.51552E-03    0.52015E+05
    0.52593E-03    0.52995E+05
    0.53656E-03    0.53992E+05
    0.54739E-03    0.55007E+05
    0.55845E-03    0.56040E+05
    0.56973E-03    0.57091E+05
    0.58124E-03    0.58161E+05
    0.59299E-03    0.59250E+05
    0.60496E-03    0.60359E+05
    0.61719E-03    0.61486E+05
    0.62965E-03    0.62634E+05
    0.64237E-03    0.63802E+05
    0.65535E-03    0.64990E+05
    0.66859E-03    0.66198E+05
    0.68210E-03    0.67428E+05
    0.69588E-03    0.68679E+05
    0.70993E-03    0.69952E+05
    0.72427E-03    0.71246E+05
    0.73891E-03    0.72563E+05
    0.75383E-03    0.73903E+05
    0.76906E-03    0.75265E+05
    0.78460E-03    0.76650E+05
    0.80045E-03    0.78060E+05
    0.81662E-03    0.79493E+05
    0.83311E-03    0.80950E+05
    0.84994E-03    0.82431E+05
    0.86711E-03    0.83938E+05
    0.88463E-03    0.85470E+05
    0.90250E-03    0.87027E+05
    0.92073E-03    0.88610E+05
    0.93933E-03    0.90220E+05
    0.95831E-03    0.91856E+05
    0.97767E-03    0.93519E+05
    0.99742E-03    0.95209E+05
    0.10176E-02    0.96927E+05
    0.10381E-02    0.98672E+05
    0.10591E-02    0.10045E+06
    0.10805E-02    0.10225E+06
    0.11023E-02    0.10408E+06
    0.11246E-02    0.10594E+06
    0.11473E-02    0.10783E+06
