#    L    TT             EE             BB             TE          
     2    0.15975E+09    0.82561E+01   -0.47225E-04    0.35782E+05
     3    0.13540E+09    0.13671E+02   -0.93995E-04    0.42301E+05
     4    0.11820E+09    0.15154E+02   -0.15565E-03    0.41755E+05
     5    0.10515E+09    0.13118E+02   -0.23159E-03    0.36587E+05
     6    0.94822E+08    0.97714E+01   -0.32108E-03    0.28750E+05
     7    0.86394E+08    0.74073E+01   -0.42324E-03    0.19807E+05
     8    0.79330E+08    0.72408E+01   -0.53705E-03    0.10921E+05
     9    0.73304E+08    0.91393E+01   -0.66138E-03    0.29435E+04
    10    0.68058E+08    0.12028E+02   -0.79497E-03   -0.35717E+04
    11    0.63396E+08    0.14604E+02   -0.93646E-03   -0.83880E+04
    12    0.59223E+08    0.15870E+02   -0.10844E-02   -0.11500E+05
    13    0.55539E+08    0.15765E+02   -0.12371E-02   -0.13039E+05
    14    0.52339E+08    0.14596E+02   -0.13931E-02   -0.13188E+05
    15    0.49511E+08    0.13216E+02   -0.15506E-02   -0.12241E+05
    16    0.46935E+08    0.12488E+02   -0.17078E-02   -0.10519E+05
    17    0.44564E+08    0.12756E+02   -0.18628E-02   -0.83253E+04
    18    0.42373E+08    0.14088E+02   -0.20139E-02   -0.59453E+04
    19    0.40346E+08    0.15966E+02   -0.21591E-02   -0.35957E+04
    20    0.38473E+08    0.17749E+02   -0.22964E-02   -0.14621E+04
    21    0.36738E+08    0.18892E+02   -0.24241E-02    0.32445E+03
    22    0.35129E+08    0.18980E+02   -0.25402E-02    0.16697E+04
    23    0.33634E+08    0.18030E+02   -0.26428E-02    0.25710E+04
    24    0.32239E+08    0.16232E+02   -0.27301E-02    0.30542E+04
    25    0.30938E+08    0.14030E+02   -0.28003E-02    0.31679E+04
    26    0.29722E+08    0.11896E+02   -0.28517E-02    0.29719E+04
    27    0.28583E+08    0.10136E+02   -0.28826E-02    0.25478E+04
    28    0.27514E+08    0.89580E+01   -0.28916E-02    0.19808E+04
    29    0.26507E+08    0.83393E+01   -0.28771E-02    0.13496E+04
    30    0.25555E+08    0.81665E+01   -0.28378E-02    0.72657E+03
    31    0.24656E+08    0.82003E+01   -0.27724E-02    0.16743E+03
    32    0.23808E+08    0.81996E+01   -0.26800E-02   -0.28449E+03
    33    0.23005E+08    0.80399E+01   -0.25596E-02   -0.61798E+03
    34    0.22245E+08    0.76584E+01   -0.24102E-02   -0.82956E+03
    35    0.21524E+08    0.71208E+01   -0.22315E-02   -0.91449E+03
    36    0.20838E+08    0.65231E+01   -0.20227E-02   -0.87252E+03
    37    0.20184E+08    0.59523E+01   -0.17837E-02   -0.72274E+03
    38    0.19562E+08    0.54779E+01   -0.15144E-02   -0.49173E+03
    39    0.18970E+08    0.51079E+01   -0.12147E-02   -0.21674E+03
    40    0.18404E+08    0.48348E+01   -0.88495E-03    0.62301E+02
    41    0.17865E+08    0.46459E+01   -0.52553E-03    0.31165E+03
    42    0.17349E+08    0.45086E+01   -0.13705E-03    0.52230E+03
    43    0.16856E+08    0.43848E+01    0.27970E-03    0.69144E+03
    44    0.16384E+08    0.42367E+01    0.72374E-03    0.81626E+03
    45    0.15932E+08    0.40264E+01    0.11939E-02    0.89393E+03
    46    0.15498E+08    0.37289E+01    0.16889E-02    0.92347E+03
    47    0.15082E+08    0.33711E+01    0.22073E-02    0.91112E+03
    48    0.14683E+08    0.29932E+01    0.27473E-02    0.86497E+03
    49    0.14299E+08    0.26349E+01    0.33072E-02    0.79311E+03
    50    0.13931E+08    0.23363E+01    0.38850E-02    0.70359E+03
    51    0.13576E+08    0.21266E+01    0.44786E-02    0.60429E+03
    52    0.13235E+08    0.19929E+01    0.50858E-02    0.50227E+03
    53    0.12907E+08    0.19116E+01    0.57043E-02    0.40437E+03
    54    0.12590E+08    0.18589E+01    0.63317E-02    0.31745E+03
    55    0.12284E+08    0.18111E+01    0.69654E-02    0.24837E+03
    56    0.11990E+08    0.17499E+01    0.76028E-02    0.20209E+03
    57    0.11705E+08    0.16787E+01    0.82414E-02    0.17592E+03
    58    0.11429E+08    0.16067E+01    0.88785E-02    0.16532E+03
    59    0.11163E+08    0.15429E+01    0.95113E-02    0.16569E+03
    60    0.10905E+08    0.14964E+01    0.10137E-01    0.17248E+03
    61    0.10656E+08    0.14732E+01    0.10753E-01    0.18182E+03
    62    0.10414E+08    0.14655E+01    0.11357E-01    0.19275E+03
    63    0.10180E+08    0.14622E+01    0.11946E-01    0.20499E+03
    64    0.99531E+07    0.14523E+01    0.12518E-01    0.21828E+03
    65    0.97331E+07    0.14248E+01    0.13070E-01    0.23237E+03
    66    0.95199E+07    0.13720E+01    0.13599E-01    0.24665E+03
    67    0.93130E+07    0.13004E+01    0.14104E-01    0.25924E+03
    68    0.91123E+07    0.12199E+01    0.14582E-01    0.26792E+03
    69    0.89174E+07    0.11403E+01    0.15032E-01    0.27047E+03
    70    0.87281E+07    0.10715E+01    0.15451E-01    0.26466E+03
    71    0.85441E+07    0.10214E+01    0.15838E-01    0.24929E+03
    72    0.83653E+07    0.98963E+00    0.16192E-01    0.22716E+03
    73    0.81913E+07    0.97396E+00    0.16511E-01    0.20213E+03
    74    0.80220E+07    0.97206E+00    0.16794E-01    0.17801E+03
    75    0.78573E+07    0.98162E+00    0.17041E-01    0.15865E+03
    76    0.76970E+07    0.99996E+00    0.17250E-01    0.14683E+03
    77    0.75410E+07    0.10227E+01    0.17422E-01    0.14106E+03
    78    0.73891E+07    0.10449E+01    0.17557E-01    0.13880E+03
    79    0.72414E+07    0.10619E+01    0.17654E-01    0.13754E+03
    80    0.70977E+07    0.10688E+01    0.17714E-01    0.13472E+03
    81    0.69580E+07    0.10622E+01    0.17737E-01    0.12847E+03
    82    0.68222E+07    0.10453E+01    0.17725E-01    0.11960E+03
    83    0.66900E+07    0.10225E+01    0.17679E-01    0.10956E+03
    84    0.65615E+07    0.99850E+00    0.17600E-01    0.99818E+02
    85    0.64365E+07    0.97775E+00    0.17489E-01    0.91830E+02
    86    0.63150E+07    0.96387E+00    0.17348E-01    0.86689E+02
    87    0.61968E+07    0.95644E+00    0.17180E-01    0.84010E+02
    88    0.60819E+07    0.95409E+00    0.16987E-01    0.83034E+02
    89    0.59703E+07    0.95543E+00    0.16770E-01    0.83003E+02
    90    0.58620E+07    0.95903E+00    0.16534E-01    0.83164E+02
    91    0.57569E+07    0.96373E+00    0.16279E-01    0.82889E+02
    92    0.56549E+07    0.96925E+00    0.16010E-01    0.82091E+02
    93    0.55559E+07    0.97555E+00    0.15729E-01    0.80810E+02
    94    0.54597E+07    0.98256E+00    0.15440E-01    0.79090E+02
    95    0.53663E+07    0.99024E+00    0.15145E-01    0.76973E+02
    96    0.52755E+07    0.99853E+00    0.14848E-01    0.74501E+02
    97    0.51872E+07    0.10074E+01    0.14552E-01    0.71717E+02
    98    0.51012E+07    0.10168E+01    0.14261E-01    0.68665E+02
    99    0.50175E+07    0.10266E+01    0.13978E-01    0.65384E+02
   100    0.49360E+07    0.10368E+01    0.13705E-01    0.61921E+02
   101    0.48564E+07    0.10475E+01    0.13447E-01    0.58313E+02
   102    0.47787E+07    0.10584E+01    0.13207E-01    0.54606E+02
   103    0.47027E+07    0.10695E+01    0.12987E-01    0.50840E+02
   104    0.46283E+07    0.10810E+01    0.12791E-01    0.47059E+02
   105    0.45553E+07    0.10925E+01    0.12621E-01    0.43306E+02
   106    0.44837E+07    0.11042E+01    0.12480E-01    0.39621E+02
   107    0.44133E+07    0.11159E+01    0.12370E-01    0.36048E+02
   108    0.43439E+07    0.11276E+01    0.12294E-01    0.32628E+02
   109    0.42755E+07    0.11392E+01    0.12255E-01    0.29406E+02
   110    0.42078E+07    0.11507E+01    0.12252E-01    0.26423E+02
   111    0.41408E+07    0.11621E+01    0.12290E-01    0.23711E+02
   112    0.40744E+07    0.11733E+01    0.12367E-01    0.21265E+02
   113    0.40087E+07    0.11843E+01    0.12487E-01    0.19069E+02
   114    0.39437E+07    0.11950E+01    0.12649E-01    0.17108E+02
   115    0.38794E+07    0.12056E+01    0.12854E-01    0.15367E+02
   116    0.38157E+07    0.12157E+01    0.13102E-01    0.13830E+02
   117    0.37528E+07    0.12256E+01    0.13394E-01    0.12483E+02
   118    0.36906E+07    0.12353E+01    0.13729E-01    0.11309E+02
   119    0.36292E+07    0.12446E+01    0.14105E-01    0.10294E+02
   120    0.35685E+07    0.12534E+01    0.14524E-01    0.94227E+01
   121    0.35086E+07    0.12620E+01    0.14982E-01    0.86803E+01
   122    0.34495E+07    0.12701E+01    0.15479E-01    0.80517E+01
   123    0.33911E+07    0.12777E+01    0.16013E-01    0.75216E+01
   124    0.33336E+07    0.12849E+01    0.16581E-01    0.70779E+01
   125    0.32770E+07    0.12916E+01    0.17183E-01    0.67032E+01
   126    0.32212E+07    0.12979E+01    0.17815E-01    0.63831E+01
   127    0.31662E+07    0.13035E+01    0.18474E-01    0.61033E+01
   128    0.31122E+07    0.13088E+01    0.19158E-01    0.58499E+01
   129    0.30591E+07    0.13134E+01    0.19864E-01    0.56086E+01
   130    0.30070E+07    0.13174E+01    0.20589E-01    0.53655E+01
   131    0.29558E+07    0.13210E+01    0.21329E-01    0.51069E+01
   132    0.29056E+07    0.13239E+01    0.22081E-01    0.48333E+01
   133    0.28564E+07    0.13264E+01    0.22842E-01    0.45427E+01
   134    0.28080E+07    0.13283E+01    0.23608E-01    0.42398E+01
   135    0.27606E+07    0.13298E+01    0.24376E-01    0.39217E+01
   136    0.27141E+07    0.13308E+01    0.25142E-01    0.35925E+01
   137    0.26685E+07    0.13314E+01    0.25903E-01    0.32502E+01
   138    0.26238E+07    0.13316E+01    0.26655E-01    0.28967E+01
   139    0.25799E+07    0.13316E+01    0.27396E-01    0.25330E+01
   140    0.25369E+07    0.13311E+01    0.28122E-01    0.21587E+01
   141    0.24948E+07    0.13302E+01    0.28829E-01    0.17765E+01
   142    0.24535E+07    0.13292E+01    0.29516E-01    0.13857E+01
   143    0.24130E+07    0.13280E+01    0.30179E-01    0.98689E+00
   144    0.23734E+07    0.13265E+01    0.30817E-01    0.58091E+00
   145    0.23347E+07    0.13249E+01    0.31426E-01    0.16880E+00
   146    0.22967E+07    0.13232E+01    0.32005E-01   -0.24925E+00
   147    0.22596E+07    0.13214E+01    0.32552E-01   -0.67161E+00
   148    0.22233E+07    0.13194E+01    0.33066E-01   -0.10997E+01
   149    0.21879E+07    0.13175E+01    0.33545E-01   -0.15319E+01
   150    0.21532E+07    0.13157E+01    0.33989E-01   -0.19662E+01
   151    0.21194E+07    0.13139E+01    0.34398E-01   -0.24052E+01
   152    0.20864E+07    0.13120E+01    0.34770E-01   -0.28454E+01
   153    0.20541E+07    0.13102E+01    0.35106E-01   -0.32824E+01
   154    0.20227E+07    0.13085E+01    0.35406E-01   -0.37162E+01
   155    0.19921E+07    0.13067E+01    0.35672E-01   -0.41440E+01
   156    0.19622E+07    0.13049E+01    0.35904E-01   -0.45638E+01
   157    0.19331E+07    0.13030E+01    0.36104E-01   -0.49721E+01
   158    0.19048E+07    0.13011E+01    0.36272E-01   -0.53680E+01
   159    0.18772E+07    0.12990E+01    0.36412E-01   -0.57498E+01
   160    0.18503E+07    0.12968E+01    0.36526E-01   -0.61143E+01
   161    0.18242E+07    0.12946E+01    0.36615E-01   -0.64615E+01
   162    0.17988E+07    0.12921E+01    0.36683E-01   -0.67901E+01
   163    0.17740E+07    0.12895E+01    0.36732E-01   -0.70972E+01
   164    0.17499E+07    0.12867E+01    0.36766E-01   -0.73832E+01
   165    0.17265E+07    0.12837E+01    0.36787E-01   -0.76446E+01
   166    0.17036E+07    0.12805E+01    0.36800E-01   -0.78818E+01
   167    0.16814E+07    0.12769E+01    0.36808E-01   -0.80947E+01
   168    0.16597E+07    0.12733E+01    0.36815E-01   -0.82801E+01
