#    L    TT             EE             BB             TE          
     2    0.15975E+09    0.82715E+01    0.24342E-01    0.35782E+05
     3    0.13540E+09    0.13691E+02    0.28150E-01    0.42301E+05
     4    0.11820E+09    0.15175E+02    0.27695E-01    0.41755E+05
     5    0.10515E+09    0.13138E+02    0.24349E-01    0.36586E+05
     6    0.94823E+08    0.97877E+01    0.19651E-01    0.28749E+05
     7    0.86395E+08    0.74197E+01    0.14843E-01    0.19806E+05
     8    0.79331E+08    0.72498E+01    0.10693E-01    0.10920E+05
     9    0.73305E+08    0.91457E+01    0.75310E-02    0.29431E+04
    10    0.68059E+08    0.12033E+02    0.53846E-02   -0.35721E+04
    11    0.63397E+08    0.14608E+02    0.41224E-02   -0.83883E+04
    12    0.59224E+08    0.15874E+02    0.35529E-02   -0.11500E+05
    13    0.55540E+08    0.15770E+02    0.34811E-02   -0.13039E+05
    14    0.52339E+08    0.14601E+02    0.37293E-02   -0.13188E+05
    15    0.49511E+08    0.13222E+02    0.41842E-02   -0.12242E+05
    16    0.46935E+08    0.12494E+02    0.47589E-02   -0.10519E+05
    17    0.44565E+08    0.12764E+02    0.54088E-02   -0.83256E+04
    18    0.42373E+08    0.14096E+02    0.61045E-02   -0.59457E+04
    19    0.40346E+08    0.15975E+02    0.68368E-02   -0.35961E+04
    20    0.38473E+08    0.17760E+02    0.76022E-02   -0.14625E+04
    21    0.36739E+08    0.18903E+02    0.84001E-02    0.32397E+03
    22    0.35130E+08    0.18992E+02    0.92306E-02    0.16692E+04
    23    0.33634E+08    0.18043E+02    0.10094E-01    0.25704E+04
    24    0.32240E+08    0.16246E+02    0.10991E-01    0.30535E+04
    25    0.30938E+08    0.14046E+02    0.11920E-01    0.31672E+04
    26    0.29722E+08    0.11912E+02    0.12879E-01    0.29712E+04
    27    0.28583E+08    0.10153E+02    0.13871E-01    0.25470E+04
    28    0.27514E+08    0.89766E+01    0.14900E-01    0.19800E+04
    29    0.26507E+08    0.83592E+01    0.15966E-01    0.13487E+04
    30    0.25555E+08    0.81875E+01    0.17069E-01    0.72563E+03
    31    0.24656E+08    0.82226E+01    0.18209E-01    0.16643E+03
    32    0.23808E+08    0.82231E+01    0.19384E-01   -0.28554E+03
    33    0.23006E+08    0.80647E+01    0.20596E-01   -0.61909E+03
    34    0.22246E+08    0.76844E+01    0.21844E-01   -0.83073E+03
    35    0.21524E+08    0.71481E+01    0.23125E-01   -0.91572E+03
    36    0.20838E+08    0.65517E+01    0.24438E-01   -0.87381E+03
    37    0.20185E+08    0.59822E+01    0.25785E-01   -0.72409E+03
    38    0.19563E+08    0.55092E+01    0.27167E-01   -0.49313E+03
    39    0.18970E+08    0.51405E+01    0.28582E-01   -0.21820E+03
    40    0.18405E+08    0.48687E+01    0.30025E-01    0.60775E+02
    41    0.17865E+08    0.46813E+01    0.31494E-01    0.31006E+03
    42    0.17349E+08    0.45453E+01    0.32986E-01    0.52066E+03
    43    0.16856E+08    0.44229E+01    0.34499E-01    0.68974E+03
    44    0.16384E+08    0.42762E+01    0.36031E-01    0.81450E+03
    45    0.15932E+08    0.40672E+01    0.37581E-01    0.89212E+03
    46    0.15498E+08    0.37711E+01    0.39146E-01    0.92160E+03
