#    L    TT             EE             BB             TE          
     2    0.15975E+09    0.82716E+01    0.24389E-01    0.35782E+05
     3    0.13540E+09    0.13691E+02    0.28244E-01    0.42301E+05
     4    0.11820E+09    0.15175E+02    0.27851E-01    0.41755E+05
     5    0.10516E+09    0.13138E+02    0.24581E-01    0.36586E+05
     6    0.94825E+08    0.97880E+01    0.19973E-01    0.28749E+05
     7    0.86398E+08    0.74202E+01    0.15266E-01    0.19806E+05
     8    0.79334E+08    0.72503E+01    0.11230E-01    0.10920E+05
     9    0.73309E+08    0.91464E+01    0.81923E-02    0.29431E+04
    10    0.68064E+08    0.12034E+02    0.61795E-02   -0.35721E+04
    11    0.63403E+08    0.14609E+02    0.50588E-02   -0.83883E+04
    12    0.59231E+08    0.15875E+02    0.46373E-02   -0.11500E+05
    13    0.55548E+08    0.15771E+02    0.47182E-02   -0.13039E+05
    14    0.52348E+08    0.14602E+02    0.51225E-02   -0.13188E+05
    15    0.49521E+08    0.13223E+02    0.57348E-02   -0.12242E+05
    16    0.46946E+08    0.12496E+02    0.64667E-02   -0.10519E+05
    17    0.44577E+08    0.12765E+02    0.72716E-02   -0.83256E+04
    18    0.42386E+08    0.14098E+02    0.81184E-02   -0.59457E+04
    19    0.40361E+08    0.15977E+02    0.89959E-02   -0.35961E+04
    20    0.38488E+08    0.17762E+02    0.98987E-02   -0.14625E+04
    21    0.36754E+08    0.18906E+02    0.10824E-01    0.32397E+03
    22    0.35146E+08    0.18995E+02    0.11771E-01    0.16692E+04
    23    0.33651E+08    0.18046E+02    0.12737E-01    0.25704E+04
    24    0.32257E+08    0.16249E+02    0.13721E-01    0.30536E+04
    25    0.30957E+08    0.14049E+02    0.14720E-01    0.31673E+04
    26    0.29741E+08    0.11915E+02    0.15730E-01    0.29712E+04
    27    0.28602E+08    0.10156E+02    0.16754E-01    0.25470E+04
    28    0.27533E+08    0.89798E+01    0.17792E-01    0.19800E+04
    29    0.26526E+08    0.83623E+01    0.18843E-01    0.13487E+04
    30    0.25575E+08    0.81907E+01    0.19907E-01    0.72568E+03
    31    0.24675E+08    0.82257E+01    0.20981E-01    0.16650E+03
    32    0.23827E+08    0.82262E+01    0.22064E-01   -0.28547E+03
    33    0.23024E+08    0.80678E+01    0.23156E-01   -0.61900E+03
    34    0.22264E+08    0.76874E+01    0.24254E-01   -0.83063E+03
    35    0.21541E+08    0.71510E+01    0.25357E-01   -0.91560E+03
    36    0.20854E+08    0.65545E+01    0.26461E-01   -0.87367E+03
    37    0.20200E+08    0.59849E+01    0.27569E-01   -0.72392E+03
    38    0.19577E+08    0.55117E+01    0.28681E-01   -0.49294E+03
    39    0.18984E+08    0.51429E+01    0.29796E-01   -0.21799E+03
    40    0.18417E+08    0.48709E+01    0.30910E-01    0.61024E+02
    41    0.17876E+08    0.46833E+01    0.32019E-01    0.31034E+03
    42    0.17359E+08    0.45471E+01    0.33123E-01    0.52097E+03
    43    0.16864E+08    0.44245E+01    0.34219E-01    0.69010E+03
    44    0.16391E+08    0.42775E+01    0.35308E-01    0.81490E+03
    45    0.15937E+08    0.40683E+01    0.36387E-01    0.89257E+03
    46    0.15502E+08    0.37719E+01    0.37457E-01    0.92209E+03
    47    0.15085E+08    0.34153E+01    0.38515E-01    0.90975E+03
    48    0.14684E+08    0.30384E+01    0.39560E-01    0.86360E+03
    49    0.14299E+08    0.26813E+01    0.40590E-01    0.79174E+03
    50    0.13929E+08    0.23838E+01    0.41604E-01    0.70223E+03
    51    0.13573E+08    0.21752E+01    0.42600E-01    0.60295E+03
    52    0.13231E+08    0.20425E+01    0.43578E-01    0.50094E+03
    53    0.12901E+08    0.19623E+01    0.44536E-01    0.40306E+03
    54    0.12583E+08    0.19106E+01    0.45474E-01    0.31617E+03
    55    0.12277E+08    0.18639E+01    0.46391E-01    0.24712E+03
    56    0.11981E+08    0.18037E+01    0.47286E-01    0.20086E+03
    57    0.11695E+08    0.17336E+01    0.48159E-01    0.17473E+03
    58    0.11419E+08    0.16626E+01    0.49008E-01    0.16416E+03
    59    0.11152E+08    0.15998E+01    0.49832E-01    0.16457E+03
    60    0.10893E+08    0.15543E+01    0.50631E-01    0.17140E+03
    61    0.10643E+08    0.15321E+01    0.51403E-01    0.18079E+03
    62    0.10401E+08    0.15254E+01    0.52148E-01    0.19175E+03
    63    0.10167E+08    0.15231E+01    0.52865E-01    0.20404E+03
    64    0.99401E+07    0.15142E+01    0.53554E-01    0.21738E+03
    65    0.97202E+07    0.14876E+01    0.54216E-01    0.23150E+03
    66    0.95071E+07    0.14358E+01    0.54848E-01    0.24582E+03
    67    0.93006E+07    0.13652E+01    0.55451E-01    0.25846E+03
    68    0.91004E+07    0.12856E+01    0.56024E-01    0.26718E+03
    69    0.89061E+07    0.12069E+01    0.56567E-01    0.26976E+03
    70    0.87175E+07    0.11390E+01    0.57079E-01    0.26399E+03
    71    0.85343E+07    0.10897E+01    0.57560E-01    0.24864E+03
    72    0.83563E+07    0.10589E+01    0.58009E-01    0.22654E+03
    73    0.81833E+07    0.10441E+01    0.58427E-01    0.20153E+03
    74    0.80152E+07    0.10430E+01    0.58814E-01    0.17743E+03
    75    0.78516E+07    0.10534E+01    0.59170E-01    0.15809E+03
    76    0.76925E+07    0.10725E+01    0.59494E-01    0.14627E+03
    77    0.75377E+07    0.10960E+01    0.59787E-01    0.14050E+03
    78    0.73872E+07    0.11191E+01    0.60050E-01    0.13825E+03
    79    0.72408E+07    0.11368E+01    0.60281E-01    0.13697E+03
    80    0.70984E+07    0.11443E+01    0.60481E-01    0.13413E+03
    81    0.69600E+07    0.11385E+01    0.60651E-01    0.12786E+03
    82    0.68254E+07    0.11222E+01    0.60790E-01    0.11896E+03
    83    0.66946E+07    0.11001E+01    0.60898E-01    0.10888E+03
    84    0.65673E+07    0.10766E+01    0.60975E-01    0.99094E+02
    85    0.64434E+07    0.10564E+01    0.61021E-01    0.91055E+02
    86    0.63230E+07    0.10431E+01    0.61037E-01    0.85857E+02
    87    0.62057E+07    0.10361E+01    0.61022E-01    0.83112E+02
    88    0.60918E+07    0.10342E+01    0.60976E-01    0.82065E+02
    89    0.59810E+07    0.10359E+01    0.60902E-01    0.81957E+02
    90    0.58733E+07    0.10399E+01    0.60797E-01    0.82033E+02
    91    0.57688E+07    0.10449E+01    0.60664E-01    0.81670E+02
    92    0.56672E+07    0.10508E+01    0.60503E-01    0.80777E+02
    93    0.55684E+07    0.10573E+01    0.60314E-01    0.79397E+02
    94    0.54724E+07    0.10645E+01    0.60099E-01    0.77574E+02
    95    0.53790E+07    0.10724E+01    0.59857E-01    0.75351E+02
    96    0.52880E+07    0.10808E+01    0.59589E-01    0.72769E+02
    97    0.51994E+07    0.10898E+01    0.59297E-01    0.69873E+02
    98    0.51130E+07    0.10992E+01    0.58980E-01    0.66708E+02
    99    0.50287E+07    0.11090E+01    0.58640E-01    0.63312E+02
   100    0.49463E+07    0.11192E+01    0.58277E-01    0.59734E+02
   101    0.48658E+07    0.11298E+01    0.57892E-01    0.56012E+02
   102    0.47871E+07    0.11406E+01    0.57485E-01    0.52192E+02
   103    0.47099E+07    0.11517E+01    0.57058E-01    0.48315E+02
   104    0.46342E+07    0.11629E+01    0.56610E-01    0.44428E+02
   105    0.45599E+07    0.11743E+01    0.56142E-01    0.40570E+02
   106    0.44868E+07    0.11857E+01    0.55656E-01    0.36786E+02
   107    0.44147E+07    0.11972E+01    0.55152E-01    0.33119E+02
   108    0.43437E+07    0.12086E+01    0.54630E-01    0.29612E+02
   109    0.42735E+07    0.12199E+01    0.54091E-01    0.26308E+02
   110    0.42040E+07    0.12310E+01    0.53536E-01    0.23252E+02
   111    0.41352E+07    0.12420E+01    0.52965E-01    0.20474E+02
   112    0.40670E+07    0.12528E+01    0.52380E-01    0.17971E+02
   113    0.39994E+07    0.12634E+01    0.51781E-01    0.15727E+02
