#    L    TT             EE             BB             TE          
     2    0.15823E+04    0.67545E-01    0.24386E-01    0.36470E+01
     3    0.14154E+04    0.10563E+00    0.28243E-01    0.37978E+01
     4    0.13237E+04    0.11847E+00    0.27852E-01    0.37069E+01
     5    0.12616E+04    0.10682E+00    0.24585E-01    0.33697E+01
     6    0.12192E+04    0.81540E-01    0.19979E-01    0.29120E+01
     7    0.11911E+04    0.54534E-01    0.15276E-01    0.24208E+01
     8    0.11729E+04    0.33499E-01    0.11243E-01    0.19545E+01
     9    0.11622E+04    0.20708E-01    0.82091E-02    0.15503E+01
    10    0.11572E+04    0.14689E-01    0.62002E-02    0.12300E+01
    11    0.11559E+04    0.12589E-01    0.50837E-02    0.99914E+00
    12    0.11581E+04    0.12029E-01    0.46666E-02    0.85725E+00
    13    0.11621E+04    0.11718E-01    0.47525E-02    0.79045E+00
    14    0.11672E+04    0.11488E-01    0.51620E-02    0.77968E+00
    15    0.11740E+04    0.11524E-01    0.57800E-02    0.80559E+00
    16    0.11829E+04    0.12007E-01    0.65180E-02    0.85021E+00
    17    0.11935E+04    0.12968E-01    0.73294E-02    0.89814E+00
    18    0.12045E+04    0.14199E-01    0.81830E-02    0.93858E+00
    19    0.12165E+04    0.15548E-01    0.90678E-02    0.96981E+00
    20    0.12280E+04    0.16960E-01    0.99783E-02    0.98942E+00
    21    0.12396E+04    0.18439E-01    0.10912E-01    0.99739E+00
    22    0.12515E+04    0.20092E-01    0.11867E-01    0.99418E+00
    23    0.12636E+04    0.22012E-01    0.12842E-01    0.98449E+00
    24    0.12758E+04    0.24234E-01    0.13835E-01    0.97333E+00
    25    0.12882E+04    0.26753E-01    0.14844E-01    0.96251E+00
    26    0.13005E+04    0.29520E-01    0.15864E-01    0.95407E+00
    27    0.13131E+04    0.32511E-01    0.16898E-01    0.94683E+00
    28    0.13258E+04    0.35733E-01    0.17947E-01    0.93966E+00
    29    0.13387E+04    0.39172E-01    0.19010E-01    0.92980E+00
    30    0.13517E+04    0.42822E-01    0.20085E-01    0.91300E+00
    31    0.13646E+04    0.46692E-01    0.21172E-01    0.88692E+00
    32    0.13777E+04    0.50780E-01    0.22268E-01    0.85015E+00
    33    0.13910E+04    0.55072E-01    0.23372E-01    0.80303E+00
    34    0.14043E+04    0.59564E-01    0.24484E-01    0.74651E+00
    35    0.14178E+04    0.64257E-01    0.25600E-01    0.67908E+00
    36    0.14312E+04    0.69167E-01    0.26718E-01    0.59826E+00
    37    0.14446E+04    0.74338E-01    0.27841E-01    0.50414E+00
    38    0.14583E+04    0.79809E-01    0.28968E-01    0.39936E+00
    39    0.14723E+04    0.85568E-01    0.30099E-01    0.28563E+00
    40    0.14862E+04    0.91589E-01    0.31228E-01    0.16418E+00
    41    0.15004E+04    0.97862E-01    0.32354E-01    0.35605E-01
    42    0.15144E+04    0.10440E+00    0.33474E-01   -0.10127E+00
    43    0.15285E+04    0.11122E+00    0.34587E-01   -0.24803E+00
    44    0.15425E+04    0.11832E+00    0.35693E-01   -0.40538E+00
    45    0.15568E+04    0.12573E+00    0.36790E-01   -0.57393E+00
    46    0.15714E+04    0.13345E+00    0.37878E-01   -0.75603E+00
    47    0.15860E+04    0.14146E+00    0.38955E-01   -0.95094E+00
    48    0.16006E+04    0.14975E+00    0.40019E-01   -0.11545E+01
    49    0.16153E+04    0.15829E+00    0.41068E-01   -0.13632E+01
    50    0.16304E+04    0.16703E+00    0.42102E-01   -0.15803E+01
    51    0.16456E+04    0.17593E+00    0.43119E-01   -0.18103E+01
    52    0.16611E+04    0.18507E+00    0.44117E-01   -0.20572E+01
    53    0.16766E+04    0.19463E+00    0.45096E-01   -0.23231E+01
    54    0.16921E+04    0.20461E+00    0.46056E-01   -0.26021E+01
    55    0.17077E+04    0.21500E+00    0.46995E-01   -0.28883E+01
    56    0.17236E+04    0.22566E+00    0.47912E-01   -0.31821E+01
    57    0.17398E+04    0.23649E+00    0.48808E-01   -0.34840E+01
    58    0.17563E+04    0.24748E+00    0.49680E-01   -0.37956E+01
    59    0.17729E+04    0.25865E+00    0.50527E-01   -0.41185E+01
    60    0.17897E+04    0.27004E+00    0.51350E-01   -0.44530E+01
    61    0.18069E+04    0.28175E+00    0.52146E-01   -0.47989E+01
    62    0.18241E+04    0.29375E+00    0.52915E-01   -0.51569E+01
    63    0.18413E+04    0.30601E+00    0.53658E-01   -0.55277E+01
    64    0.18590E+04    0.31855E+00    0.54372E-01   -0.59121E+01
    65    0.18767E+04    0.33134E+00    0.55059E-01   -0.63102E+01
    66    0.18948E+04    0.34432E+00    0.55718E-01   -0.67200E+01
    67    0.19131E+04    0.35748E+00    0.56347E-01   -0.71385E+01
    68    0.19318E+04    0.37086E+00    0.56948E-01   -0.75642E+01
    69    0.19508E+04    0.38442E+00    0.57518E-01   -0.79951E+01
    70    0.19701E+04    0.39820E+00    0.58058E-01   -0.84331E+01
    71    0.19896E+04    0.41219E+00    0.58566E-01   -0.88805E+01
    72    0.20093E+04    0.42635E+00    0.59044E-01   -0.93389E+01
    73    0.20292E+04    0.44065E+00    0.59491E-01   -0.98089E+01
    74    0.20493E+04    0.45508E+00    0.59907E-01   -0.10290E+02
    75    0.20698E+04    0.46965E+00    0.60292E-01   -0.10781E+02
    76    0.20906E+04    0.48435E+00    0.60647E-01   -0.11281E+02
    77    0.21117E+04    0.49919E+00    0.60971E-01   -0.11790E+02
    78    0.21333E+04    0.51418E+00    0.61264E-01   -0.12309E+02
