#    L    TT             EE             TE             PP             TP          
     2    0.11133E+04    0.52103E-01    0.33170E+01    0.10449E+07    0.32031E+05
     3    0.10372E+04    0.85720E-01    0.41773E+01    0.16024E+07    0.37837E+05
     4    0.96685E+03    0.97201E-01    0.43199E+01    0.20949E+07    0.40457E+05
     5    0.91269E+03    0.87157E-01    0.40303E+01    0.25281E+07    0.41393E+05
     6    0.87335E+03    0.65244E-01    0.35324E+01    0.29089E+07    0.41415E+05
     7    0.84603E+03    0.42119E-01    0.29670E+01    0.32451E+07    0.40942E+05
     8    0.82750E+03    0.24536E-01    0.24231E+01    0.35431E+07    0.40133E+05
     9    0.81566E+03    0.14296E-01    0.19521E+01    0.38082E+07    0.39072E+05
    10    0.80910E+03    0.98211E-02    0.15785E+01    0.40444E+07    0.37877E+05
    11    0.80638E+03    0.83930E-02    0.13107E+01    0.42561E+07    0.36698E+05
    12    0.80759E+03    0.78726E-02    0.11469E+01    0.44451E+07    0.35585E+05
    13    0.81085E+03    0.71839E-02    0.10713E+01    0.46140E+07    0.34519E+05
    14    0.81514E+03    0.63439E-02    0.10628E+01    0.47653E+07    0.33474E+05
    15    0.82086E+03    0.56408E-02    0.11001E+01    0.49009E+07    0.32444E+05
    16    0.82848E+03    0.53251E-02    0.11637E+01    0.50222E+07    0.31433E+05
    17    0.83787E+03    0.54464E-02    0.12368E+01    0.51307E+07    0.30459E+05
    18    0.84801E+03    0.58036E-02    0.13075E+01    0.52278E+07    0.29534E+05
    19    0.85970E+03    0.62442E-02    0.13729E+01    0.53143E+07    0.28642E+05
    20    0.87129E+03    0.67102E-02    0.14295E+01    0.53907E+07    0.27765E+05
    21    0.88314E+03    0.72070E-02    0.14773E+01    0.54583E+07    0.26914E+05
    22    0.89559E+03    0.78435E-02    0.15172E+01    0.55180E+07    0.26103E+05
    23    0.90839E+03    0.87178E-02    0.15533E+01    0.55704E+07    0.25327E+05
    24    0.92159E+03    0.98715E-02    0.15902E+01    0.56160E+07    0.24577E+05
    25    0.93512E+03    0.11300E-01    0.16294E+01    0.56553E+07    0.23854E+05
    26    0.94880E+03    0.12955E-01    0.16726E+01    0.56890E+07    0.23159E+05
    27    0.96289E+03    0.14817E-01    0.17181E+01    0.57175E+07    0.22498E+05
    28    0.97724E+03    0.16895E-01    0.17644E+01    0.57413E+07    0.21871E+05
    29    0.99192E+03    0.19165E-01    0.18094E+01    0.57603E+07    0.21277E+05
    30    0.10068E+04    0.21611E-01    0.18491E+01    0.57749E+07    0.20710E+05
    31    0.10218E+04    0.24244E-01    0.18810E+01    0.57854E+07    0.20163E+05
    32    0.10372E+04    0.27070E-01    0.19029E+01    0.57925E+07    0.19629E+05
    33    0.10528E+04    0.30086E-01    0.19149E+01    0.57964E+07    0.19114E+05
    34    0.10687E+04    0.33301E-01    0.19178E+01    0.57972E+07    0.18624E+05
    35    0.10847E+04    0.36707E-01    0.19100E+01    0.57953E+07    0.18157E+05
    36    0.11009E+04    0.40312E-01    0.18889E+01    0.57907E+07    0.17709E+05
    37    0.11171E+04    0.44157E-01    0.18543E+01    0.57837E+07    0.17275E+05
    38    0.11338E+04    0.48282E-01    0.18089E+01    0.57745E+07    0.16850E+05
    39    0.11508E+04    0.52678E-01    0.17541E+01    0.57631E+07    0.16436E+05
    40    0.11679E+04    0.57325E-01    0.16912E+01    0.57498E+07    0.16039E+05
    41    0.11852E+04    0.62216E-01    0.16207E+01    0.57347E+07    0.15660E+05
    42    0.12026E+04    0.67363E-01    0.15412E+01    0.57178E+07    0.15300E+05
    43    0.12201E+04    0.72787E-01    0.14512E+01    0.56994E+07    0.14956E+05
    44    0.12376E+04    0.78492E-01    0.13498E+01    0.56794E+07    0.14626E+05
    45    0.12555E+04    0.84493E-01    0.12363E+01    0.56581E+07    0.14308E+05
    46    0.12737E+04    0.90801E-01    0.11083E+01    0.56356E+07    0.14001E+05
    47    0.12920E+04    0.97403E-01    0.96644E+00    0.56120E+07    0.13704E+05
    48    0.13104E+04    0.10428E+00    0.81467E+00    0.55873E+07    0.13414E+05
