#    L    TT             EE             BB             TE          
     2    0.97995E+05    0.92311E-01   -0.70274E-05    0.37482E+02
     3    0.31930E+06    0.18112E+00   -0.13944E-04    0.62040E+01
     4    0.23723E+06    0.32037E+00   -0.22994E-04    0.62071E+02
     5    0.68980E+06    0.85249E+00   -0.34033E-04   -0.40884E+03
     6    0.76705E+06    0.66350E+00   -0.46883E-04   -0.24457E+03
     7    0.64552E+06    0.29431E+01   -0.61335E-04   -0.77623E+03
     8    0.18293E+07    0.81931E+01   -0.77150E-04   -0.33576E+04
     9    0.13127E+07    0.59271E+01   -0.94063E-04   -0.25054E+04
    10    0.11347E+07    0.72488E+01   -0.11179E-03   -0.26231E+04
    11    0.33347E+07    0.38333E+02   -0.13001E-03   -0.10898E+05
    12    0.26551E+07    0.84954E+02   -0.14840E-03   -0.14400E+05
    13    0.14227E+07    0.11424E+03   -0.16663E-03   -0.87410E+04
    14    0.32184E+07    0.10219E+03   -0.18434E-03    0.46395E+04
    15    0.65460E+07    0.67976E+02   -0.20118E-03    0.15898E+05
    16    0.89519E+07    0.36942E+02   -0.21678E-03    0.16410E+05
    17    0.92305E+07    0.15849E+02   -0.23079E-03    0.10828E+05
    18    0.70102E+07    0.55776E+01   -0.24287E-03    0.57838E+04
    19    0.40078E+07    0.20418E+01   -0.25265E-03    0.25433E+04
    20    0.20053E+07    0.70794E+00   -0.25983E-03    0.92395E+03
    21    0.95690E+06    0.21384E+00   -0.26408E-03    0.31347E+03
    22    0.41694E+06    0.61514E-01   -0.26512E-03    0.89934E+02
    23    0.16845E+06    0.37535E-01   -0.26268E-03    0.23586E+02
    24    0.67807E+05    0.25638E-01   -0.25652E-03    0.27772E+01
    25    0.36184E+05    0.13919E-01   -0.24643E-03   -0.38462E+01
    26    0.21301E+05    0.12700E-01   -0.23224E-03   -0.58155E+01
    27    0.12154E+05    0.17019E-01   -0.21380E-03   -0.56684E+01
    28    0.77875E+04    0.19877E-01   -0.19102E-03   -0.42552E+01
    29    0.61460E+04    0.21313E-01   -0.16384E-03   -0.26762E+01
    30    0.52587E+04    0.22859E-01   -0.13221E-03   -0.18260E+01
    31    0.45895E+04    0.24937E-01   -0.96176E-04   -0.15199E+01
    32    0.39973E+04    0.27623E-01   -0.55782E-04   -0.13583E+01
    33    0.34852E+04    0.30757E-01   -0.11132E-04   -0.11608E+01
    34    0.30846E+04    0.34144E-01    0.37632E-04   -0.84227E+00
    35    0.27960E+04    0.37647E-01    0.90328E-04   -0.48300E+00
    36    0.26056E+04    0.41192E-01    0.14673E-03   -0.18677E+00
    37    0.24723E+04    0.44891E-01    0.20659E-03    0.17185E-01
    38    0.23568E+04    0.48875E-01    0.26961E-03    0.12776E+00
    39    0.22529E+04    0.53163E-01    0.33546E-03    0.17304E+00
    40    0.21623E+04    0.57748E-01    0.40377E-03    0.18818E+00
    41    0.20865E+04    0.62631E-01    0.47418E-03    0.20127E+00
    42    0.20243E+04    0.67816E-01    0.54626E-03    0.21300E+00
    43    0.19743E+04    0.73310E-01    0.61959E-03    0.21722E+00
    44    0.19346E+04    0.79103E-01    0.69372E-03    0.20865E+00
    45    0.19042E+04    0.85196E-01    0.76820E-03    0.18210E+00
    46    0.18815E+04    0.91591E-01    0.84255E-03    0.13175E+00
    47    0.18651E+04    0.98271E-01    0.91630E-03    0.59021E-01
    48    0.18539E+04    0.10523E+00    0.98899E-03   -0.30149E-01
    49    0.18469E+04    0.11242E+00    0.10602E-02   -0.13044E+00
    50    0.18435E+04    0.11981E+00    0.11293E-02   -0.24329E+00
    51    0.18423E+04    0.12736E+00    0.11961E-02   -0.37188E+00
    52    0.18434E+04    0.13517E+00    0.12600E-02   -0.52050E+00
    53    0.18462E+04    0.14339E+00    0.13206E-02   -0.69193E+00
    54    0.18504E+04    0.15203E+00    0.13777E-02   -0.88096E+00
    55    0.18561E+04    0.16109E+00    0.14307E-02   -0.10823E+01
    56    0.18635E+04    0.17044E+00    0.14795E-02   -0.12969E+01
    57    0.18721E+04    0.17996E+00    0.15238E-02   -0.15252E+01
    58    0.18816E+04    0.18964E+00    0.15632E-02   -0.17684E+01
    59    0.18918E+04    0.19951E+00    0.15977E-02   -0.20281E+01
    60    0.19023E+04    0.20963E+00    0.16271E-02   -0.23039E+01
    61    0.19132E+04    0.22005E+00    0.16513E-02   -0.25956E+01
    62    0.19238E+04    0.23079E+00    0.16703E-02   -0.29035E+01
    63    0.19343E+04    0.24180E+00    0.16840E-02   -0.32278E+01
    64    0.19451E+04    0.25309E+00    0.16925E-02   -0.35689E+01
    65    0.19556E+04    0.26465E+00    0.16960E-02   -0.39266E+01
    66    0.19661E+04    0.27641E+00    0.16945E-02   -0.42984E+01
    67    0.19765E+04    0.28837E+00    0.16883E-02   -0.46817E+01
    68    0.19869E+04    0.30057E+00    0.16776E-02   -0.50750E+01
    69    0.19972E+04    0.31297E+00    0.16627E-02   -0.54768E+01
    70    0.20074E+04    0.32561E+00    0.16440E-02   -0.58889E+01
    71    0.20174E+04    0.33848E+00    0.16219E-02   -0.63139E+01
    72    0.20273E+04    0.35154E+00    0.15967E-02   -0.67532E+01
    73    0.20370E+04    0.36477E+00    0.15690E-02   -0.72073E+01
    74    0.20468E+04    0.37815E+00    0.15392E-02   -0.76752E+01
    75    0.20566E+04    0.39170E+00    0.15078E-02   -0.81554E+01
    76    0.20667E+04    0.40540E+00    0.14754E-02   -0.86471E+01
    77    0.20770E+04    0.41925E+00    0.14425E-02   -0.91500E+01
    78    0.20878E+04    0.43329E+00    0.14097E-02   -0.96651E+01
    79    0.20989E+04    0.44744E+00    0.13776E-02   -0.10189E+02
    80    0.21105E+04    0.46172E+00    0.13468E-02   -0.10721E+02
    81    0.21226E+04    0.47608E+00    0.13178E-02   -0.11264E+02
    82    0.21353E+04    0.49054E+00    0.12912E-02   -0.11815E+02
    83    0.21488E+04    0.50507E+00    0.12676E-02   -0.12375E+02
    84    0.21630E+04    0.51967E+00    0.12476E-02   -0.12942E+02
    85    0.21780E+04    0.53430E+00    0.12315E-02   -0.13517E+02
    86    0.21939E+04    0.54900E+00    0.12200E-02   -0.14098E+02
    87    0.22110E+04    0.56371E+00    0.12135E-02   -0.14686E+02
    88    0.22290E+04    0.57847E+00    0.12124E-02   -0.15281E+02
    89    0.22483E+04    0.59325E+00    0.12171E-02   -0.15882E+02
    90    0.22687E+04    0.60802E+00    0.12280E-02   -0.16489E+02
    91    0.22904E+04    0.62276E+00    0.12454E-02   -0.17101E+02
    92    0.23134E+04    0.63747E+00    0.12694E-02   -0.17718E+02
    93    0.23378E+04    0.65214E+00    0.13003E-02   -0.18340E+02
    94    0.23635E+04    0.66672E+00    0.13383E-02   -0.18965E+02
    95    0.23906E+04    0.68123E+00    0.13834E-02   -0.19594E+02
    96    0.24189E+04    0.69564E+00    0.14356E-02   -0.20226E+02
    97    0.24488E+04    0.70995E+00    0.14949E-02   -0.20860E+02
    98    0.24802E+04    0.72414E+00    0.15612E-02   -0.21495E+02
    99    0.25128E+04    0.73817E+00    0.16344E-02   -0.22133E+02
   100    0.25468E+04    0.75205E+00    0.17142E-02   -0.22770E+02
   101    0.25821E+04    0.76584E+00    0.18004E-02   -0.23408E+02
   102    0.26190E+04    0.77939E+00    0.18927E-02   -0.24046E+02
   103    0.26568E+04    0.79277E+00    0.19907E-02   -0.24684E+02
