#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.98484E+05    0.10772E+00    0.24400E-01    0.37788E+02    0.61509E-07   -0.65915E-02   -0.25068E-04
     3    0.31969E+06    0.20100E+00    0.28256E-01    0.58076E+01    0.72451E-07   -0.31586E-01   -0.30507E-04
     4    0.23760E+06    0.34163E+00    0.27861E-01    0.61447E+02    0.80987E-07   -0.11206E-01   -0.56153E-04
     5    0.69016E+06    0.87216E+00    0.24589E-01   -0.40950E+03    0.89219E-07    0.48943E-01   -0.83767E-04
     6    0.76741E+06    0.67982E+00    0.19978E-01   -0.24520E+03    0.97416E-07    0.57902E-01   -0.40147E-04
     7    0.64588E+06    0.29555E+01    0.15269E-01   -0.77678E+03    0.10236E-06   -0.26980E-01    0.89155E-04
     8    0.18297E+07    0.82021E+01    0.11231E-01   -0.33581E+04    0.10357E-06   -0.74749E-01    0.12841E-03
     9    0.13131E+07    0.59336E+01    0.81921E-02   -0.25058E+04    0.10525E-06   -0.32911E-01    0.23847E-04
    10    0.11351E+07    0.72537E+01    0.61788E-02   -0.26234E+04    0.11007E-06    0.42618E-01   -0.14391E-03
    11    0.33350E+07    0.38337E+02    0.50580E-02   -0.10899E+05    0.11840E-06    0.14573E+00   -0.49977E-03
    12    0.26555E+07    0.84958E+02    0.46365E-02   -0.14401E+05    0.12638E-06    0.14399E+00   -0.97345E-03
    13    0.14231E+07    0.11425E+03    0.47177E-02   -0.87413E+04    0.12993E-06    0.64438E-01   -0.11708E-02
    14    0.32188E+07    0.10219E+03    0.51221E-02    0.46393E+04    0.12735E-06   -0.14182E-01   -0.80191E-03
    15    0.65464E+07    0.67983E+02    0.57346E-02    0.15898E+05    0.12540E-06   -0.73736E-02   -0.22426E-03
    16    0.89523E+07    0.36949E+02    0.64666E-02    0.16410E+05    0.13017E-06    0.12681E+00    0.14844E-03
    17    0.92309E+07    0.15857E+02    0.72715E-02    0.10828E+05    0.13774E-06    0.25990E+00    0.27757E-03
    18    0.70106E+07    0.55861E+01    0.81183E-02    0.57835E+04    0.14292E-06    0.26671E+00    0.22874E-03
    19    0.40083E+07    0.20513E+01    0.89959E-02    0.25429E+04    0.14495E-06    0.19430E+00    0.11893E-03
    20    0.20058E+07    0.71837E+00    0.98987E-02    0.92351E+03    0.14443E-06    0.11817E+00    0.50467E-04
    21    0.95734E+06    0.22524E+00    0.10824E-01    0.31299E+03    0.14313E-06    0.61047E-01    0.21668E-04
    22    0.41737E+06    0.73931E-01    0.11771E-01    0.89415E+02    0.14267E-06    0.29068E-01    0.90345E-05
    23    0.16889E+06    0.50986E-01    0.12737E-01    0.23022E+02    0.14297E-06    0.14683E-01    0.39121E-05
    24    0.68242E+05    0.40143E-01    0.13721E-01    0.21658E+01    0.14357E-06    0.83439E-02    0.19651E-05
    25    0.36619E+05    0.29494E-01    0.14720E-01   -0.45067E+01    0.14424E-06    0.57900E-02    0.12593E-05
    26    0.21734E+05    0.29364E-01    0.15730E-01   -0.65269E+01    0.14485E-06    0.45268E-02    0.69517E-06
    27    0.12585E+05    0.34782E-01    0.16754E-01   -0.64316E+01    0.14536E-06    0.37980E-02    0.92349E-07
    28    0.82153E+04    0.38751E-01    0.17792E-01   -0.50710E+01    0.14576E-06    0.33236E-02   -0.51689E-06
    29    0.65698E+04    0.41318E-01    0.18843E-01   -0.35458E+01    0.14605E-06    0.29930E-02   -0.11629E-05
    30    0.56776E+04    0.44024E-01    0.19907E-01   -0.27511E+01    0.14623E-06    0.27441E-02   -0.18535E-05
    31    0.50026E+04    0.47290E-01    0.20981E-01   -0.25018E+01    0.14631E-06    0.25398E-02   -0.24450E-05
    32    0.44036E+04    0.51185E-01    0.22065E-01   -0.23977E+01    0.14631E-06    0.23556E-02   -0.27919E-05
    33    0.38839E+04    0.55537E-01    0.23156E-01   -0.22582E+01    0.14623E-06    0.21910E-02   -0.28885E-05
