#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.93952E+04    0.24017E+02   -0.14173E-02    0.24017E+02    0.66435E-01   -0.74920E-05   -0.14173E-02   -0.74920E-05    0.91393E-08
     3    0.79531E+04    0.28411E+02   -0.81690E-03    0.28411E+02    0.11167E+00   -0.66702E-05   -0.81690E-03   -0.66702E-05    0.55688E-08
     4    0.68055E+04    0.28349E+02   -0.54918E-03    0.28349E+02    0.13041E+00   -0.54116E-05   -0.54918E-03   -0.54116E-05    0.38463E-08
     5    0.58989E+04    0.25521E+02   -0.40387E-03    0.25521E+02    0.12139E+00   -0.41126E-05   -0.40387E-03   -0.41126E-05    0.28522E-08
     6    0.51743E+04    0.21247E+02   -0.31476E-03    0.21247E+02    0.95043E-01   -0.29258E-05   -0.31476E-03   -0.29258E-05    0.22142E-08
     7    0.45858E+04    0.16502E+02   -0.25530E-03    0.16502E+02    0.64305E-01   -0.19298E-05   -0.25530E-03   -0.19298E-05    0.17758E-08
     8    0.41016E+04    0.11963E+02   -0.21327E-03    0.11963E+02    0.38427E-01   -0.11532E-05   -0.21327E-03   -0.11532E-05    0.14592E-08
     9    0.36987E+04    0.80515E+01   -0.18235E-03    0.80515E+01    0.21110E-01   -0.59005E-06   -0.18235E-03   -0.59005E-06    0.12222E-08
    10    0.33588E+04    0.49780E+01   -0.15865E-03    0.49780E+01    0.11726E-01   -0.21775E-06   -0.15865E-03   -0.21775E-06    0.10392E-08
    11    0.30684E+04    0.27873E+01   -0.13979E-03    0.27873E+01    0.76343E-02   -0.89966E-08   -0.13979E-03   -0.89966E-08    0.89501E-09
    12    0.28186E+04    0.14149E+01   -0.12438E-03    0.14149E+01    0.62282E-02    0.68200E-07   -0.12438E-03    0.68200E-07    0.77871E-09
    13    0.26028E+04    0.71840E+00   -0.11171E-03    0.71840E+00    0.57729E-02    0.58050E-07   -0.11171E-03    0.58050E-07    0.68376E-09
    14    0.24164E+04    0.53645E+00   -0.10119E-03    0.53645E+00    0.56591E-02    0.39502E-08   -0.10119E-03    0.39502E-08    0.60493E-09
    15    0.22571E+04    0.70141E+00   -0.92339E-04    0.70141E+00    0.57865E-02   -0.65843E-07   -0.92339E-04   -0.65843E-07    0.53884E-09
    16    0.21219E+04    0.10548E+01   -0.84727E-04    0.10548E+01    0.61300E-02   -0.13030E-06   -0.84727E-04   -0.13030E-06    0.48277E-09
    17    0.20060E+04    0.14778E+01   -0.78090E-04    0.14778E+01    0.66767E-02   -0.18218E-06   -0.78090E-04   -0.18218E-06    0.43485E-09
    18    0.19039E+04    0.18755E+01   -0.72228E-04    0.18755E+01    0.72270E-02   -0.21728E-06   -0.72228E-04   -0.21728E-06    0.39353E-09
