#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.97997E+05    0.37482E+02   -0.26910E-02    0.37482E+02    0.92318E-01   -0.10234E-04   -0.26910E-02   -0.10234E-04    0.10251E-07
     3    0.31930E+06    0.62040E+01   -0.91180E-02    0.62040E+01    0.18113E+00   -0.88065E-05   -0.91180E-02   -0.88065E-05    0.60375E-08
     4    0.23724E+06    0.62071E+02   -0.25058E-02    0.62071E+02    0.32039E+00   -0.12556E-04   -0.25058E-02   -0.12556E-04    0.40494E-08
     5    0.68981E+06   -0.40884E+03    0.89358E-02   -0.40884E+03    0.85252E+00   -0.15294E-04    0.89358E-02   -0.15294E-04    0.29740E-08
     6    0.76706E+06   -0.24457E+03    0.89345E-02   -0.24457E+03    0.66355E+00   -0.61948E-05    0.89345E-02   -0.61948E-05    0.23194E-08
     7    0.64553E+06   -0.77623E+03   -0.36053E-02   -0.77623E+03    0.29431E+01    0.11914E-04   -0.36053E-02    0.11914E-04    0.18278E-08
     8    0.18294E+07   -0.33576E+04   -0.88092E-02   -0.33576E+04    0.81932E+01    0.15133E-04   -0.88092E-02    0.15133E-04    0.14384E-08
     9    0.13127E+07   -0.25054E+04   -0.34691E-02   -0.25054E+04    0.59272E+01    0.25137E-05   -0.34691E-02    0.25137E-05    0.11695E-08
    10    0.11347E+07   -0.26231E+04    0.40635E-02   -0.26231E+04    0.72489E+01   -0.13721E-04    0.40635E-02   -0.13721E-04    0.10007E-08
    11    0.33347E+07   -0.10898E+05    0.12684E-01   -0.10898E+05    0.38333E+02   -0.43499E-04    0.12684E-01   -0.43499E-04    0.89694E-09
    12    0.26551E+07   -0.14400E+05    0.11754E-01   -0.14400E+05    0.84954E+02   -0.76560E-04    0.11754E-01   -0.76560E-04    0.80829E-09
    13    0.14227E+07   -0.87410E+04    0.47765E-02   -0.87410E+04    0.11424E+03   -0.86783E-04    0.47765E-02   -0.86783E-04    0.71391E-09
    14    0.32184E+07    0.46395E+04   -0.82158E-03    0.46395E+04    0.10219E+03   -0.56907E-04   -0.82158E-03   -0.56907E-04    0.60963E-09
    15    0.65460E+07    0.15898E+05   -0.47596E-03    0.15898E+05    0.67977E+02   -0.14476E-04   -0.47596E-03   -0.14476E-04    0.52249E-09
    16    0.89519E+07    0.16410E+05    0.73387E-02    0.16410E+05    0.36942E+02    0.96156E-05    0.73387E-02    0.96156E-05    0.47621E-09
    17    0.92305E+07    0.10828E+05    0.14858E-01    0.10828E+05    0.15849E+02    0.15868E-04    0.14858E-01    0.15868E-04    0.45012E-09
    18    0.70103E+07    0.57838E+04    0.14657E-01    0.57838E+04    0.55778E+01    0.12361E-04    0.14657E-01    0.12361E-04    0.41868E-09
    19    0.40079E+07    0.25433E+04    0.99672E-02    0.25433E+04    0.20421E+01    0.61008E-05    0.99672E-02    0.61008E-05    0.38145E-09
    20    0.20054E+07    0.92395E+03    0.56999E-02    0.92395E+03    0.70820E+00    0.24171E-05    0.56999E-02    0.24171E-05    0.34385E-09
    21    0.95698E+06    0.31347E+03    0.28402E-02    0.31347E+03    0.21410E+00    0.10081E-05    0.28402E-02    0.10081E-05    0.30980E-09
    22    0.41702E+06    0.89938E+02    0.12997E-02    0.89938E+02    0.61779E-01    0.41296E-06    0.12997E-02    0.41296E-06    0.28190E-09
    23    0.16853E+06    0.23590E+02    0.62495E-03    0.23590E+02    0.37797E-01    0.16651E-06    0.62495E-03    0.16651E-06    0.25900E-09
    24    0.67888E+05    0.27825E+01    0.33762E-03    0.27825E+01    0.25894E-01    0.76713E-07    0.33762E-03    0.76713E-07    0.23929E-09
    25    0.36266E+05   -0.38401E+01    0.22710E-03   -0.38401E+01    0.14165E-01    0.49393E-07    0.22710E-03    0.49393E-07    0.22191E-09
    26    0.21382E+05   -0.58086E+01    0.17171E-03   -0.58086E+01    0.12932E-01    0.27330E-07    0.17171E-03    0.27330E-07    0.20634E-09
    27    0.12235E+05   -0.56607E+01    0.13813E-03   -0.56607E+01    0.17232E-01    0.33587E-08    0.13813E-03    0.33587E-08    0.19228E-09
    28    0.78668E+04   -0.42465E+01    0.11640E-03   -0.42465E+01    0.20067E-01   -0.18486E-07    0.11640E-03   -0.18486E-07    0.17951E-09
    29    0.62232E+04   -0.26666E+01    0.10147E-03   -0.26666E+01    0.21477E-01   -0.39426E-07    0.10147E-03   -0.39426E-07    0.16787E-09
    30    0.53330E+04   -0.18153E+01    0.90036E-04   -0.18153E+01    0.22990E-01   -0.60610E-07    0.90036E-04   -0.60610E-07    0.15723E-09
    31    0.46601E+04   -0.15082E+01    0.80640E-04   -0.15082E+01    0.25032E-01   -0.77630E-07    0.80640E-04   -0.77630E-07    0.14749E-09
    32    0.40634E+04   -0.13455E+01    0.72478E-04   -0.13455E+01    0.27677E-01   -0.85968E-07    0.72478E-04   -0.85968E-07    0.13855E-09
    33    0.35461E+04   -0.11469E+01    0.65411E-04   -0.11469E+01    0.30767E-01   -0.86232E-07    0.65411E-04   -0.86232E-07    0.13033E-09
    34    0.31395E+04   -0.82729E+00    0.59424E-04   -0.82729E+00    0.34105E-01   -0.80608E-07    0.59424E-04   -0.80608E-07    0.12275E-09
    35    0.28443E+04   -0.46691E+00    0.54330E-04   -0.46691E+00    0.37555E-01   -0.72470E-07    0.54330E-04   -0.72470E-07    0.11576E-09
    36    0.26465E+04   -0.16955E+00    0.49910E-04   -0.16955E+00    0.41044E-01   -0.64724E-07    0.49910E-04   -0.64724E-07    0.10930E-09
    37    0.25053E+04    0.35515E-01    0.45997E-04    0.35515E-01    0.44682E-01   -0.57203E-07    0.45997E-04   -0.57203E-07    0.10332E-09
    38    0.23813E+04    0.14719E+00    0.42461E-04    0.14719E+00    0.48603E-01   -0.49259E-07    0.42461E-04   -0.49259E-07    0.97762E-10
    39    0.22683E+04    0.19353E+00    0.39263E-04    0.19353E+00    0.52825E-01   -0.41379E-07    0.39263E-04   -0.41379E-07    0.92601E-10
    40    0.21682E+04    0.20970E+00    0.36388E-04    0.20970E+00    0.57342E-01   -0.34334E-07    0.36388E-04   -0.34334E-07    0.87797E-10
    41    0.20825E+04    0.22377E+00    0.33819E-04    0.22377E+00    0.62154E-01   -0.28732E-07    0.33819E-04   -0.28732E-07    0.83316E-10
    42    0.20101E+04    0.23642E+00    0.31521E-04    0.23642E+00    0.67267E-01   -0.24518E-07    0.31521E-04   -0.24518E-07    0.79134E-10
    43    0.19496E+04    0.24149E+00    0.29461E-04    0.24149E+00    0.72687E-01   -0.21476E-07    0.29461E-04   -0.21476E-07    0.75228E-10
    44    0.18994E+04    0.23370E+00    0.27602E-04    0.23370E+00    0.78406E-01   -0.19388E-07    0.27602E-04   -0.19388E-07    0.71576E-10
    45    0.18582E+04    0.20785E+00    0.25908E-04    0.20785E+00    0.84425E-01   -0.18036E-07    0.25908E-04   -0.18036E-07    0.68155E-10
    46    0.18248E+04    0.15808E+00    0.24349E-04    0.15808E+00    0.90745E-01   -0.17217E-07    0.24349E-04   -0.17217E-07    0.64944E-10
    47    0.17977E+04    0.85838E-01    0.22910E-04    0.85838E-01    0.97352E-01   -0.16781E-07    0.22910E-04   -0.16781E-07    0.61929E-10
    48    0.17761E+04   -0.29641E-02    0.21582E-04   -0.29641E-02    0.10423E+00   -0.16593E-07    0.21582E-04   -0.16593E-07    0.59096E-10
    49    0.17589E+04   -0.10301E+00    0.20356E-04   -0.10301E+00    0.11136E+00   -0.16517E-07    0.20356E-04   -0.16517E-07    0.56432E-10
    50    0.17456E+04   -0.21575E+00    0.19222E-04   -0.21575E+00    0.11868E+00   -0.16417E-07    0.19222E-04   -0.16417E-07    0.53924E-10
    51    0.17350E+04   -0.34436E+00    0.18171E-04   -0.34436E+00    0.12616E+00   -0.16192E-07    0.18171E-04   -0.16192E-07    0.51559E-10
    52    0.17271E+04   -0.49315E+00    0.17199E-04   -0.49315E+00    0.13390E+00   -0.15869E-07    0.17199E-04   -0.15869E-07    0.49328E-10
    53    0.17216E+04   -0.66489E+00    0.16298E-04   -0.66489E+00    0.14206E+00   -0.15511E-07    0.16298E-04   -0.15511E-07    0.47222E-10
    54    0.17181E+04   -0.85439E+00    0.15464E-04   -0.85439E+00    0.15065E+00   -0.15178E-07    0.15464E-04   -0.15178E-07    0.45232E-10
    55    0.17169E+04   -0.10563E+01    0.14692E-04   -0.10563E+01    0.15966E+00   -0.14933E-07    0.14692E-04   -0.14933E-07    0.43351E-10
    56    0.17180E+04   -0.12717E+01    0.13977E-04   -0.12717E+01    0.16896E+00   -0.14813E-07    0.13977E-04   -0.14813E-07    0.41569E-10
    57    0.17213E+04   -0.15009E+01    0.13311E-04   -0.15009E+01    0.17843E+00   -0.14759E-07    0.13311E-04   -0.14759E-07    0.39881E-10
    58    0.17264E+04   -0.17453E+01    0.12690E-04   -0.17453E+01    0.18808E+00   -0.14688E-07    0.12690E-04   -0.14688E-07    0.38281E-10
    59    0.17330E+04   -0.20061E+01    0.12107E-04   -0.20061E+01    0.19792E+00   -0.14518E-07    0.12107E-04   -0.14518E-07    0.36764E-10
    60    0.17410E+04   -0.22834E+01    0.11557E-04   -0.22834E+01    0.20801E+00   -0.14166E-07    0.11557E-04   -0.14166E-07    0.35323E-10
    61    0.17503E+04   -0.25766E+01    0.11035E-04   -0.25766E+01    0.21841E+00   -0.13595E-07    0.11035E-04   -0.13595E-07    0.33954E-10
    62    0.17604E+04   -0.28861E+01    0.10539E-04   -0.28861E+01    0.22913E+00   -0.12950E-07    0.10539E-04   -0.12950E-07    0.32652E-10
    63    0.17715E+04   -0.32122E+01    0.10070E-04   -0.32122E+01    0.24013E+00   -0.12423E-07    0.10070E-04   -0.12423E-07    0.31414E-10
    64    0.17837E+04   -0.35552E+01    0.96299E-05   -0.35552E+01    0.25142E+00   -0.12205E-07    0.96299E-05   -0.12205E-07    0.30236E-10
    65    0.17967E+04   -0.39149E+01    0.92177E-05   -0.39149E+01    0.26298E+00   -0.12489E-07    0.92177E-05   -0.12489E-07    0.29114E-10
    66    0.18108E+04   -0.42889E+01    0.88337E-05   -0.42889E+01    0.27474E+00   -0.13378E-07    0.88337E-05   -0.13378E-07    0.28045E-10
    67    0.18257E+04   -0.46744E+01    0.84758E-05   -0.46744E+01    0.28671E+00   -0.14632E-07    0.84758E-05   -0.14632E-07    0.27026E-10
    68    0.18416E+04   -0.50699E+01    0.81415E-05   -0.50699E+01    0.29893E+00   -0.15924E-07    0.81415E-05   -0.15924E-07    0.26055E-10
    69    0.18583E+04   -0.54740E+01    0.78281E-05   -0.54740E+01    0.31135E+00   -0.16927E-07    0.78281E-05   -0.16927E-07    0.25128E-10
    70    0.18757E+04   -0.58885E+01    0.75330E-05   -0.58885E+01    0.32402E+00   -0.17313E-07    0.75330E-05   -0.17313E-07    0.24243E-10
    71    0.18937E+04   -0.63160E+01    0.72537E-05   -0.63160E+01    0.33691E+00   -0.16855E-07    0.72537E-05   -0.16855E-07    0.23397E-10
    72    0.19123E+04   -0.67577E+01    0.69888E-05   -0.67577E+01    0.35001E+00   -0.15721E-07    0.69888E-05   -0.15721E-07    0.22589E-10
    73    0.19315E+04   -0.72143E+01    0.67370E-05   -0.72143E+01    0.36328E+00   -0.14178E-07    0.67370E-05   -0.14178E-07    0.21816E-10
    74    0.19511E+04   -0.76846E+01    0.64968E-05   -0.76846E+01    0.37670E+00   -0.12496E-07    0.64968E-05   -0.12496E-07    0.21077E-10
    75    0.19715E+04   -0.81672E+01    0.62670E-05   -0.81672E+01    0.39028E+00   -0.10942E-07    0.62670E-05   -0.10942E-07    0.20369E-10
    76    0.19924E+04   -0.86613E+01    0.60466E-05   -0.86613E+01    0.40403E+00   -0.97409E-08    0.60466E-05   -0.97409E-08    0.19692E-10
    77    0.20139E+04   -0.91664E+01    0.58352E-05   -0.91664E+01    0.41792E+00   -0.89513E-08    0.58352E-05   -0.89513E-08    0.19042E-10
    78    0.20361E+04   -0.96838E+01    0.56331E-05   -0.96838E+01    0.43200E+00   -0.85877E-08    0.56331E-05   -0.85877E-08    0.18420E-10
    79    0.20587E+04   -0.10209E+02    0.54402E-05   -0.10209E+02    0.44620E+00   -0.86653E-08    0.54402E-05   -0.86653E-08    0.17823E-10
    80    0.20818E+04   -0.10744E+02    0.52566E-05   -0.10744E+02    0.46053E+00   -0.91992E-08    0.52566E-05   -0.91992E-08    0.17250E-10
    81    0.21054E+04   -0.11289E+02    0.50824E-05   -0.11289E+02    0.47493E+00   -0.10169E-07    0.50824E-05   -0.10169E-07    0.16701E-10
    82    0.21294E+04   -0.11842E+02    0.49170E-05   -0.11842E+02    0.48943E+00   -0.11410E-07    0.49170E-05   -0.11410E-07    0.16173E-10
    83    0.21538E+04   -0.12403E+02    0.47601E-05   -0.12403E+02    0.50399E+00   -0.12724E-07    0.47601E-05   -0.12724E-07    0.15667E-10
    84    0.21787E+04   -0.12971E+02    0.46112E-05   -0.12971E+02    0.51863E+00   -0.13910E-07    0.46112E-05   -0.13910E-07    0.15180E-10
    85    0.22038E+04   -0.13547E+02    0.44698E-05   -0.13547E+02    0.53330E+00   -0.14769E-07    0.44698E-05   -0.14769E-07    0.14713E-10
    86    0.22293E+04   -0.14130E+02    0.43355E-05   -0.14130E+02    0.54802E+00   -0.15155E-07    0.43355E-05   -0.15155E-07    0.14264E-10
    87    0.22554E+04   -0.14719E+02    0.42077E-05   -0.14719E+02    0.56276E+00   -0.15130E-07    0.42077E-05   -0.15130E-07    0.13832E-10
    88    0.22816E+04   -0.15314E+02    0.40856E-05   -0.15314E+02    0.57754E+00   -0.14811E-07    0.40856E-05   -0.14811E-07    0.13417E-10
    89    0.23083E+04   -0.15916E+02    0.39688E-05   -0.15916E+02    0.59233E+00   -0.14313E-07    0.39688E-05   -0.14313E-07    0.13017E-10
    90    0.23353E+04   -0.16523E+02    0.38567E-05   -0.16523E+02    0.60711E+00   -0.13754E-07    0.38567E-05   -0.13754E-07    0.12631E-10
    91    0.23625E+04   -0.17136E+02    0.37486E-05   -0.17136E+02    0.62186E+00   -0.13229E-07    0.37486E-05   -0.13229E-07    0.12259E-10
    92    0.23902E+04   -0.17753E+02    0.36444E-05   -0.17753E+02    0.63656E+00   -0.12754E-07    0.36444E-05   -0.12754E-07    0.11901E-10
    93    0.24182E+04   -0.18374E+02    0.35440E-05   -0.18374E+02    0.65122E+00   -0.12328E-07    0.35440E-05   -0.12328E-07    0.11555E-10
