#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.175586E+08   0.175586E+08   0.233976E+08   0.233972E+08   0.175587E+08   0.175586E+08   0.175586E+08   0.175644E+08  -0.428920E+00   0.104739E+08   0.104739E+08   0.604625E+01
   0.112819E-04   0.175589E+08   0.175589E+08   0.233949E+08   0.233944E+08   0.175590E+08   0.175589E+08   0.175589E+08   0.175647E+08  -0.428929E+00   0.104740E+08   0.104740E+08   0.668239E+01
   0.124693E-04   0.175592E+08   0.175592E+08   0.233917E+08   0.233911E+08   0.175593E+08   0.175592E+08   0.175592E+08   0.175651E+08  -0.428941E+00   0.104740E+08   0.104740E+08   0.738541E+01
   0.137816E-04   0.175597E+08   0.175597E+08   0.233877E+08   0.233869E+08   0.175598E+08   0.175597E+08   0.175597E+08   0.175655E+08  -0.428955E+00   0.104741E+08   0.104741E+08   0.816234E+01
   0.152321E-04   0.175602E+08   0.175602E+08   0.233828E+08   0.233819E+08   0.175603E+08   0.175602E+08   0.175602E+08   0.175661E+08  -0.428972E+00   0.104742E+08   0.104742E+08   0.902090E+01
   0.168352E-04   0.175609E+08   0.175609E+08   0.233769E+08   0.233758E+08   0.175610E+08   0.175609E+08   0.175609E+08   0.175667E+08  -0.428993E+00   0.104744E+08   0.104744E+08   0.996965E+01
   0.186070E-04   0.175617E+08   0.175617E+08   0.233697E+08   0.233683E+08   0.175618E+08   0.175617E+08   0.175617E+08   0.175675E+08  -0.429019E+00   0.104746E+08   0.104746E+08   0.110180E+02
   0.205653E-04   0.175627E+08   0.175627E+08   0.233608E+08   0.233591E+08   0.175628E+08   0.175627E+08   0.175627E+08   0.175685E+08  -0.429050E+00   0.104748E+08   0.104748E+08   0.121764E+02
   0.227297E-04   0.175639E+08   0.175639E+08   0.233500E+08   0.233480E+08   0.175640E+08   0.175639E+08   0.175639E+08   0.175697E+08  -0.429088E+00   0.104750E+08   0.104750E+08   0.134563E+02
   0.251219E-04   0.175654E+08   0.175654E+08   0.233368E+08   0.233343E+08   0.175654E+08   0.175654E+08   0.175654E+08   0.175712E+08  -0.429134E+00   0.104753E+08   0.104753E+08   0.148704E+02
   0.277659E-04   0.175672E+08   0.175671E+08   0.233207E+08   0.233176E+08   0.175672E+08   0.175672E+08   0.175672E+08   0.175730E+08  -0.429191E+00   0.104757E+08   0.104757E+08   0.164325E+02
   0.306881E-04   0.175693E+08   0.175693E+08   0.233011E+08   0.232973E+08   0.175694E+08   0.175694E+08   0.175693E+08   0.175752E+08  -0.429261E+00   0.104762E+08   0.104762E+08   0.181580E+02
   0.339179E-04   0.175720E+08   0.175720E+08   0.232771E+08   0.232725E+08   0.175721E+08   0.175720E+08   0.175720E+08   0.175778E+08  -0.429345E+00   0.104767E+08   0.104767E+08   0.200636E+02
   0.374876E-04   0.175753E+08   0.175753E+08   0.232478E+08   0.232422E+08   0.175754E+08   0.175753E+08   0.175753E+08   0.175811E+08  -0.429448E+00   0.104774E+08   0.104774E+08   0.221680E+02
   0.414330E-04   0.175793E+08   0.175793E+08   0.232121E+08   0.232052E+08   0.175794E+08   0.175793E+08   0.175793E+08   0.175851E+08  -0.429574E+00   0.104782E+08   0.104782E+08   0.244914E+02
   0.457936E-04   0.175841E+08   0.175841E+08   0.231685E+08   0.231602E+08   0.175842E+08   0.175841E+08   0.175841E+08   0.175899E+08  -0.429727E+00   0.104793E+08   0.104793E+08   0.270558E+02
   0.506132E-04   0.175901E+08   0.175901E+08   0.231154E+08   0.231052E+08   0.175902E+08   0.175901E+08   0.175901E+08   0.175958E+08  -0.429914E+00   0.104805E+08   0.104805E+08   0.298856E+02
   0.559400E-04   0.175973E+08   0.175973E+08   0.230507E+08   0.230383E+08   0.175974E+08   0.175973E+08   0.175973E+08   0.176031E+08  -0.430141E+00   0.104820E+08   0.104820E+08   0.330070E+02
   0.618274E-04   0.176061E+08   0.176061E+08   0.229718E+08   0.229567E+08   0.176062E+08   0.176061E+08   0.176061E+08   0.176118E+08  -0.430417E+00   0.104839E+08   0.104839E+08   0.364486E+02
   0.683345E-04   0.176168E+08   0.176168E+08   0.228758E+08   0.228574E+08   0.176169E+08   0.176168E+08   0.176168E+08   0.176225E+08  -0.430753E+00   0.104861E+08   0.104861E+08   0.402411E+02
   0.755264E-04   0.176298E+08   0.176298E+08   0.227591E+08   0.227366E+08   0.176299E+08   0.176298E+08   0.176298E+08   0.176355E+08  -0.431161E+00   0.104888E+08   0.104888E+08   0.444177E+02
   0.834752E-04   0.176456E+08   0.176456E+08   0.226172E+08   0.225899E+08   0.176457E+08   0.176456E+08   0.176456E+08   0.176513E+08  -0.431654E+00   0.104921E+08   0.104921E+08   0.490135E+02
   0.922605E-04   0.176648E+08   0.176648E+08   0.224449E+08   0.224118E+08   0.176649E+08   0.176648E+08   0.176648E+08   0.176704E+08  -0.432252E+00   0.104961E+08   0.104961E+08   0.540656E+02
   0.101971E-03   0.176881E+08   0.176880E+08   0.222360E+08   0.221959E+08   0.176882E+08   0.176881E+08   0.176881E+08   0.176937E+08  -0.432973E+00   0.105009E+08   0.105009E+08   0.596126E+02
   0.112702E-03   0.177163E+08   0.177162E+08   0.219833E+08   0.219347E+08   0.177163E+08   0.177162E+08   0.177162E+08   0.177217E+08  -0.433841E+00   0.105067E+08   0.105067E+08   0.656941E+02
