#    L    TT             EE             BB             TE          
     2    0.17138E+04    0.49484E-01    0.77126E-06    0.47802E+01
     3    0.16126E+04    0.79345E-01    0.15428E-05    0.56087E+01
     4    0.14985E+04    0.87038E-01    0.25721E-05    0.56188E+01
     5    0.13967E+04    0.74990E-01    0.38594E-05    0.52252E+01
     6    0.13105E+04    0.53990E-01    0.54053E-05    0.46907E+01
     7    0.12388E+04    0.34657E-01    0.72104E-05    0.41448E+01
     8    0.11789E+04    0.22659E-01    0.92754E-05    0.36404E+01
     9    0.11288E+04    0.18223E-01    0.11601E-04    0.31898E+01
    10    0.10873E+04    0.18334E-01    0.14188E-04    0.27927E+01
    11    0.10537E+04    0.19417E-01    0.17038E-04    0.24508E+01
    12    0.10279E+04    0.19146E-01    0.20150E-04    0.21628E+01
    13    0.10070E+04    0.16975E-01    0.23527E-04    0.19225E+01
    14    0.98924E+03    0.13621E-01    0.27170E-04    0.17232E+01
    15    0.97514E+03    0.10145E-01    0.31079E-04    0.15670E+01
    16    0.96561E+03    0.74756E-02    0.35256E-04    0.14576E+01
    17    0.95996E+03    0.59086E-02    0.39701E-04    0.13925E+01
    18    0.95653E+03    0.53219E-02    0.44417E-04    0.13693E+01
    19    0.95592E+03    0.54101E-02    0.49403E-04    0.13851E+01
    20    0.95637E+03    0.59105E-02    0.54661E-04    0.14329E+01
    21    0.95817E+03    0.66475E-02    0.60193E-04    0.15046E+01
    22    0.96154E+03    0.75741E-02    0.65999E-04    0.15908E+01
    23    0.96620E+03    0.87119E-02    0.72081E-04    0.16842E+01
    24    0.97211E+03    0.10055E-01    0.78438E-04    0.17779E+01
    25    0.97915E+03    0.11594E-01    0.85073E-04    0.18666E+01
    26    0.98706E+03    0.13284E-01    0.91987E-04    0.19467E+01
    27    0.99604E+03    0.15114E-01    0.99178E-04    0.20144E+01
    28    0.10059E+04    0.17107E-01    0.10665E-03    0.20674E+01
    29    0.10166E+04    0.19260E-01    0.11440E-03    0.21055E+01
    30    0.10280E+04    0.21583E-01    0.12243E-03    0.21281E+01
    31    0.10399E+04    0.24116E-01    0.13075E-03    0.21369E+01
    32    0.10525E+04    0.26890E-01    0.13934E-03    0.21345E+01
    33    0.10658E+04    0.29908E-01    0.14822E-03    0.21236E+01
    34    0.10795E+04    0.33172E-01    0.15738E-03    0.21071E+01
    35    0.10938E+04    0.36662E-01    0.16682E-03    0.20838E+01
    36    0.11084E+04    0.40369E-01    0.17655E-03    0.20512E+01
    37    0.11233E+04    0.44313E-01    0.18655E-03    0.20087E+01
    38    0.11388E+04    0.48520E-01    0.19684E-03    0.19582E+01
    39    0.11548E+04    0.52980E-01    0.20741E-03    0.19007E+01
    40    0.11710E+04    0.57676E-01    0.21826E-03    0.18369E+01
    41    0.11876E+04    0.62605E-01    0.22939E-03    0.17665E+01
    42    0.12044E+04    0.67783E-01    0.24080E-03    0.16879E+01
    43    0.12215E+04    0.73231E-01    0.25249E-03    0.15987E+01
    44    0.12386E+04    0.78957E-01    0.26446E-03    0.14976E+01
    45    0.12562E+04    0.84976E-01    0.27671E-03    0.13833E+01
    46    0.12742E+04    0.91305E-01    0.28923E-03    0.12529E+01
    47    0.12923E+04    0.97926E-01    0.30204E-03    0.11073E+01
    48    0.13106E+04    0.10483E+00    0.31512E-03    0.95092E+00
    49    0.13291E+04    0.11197E+00    0.32847E-03    0.78747E+00
    50    0.13481E+04    0.11931E+00    0.34210E-03    0.61404E+00
    51    0.13673E+04    0.12681E+00    0.35600E-03    0.42630E+00
    52    0.13869E+04    0.13456E+00    0.37017E-03    0.22012E+00
    53    0.14065E+04    0.14273E+00    0.38462E-03   -0.67068E-02
    54    0.14262E+04    0.15132E+00    0.39933E-03   -0.24842E+00
    55    0.14460E+04    0.16032E+00    0.41432E-03   -0.49915E+00
    56    0.14662E+04    0.16961E+00    0.42958E-03   -0.75953E+00
    57    0.14868E+04    0.17907E+00    0.44510E-03   -0.10298E+01
    58    0.15077E+04    0.18871E+00    0.46090E-03   -0.13114E+01
    59    0.15287E+04    0.19854E+00    0.47696E-03   -0.16058E+01
    60    0.15500E+04    0.20861E+00    0.49329E-03   -0.19129E+01
    61    0.15718E+04    0.21902E+00    0.50989E-03   -0.22325E+01
    62    0.15934E+04    0.22974E+00    0.52675E-03   -0.25656E+01
    63    0.16152E+04    0.24075E+00    0.54388E-03   -0.29132E+01
    64    0.16374E+04    0.25204E+00    0.56128E-03   -0.32766E+01
    65    0.16596E+04    0.26360E+00    0.57894E-03   -0.36563E+01
    66    0.16822E+04    0.27536E+00    0.59687E-03   -0.40504E+01
    67    0.17050E+04    0.28733E+00    0.61507E-03   -0.44558E+01
    68    0.17283E+04    0.29955E+00    0.63354E-03   -0.48704E+01
    69    0.17517E+04    0.31197E+00    0.65227E-03   -0.52922E+01
    70    0.17755E+04    0.32464E+00    0.67128E-03   -0.57223E+01
    71    0.17994E+04    0.33756E+00    0.69055E-03   -0.61629E+01
    72    0.18236E+04    0.35067E+00    0.71009E-03   -0.66157E+01
    73    0.18479E+04    0.36397E+00    0.72991E-03   -0.70814E+01
    74    0.18724E+04    0.37741E+00    0.74999E-03   -0.75597E+01
    75    0.18973E+04    0.39101E+00    0.77036E-03   -0.80493E+01
    76    0.19224E+04    0.40478E+00    0.79099E-03   -0.85499E+01
    77    0.19479E+04    0.41869E+00    0.81190E-03   -0.90612E+01
    78    0.19737E+04    0.43278E+00    0.83309E-03   -0.95847E+01
    79    0.19997E+04    0.44698E+00    0.85456E-03   -0.10116E+02
    80    0.20261E+04    0.46132E+00    0.87631E-03   -0.10657E+02
    81    0.20527E+04    0.47573E+00    0.89834E-03   -0.11208E+02
    82    0.20795E+04    0.49023E+00    0.92066E-03   -0.11768E+02
    83    0.21066E+04    0.50480E+00    0.94326E-03   -0.12336E+02
    84    0.21339E+04    0.51945E+00    0.96615E-03   -0.12910E+02
    85    0.21614E+04    0.53413E+00    0.98933E-03   -0.13492E+02
    86    0.21892E+04    0.54887E+00    0.10128E-02   -0.14080E+02
    87    0.22173E+04    0.56362E+00    0.10366E-02   -0.14673E+02
    88    0.22455E+04    0.57842E+00    0.10606E-02   -0.15271E+02
    89    0.22740E+04    0.59323E+00    0.10850E-02   -0.15876E+02
    90    0.23028E+04    0.60802E+00    0.11096E-02   -0.16486E+02
    91    0.23317E+04    0.62279E+00    0.11346E-02   -0.17101E+02
    92    0.23609E+04    0.63751E+00    0.11599E-02   -0.17720E+02
    93    0.23905E+04    0.65218E+00    0.11854E-02   -0.18343E+02
    94    0.24201E+04    0.66677E+00    0.12113E-02   -0.18969E+02
