#    L    TT             EE             BB             TE          
     2    0.22007E+04    0.64883E-01    0.24400E-01    0.50864E+01
     3    0.20022E+04    0.99219E-01    0.28258E-01    0.52123E+01
     4    0.18628E+04    0.10828E+00    0.27864E-01    0.49952E+01
     5    0.17509E+04    0.94630E-01    0.24593E-01    0.45586E+01
     6    0.16601E+04    0.70265E-01    0.19983E-01    0.40673E+01
     7    0.15866E+04    0.47053E-01    0.15276E-01    0.35977E+01
     8    0.15264E+04    0.31604E-01    0.11240E-01    0.31722E+01
     9    0.14770E+04    0.24617E-01    0.82037E-02    0.27889E+01
    10    0.14366E+04    0.23182E-01    0.61930E-02    0.24453E+01
    11    0.14042E+04    0.23590E-01    0.50750E-02    0.21404E+01
    12    0.13792E+04    0.23275E-01    0.46567E-02    0.18741E+01
    13    0.13589E+04    0.21477E-01    0.47412E-02    0.16424E+01
    14    0.13418E+04    0.18727E-01    0.51492E-02    0.14406E+01
    15    0.13287E+04    0.15982E-01    0.57657E-02    0.12727E+01
    16    0.13204E+04    0.14106E-01    0.65018E-02    0.11442E+01
    17    0.13159E+04    0.13371E-01    0.73112E-02    0.10539E+01
    18    0.13132E+04    0.13651E-01    0.81627E-02    0.10003E+01
    19    0.13129E+04    0.14641E-01    0.90453E-02    0.98184E+00
    20    0.13133E+04    0.16079E-01    0.99533E-02    0.99275E+00
    21    0.13147E+04    0.17791E-01    0.10884E-01    0.10246E+01
    22    0.13175E+04    0.19726E-01    0.11837E-01    0.10679E+01
    23    0.13214E+04    0.21901E-01    0.12809E-01    0.11155E+01
    24    0.13263E+04    0.24303E-01    0.13799E-01    0.11612E+01
    25    0.13321E+04    0.26923E-01    0.14805E-01    0.11999E+01
    26    0.13387E+04    0.29715E-01    0.15822E-01    0.12285E+01
    27    0.13462E+04    0.32665E-01    0.16853E-01    0.12434E+01
    28    0.13543E+04    0.35791E-01    0.17898E-01    0.12430E+01
    29    0.13632E+04    0.39102E-01    0.18958E-01    0.12263E+01
    30    0.13726E+04    0.42616E-01    0.20029E-01    0.11924E+01
    31    0.13824E+04    0.46374E-01    0.21112E-01    0.11433E+01
    32    0.13927E+04    0.50398E-01    0.22204E-01    0.10823E+01
    33    0.14036E+04    0.54678E-01    0.23304E-01    0.10123E+01
    34    0.14149E+04    0.59207E-01    0.24412E-01    0.93645E+00
    35    0.14265E+04    0.63971E-01    0.25524E-01    0.85364E+00
    36    0.14383E+04    0.68969E-01    0.26638E-01    0.76142E+00
    37    0.14504E+04    0.74224E-01    0.27755E-01    0.65939E+00
    38    0.14629E+04    0.79763E-01    0.28878E-01    0.54965E+00
    39    0.14758E+04    0.85570E-01    0.30004E-01    0.43329E+00
    40    0.14889E+04    0.91626E-01    0.31128E-01    0.31098E+00
    41    0.15022E+04    0.97922E-01    0.32249E-01    0.18272E+00
    42    0.15157E+04    0.10447E+00    0.33364E-01    0.46765E-01
    43    0.15293E+04    0.11130E+00    0.34472E-01   -0.99048E-01
    44    0.15429E+04    0.11841E+00    0.35572E-01   -0.25600E+00
    45    0.15569E+04    0.12582E+00    0.36664E-01   -0.42528E+00
    46    0.15712E+04    0.13354E+00    0.37746E-01   -0.60964E+00
    47    0.15856E+04    0.14155E+00    0.38817E-01   -0.80815E+00
    48    0.16001E+04    0.14985E+00    0.39875E-01   -0.10163E+01
    49    0.16147E+04    0.15839E+00    0.40918E-01   -0.12301E+01
    50    0.16297E+04    0.16712E+00    0.41946E-01   -0.14525E+01
    51    0.16449E+04    0.17601E+00    0.42956E-01   -0.16877E+01
    52    0.16605E+04    0.18515E+00    0.43948E-01   -0.19398E+01
    53    0.16761E+04    0.19469E+00    0.44920E-01   -0.22109E+01
    54    0.16916E+04    0.20465E+00    0.45873E-01   -0.24952E+01
    55    0.17072E+04    0.21502E+00    0.46805E-01   -0.27870E+01
    56    0.17232E+04    0.22566E+00    0.47716E-01   -0.30866E+01
    57    0.17396E+04    0.23646E+00    0.48604E-01   -0.33944E+01
    58    0.17562E+04    0.24742E+00    0.49469E-01   -0.37117E+01
    59    0.17730E+04    0.25856E+00    0.50309E-01   -0.40399E+01
    60    0.17900E+04    0.26993E+00    0.51124E-01   -0.43787E+01
    61    0.18074E+04    0.28162E+00    0.51913E-01   -0.47280E+01
    62    0.18247E+04    0.29361E+00    0.52674E-01   -0.50888E+01
    63    0.18421E+04    0.30586E+00    0.53409E-01   -0.54621E+01
    64    0.18599E+04    0.31839E+00    0.54116E-01   -0.58492E+01
    65    0.18778E+04    0.33116E+00    0.54794E-01   -0.62507E+01
    66    0.18960E+04    0.34412E+00    0.55445E-01   -0.66646E+01
    67    0.19145E+04    0.35726E+00    0.56066E-01   -0.70879E+01
    68    0.19334E+04    0.37063E+00    0.56658E-01   -0.75184E+01
    69    0.19525E+04    0.38418E+00    0.57220E-01   -0.79538E+01
    70    0.19719E+04    0.39795E+00    0.57751E-01   -0.83954E+01
    71    0.19915E+04    0.41192E+00    0.58251E-01   -0.88453E+01
    72    0.20114E+04    0.42608E+00    0.58720E-01   -0.93050E+01
    73    0.20314E+04    0.44038E+00    0.59157E-01   -0.97757E+01
    74    0.20516E+04    0.45481E+00    0.59564E-01   -0.10257E+02
    75    0.20722E+04    0.46938E+00    0.59940E-01   -0.10748E+02
    76    0.20931E+04    0.48409E+00    0.60285E-01   -0.11248E+02
    77    0.21144E+04    0.49892E+00    0.60599E-01   -0.11758E+02
    78    0.21361E+04    0.51389E+00    0.60883E-01   -0.12277E+02
    79    0.21580E+04    0.52896E+00    0.61136E-01   -0.12803E+02
    80    0.21803E+04    0.54411E+00    0.61358E-01   -0.13336E+02
    81    0.22028E+04    0.55930E+00    0.61549E-01   -0.13878E+02
    82    0.22256E+04    0.57455E+00    0.61710E-01   -0.14426E+02
    83    0.22487E+04    0.58984E+00    0.61841E-01   -0.14980E+02
    84    0.22722E+04    0.60515E+00    0.61941E-01   -0.15539E+02
    85    0.22958E+04    0.62047E+00    0.62011E-01   -0.16103E+02
    86    0.23197E+04    0.63581E+00    0.62049E-01   -0.16672E+02
    87    0.23441E+04    0.65114E+00    0.62058E-01   -0.17245E+02
    88    0.23685E+04    0.66647E+00    0.62037E-01   -0.17822E+02
    89    0.23933E+04    0.68178E+00    0.61987E-01   -0.18404E+02
    90    0.24185E+04    0.69703E+00    0.61907E-01   -0.18989E+02
    91    0.24439E+04    0.71222E+00    0.61799E-01   -0.19578E+02
    92    0.24696E+04    0.72733E+00    0.61663E-01   -0.20170E+02
    93    0.24957E+04    0.74235E+00    0.61500E-01   -0.20765E+02
    94    0.25219E+04    0.75724E+00    0.61310E-01   -0.21361E+02
    95    0.25485E+04    0.77201E+00    0.61094E-01   -0.21960E+02
    96    0.25751E+04    0.78665E+00    0.60853E-01   -0.22560E+02
    97    0.26023E+04    0.80113E+00    0.60588E-01   -0.23162E+02
    98    0.26298E+04    0.81545E+00    0.60298E-01   -0.23762E+02
    99    0.26574E+04    0.82957E+00    0.59986E-01   -0.24364E+02
   100    0.26854E+04    0.84350E+00    0.59650E-01   -0.24964E+02
   101    0.27136E+04    0.85729E+00    0.59293E-01   -0.25564E+02
   102    0.27424E+04    0.87080E+00    0.58915E-01   -0.26163E+02
   103    0.27712E+04    0.88410E+00    0.58516E-01   -0.26761E+02
   104    0.28003E+04    0.89719E+00    0.58097E-01   -0.27355E+02
   105    0.28296E+04    0.90999E+00    0.57659E-01   -0.27947E+02
   106    0.28592E+04    0.92259E+00    0.57203E-01   -0.28536E+02
   107    0.28888E+04    0.93483E+00    0.56728E-01   -0.29121E+02
   108    0.29189E+04    0.94679E+00    0.56237E-01   -0.29702E+02
   109    0.29492E+04    0.95840E+00    0.55729E-01   -0.30278E+02
   110    0.29796E+04    0.96964E+00    0.55205E-01   -0.30848E+02
