#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.207033E+08   0.207033E+08   0.275904E+08   0.275900E+08   0.207034E+08   0.207033E+08   0.207033E+08   0.207102E+08  -0.465724E+00   0.979746E+07   0.979746E+07   0.611364E+01
   0.112819E-04   0.207032E+08   0.207032E+08   0.275872E+08   0.275867E+08   0.207033E+08   0.207032E+08   0.207032E+08   0.207101E+08  -0.465720E+00   0.979742E+07   0.979742E+07   0.675686E+01
   0.124693E-04   0.207031E+08   0.207031E+08   0.275832E+08   0.275826E+08   0.207032E+08   0.207031E+08   0.207031E+08   0.207100E+08  -0.465716E+00   0.979737E+07   0.979737E+07   0.746771E+01
   0.137816E-04   0.207030E+08   0.207030E+08   0.275784E+08   0.275777E+08   0.207031E+08   0.207030E+08   0.207030E+08   0.207099E+08  -0.465712E+00   0.979730E+07   0.979730E+07   0.825327E+01
   0.152321E-04   0.207028E+08   0.207028E+08   0.275725E+08   0.275716E+08   0.207029E+08   0.207028E+08   0.207028E+08   0.207097E+08  -0.465706E+00   0.979722E+07   0.979722E+07   0.912137E+01
   0.168352E-04   0.207026E+08   0.207026E+08   0.275653E+08   0.275642E+08   0.207027E+08   0.207026E+08   0.207026E+08   0.207095E+08  -0.465698E+00   0.979713E+07   0.979713E+07   0.100807E+02
   0.186070E-04   0.207023E+08   0.207023E+08   0.275565E+08   0.275552E+08   0.207024E+08   0.207023E+08   0.207023E+08   0.207092E+08  -0.465690E+00   0.979701E+07   0.979701E+07   0.111407E+02
   0.205653E-04   0.207020E+08   0.207020E+08   0.275458E+08   0.275441E+08   0.207021E+08   0.207020E+08   0.207020E+08   0.207089E+08  -0.465679E+00   0.979686E+07   0.979686E+07   0.123119E+02
   0.227297E-04   0.207016E+08   0.207016E+08   0.275327E+08   0.275306E+08   0.207017E+08   0.207016E+08   0.207016E+08   0.207085E+08  -0.465666E+00   0.979669E+07   0.979669E+07   0.136059E+02
   0.251219E-04   0.207011E+08   0.207011E+08   0.275166E+08   0.275142E+08   0.207012E+08   0.207011E+08   0.207011E+08   0.207080E+08  -0.465650E+00   0.979648E+07   0.979647E+07   0.150356E+02
   0.277659E-04   0.207005E+08   0.207005E+08   0.274971E+08   0.274941E+08   0.207006E+08   0.207005E+08   0.207005E+08   0.207074E+08  -0.465630E+00   0.979621E+07   0.979621E+07   0.166149E+02
   0.306881E-04   0.206998E+08   0.206998E+08   0.274732E+08   0.274696E+08   0.206999E+08   0.206998E+08   0.206998E+08   0.207066E+08  -0.465606E+00   0.979589E+07   0.979589E+07   0.183593E+02
   0.339179E-04   0.206989E+08   0.206989E+08   0.274441E+08   0.274396E+08   0.206990E+08   0.206989E+08   0.206989E+08   0.207057E+08  -0.465577E+00   0.979550E+07   0.979550E+07   0.202858E+02
   0.374876E-04   0.206978E+08   0.206978E+08   0.274086E+08   0.274031E+08   0.206979E+08   0.206978E+08   0.206978E+08   0.207047E+08  -0.465542E+00   0.979502E+07   0.979502E+07   0.224131E+02
   0.414330E-04   0.206965E+08   0.206965E+08   0.273652E+08   0.273585E+08   0.206966E+08   0.206965E+08   0.206965E+08   0.207033E+08  -0.465498E+00   0.979444E+07   0.979444E+07   0.247616E+02
   0.457936E-04   0.206949E+08   0.206949E+08   0.273123E+08   0.273042E+08   0.206950E+08   0.206949E+08   0.206949E+08   0.207017E+08  -0.465446E+00   0.979373E+07   0.979373E+07   0.273537E+02
   0.506132E-04   0.206929E+08   0.206929E+08   0.272479E+08   0.272379E+08   0.206930E+08   0.206929E+08   0.206929E+08   0.206997E+08  -0.465381E+00   0.979286E+07   0.979286E+07   0.302137E+02
   0.559400E-04   0.206905E+08   0.206905E+08   0.271693E+08   0.271572E+08   0.206906E+08   0.206905E+08   0.206905E+08   0.206973E+08  -0.465302E+00   0.979180E+07   0.979180E+07   0.333681E+02
   0.618274E-04   0.206876E+08   0.206875E+08   0.270736E+08   0.270588E+08   0.206876E+08   0.206876E+08   0.206876E+08   0.206943E+08  -0.465206E+00   0.979051E+07   0.979050E+07   0.368455E+02
   0.683345E-04   0.206840E+08   0.206840E+08   0.269571E+08   0.269392E+08   0.206841E+08   0.206840E+08   0.206840E+08   0.206907E+08  -0.465090E+00   0.978894E+07   0.978893E+07   0.406771E+02
   0.755264E-04   0.206796E+08   0.206796E+08   0.268155E+08   0.267936E+08   0.206797E+08   0.206796E+08   0.206796E+08   0.206863E+08  -0.464947E+00   0.978702E+07   0.978701E+07   0.448957E+02
   0.834752E-04   0.206743E+08   0.206743E+08   0.266433E+08   0.266168E+08   0.206744E+08   0.206743E+08   0.206743E+08   0.206810E+08  -0.464774E+00   0.978469E+07   0.978467E+07   0.495368E+02
   0.922605E-04   0.206679E+08   0.206678E+08   0.264344E+08   0.264022E+08   0.206680E+08   0.206679E+08   0.206679E+08   0.206745E+08  -0.464564E+00   0.978184E+07   0.978183E+07   0.546371E+02
   0.101971E-03   0.206600E+08   0.206600E+08   0.261813E+08   0.261422E+08   0.206601E+08   0.206600E+08   0.206600E+08   0.206666E+08  -0.464309E+00   0.977839E+07   0.977837E+07   0.602351E+02
   0.112702E-03   0.206505E+08   0.206504E+08   0.258750E+08   0.258277E+08   0.206506E+08   0.206505E+08   0.206505E+08   0.206570E+08  -0.463999E+00   0.977419E+07   0.977416E+07   0.663697E+02
   0.124564E-03   0.206389E+08   0.206388E+08   0.255054E+08   0.254482E+08   0.206390E+08   0.206389E+08   0.206389E+08   0.206453E+08  -0.463624E+00   0.976909E+07   0.976906E+07   0.730797E+02
   0.137674E-03   0.206249E+08   0.206248E+08   0.250603E+08   0.249914E+08   0.206249E+08   0.206249E+08   0.206249E+08   0.206311E+08  -0.463171E+00   0.976292E+07   0.976288E+07   0.804017E+02
   0.152163E-03   0.206079E+08   0.206078E+08   0.245264E+08   0.244436E+08   0.206080E+08   0.206079E+08   0.206079E+08   0.206140E+08  -0.462625E+00   0.975545E+07   0.975541E+07   0.883686E+02
   0.168178E-03   0.205874E+08   0.205872E+08   0.238882E+08   0.237891E+08   0.205874E+08   0.205874E+08   0.205874E+08   0.205934E+08  -0.461968E+00   0.974644E+07   0.974639E+07   0.970066E+02
   0.185878E-03   0.205627E+08   0.205625E+08   0.231293E+08   0.230112E+08   0.205627E+08   0.205627E+08   0.205627E+08   0.205684E+08  -0.461181E+00   0.973558E+07   0.973552E+07   0.106331E+03
   0.205440E-03   0.205330E+08   0.205328E+08   0.222322E+08   0.220923E+08   0.205330E+08   0.205330E+08   0.205330E+08   0.205385E+08  -0.460243E+00   0.972256E+07   0.972249E+07   0.116344E+03
   0.227062E-03   0.204975E+08   0.204972E+08   0.211797E+08   0.210151E+08   0.204975E+08   0.204975E+08   0.204975E+08   0.205027E+08  -0.459129E+00   0.970699E+07   0.970690E+07   0.127023E+03
   0.250959E-03   0.204552E+08   0.204548E+08   0.199563E+08   0.197641E+08   0.204551E+08   0.204551E+08   0.204551E+08   0.204601E+08  -0.457813E+00   0.968844E+07   0.968834E+07   0.138318E+03
   0.277372E-03   0.204050E+08   0.204045E+08   0.185502E+08   0.183283E+08   0.204048E+08   0.204049E+08   0.204049E+08   0.204095E+08  -0.456271E+00   0.966648E+07   0.966636E+07   0.150144E+03
   0.306564E-03   0.203458E+08   0.203452E+08   0.169569E+08   0.167039E+08   0.203456E+08   0.203457E+08   0.203457E+08   0.203499E+08  -0.454478E+00   0.964063E+07   0.964048E+07   0.162363E+03
   0.338828E-03   0.202765E+08   0.202758E+08   0.151832E+08   0.148992E+08   0.202763E+08   0.202764E+08   0.202764E+08   0.202801E+08  -0.452411E+00   0.961040E+07   0.961023E+07   0.174782E+03
   0.374488E-03   0.201960E+08   0.201952E+08   0.132517E+08   0.129390E+08   0.201957E+08   0.201959E+08   0.201959E+08   0.201991E+08  -0.450054E+00   0.957536E+07   0.957515E+07   0.187139E+03
   0.413901E-03   0.201034E+08   0.201025E+08   0.112061E+08   0.108701E+08   0.201031E+08   0.201032E+08   0.201033E+08   0.201060E+08  -0.447398E+00   0.953509E+07   0.953485E+07   0.199097E+03
   0.457462E-03   0.199980E+08   0.199969E+08   0.911497E+07   0.876449E+07   0.199976E+08   0.199978E+08   0.199978E+08   0.200001E+08  -0.444442E+00   0.948929E+07   0.948900E+07   0.210243E+03
   0.505608E-03   0.198794E+08   0.198781E+08   0.707232E+07   0.671989E+07   0.198788E+08   0.198791E+08   0.198792E+08   0.198809E+08  -0.441195E+00   0.943776E+07   0.943743E+07   0.220099E+03
   0.558821E-03   0.197475E+08   0.197460E+08   0.519163E+07   0.485289E+07   0.197468E+08   0.197472E+08   0.197473E+08   0.197485E+08  -0.437677E+00   0.938046E+07   0.938007E+07   0.228143E+03
   0.617635E-03   0.196028E+08   0.196010E+08   0.359083E+07   0.328254E+07   0.196019E+08   0.196025E+08   0.196025E+08   0.196033E+08  -0.433913E+00   0.931745E+07   0.931702E+07   0.233855E+03
   0.682638E-03   0.194460E+08   0.194439E+08   0.236603E+07   0.210256E+07   0.194449E+08   0.194456E+08   0.194457E+08   0.194462E+08  -0.429932E+00   0.924897E+07   0.924849E+07   0.236770E+03
   0.754482E-03   0.192782E+08   0.192758E+08   0.155785E+07   0.134653E+07   0.192768E+08   0.192777E+08   0.192778E+08   0.192781E+08  -0.425764E+00   0.917532E+07   0.917478E+07   0.236550E+03
   0.833888E-03   0.191005E+08   0.190978E+08   0.112231E+07   0.959182E+06   0.190987E+08   0.191000E+08   0.191000E+08   0.191002E+08  -0.421434E+00   0.909686E+07   0.909628E+07   0.233044E+03
   0.921651E-03   0.189142E+08   0.189112E+08   0.927847E+06   0.796668E+06   0.189120E+08   0.189136E+08   0.189137E+08   0.189138E+08  -0.416969E+00   0.901403E+07   0.901340E+07   0.226311E+03
   0.101865E-02   0.187204E+08   0.187171E+08   0.800340E+06   0.677825E+06   0.187178E+08   0.187197E+08   0.187199E+08   0.187199E+08  -0.412390E+00   0.892724E+07   0.892657E+07   0.216601E+03
   0.112586E-02   0.185203E+08   0.185167E+08   0.613868E+06   0.481536E+06   0.185170E+08   0.185195E+08   0.185197E+08   0.185196E+08  -0.407718E+00   0.883692E+07   0.883624E+07   0.204288E+03
   0.124435E-02   0.183147E+08   0.183110E+08   0.373080E+06   0.229655E+06   0.183107E+08   0.183138E+08   0.183141E+08   0.183139E+08  -0.402969E+00   0.874350E+07   0.874280E+07   0.189807E+03
   0.137531E-02   0.181046E+08   0.181007E+08   0.193121E+06   0.561921E+05   0.180997E+08   0.181036E+08   0.181039E+08   0.181036E+08  -0.398159E+00   0.864736E+07   0.864664E+07   0.173658E+03
   0.152006E-02   0.178906E+08   0.178866E+08   0.147579E+06   0.386837E+05   0.178846E+08   0.178895E+08   0.178899E+08   0.178896E+08  -0.393296E+00   0.854883E+07   0.854812E+07   0.156494E+03
   0.168004E-02   0.176733E+08   0.176694E+08   0.147351E+06  -0.216018E+06   0.176660E+08   0.176722E+08   0.176727E+08   0.176722E+08  -0.388383E+00   0.844822E+07   0.844752E+07   0.139161E+03
   0.185685E-02   0.174533E+08   0.174493E+08   0.757704E+05  -0.174270E+06   0.174444E+08   0.174520E+08   0.174526E+08   0.174520E+08  -0.383434E+00   0.834575E+07   0.834507E+07   0.122568E+03
   0.205228E-02   0.172307E+08   0.172268E+08   0.613104E+04  -0.140581E+06   0.172199E+08   0.172294E+08   0.172301E+08   0.172294E+08  -0.378455E+00   0.824165E+07   0.824099E+07   0.107468E+03
   0.226827E-02   0.170059E+08   0.170020E+08   0.260743E+05  -0.113452E+06   0.169927E+08   0.170044E+08   0.170052E+08   0.170044E+08  -0.373434E+00   0.813603E+07   0.813539E+07   0.943795E+02
   0.250700E-02   0.167787E+08   0.167748E+08   0.169887E+05  -0.915158E+05   0.167627E+08   0.167770E+08   0.167780E+08   0.167770E+08  -0.368381E+00   0.802892E+07   0.802830E+07   0.835478E+02
   0.277085E-02   0.165489E+08   0.165449E+08  -0.760924E+04  -0.738379E+05   0.165296E+08   0.165470E+08   0.165483E+08   0.165470E+08  -0.363277E+00   0.792028E+07   0.791966E+07   0.747636E+02
   0.306246E-02   0.163161E+08   0.163119E+08   0.970709E+04  -0.595414E+05   0.162927E+08   0.163139E+08   0.163154E+08   0.163139E+08  -0.358120E+00   0.780988E+07   0.780926E+07   0.674391E+02
   0.338478E-02   0.160795E+08   0.160750E+08  -0.816969E+04  -0.480176E+05   0.160511E+08   0.160768E+08   0.160787E+08   0.160768E+08  -0.352878E+00   0.769739E+07   0.769677E+07   0.609132E+02
   0.374101E-02   0.158378E+08   0.158331E+08  -0.563445E+04  -0.386966E+05   0.158036E+08   0.158347E+08   0.158370E+08   0.158347E+08  -0.347538E+00   0.758229E+07   0.758168E+07   0.547242E+02
   0.413473E-02   0.155896E+08   0.155846E+08  -0.807330E+04  -0.311660E+05   0.155485E+08   0.155860E+08   0.155888E+08   0.155860E+08  -0.342058E+00   0.746388E+07   0.746328E+07   0.488645E+02
   0.456989E-02   0.153331E+08   0.153277E+08  -0.588897E+04  -0.250856E+05   0.152838E+08   0.153288E+08   0.153322E+08   0.153288E+08  -0.336395E+00   0.734130E+07   0.734070E+07   0.435985E+02
   0.505085E-02   0.150660E+08   0.150602E+08  -0.344970E+04  -0.201732E+05   0.150070E+08   0.150610E+08   0.150650E+08   0.150610E+08  -0.330503E+00   0.721352E+07   0.721293E+07   0.390713E+02
   0.558243E-02   0.147860E+08   0.147796E+08  -0.420750E+04  -0.162041E+05   0.147157E+08   0.147802E+08   0.147850E+08   0.147802E+08  -0.324328E+00   0.707942E+07   0.707883E+07   0.351102E+02
   0.616996E-02   0.144906E+08   0.144835E+08  -0.200988E+04  -0.129992E+05   0.144071E+08   0.144837E+08   0.144894E+08   0.144837E+08  -0.317810E+00   0.693776E+07   0.693718E+07   0.314954E+02
   0.681932E-02   0.141770E+08   0.141691E+08  -0.350137E+04  -0.104102E+05   0.140784E+08   0.141690E+08   0.141757E+08   0.141689E+08  -0.310895E+00   0.678730E+07   0.678673E+07   0.282588E+02
   0.753702E-02   0.138426E+08   0.138337E+08  -0.269594E+04  -0.831902E+04   0.137267E+08   0.138332E+08   0.138411E+08   0.138332E+08  -0.303524E+00   0.662676E+07   0.662618E+07   0.254390E+02
   0.833025E-02   0.134848E+08   0.134747E+08  -0.159768E+04  -0.663366E+04   0.133495E+08   0.134738E+08   0.134831E+08   0.134738E+08  -0.295632E+00   0.645486E+07   0.645428E+07   0.228959E+02
   0.920698E-02   0.131009E+08   0.130894E+08  -0.404421E+04  -0.527569E+04   0.129440E+08   0.130882E+08   0.130990E+08   0.130882E+08  -0.287167E+00   0.627037E+07   0.626980E+07   0.206229E+02
   0.101760E-01   0.126886E+08   0.126754E+08  -0.218977E+04  -0.418246E+04   0.125081E+08   0.126740E+08   0.126864E+08   0.126740E+08  -0.278076E+00   0.607218E+07   0.607161E+07   0.186318E+02
   0.112469E-01   0.122458E+08   0.122307E+08  -0.220999E+04  -0.330388E+04   0.120399E+08   0.122292E+08   0.122433E+08   0.122292E+08  -0.268315E+00   0.585931E+07   0.585874E+07   0.168483E+02
   0.124306E-01   0.117711E+08   0.117537E+08  -0.164413E+04  -0.259984E+04   0.115381E+08   0.117523E+08   0.117682E+08   0.117523E+08  -0.257848E+00   0.563105E+07   0.563048E+07   0.152716E+02
   0.137389E-01   0.112634E+08   0.112434E+08  -0.163291E+04  -0.203625E+04   0.110022E+08   0.112422E+08   0.112601E+08   0.112422E+08  -0.246656E+00   0.538691E+07   0.538634E+07   0.138716E+02
   0.151849E-01   0.107222E+08   0.106992E+08  -0.103413E+04  -0.158675E+04   0.104320E+08   0.106985E+08   0.107183E+08   0.106985E+08  -0.234725E+00   0.512665E+07   0.512608E+07   0.126257E+02
   0.167830E-01   0.101589E+08   0.101327E+08  -0.910334E+03  -0.123068E+04   0.983939E+07   0.101327E+08   0.101545E+08   0.101327E+08  -0.222310E+00   0.485583E+07   0.485525E+07   0.115201E+02
   0.185493E-01   0.955799E+07   0.952820E+07  -0.684865E+03  -0.947836E+03   0.920975E+07   0.952925E+07   0.955299E+07   0.952925E+07  -0.209070E+00   0.456696E+07   0.456637E+07   0.105152E+02
