#    L    TT             EE             BB             TE          
     2    0.12256E+04    0.51250E-01    0.10635E-05    0.30432E+01
     3    0.11389E+04    0.84339E-01    0.21274E-05    0.38087E+01
     4    0.10569E+04    0.95504E-01    0.35466E-05    0.39535E+01
     5    0.99211E+03    0.85444E-01    0.53217E-05    0.37276E+01
     6    0.94358E+03    0.63803E-01    0.74534E-05    0.33237E+01
     7    0.90848E+03    0.41150E-01    0.99425E-05    0.28582E+01
     8    0.88324E+03    0.24111E-01    0.12790E-04    0.24028E+01
     9    0.86546E+03    0.14368E-01    0.15997E-04    0.19989E+01
    10    0.85369E+03    0.10255E-01    0.19564E-04    0.16671E+01
    11    0.84658E+03    0.90113E-02    0.23493E-04    0.14171E+01
    12    0.84413E+03    0.85020E-02    0.27786E-04    0.12508E+01
    13    0.84428E+03    0.76958E-02    0.32443E-04    0.11586E+01
    14    0.84583E+03    0.66636E-02    0.37466E-04    0.11258E+01
    15    0.84910E+03    0.57503E-02    0.42856E-04    0.11368E+01
    16    0.85455E+03    0.52572E-02    0.48616E-04    0.11767E+01
    17    0.86201E+03    0.52564E-02    0.54746E-04    0.12311E+01
    18    0.87042E+03    0.55581E-02    0.61248E-04    0.12897E+01
    19    0.88056E+03    0.60016E-02    0.68125E-04    0.13496E+01
    20    0.89071E+03    0.65147E-02    0.75376E-04    0.14070E+01
    21    0.90127E+03    0.70834E-02    0.83005E-04    0.14601E+01
    22    0.91253E+03    0.77975E-02    0.91012E-04    0.15072E+01
    23    0.92426E+03    0.87422E-02    0.99398E-04    0.15507E+01
    24    0.93647E+03    0.99493E-02    0.10817E-03    0.15936E+01
    25    0.94910E+03    0.11413E-01    0.11732E-03    0.16371E+01
    26    0.96196E+03    0.13085E-01    0.12685E-03    0.16831E+01
    27    0.97530E+03    0.14950E-01    0.13677E-03    0.17296E+01
    28    0.98897E+03    0.17023E-01    0.14707E-03    0.17750E+01
    29    0.10030E+04    0.19283E-01    0.15776E-03    0.18174E+01
    30    0.10174E+04    0.21722E-01    0.16884E-03    0.18537E+01
    31    0.10318E+04    0.24354E-01    0.18031E-03    0.18822E+01
    32    0.10467E+04    0.27186E-01    0.19216E-03    0.19019E+01
    33    0.10619E+04    0.30217E-01    0.20441E-03    0.19128E+01
    34    0.10773E+04    0.33452E-01    0.21704E-03    0.19157E+01
    35    0.10930E+04    0.36884E-01    0.23006E-03    0.19085E+01
    36    0.11088E+04    0.40516E-01    0.24347E-03    0.18879E+01
    37    0.11247E+04    0.44388E-01    0.25727E-03    0.18540E+01
    38    0.11410E+04    0.48538E-01    0.27146E-03    0.18093E+01
    39    0.11577E+04    0.52956E-01    0.28604E-03    0.17553E+01
    40    0.11745E+04    0.57623E-01    0.30100E-03    0.16932E+01
    41    0.11916E+04    0.62532E-01    0.31635E-03    0.16232E+01
    42    0.12087E+04    0.67696E-01    0.33209E-03    0.15443E+01
    43    0.12260E+04    0.73135E-01    0.34822E-03    0.14546E+01
    44    0.12434E+04    0.78856E-01    0.36473E-03    0.13534E+01
    45    0.12610E+04    0.84873E-01    0.38162E-03    0.12400E+01
    46    0.12790E+04    0.91199E-01    0.39889E-03    0.11120E+01
    47    0.12972E+04    0.97819E-01    0.41655E-03    0.97006E+00
    48    0.13154E+04    0.10472E+00    0.43459E-03    0.81817E+00
    49    0.13338E+04    0.11186E+00    0.45301E-03    0.65983E+00
    50    0.13527E+04    0.11921E+00    0.47180E-03    0.49170E+00
    51    0.13717E+04    0.12672E+00    0.49098E-03    0.30918E+00
    52    0.13911E+04    0.13447E+00    0.51053E-03    0.10816E+00
    53    0.14106E+04    0.14265E+00    0.53045E-03   -0.11349E+00
    54    0.14300E+04    0.15126E+00    0.55075E-03   -0.34995E+00
    55    0.14496E+04    0.16028E+00    0.57142E-03   -0.59527E+00
    56    0.14696E+04    0.16960E+00    0.59246E-03   -0.85003E+00
    57    0.14899E+04    0.17908E+00    0.61388E-03   -0.11147E+01
    58    0.15106E+04    0.18874E+00    0.63566E-03   -0.13909E+01
    59    0.15314E+04    0.19860E+00    0.65781E-03   -0.16803E+01
    60    0.15524E+04    0.20869E+00    0.68033E-03   -0.19832E+01
    61    0.15739E+04    0.21912E+00    0.70322E-03   -0.22994E+01
    62    0.15952E+04    0.22985E+00    0.72648E-03   -0.26297E+01
    63    0.16167E+04    0.24087E+00    0.75011E-03   -0.29748E+01
    64    0.16387E+04    0.25217E+00    0.77410E-03   -0.33354E+01
    65    0.16607E+04    0.26374E+00    0.79846E-03   -0.37120E+01
    66    0.16831E+04    0.27552E+00    0.82319E-03   -0.41022E+01
    67    0.17056E+04    0.28751E+00    0.84829E-03   -0.45033E+01
    68    0.17287E+04    0.29974E+00    0.87375E-03   -0.49137E+01
    69    0.17519E+04    0.31217E+00    0.89959E-03   -0.53314E+01
    70    0.17755E+04    0.32486E+00    0.92579E-03   -0.57582E+01
    71    0.17992E+04    0.33777E+00    0.95237E-03   -0.61964E+01
    72    0.18232E+04    0.35089E+00    0.97932E-03   -0.66476E+01
    73    0.18473E+04    0.36418E+00    0.10066E-02   -0.71124E+01
    74    0.18717E+04    0.37763E+00    0.10343E-02   -0.75900E+01
    75    0.18963E+04    0.39123E+00    0.10624E-02   -0.80792E+01
    76    0.19213E+04    0.40500E+00    0.10909E-02   -0.85794E+01
    77    0.19466E+04    0.41892E+00    0.11197E-02   -0.90902E+01
    78    0.19723E+04    0.43301E+00    0.11489E-02   -0.96129E+01
    79    0.19983E+04    0.44723E+00    0.11785E-02   -0.10144E+02
    80    0.20245E+04    0.46157E+00    0.12085E-02   -0.10683E+02
    81    0.20510E+04    0.47599E+00    0.12389E-02   -0.11233E+02
    82    0.20777E+04    0.49051E+00    0.12697E-02   -0.11791E+02
    83    0.21047E+04    0.50509E+00    0.13008E-02   -0.12357E+02
    84    0.21320E+04    0.51974E+00    0.13324E-02   -0.12929E+02
    85    0.21594E+04    0.53443E+00    0.13643E-02   -0.13509E+02
    86    0.21871E+04    0.54917E+00    0.13967E-02   -0.14095E+02
    87    0.22151E+04    0.56393E+00    0.14294E-02   -0.14686E+02
    88    0.22432E+04    0.57873E+00    0.14626E-02   -0.15284E+02
    89    0.22717E+04    0.59354E+00    0.14962E-02   -0.15888E+02
    90    0.23004E+04    0.60834E+00    0.15302E-02   -0.16497E+02
    91    0.23293E+04    0.62311E+00    0.15646E-02   -0.17110E+02
    92    0.23585E+04    0.63783E+00    0.15994E-02   -0.17729E+02
    93    0.23880E+04    0.65251E+00    0.16347E-02   -0.18351E+02
    94    0.24176E+04    0.66710E+00    0.16703E-02   -0.18977E+02
    95    0.24475E+04    0.68161E+00    0.17064E-02   -0.19606E+02
    96    0.24774E+04    0.69601E+00    0.17430E-02   -0.20238E+02
    97    0.25078E+04    0.71030E+00    0.17799E-02   -0.20872E+02
    98    0.25384E+04    0.72447E+00    0.18173E-02   -0.21506E+02
    99    0.25691E+04    0.73847E+00    0.18552E-02   -0.22143E+02
   100    0.26001E+04    0.75232E+00    0.18934E-02   -0.22778E+02
   101    0.26312E+04    0.76607E+00    0.19322E-02   -0.23415E+02
   102    0.26629E+04    0.77957E+00    0.19713E-02   -0.24051E+02
   103    0.26946E+04    0.79289E+00    0.20109E-02   -0.24687E+02
   104    0.27264E+04    0.80605E+00    0.20510E-02   -0.25320E+02
   105    0.27585E+04    0.81895E+00    0.20915E-02   -0.25951E+02
