#    L    TT             EE             BB             TE          
     2    0.17041E+04    0.66575E-01    0.24266E-01    0.33323E+01
     3    0.15252E+04    0.10414E+00    0.28133E-01    0.34065E+01
     4    0.14195E+04    0.11669E+00    0.27763E-01    0.33270E+01
     5    0.13451E+04    0.10504E+00    0.24519E-01    0.30593E+01
     6    0.12923E+04    0.80051E-01    0.19935E-01    0.26993E+01
     7    0.12556E+04    0.53532E-01    0.15249E-01    0.23105E+01
     8    0.12302E+04    0.33051E-01    0.11228E-01    0.19343E+01
     9    0.12132E+04    0.20763E-01    0.82011E-02    0.15979E+01
    10    0.12026E+04    0.15106E-01    0.61963E-02    0.13198E+01
    11    0.11968E+04    0.13187E-01    0.50818E-02    0.11069E+01
    12    0.11951E+04    0.12633E-01    0.46655E-02    0.96238E+00
    13    0.11958E+04    0.12199E-01    0.47513E-02    0.87875E+00
    14    0.11981E+04    0.11769E-01    0.51604E-02    0.84344E+00
    15    0.12024E+04    0.11588E-01    0.57780E-02    0.84276E+00
    16    0.12091E+04    0.11887E-01    0.65154E-02    0.86356E+00
    17    0.12177E+04    0.12719E-01    0.73263E-02    0.89273E+00
    18    0.12269E+04    0.13887E-01    0.81795E-02    0.92087E+00
    19    0.12373E+04    0.15232E-01    0.90638E-02    0.94658E+00
    20    0.12474E+04    0.16683E-01    0.99738E-02    0.96709E+00
    21    0.12576E+04    0.18226E-01    0.10907E-01    0.98034E+00
    22    0.12683E+04    0.19949E-01    0.11861E-01    0.98443E+00
    23    0.12793E+04    0.21931E-01    0.12836E-01    0.98216E+00
    24    0.12905E+04    0.24197E-01    0.13829E-01    0.97705E+00
    25    0.13019E+04    0.26742E-01    0.14837E-01    0.97065E+00
    26    0.13135E+04    0.29516E-01    0.15857E-01    0.96502E+00
    27    0.13253E+04    0.32501E-01    0.16891E-01    0.95877E+00
    28    0.13373E+04    0.35706E-01    0.17939E-01    0.95066E+00
    29    0.13495E+04    0.39125E-01    0.19001E-01    0.93834E+00
    30    0.13619E+04    0.42755E-01    0.20076E-01    0.91813E+00
    31    0.13742E+04    0.46611E-01    0.21161E-01    0.88877E+00
    32    0.13868E+04    0.50693E-01    0.22257E-01    0.84978E+00
    33    0.13997E+04    0.54987E-01    0.23360E-01    0.80166E+00
    34    0.14126E+04    0.59487E-01    0.24471E-01    0.74521E+00
    35    0.14256E+04    0.64192E-01    0.25587E-01    0.67839E+00
    36    0.14386E+04    0.69116E-01    0.26705E-01    0.59821E+00
    37    0.14517E+04    0.74299E-01    0.27826E-01    0.50475E+00
    38    0.14650E+04    0.79781E-01    0.28953E-01    0.40080E+00
    39    0.14787E+04    0.85546E-01    0.30082E-01    0.28796E+00
    40    0.14923E+04    0.91573E-01    0.31211E-01    0.16735E+00
    41    0.15062E+04    0.97848E-01    0.32336E-01    0.39485E-01
    42    0.15200E+04    0.10439E+00    0.33455E-01   -0.96824E-01
    43    0.15338E+04    0.11120E+00    0.34567E-01   -0.24315E+00
    44    0.15476E+04    0.11831E+00    0.35672E-01   -0.40019E+00
    45    0.15617E+04    0.12571E+00    0.36769E-01   -0.56854E+00
    46    0.15760E+04    0.13343E+00    0.37856E-01   -0.75052E+00
    47    0.15904E+04    0.14144E+00    0.38931E-01   -0.94540E+00
    48    0.16049E+04    0.14974E+00    0.39994E-01   -0.11490E+01
    49    0.16194E+04    0.15828E+00    0.41043E-01   -0.13577E+01
    50    0.16343E+04    0.16702E+00    0.42075E-01   -0.15748E+01
    51    0.16493E+04    0.17591E+00    0.43091E-01   -0.18048E+01
    52    0.16647E+04    0.18506E+00    0.44088E-01   -0.20517E+01
    53    0.16801E+04    0.19462E+00    0.45066E-01   -0.23177E+01
    54    0.16954E+04    0.20459E+00    0.46025E-01   -0.25968E+01
    55    0.17109E+04    0.21498E+00    0.46962E-01   -0.28831E+01
    56    0.17267E+04    0.22564E+00    0.47879E-01   -0.31771E+01
    57    0.17427E+04    0.23647E+00    0.48773E-01   -0.34793E+01
    58    0.17591E+04    0.24745E+00    0.49644E-01   -0.37912E+01
    59    0.17756E+04    0.25862E+00    0.50490E-01   -0.41144E+01
    60    0.17923E+04    0.27001E+00    0.51311E-01   -0.44491E+01
    61    0.18095E+04    0.28172E+00    0.52106E-01   -0.47950E+01
    62    0.18265E+04    0.29372E+00    0.52874E-01   -0.51530E+01
    63    0.18437E+04    0.30598E+00    0.53615E-01   -0.55237E+01
    64    0.18613E+04    0.31852E+00    0.54329E-01   -0.59080E+01
    65    0.18789E+04    0.33131E+00    0.55014E-01   -0.63064E+01
    66    0.18969E+04    0.34428E+00    0.55671E-01   -0.67165E+01
    67    0.19151E+04    0.35744E+00    0.56299E-01   -0.71355E+01
    68    0.19338E+04    0.37082E+00    0.56898E-01   -0.75617E+01
    69    0.19527E+04    0.38438E+00    0.57467E-01   -0.79931E+01
    70    0.19719E+04    0.39816E+00    0.58005E-01   -0.84313E+01
    71    0.19913E+04    0.41214E+00    0.58512E-01   -0.88788E+01
    72    0.20110E+04    0.42630E+00    0.58989E-01   -0.93369E+01
