#    L    TT             EE             TE             PP             TP          
     2    0.11423E+04    0.53598E-01    0.52656E+01    0.91572E+06    0.15934E+05
     3    0.10624E+04    0.87689E-01    0.60263E+01    0.14160E+07    0.22332E+05
     4    0.99043E+03    0.99235E-01    0.58374E+01    0.18606E+07    0.26651E+05
     5    0.93562E+03    0.88916E-01    0.51619E+01    0.22532E+07    0.29562E+05
     6    0.89578E+03    0.66547E-01    0.43050E+01    0.25996E+07    0.31525E+05
     7    0.86781E+03    0.42948E-01    0.34443E+01    0.29065E+07    0.32839E+05
     8    0.84860E+03    0.24981E-01    0.26801E+01    0.31793E+07    0.33633E+05
     9    0.83609E+03    0.14490E-01    0.20604E+01    0.34229E+07    0.33987E+05
    10    0.82880E+03    0.98882E-02    0.15980E+01    0.36405E+07    0.34032E+05
    11    0.82517E+03    0.84170E-02    0.12861E+01    0.38363E+07    0.33930E+05
    12    0.82529E+03    0.78906E-02    0.11080E+01    0.40117E+07    0.33750E+05
    13    0.82737E+03    0.72021E-02    0.10360E+01    0.41690E+07    0.33493E+05
    14    0.83053E+03    0.63474E-02    0.10390E+01    0.43105E+07    0.33148E+05
    15    0.83520E+03    0.56150E-02    0.10902E+01    0.44378E+07    0.32725E+05
    16    0.84191E+03    0.52628E-02    0.11657E+01    0.45521E+07    0.32241E+05
    17    0.85048E+03    0.53504E-02    0.12474E+01    0.46549E+07    0.31721E+05
    18    0.85982E+03    0.56867E-02    0.13232E+01    0.47473E+07    0.31189E+05
    19    0.87076E+03    0.61225E-02    0.13910E+01    0.48300E+07    0.30637E+05
    20    0.88163E+03    0.66002E-02    0.14485E+01    0.49036E+07    0.30053E+05
    21    0.89284E+03    0.71203E-02    0.14964E+01    0.49691E+07    0.29455E+05
    22    0.90468E+03    0.77846E-02    0.15358E+01    0.50274E+07    0.28861E+05
    23    0.91694E+03    0.86852E-02    0.15710E+01    0.50790E+07    0.28270E+05
    24    0.92962E+03    0.98584E-02    0.16067E+01    0.51243E+07    0.27679E+05
    25    0.94268E+03    0.11298E-01    0.16446E+01    0.51638E+07    0.27090E+05
    26    0.95593E+03    0.12956E-01    0.16867E+01    0.51982E+07    0.26510E+05
    27    0.96962E+03    0.14812E-01    0.17311E+01    0.52277E+07    0.25943E+05
    28    0.98360E+03    0.16880E-01    0.17760E+01    0.52528E+07    0.25396E+05
    29    0.99793E+03    0.19136E-01    0.18191E+01    0.52736E+07    0.24867E+05
    30    0.10125E+04    0.21570E-01    0.18568E+01    0.52902E+07    0.24351E+05
    31    0.10273E+04    0.24194E-01    0.18868E+01    0.53030E+07    0.23844E+05
    32    0.10423E+04    0.27016E-01    0.19075E+01    0.53126E+07    0.23341E+05
    33    0.10577E+04    0.30034E-01    0.19190E+01    0.53192E+07    0.22848E+05
    34    0.10733E+04    0.33255E-01    0.19220E+01    0.53229E+07    0.22372E+05
    35    0.10892E+04    0.36670E-01    0.19144E+01    0.53239E+07    0.21913E+05
    36    0.11051E+04    0.40285E-01    0.18934E+01    0.53225E+07    0.21467E+05
    37    0.11212E+04    0.44139E-01    0.18589E+01    0.53188E+07    0.21029E+05
    38    0.11376E+04    0.48273E-01    0.18136E+01    0.53130E+07    0.20595E+05
    39    0.11545E+04    0.52674E-01    0.17590E+01    0.53052E+07    0.20169E+05
    40    0.11714E+04    0.57326E-01    0.16963E+01    0.52955E+07    0.19755E+05
    41    0.11886E+04    0.62219E-01    0.16260E+01    0.52840E+07    0.19357E+05
    42    0.12059E+04    0.67367E-01    0.15467E+01    0.52709E+07    0.18973E+05
    43    0.12233E+04    0.72792E-01    0.14568E+01    0.52562E+07    0.18604E+05
    44    0.12407E+04    0.78497E-01    0.13554E+01    0.52401E+07    0.18246E+05
    45    0.12584E+04    0.84498E-01    0.12419E+01    0.52227E+07    0.17899E+05
    46    0.12765E+04    0.90807E-01    0.11139E+01    0.52041E+07    0.17561E+05
    47    0.12947E+04    0.97410E-01    0.97193E+00    0.51844E+07    0.17231E+05
    48    0.13130E+04    0.10429E+00    0.82005E+00    0.51636E+07    0.16908E+05
    49    0.13315E+04    0.11142E+00    0.66172E+00    0.51420E+07    0.16590E+05
    50    0.13504E+04    0.11875E+00    0.49360E+00    0.51194E+07    0.16278E+05
    51    0.13694E+04    0.12624E+00    0.31108E+00    0.50961E+07    0.15971E+05
    52    0.13889E+04    0.13398E+00    0.11007E+00    0.50720E+07    0.15670E+05
    53    0.14084E+04    0.14214E+00   -0.11158E+00    0.50472E+07    0.15376E+05
    54    0.14279E+04    0.15072E+00   -0.34801E+00    0.50219E+07    0.15092E+05
    55    0.14475E+04    0.15973E+00   -0.59327E+00    0.49959E+07    0.14819E+05
    56    0.14676E+04    0.16903E+00   -0.84794E+00    0.49694E+07    0.14558E+05
    57    0.14879E+04    0.17849E+00   -0.11125E+01    0.49424E+07    0.14307E+05
    58    0.15086E+04    0.18813E+00   -0.13886E+01    0.49149E+07    0.14064E+05
    59    0.15294E+04    0.19797E+00   -0.16779E+01    0.48870E+07    0.13826E+05
    60    0.15504E+04    0.20805E+00   -0.19807E+01    0.48587E+07    0.13590E+05
    61    0.15719E+04    0.21845E+00   -0.22969E+01    0.48300E+07    0.13354E+05
    62    0.15933E+04    0.22917E+00   -0.26272E+01    0.48010E+07    0.13120E+05
    63    0.16148E+04    0.24016E+00   -0.29723E+01    0.47717E+07    0.12889E+05
    64    0.16368E+04    0.25145E+00   -0.33329E+01    0.47422E+07    0.12664E+05
    65    0.16588E+04    0.26300E+00   -0.37095E+01    0.47124E+07    0.12447E+05
    66    0.16812E+04    0.27476E+00   -0.40997E+01    0.46825E+07    0.12239E+05
    67    0.17038E+04    0.28672E+00   -0.45007E+01    0.46525E+07    0.12039E+05
    68    0.17268E+04    0.29893E+00   -0.49110E+01    0.46224E+07    0.11847E+05
    69    0.17500E+04    0.31135E+00   -0.53287E+01    0.45922E+07    0.11662E+05
    70    0.17736E+04    0.32401E+00   -0.57555E+01    0.45619E+07    0.11482E+05
    71    0.17974E+04    0.33691E+00   -0.61938E+01    0.45316E+07    0.11308E+05
    72    0.18213E+04    0.35001E+00   -0.66452E+01    0.45012E+07    0.11138E+05
    73    0.18454E+04    0.36328E+00   -0.71102E+01    0.44709E+07    0.10972E+05
    74    0.18698E+04    0.37671E+00   -0.75881E+01    0.44404E+07    0.10808E+05
    75    0.18945E+04    0.39029E+00   -0.80775E+01    0.44100E+07    0.10646E+05
    76    0.19194E+04    0.40404E+00   -0.85780E+01    0.43796E+07    0.10486E+05
    77    0.19447E+04    0.41794E+00   -0.90890E+01    0.43491E+07    0.10328E+05
    78    0.19704E+04    0.43201E+00   -0.96120E+01    0.43187E+07    0.10173E+05
    79    0.19963E+04    0.44621E+00   -0.10143E+02    0.42883E+07    0.10020E+05
    80    0.20226E+04    0.46053E+00   -0.10683E+02    0.42579E+07    0.98714E+04
    81    0.20490E+04    0.47493E+00   -0.11233E+02    0.42276E+07    0.97264E+04
    82    0.20758E+04    0.48943E+00   -0.11791E+02    0.41975E+07    0.95853E+04
    83    0.21028E+04    0.50399E+00   -0.12357E+02    0.41674E+07    0.94482E+04
    84    0.21300E+04    0.51863E+00   -0.12930E+02    0.41374E+07    0.93151E+04
    85    0.21575E+04    0.53330E+00   -0.13510E+02    0.41075E+07    0.91859E+04
    86    0.21851E+04    0.54802E+00   -0.14096E+02    0.40777E+07    0.90604E+04
    87    0.22132E+04    0.56276E+00   -0.14688E+02    0.40481E+07    0.89385E+04
    88    0.22413E+04    0.57754E+00   -0.15286E+02    0.40187E+07    0.88196E+04
    89    0.22697E+04    0.59233E+00   -0.15891E+02    0.39894E+07    0.87033E+04
    90    0.22985E+04    0.60711E+00   -0.16500E+02    0.39602E+07    0.85893E+04
    91    0.23273E+04    0.62186E+00   -0.17115E+02    0.39312E+07    0.84773E+04
    92    0.23565E+04    0.63657E+00   -0.17734E+02    0.39024E+07    0.83670E+04
    93    0.23860E+04    0.65123E+00   -0.18357E+02    0.38737E+07    0.82586E+04
    94    0.24156E+04    0.66580E+00   -0.18983E+02    0.38452E+07    0.81520E+04
    95    0.24455E+04    0.68029E+00   -0.19613E+02    0.38168E+07    0.80472E+04
    96    0.24754E+04    0.69467E+00   -0.20246E+02    0.37887E+07    0.79442E+04
    97    0.25057E+04    0.70894E+00   -0.20881E+02    0.37607E+07    0.78430E+04
    98    0.25363E+04    0.72309E+00   -0.21516E+02    0.37329E+07    0.77436E+04
    99    0.25670E+04    0.73708E+00   -0.22153E+02    0.37053E+07    0.76459E+04
   100    0.25980E+04    0.75091E+00   -0.22790E+02    0.36778E+07    0.75499E+04
