#    L    TT             EE             TE             PP             TP          
     2    0.76220E+03    0.52542E-01    0.38686E+01    0.15051E+07   -0.31790E+04
     3    0.76734E+03    0.86091E-01    0.45588E+01    0.23017E+07   -0.33479E+04
     4    0.75601E+03    0.97508E-01    0.45596E+01    0.29989E+07   -0.39149E+04
     5    0.74413E+03    0.87392E-01    0.41695E+01    0.36077E+07   -0.46951E+04
     6    0.73553E+03    0.65402E-01    0.36023E+01    0.41395E+07   -0.55317E+04
     7    0.73124E+03    0.42209E-01    0.29915E+01    0.46061E+07   -0.63336E+04
     8    0.73066E+03    0.24569E-01    0.24196E+01    0.50170E+07   -0.71293E+04
     9    0.73320E+03    0.14289E-01    0.19319E+01    0.53802E+07   -0.79569E+04
    10    0.73829E+03    0.97897E-02    0.15485E+01    0.57016E+07   -0.87593E+04
    11    0.74503E+03    0.83519E-02    0.12773E+01    0.59880E+07   -0.94451E+04
    12    0.75403E+03    0.78338E-02    0.11172E+01    0.62420E+07   -0.99836E+04
    13    0.76382E+03    0.71549E-02    0.10483E+01    0.64673E+07   -0.10420E+05
    14    0.77372E+03    0.63272E-02    0.10453E+01    0.66679E+07   -0.10804E+05
    15    0.78425E+03    0.56360E-02    0.10863E+01    0.68464E+07   -0.11153E+05
    16    0.79601E+03    0.53298E-02    0.11522E+01    0.70050E+07   -0.11467E+05
    17    0.80896E+03    0.54581E-02    0.12284E+01    0.71457E+07   -0.11738E+05
    18    0.82218E+03    0.58200E-02    0.13039E+01    0.72707E+07   -0.11958E+05
    19    0.83660E+03    0.62617E-02    0.13726E+01    0.73810E+07   -0.12148E+05
    20    0.85063E+03    0.67242E-02    0.14281E+01    0.74775E+07   -0.12325E+05
    21    0.86466E+03    0.72152E-02    0.14727E+01    0.75619E+07   -0.12481E+05
    22    0.87900E+03    0.78458E-02    0.15101E+01    0.76356E+07   -0.12606E+05
    23    0.89350E+03    0.87160E-02    0.15456E+01    0.76994E+07   -0.12706E+05
    24    0.90821E+03    0.98679E-02    0.15840E+01    0.77540E+07   -0.12790E+05
    25    0.92311E+03    0.11296E-01    0.16246E+01    0.78001E+07   -0.12859E+05
    26    0.93804E+03    0.12949E-01    0.16672E+01    0.78387E+07   -0.12910E+05
    27    0.95325E+03    0.14810E-01    0.17114E+01    0.78705E+07   -0.12941E+05
    28    0.96860E+03    0.16889E-01    0.17576E+01    0.78959E+07   -0.12949E+05
    29    0.98417E+03    0.19161E-01    0.18039E+01    0.79152E+07   -0.12935E+05
    30    0.99990E+03    0.21611E-01    0.18464E+01    0.79284E+07   -0.12904E+05
    31    0.10157E+04    0.24247E-01    0.18807E+01    0.79364E+07   -0.12864E+05
