#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.192821E+08   0.192821E+08   0.256961E+08   0.256957E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192886E+08  -0.465751E+00   0.979751E+07   0.979751E+07   0.583478E+01
   0.112819E-04   0.192821E+08   0.192821E+08   0.256931E+08   0.256926E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465751E+00   0.979751E+07   0.979751E+07   0.644867E+01
   0.124693E-04   0.192821E+08   0.192821E+08   0.256895E+08   0.256889E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465751E+00   0.979751E+07   0.979751E+07   0.712709E+01
   0.137816E-04   0.192821E+08   0.192821E+08   0.256850E+08   0.256843E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465751E+00   0.979750E+07   0.979750E+07   0.787683E+01
   0.152321E-04   0.192821E+08   0.192821E+08   0.256796E+08   0.256788E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465750E+00   0.979750E+07   0.979750E+07   0.870535E+01
   0.168352E-04   0.192821E+08   0.192821E+08   0.256730E+08   0.256719E+08   0.192822E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465750E+00   0.979749E+07   0.979749E+07   0.962090E+01
   0.186070E-04   0.192821E+08   0.192821E+08   0.256649E+08   0.256636E+08   0.192821E+08   0.192821E+08   0.192821E+08   0.192885E+08  -0.465749E+00   0.979748E+07   0.979748E+07   0.106326E+02
   0.205653E-04   0.192820E+08   0.192820E+08   0.256551E+08   0.256535E+08   0.192821E+08   0.192820E+08   0.192820E+08   0.192885E+08  -0.465749E+00   0.979748E+07   0.979747E+07   0.117504E+02
   0.227297E-04   0.192820E+08   0.192820E+08   0.256430E+08   0.256410E+08   0.192821E+08   0.192820E+08   0.192820E+08   0.192884E+08  -0.465748E+00   0.979746E+07   0.979746E+07   0.129855E+02
   0.251219E-04   0.192820E+08   0.192820E+08   0.256283E+08   0.256259E+08   0.192821E+08   0.192820E+08   0.192820E+08   0.192884E+08  -0.465748E+00   0.979745E+07   0.979745E+07   0.143500E+02
   0.277659E-04   0.192820E+08   0.192820E+08   0.256103E+08   0.256074E+08   0.192820E+08   0.192820E+08   0.192820E+08   0.192884E+08  -0.465747E+00   0.979743E+07   0.979743E+07   0.158573E+02
   0.306881E-04   0.192819E+08   0.192819E+08   0.255884E+08   0.255848E+08   0.192820E+08   0.192819E+08   0.192819E+08   0.192883E+08  -0.465745E+00   0.979741E+07   0.979741E+07   0.175223E+02
   0.339179E-04   0.192819E+08   0.192819E+08   0.255616E+08   0.255573E+08   0.192820E+08   0.192819E+08   0.192819E+08   0.192883E+08  -0.465744E+00   0.979739E+07   0.979739E+07   0.193611E+02
   0.374876E-04   0.192818E+08   0.192818E+08   0.255290E+08   0.255237E+08   0.192819E+08   0.192818E+08   0.192818E+08   0.192882E+08  -0.465742E+00   0.979736E+07   0.979736E+07   0.213916E+02
   0.414330E-04   0.192817E+08   0.192817E+08   0.254891E+08   0.254827E+08   0.192818E+08   0.192818E+08   0.192817E+08   0.192881E+08  -0.465740E+00   0.979732E+07   0.979732E+07   0.236333E+02
   0.457936E-04   0.192817E+08   0.192816E+08   0.254406E+08   0.254326E+08   0.192817E+08   0.192817E+08   0.192817E+08   0.192880E+08  -0.465737E+00   0.979728E+07   0.979728E+07   0.261076E+02
   0.506132E-04   0.192816E+08   0.192815E+08   0.253813E+08   0.253717E+08   0.192816E+08   0.192816E+08   0.192816E+08   0.192879E+08  -0.465734E+00   0.979723E+07   0.979722E+07   0.288376E+02
   0.559400E-04   0.192814E+08   0.192814E+08   0.253091E+08   0.252974E+08   0.192815E+08   0.192814E+08   0.192814E+08   0.192878E+08  -0.465730E+00   0.979716E+07   0.979716E+07   0.318489E+02
   0.618274E-04   0.192813E+08   0.192813E+08   0.252212E+08   0.252068E+08   0.192814E+08   0.192813E+08   0.192813E+08   0.192876E+08  -0.465726E+00   0.979708E+07   0.979708E+07   0.351688E+02
   0.683345E-04   0.192811E+08   0.192811E+08   0.251142E+08   0.250967E+08   0.192812E+08   0.192811E+08   0.192811E+08   0.192874E+08  -0.465720E+00   0.979698E+07   0.979698E+07   0.388269E+02
   0.755264E-04   0.192809E+08   0.192808E+08   0.249840E+08   0.249627E+08   0.192809E+08   0.192809E+08   0.192808E+08   0.192871E+08  -0.465713E+00   0.979686E+07   0.979686E+07   0.428550E+02
   0.834752E-04   0.192806E+08   0.192805E+08   0.248258E+08   0.248000E+08   0.192806E+08   0.192806E+08   0.192806E+08   0.192868E+08  -0.465704E+00   0.979672E+07   0.979671E+07   0.472868E+02
   0.922605E-04   0.192802E+08   0.192802E+08   0.246338E+08   0.246024E+08   0.192803E+08   0.192802E+08   0.192802E+08   0.192864E+08  -0.465694E+00   0.979654E+07   0.979653E+07   0.521579E+02
   0.101971E-03   0.192798E+08   0.192797E+08   0.244011E+08   0.243631E+08   0.192799E+08   0.192798E+08   0.192798E+08   0.192859E+08  -0.465681E+00   0.979632E+07   0.979630E+07   0.575051E+02
   0.112702E-03   0.192793E+08   0.192792E+08   0.241196E+08   0.240736E+08   0.192793E+08   0.192793E+08   0.192793E+08   0.192853E+08  -0.465665E+00   0.979606E+07   0.979604E+07   0.633660E+02
   0.124564E-03   0.192787E+08   0.192786E+08   0.237798E+08   0.237243E+08   0.192787E+08   0.192787E+08   0.192786E+08   0.192846E+08  -0.465646E+00   0.979573E+07   0.979571E+07   0.697781E+02
   0.137674E-03   0.192779E+08   0.192778E+08   0.233707E+08   0.233038E+08   0.192779E+08   0.192779E+08   0.192779E+08   0.192837E+08  -0.465623E+00   0.979534E+07   0.979531E+07   0.767771E+02
   0.152163E-03   0.192770E+08   0.192768E+08   0.228798E+08   0.227993E+08   0.192770E+08   0.192769E+08   0.192769E+08   0.192827E+08  -0.465595E+00   0.979486E+07   0.979482E+07   0.843953E+02
   0.168178E-03   0.192758E+08   0.192757E+08   0.222930E+08   0.221967E+08   0.192758E+08   0.192758E+08   0.192758E+08   0.192814E+08  -0.465560E+00   0.979427E+07   0.979422E+07   0.926590E+02
   0.185878E-03   0.192745E+08   0.192742E+08   0.215950E+08   0.214803E+08   0.192745E+08   0.192744E+08   0.192744E+08   0.192798E+08  -0.465519E+00   0.979356E+07   0.979350E+07   0.101585E+03
   0.205440E-03   0.192728E+08   0.192725E+08   0.207698E+08   0.206339E+08   0.192728E+08   0.192727E+08   0.192727E+08   0.192779E+08  -0.465468E+00   0.979269E+07   0.979262E+07   0.111175E+03
   0.227062E-03   0.192707E+08   0.192704E+08   0.198015E+08   0.196415E+08   0.192707E+08   0.192707E+08   0.192707E+08   0.192756E+08  -0.465407E+00   0.979164E+07   0.979155E+07   0.121413E+03
   0.250959E-03   0.192682E+08   0.192679E+08   0.186754E+08   0.184889E+08   0.192682E+08   0.192682E+08   0.192682E+08   0.192728E+08  -0.465334E+00   0.979035E+07   0.979025E+07   0.132255E+03
   0.277372E-03   0.192652E+08   0.192648E+08   0.173808E+08   0.171654E+08   0.192651E+08   0.192652E+08   0.192652E+08   0.192695E+08  -0.465245E+00   0.978880E+07   0.978868E+07   0.143620E+03
   0.306564E-03   0.192616E+08   0.192611E+08   0.159131E+08   0.156678E+08   0.192614E+08   0.192615E+08   0.192615E+08   0.192655E+08  -0.465139E+00   0.978691E+07   0.978677E+07   0.155386E+03
   0.338828E-03   0.192572E+08   0.192566E+08   0.142782E+08   0.140032E+08   0.192570E+08   0.192571E+08   0.192571E+08   0.192606E+08  -0.465011E+00   0.978464E+07   0.978447E+07   0.167374E+03
   0.374488E-03   0.192519E+08   0.192511E+08   0.124965E+08   0.121944E+08   0.192516E+08   0.192517E+08   0.192517E+08   0.192548E+08  -0.464859E+00   0.978189E+07   0.978169E+07   0.179342E+03
   0.413901E-03   0.192455E+08   0.192446E+08   0.106078E+08   0.102842E+08   0.192451E+08   0.192453E+08   0.192453E+08   0.192479E+08  -0.464679E+00   0.977858E+07   0.977834E+07   0.190975E+03
   0.457462E-03   0.192378E+08   0.192367E+08   0.867458E+07   0.833898E+07   0.192373E+08   0.192376E+08   0.192376E+08   0.192397E+08  -0.464465E+00   0.977461E+07   0.977433E+07   0.201889E+03
   0.505608E-03   0.192286E+08   0.192273E+08   0.678299E+07   0.644888E+07   0.192280E+08   0.192284E+08   0.192284E+08   0.192300E+08  -0.464214E+00   0.976985E+07   0.976953E+07   0.211637E+03
   0.558821E-03   0.192176E+08   0.192161E+08   0.503728E+07   0.472179E+07   0.192169E+08   0.192173E+08   0.192174E+08   0.192186E+08  -0.463920E+00   0.976419E+07   0.976382E+07   0.219729E+03
   0.617635E-03   0.192046E+08   0.192029E+08   0.354614E+07   0.326825E+07   0.192037E+08   0.192043E+08   0.192043E+08   0.192051E+08  -0.463578E+00   0.975746E+07   0.975704E+07   0.225672E+03
   0.682638E-03   0.191892E+08   0.191872E+08   0.239869E+07   0.217578E+07   0.191881E+08   0.191888E+08   0.191889E+08   0.191894E+08  -0.463180E+00   0.974951E+07   0.974904E+07   0.229025E+03
   0.754482E-03   0.191710E+08   0.191687E+08   0.163335E+07   0.147638E+07   0.191696E+08   0.191706E+08   0.191706E+08   0.191710E+08  -0.462719E+00   0.974016E+07   0.973964E+07   0.229460E+03
   0.833888E-03   0.191497E+08   0.191471E+08   0.121089E+07   0.111926E+07   0.191480E+08   0.191492E+08   0.191493E+08   0.191495E+08  -0.462187E+00   0.972920E+07   0.972864E+07   0.226818E+03
   0.921651E-03   0.191248E+08   0.191219E+08   0.101119E+07   0.970136E+06   0.191227E+08   0.191242E+08   0.191243E+08   0.191245E+08  -0.461573E+00   0.971643E+07   0.971582E+07   0.221138E+03
   0.101865E-02   0.190958E+08   0.190926E+08   0.874278E+06   0.857871E+06   0.190932E+08   0.190951E+08   0.190953E+08   0.190953E+08  -0.460863E+00   0.970160E+07   0.970095E+07   0.212636E+03
   0.112586E-02   0.190621E+08   0.190587E+08   0.683857E+06   0.665022E+06   0.190589E+08   0.190614E+08   0.190616E+08   0.190615E+08  -0.460042E+00   0.968442E+07   0.968374E+07   0.201642E+03
   0.124435E-02   0.190232E+08   0.190195E+08   0.443615E+06   0.407131E+06   0.190192E+08   0.190223E+08   0.190225E+08   0.190224E+08  -0.459094E+00   0.966458E+07   0.966388E+07   0.188550E+03
   0.137531E-02   0.189782E+08   0.189743E+08   0.259431E+06   0.208208E+06   0.189733E+08   0.189772E+08   0.189775E+08   0.189773E+08  -0.458001E+00   0.964172E+07   0.964100E+07   0.173814E+03
   0.152006E-02   0.189263E+08   0.189224E+08   0.199904E+06   0.147176E+06   0.189204E+08   0.189253E+08   0.189257E+08   0.189254E+08  -0.456744E+00   0.961542E+07   0.961470E+07   0.158035E+03
   0.168004E-02   0.188668E+08   0.188629E+08   0.184997E+06  -0.193969E+06   0.188596E+08   0.188657E+08   0.188662E+08   0.188657E+08  -0.455303E+00   0.958527E+07   0.958455E+07   0.141993E+03
   0.185685E-02   0.187987E+08   0.187947E+08   0.109053E+06  -0.158127E+06   0.187899E+08   0.187974E+08   0.187980E+08   0.187975E+08  -0.453653E+00   0.955073E+07   0.955003E+07   0.126528E+03
