#    L    TT             EE             BB             TE          
     2    0.11283E+04    0.52506E-01    0.10868E-05    0.32409E+01
     3    0.10638E+04    0.86404E-01    0.21741E-05    0.40394E+01
     4    0.99726E+03    0.97447E-01    0.36244E-05    0.41759E+01
     5    0.94343E+03    0.86631E-01    0.54385E-05    0.39109E+01
     6    0.90299E+03    0.64164E-01    0.76170E-05    0.34487E+01
     7    0.87407E+03    0.40979E-01    0.10161E-04    0.29187E+01
     8    0.85374E+03    0.23743E-01    0.13071E-04    0.24050E+01
     9    0.84006E+03    0.13985E-01    0.16348E-04    0.19568E+01
    10    0.83178E+03    0.98762E-02    0.19995E-04    0.15975E+01
    11    0.82756E+03    0.85963E-02    0.24011E-04    0.13368E+01
    12    0.82746E+03    0.80547E-02    0.28398E-04    0.11753E+01
    13    0.82957E+03    0.72818E-02    0.33158E-04    0.10990E+01
    14    0.83284E+03    0.63882E-02    0.38292E-04    0.10885E+01
    15    0.83765E+03    0.56776E-02    0.43802E-04    0.11227E+01
    16    0.84448E+03    0.53911E-02    0.49690E-04    0.11816E+01
    17    0.85317E+03    0.55488E-02    0.55957E-04    0.12500E+01
    18    0.86267E+03    0.59241E-02    0.62604E-04    0.13174E+01
    19    0.87380E+03    0.63749E-02    0.69634E-04    0.13816E+01
    20    0.88489E+03    0.68613E-02    0.77048E-04    0.14391E+01
    21    0.89631E+03    0.74016E-02    0.84847E-04    0.14884E+01
    22    0.90839E+03    0.81112E-02    0.93034E-04    0.15289E+01
    23    0.92088E+03    0.90770E-02    0.10161E-03    0.15657E+01
    24    0.93379E+03    0.10327E-01    0.11057E-03    0.16044E+01
    25    0.94707E+03    0.11848E-01    0.11993E-03    0.16459E+01
    26    0.96055E+03    0.13590E-01    0.12968E-03    0.16908E+01
    27    0.97447E+03    0.15537E-01    0.13982E-03    0.17372E+01
    28    0.98869E+03    0.17704E-01    0.15036E-03    0.17833E+01
    29    0.10033E+04    0.20063E-01    0.16129E-03    0.18266E+01
    30    0.10182E+04    0.22597E-01    0.17262E-03    0.18630E+01
    31    0.10331E+04    0.25325E-01    0.18434E-03    0.18911E+01
    32    0.10484E+04    0.28258E-01    0.19647E-03    0.19100E+01
    33    0.10641E+04    0.31388E-01    0.20899E-03    0.19191E+01
    34    0.10799E+04    0.34714E-01    0.22191E-03    0.19181E+01
    35    0.10960E+04    0.38239E-01    0.23522E-03    0.19051E+01
    36    0.11122E+04    0.41981E-01    0.24894E-03    0.18774E+01
    37    0.11285E+04    0.45986E-01    0.26305E-03    0.18368E+01
    38    0.11452E+04    0.50295E-01    0.27756E-03    0.17874E+01
    39    0.11623E+04    0.54889E-01    0.29247E-03    0.17298E+01
    40    0.11795E+04    0.59738E-01    0.30777E-03    0.16637E+01
    41    0.11970E+04    0.64827E-01    0.32347E-03    0.15886E+01
    42    0.12145E+04    0.70168E-01    0.33956E-03    0.15031E+01
    43    0.12322E+04    0.75782E-01    0.35605E-03    0.14059E+01
    44    0.12499E+04    0.81674E-01    0.37294E-03    0.12968E+01
    45    0.12679E+04    0.87862E-01    0.39021E-03    0.11752E+01
    46    0.12863E+04    0.94358E-01    0.40787E-03    0.10392E+01
    47    0.13048E+04    0.10115E+00    0.42593E-03    0.88946E+00
    48    0.13234E+04    0.10824E+00    0.44437E-03    0.73010E+00
    49    0.13422E+04    0.11558E+00    0.46320E-03    0.56466E+00
    50    0.13615E+04    0.12315E+00    0.48242E-03    0.38986E+00
    51    0.13809E+04    0.13090E+00    0.50202E-03    0.20109E+00
    52    0.14007E+04    0.13892E+00    0.52201E-03   -0.61368E-02
    53    0.14206E+04    0.14738E+00    0.54238E-03   -0.23441E+00
    54    0.14405E+04    0.15626E+00    0.56313E-03   -0.47836E+00
    55    0.14605E+04    0.16557E+00    0.58426E-03   -0.73249E+00
    56    0.14808E+04    0.17516E+00    0.60577E-03   -0.99771E+00
    57    0.15015E+04    0.18492E+00    0.62766E-03   -0.12742E+01
    58    0.15225E+04    0.19484E+00    0.64992E-03   -0.15633E+01
    59    0.15437E+04    0.20497E+00    0.67257E-03   -0.18663E+01
    60    0.15651E+04    0.21533E+00    0.69559E-03   -0.21829E+01
    61    0.15870E+04    0.22602E+00    0.71898E-03   -0.25128E+01
    62    0.16088E+04    0.23703E+00    0.74275E-03   -0.28566E+01
    63    0.16307E+04    0.24832E+00    0.76690E-03   -0.32149E+01
    64    0.16531E+04    0.25991E+00    0.79142E-03   -0.35882E+01
    65    0.16755E+04    0.27177E+00    0.81631E-03   -0.39770E+01
    66    0.16984E+04    0.28384E+00    0.84158E-03   -0.43789E+01
    67    0.17214E+04    0.29613E+00    0.86723E-03   -0.47913E+01
    68    0.17449E+04    0.30866E+00    0.89326E-03   -0.52130E+01
    69    0.17686E+04    0.32140E+00    0.91966E-03   -0.56424E+01
    70    0.17926E+04    0.33438E+00    0.94644E-03   -0.60815E+01
    71    0.18168E+04    0.34759E+00    0.97360E-03   -0.65329E+01
    72    0.18412E+04    0.36099E+00    0.10011E-02   -0.69980E+01
    73    0.18658E+04    0.37456E+00    0.10291E-02   -0.74771E+01
    74    0.18906E+04    0.38827E+00    0.10574E-02   -0.79693E+01
    75    0.19158E+04    0.40214E+00    0.10861E-02   -0.84730E+01
