#    L    TT             EE             BB             TE          
     2    0.13256E+04    0.55043E-01    0.98773E-06    0.27575E+01
     3    0.12810E+04    0.89857E-01    0.19759E-05    0.34530E+01
     4    0.12070E+04    0.98332E-01    0.32940E-05    0.36653E+01
     5    0.11367E+04    0.83845E-01    0.49427E-05    0.35409E+01
     6    0.10784E+04    0.59152E-01    0.69227E-05    0.32223E+01
     7    0.10329E+04    0.36094E-01    0.92346E-05    0.28120E+01
     8    0.99761E+03    0.20603E-01    0.11879E-04    0.23880E+01
     9    0.97081E+03    0.12845E-01    0.14858E-04    0.19965E+01
    10    0.95122E+03    0.99980E-02    0.18172E-04    0.16671E+01
    11    0.93726E+03    0.90370E-02    0.21822E-04    0.14208E+01
    12    0.92875E+03    0.82658E-02    0.25809E-04    0.12683E+01
    13    0.92364E+03    0.71656E-02    0.30135E-04    0.11953E+01
    14    0.92077E+03    0.61865E-02    0.34801E-04    0.11804E+01
    15    0.92024E+03    0.55888E-02    0.39809E-04    0.12047E+01
    16    0.92226E+03    0.54821E-02    0.45160E-04    0.12523E+01
    17    0.92664E+03    0.57848E-02    0.50855E-04    0.13129E+01
    18    0.93235E+03    0.62091E-02    0.56896E-04    0.13794E+01
    19    0.94019E+03    0.66808E-02    0.63284E-04    0.14447E+01
    20    0.94845E+03    0.72488E-02    0.70021E-04    0.15001E+01
    21    0.95741E+03    0.79750E-02    0.77108E-04    0.15464E+01
    22    0.96725E+03    0.89862E-02    0.84547E-04    0.15865E+01
    23    0.97773E+03    0.10298E-01    0.92339E-04    0.16270E+01
    24    0.98887E+03    0.11867E-01    0.10048E-03    0.16733E+01
    25    0.10006E+04    0.13694E-01    0.10898E-03    0.17214E+01
    26    0.10128E+04    0.15749E-01    0.11784E-03    0.17672E+01
    27    0.10256E+04    0.18009E-01    0.12706E-03    0.18099E+01
    28    0.10388E+04    0.20476E-01    0.13663E-03    0.18495E+01
    29    0.10526E+04    0.23146E-01    0.14656E-03    0.18841E+01
    30    0.10669E+04    0.26027E-01    0.15685E-03    0.19102E+01
    31    0.10813E+04    0.29130E-01    0.16750E-03    0.19275E+01
    32    0.10962E+04    0.32455E-01    0.17851E-03    0.19355E+01
    33    0.11115E+04    0.35987E-01    0.18988E-03    0.19297E+01
    34    0.11271E+04    0.39736E-01    0.20161E-03    0.19071E+01
    35    0.11430E+04    0.43751E-01    0.21370E-03    0.18709E+01
    36    0.11591E+04    0.48087E-01    0.22616E-03    0.18248E+01
