#    L    TT             EE             TE             PP             TP          
     2    0.11937E+04    0.53651E-01    0.31334E+01    0.93789E+06    0.33601E+05
     3    0.11285E+04    0.87835E-01    0.39320E+01    0.14387E+07    0.41447E+05
     4    0.10554E+04    0.97966E-01    0.40924E+01    0.18832E+07    0.45517E+05
     5    0.99425E+03    0.85876E-01    0.38515E+01    0.22756E+07    0.47460E+05
     6    0.94730E+03    0.62590E-01    0.34077E+01    0.26218E+07    0.48178E+05
     7    0.91296E+03    0.39340E-01    0.28898E+01    0.29285E+07    0.48177E+05
     8    0.88809E+03    0.22583E-01    0.23848E+01    0.32011E+07    0.47677E+05
     9    0.87066E+03    0.13428E-01    0.19433E+01    0.34444E+07    0.46822E+05
    10    0.85934E+03    0.97280E-02    0.15890E+01    0.36617E+07    0.45769E+05
    11    0.85261E+03    0.85760E-02    0.13334E+01    0.38570E+07    0.44677E+05
    12    0.85038E+03    0.79874E-02    0.11780E+01    0.40319E+07    0.43594E+05
    13    0.85068E+03    0.71324E-02    0.11083E+01    0.41886E+07    0.42514E+05
    14    0.85243E+03    0.62304E-02    0.11039E+01    0.43294E+07    0.41431E+05
    15    0.85594E+03    0.55741E-02    0.11419E+01    0.44558E+07    0.40349E+05
    16    0.86164E+03    0.53645E-02    0.12016E+01    0.45693E+07    0.39274E+05
    17    0.86935E+03    0.55806E-02    0.12690E+01    0.46711E+07    0.38217E+05
    18    0.87799E+03    0.59681E-02    0.13354E+01    0.47625E+07    0.37183E+05
    19    0.88838E+03    0.64078E-02    0.13989E+01    0.48441E+07    0.36169E+05
    20    0.89884E+03    0.68923E-02    0.14558E+01    0.49166E+07    0.35171E+05
    21    0.90973E+03    0.74596E-02    0.15040E+01    0.49809E+07    0.34201E+05
    22    0.92134E+03    0.82346E-02    0.15427E+01    0.50379E+07    0.33272E+05
    23    0.93342E+03    0.92857E-02    0.15787E+01    0.50882E+07    0.32373E+05
    24    0.94598E+03    0.10620E-01    0.16189E+01    0.51322E+07    0.31493E+05
    25    0.95894E+03    0.12223E-01    0.16627E+01    0.51704E+07    0.30641E+05
    26    0.97216E+03    0.14045E-01    0.17091E+01    0.52033E+07    0.29824E+05
    27    0.98586E+03    0.16073E-01    0.17561E+01    0.52315E+07    0.29046E+05
    28    0.99991E+03    0.18320E-01    0.18021E+01    0.52552E+07    0.28302E+05
    29    0.10144E+04    0.20759E-01    0.18440E+01    0.52746E+07    0.27586E+05
    30    0.10292E+04    0.23374E-01    0.18776E+01    0.52897E+07    0.26892E+05
    31    0.10441E+04    0.26189E-01    0.19023E+01    0.53012E+07    0.26216E+05
    32    0.10593E+04    0.29218E-01    0.19183E+01    0.53093E+07    0.25558E+05
    33    0.10749E+04    0.32448E-01    0.19240E+01    0.53145E+07    0.24924E+05
    34    0.10908E+04    0.35872E-01    0.19180E+01    0.53168E+07    0.24319E+05
    35    0.11068E+04    0.39508E-01    0.18986E+01    0.53165E+07    0.23738E+05
    36    0.11231E+04    0.43388E-01    0.18643E+01    0.53137E+07    0.23178E+05
    37    0.11395E+04    0.47549E-01    0.18181E+01    0.53086E+07    0.22633E+05
    38    0.11562E+04    0.52021E-01    0.17651E+01    0.53014E+07    0.22101E+05
    39    0.11734E+04    0.56783E-01    0.17049E+01    0.52922E+07    0.21585E+05
    40    0.11907E+04    0.61804E-01    0.16354E+01    0.52812E+07    0.21087E+05
    41    0.12083E+04    0.67068E-01    0.15547E+01    0.52684E+07    0.20610E+05
    42    0.12259E+04    0.72588E-01    0.14619E+01    0.52539E+07    0.20150E+05
    43    0.12437E+04    0.78387E-01    0.13562E+01    0.52379E+07    0.19706E+05
    44    0.12616E+04    0.84470E-01    0.12381E+01    0.52206E+07    0.19273E+05
    45    0.12798E+04    0.90855E-01    0.11077E+01    0.52019E+07    0.18849E+05
    46    0.12983E+04    0.97557E-01    0.96347E+00    0.51820E+07    0.18432E+05
    47    0.13171E+04    0.10457E+00    0.80595E+00    0.51611E+07    0.18024E+05
    48    0.13359E+04    0.11187E+00    0.63886E+00    0.51392E+07    0.17627E+05
    49    0.13549E+04    0.11945E+00    0.46536E+00    0.51163E+07    0.17244E+05
