#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.157656E+04   0.676161E-01   0.243931E-01   0.368191E+01   0.499001E-07   0.327362E-02  -0.160258E-04
     3   0.140994E+04   0.105676E+00   0.282517E-01   0.382741E+01   0.605065E-07   0.326747E-02  -0.196496E-04
     4   0.131868E+04   0.118532E+00   0.278620E-01   0.373054E+01   0.696016E-07   0.318937E-02  -0.198800E-04
     5   0.125696E+04   0.106883E+00   0.245978E-01   0.338471E+01   0.774606E-07   0.308081E-02  -0.176596E-04
     6   0.121473E+04   0.815987E-01   0.199947E-01   0.291807E+01   0.842765E-07   0.296247E-02  -0.138477E-04
     7   0.118682E+04   0.545855E-01   0.152950E-01   0.242119E+01   0.902371E-07   0.284413E-02  -0.929023E-05
     8   0.116890E+04   0.335392E-01   0.112662E-01   0.195168E+01   0.954770E-07   0.272658E-02  -0.477544E-05
     9   0.115844E+04   0.207430E-01   0.823525E-02   0.154232E+01   0.100108E-06   0.260952E-02  -0.935893E-06
    10   0.115364E+04   0.147216E-01   0.623126E-02   0.121723E+01   0.104198E-06   0.249531E-02   0.187125E-05
    11   0.115257E+04   0.126242E-01   0.512024E-02   0.984195E+00   0.107843E-06   0.238901E-02   0.355957E-05
    12   0.115504E+04   0.120670E-01   0.471260E-02   0.842792E+00   0.111048E-06   0.229106E-02   0.417323E-05
    13   0.115892E+04   0.117800E-01   0.480046E-02   0.781204E+00   0.113914E-06   0.220491E-02   0.382067E-05
    14   0.116457E+04   0.115587E-01   0.521853E-02   0.768720E+00   0.116433E-06   0.212345E-02   0.271983E-05
    15   0.117127E+04   0.116106E-01   0.584226E-02   0.792029E+00   0.118678E-06   0.204700E-02   0.124183E-05
    16   0.118034E+04   0.121374E-01   0.658810E-02   0.836496E+00   0.120654E-06   0.197240E-02  -0.182468E-06
    17   0.119117E+04   0.130820E-01   0.740937E-02   0.886132E+00   0.122389E-06   0.190084E-02  -0.134435E-05
    18   0.120231E+04   0.143168E-01   0.827252E-02   0.929062E+00   0.123919E-06   0.183434E-02  -0.213214E-05
    19   0.121449E+04   0.156987E-01   0.916671E-02   0.962597E+00   0.125253E-06   0.177199E-02  -0.257339E-05
    20   0.122615E+04   0.171051E-01   0.100873E-01   0.978309E+00   0.126402E-06   0.171242E-02  -0.271198E-05
    21   0.123806E+04   0.185934E-01   0.110317E-01   0.982542E+00   0.127385E-06   0.165511E-02  -0.252402E-05
    22   0.125027E+04   0.202722E-01   0.119981E-01   0.979211E+00   0.128227E-06   0.159993E-02  -0.201321E-05
    23   0.126241E+04   0.222036E-01   0.129849E-01   0.971257E+00   0.128935E-06   0.154723E-02  -0.135974E-05
    24   0.127477E+04   0.244330E-01   0.139903E-01   0.961289E+00   0.129517E-06   0.149734E-02  -0.767213E-06
    25   0.128750E+04   0.269526E-01   0.150115E-01   0.947086E+00   0.129984E-06   0.145017E-02  -0.363543E-06
    26   0.130011E+04   0.297434E-01   0.160459E-01   0.936528E+00   0.130349E-06   0.140548E-02  -0.217322E-06
    27   0.131301E+04   0.327700E-01   0.170940E-01   0.929780E+00   0.130621E-06   0.136288E-02  -0.237269E-06
    28   0.132603E+04   0.359861E-01   0.181566E-01   0.920141E+00   0.130806E-06   0.132214E-02  -0.316948E-06
    29   0.133911E+04   0.394193E-01   0.192331E-01   0.910407E+00   0.130905E-06   0.128350E-02  -0.445469E-06
    30   0.135246E+04   0.431014E-01   0.203225E-01   0.891120E+00   0.130921E-06   0.124718E-02  -0.633890E-06
    31   0.136549E+04   0.469999E-01   0.214235E-01   0.868283E+00   0.130863E-06   0.121274E-02  -0.886079E-06
    32   0.137901E+04   0.511034E-01   0.225349E-01   0.832766E+00   0.130745E-06   0.117964E-02  -0.118391E-05
    33   0.139250E+04   0.553816E-01   0.236559E-01   0.783811E+00   0.130568E-06   0.114758E-02  -0.142859E-05
    34   0.140592E+04   0.598750E-01   0.247849E-01   0.724635E+00   0.130338E-06   0.111638E-02  -0.152133E-05
    35   0.141987E+04   0.645883E-01   0.259185E-01   0.649007E+00   0.130057E-06   0.108607E-02  -0.144216E-05
    36   0.143348E+04   0.695438E-01   0.270539E-01   0.569152E+00   0.129729E-06   0.105681E-02  -0.121455E-05
    37   0.144725E+04   0.747621E-01   0.281932E-01   0.476656E+00   0.129360E-06   0.102905E-02  -0.957146E-06
    38   0.146130E+04   0.802323E-01   0.293382E-01   0.371073E+00   0.128951E-06   0.100311E-02  -0.780434E-06
    39   0.147552E+04   0.859656E-01   0.304864E-01   0.254856E+00   0.128505E-06   0.978656E-03  -0.669088E-06
    40   0.148983E+04   0.919818E-01   0.316340E-01   0.130163E+00   0.128025E-06   0.955165E-03  -0.576543E-06
    41   0.150415E+04   0.982961E-01   0.327777E-01  -0.124599E-02   0.127512E-06   0.932239E-03  -0.467886E-06
    42   0.151849E+04   0.104906E+00   0.339161E-01  -0.139273E+00   0.126968E-06   0.909875E-03  -0.354146E-06
    43   0.153287E+04   0.111803E+00   0.350481E-01  -0.284632E+00   0.126398E-06   0.888176E-03  -0.257759E-06
    44   0.154735E+04   0.118977E+00   0.361726E-01  -0.439645E+00   0.125801E-06   0.867242E-03  -0.201093E-06
    45   0.156199E+04   0.126417E+00   0.372886E-01  -0.606935E+00   0.125182E-06   0.847174E-03  -0.206454E-06
    46   0.157678E+04   0.134112E+00   0.383950E-01  -0.788152E+00   0.124543E-06   0.828030E-03  -0.287295E-06
    47   0.159169E+04   0.142068E+00   0.394903E-01  -0.982898E+00   0.123885E-06   0.809691E-03  -0.421878E-06
    48   0.160671E+04   0.150292E+00   0.405730E-01  -0.119028E+01   0.123209E-06   0.791992E-03  -0.579751E-06
    49   0.162184E+04   0.158788E+00   0.416414E-01  -0.140935E+01   0.122518E-06   0.774773E-03  -0.730542E-06
    50   0.163714E+04   0.167571E+00   0.426941E-01  -0.163898E+01   0.121813E-06   0.757872E-03  -0.843958E-06
    51   0.165266E+04   0.176656E+00   0.437296E-01  -0.187820E+01   0.121096E-06   0.741181E-03  -0.897668E-06
    52   0.166837E+04   0.186039E+00   0.447469E-01  -0.212663E+01   0.120367E-06   0.724812E-03  -0.900951E-06
    53   0.168419E+04   0.195712E+00   0.457452E-01  -0.238428E+01   0.119628E-06   0.708928E-03  -0.870946E-06
    54   0.170010E+04   0.205665E+00   0.467237E-01  -0.265202E+01   0.118880E-06   0.693696E-03  -0.824749E-06
    55   0.171610E+04   0.215892E+00   0.476816E-01  -0.293109E+01   0.118123E-06   0.679278E-03  -0.779421E-06
    56   0.173230E+04   0.226381E+00   0.486179E-01  -0.322307E+01   0.117359E-06   0.665785E-03  -0.748041E-06
    57   0.174882E+04   0.237132E+00   0.495317E-01  -0.352848E+01   0.116588E-06   0.653102E-03  -0.727880E-06
    58   0.176560E+04   0.248150E+00   0.504220E-01  -0.384683E+01   0.115811E-06   0.641062E-03  -0.712274E-06
    59   0.178256E+04   0.259439E+00   0.512877E-01  -0.417739E+01   0.115028E-06   0.629497E-03  -0.694571E-06
    60   0.179969E+04   0.270999E+00   0.521277E-01  -0.451899E+01   0.114240E-06   0.618239E-03  -0.668132E-06
    61   0.181699E+04   0.282826E+00   0.529412E-01  -0.487066E+01   0.113448E-06   0.607149E-03  -0.628597E-06
    62   0.183449E+04   0.294911E+00   0.537276E-01  -0.523257E+01   0.112651E-06   0.596197E-03  -0.580703E-06
    63   0.185219E+04   0.307246E+00   0.544864E-01  -0.560523E+01   0.111853E-06   0.585383E-03  -0.531447E-06
    64   0.187012E+04   0.319820E+00   0.552173E-01  -0.598909E+01   0.111052E-06   0.574705E-03  -0.487816E-06
    65   0.188830E+04   0.332628E+00   0.559199E-01  -0.638470E+01   0.110250E-06   0.564160E-03  -0.456788E-06
    66   0.190678E+04   0.345656E+00   0.565936E-01  -0.679248E+01   0.109449E-06   0.553760E-03  -0.444225E-06
    67   0.192554E+04   0.358896E+00   0.572380E-01  -0.721154E+01   0.108648E-06   0.543561E-03  -0.451565E-06
    68   0.194455E+04   0.372339E+00   0.578524E-01  -0.764065E+01   0.107847E-06   0.533632E-03  -0.479142E-06
    69   0.196376E+04   0.385977E+00   0.584363E-01  -0.807864E+01   0.107048E-06   0.524042E-03  -0.527289E-06
    70   0.198315E+04   0.399803E+00   0.589891E-01  -0.852450E+01   0.106251E-06   0.514858E-03  -0.596339E-06
    71   0.200269E+04   0.413814E+00   0.595102E-01  -0.897770E+01   0.105455E-06   0.506131E-03  -0.683993E-06
    72   0.202251E+04   0.428006E+00   0.599997E-01  -0.943944E+01   0.104662E-06   0.497840E-03  -0.777421E-06
    73   0.204270E+04   0.442374E+00   0.604575E-01  -0.991113E+01   0.103870E-06   0.489944E-03  -0.861173E-06
    74   0.206330E+04   0.456907E+00   0.608838E-01  -0.103931E+02   0.103081E-06   0.482402E-03  -0.919818E-06
    75   0.208429E+04   0.471595E+00   0.612786E-01  -0.108853E+02   0.102294E-06   0.475176E-03  -0.937940E-06
    76   0.210564E+04   0.486422E+00   0.616420E-01  -0.113877E+02   0.101508E-06   0.468219E-03  -0.905146E-06
    77   0.212723E+04   0.501376E+00   0.619739E-01  -0.118987E+02   0.100726E-06   0.461459E-03  -0.831075E-06
    78   0.214903E+04   0.516440E+00   0.622743E-01  -0.124177E+02   0.999460E-07   0.454821E-03  -0.730359E-06
    79   0.217110E+04   0.531600E+00   0.625431E-01  -0.129445E+02   0.991693E-07   0.448227E-03  -0.617616E-06
    80   0.219345E+04   0.546840E+00   0.627803E-01  -0.134790E+02   0.983961E-07   0.441600E-03  -0.507447E-06
    81   0.221613E+04   0.562145E+00   0.629858E-01  -0.140208E+02   0.976266E-07   0.434907E-03  -0.412962E-06
    82   0.223913E+04   0.577506E+00   0.631598E-01  -0.145695E+02   0.968613E-07   0.428288E-03  -0.341339E-06
    83   0.226245E+04   0.592911E+00   0.633022E-01  -0.151247E+02   0.961001E-07   0.421925E-03  -0.298271E-06
    84   0.228607E+04   0.608350E+00   0.634131E-01  -0.156859E+02   0.953435E-07   0.416002E-03  -0.289447E-06
    85   0.230999E+04   0.623811E+00   0.634926E-01  -0.162528E+02   0.945916E-07   0.410701E-03  -0.320553E-06
    86   0.233422E+04   0.639286E+00   0.635408E-01  -0.168247E+02   0.938445E-07   0.406061E-03  -0.393906E-06
    87   0.235871E+04   0.654760E+00   0.635579E-01  -0.174013E+02   0.931024E-07   0.401548E-03  -0.498377E-06
    88   0.238347E+04   0.670219E+00   0.635442E-01  -0.179820E+02   0.923654E-07   0.396486E-03  -0.619480E-06
    89   0.240848E+04   0.685650E+00   0.635000E-01  -0.185666E+02   0.916334E-07   0.390197E-03  -0.742743E-06
    90   0.243377E+04   0.701034E+00   0.634256E-01  -0.191547E+02   0.909067E-07   0.382005E-03  -0.853707E-06
    91   0.245933E+04   0.716357E+00   0.633214E-01  -0.197459E+02   0.901852E-07   0.371388E-03  -0.940642E-06
    92   0.248518E+04   0.731605E+00   0.631879E-01  -0.203402E+02   0.894689E-07   0.358433E-03  -0.100270E-05
    93   0.251133E+04   0.746764E+00   0.630258E-01  -0.209369E+02   0.887579E-07   0.343383E-03  -0.104177E-05
    94   0.253776E+04   0.761821E+00   0.628358E-01  -0.215359E+02   0.880522E-07   0.326479E-03  -0.105972E-05
    95   0.256450E+04   0.776761E+00   0.626185E-01  -0.221368E+02   0.873519E-07   0.307962E-03  -0.105843E-05
    96   0.259154E+04   0.791570E+00   0.623747E-01  -0.227392E+02   0.866569E-07   0.288072E-03  -0.103977E-05
    97   0.261887E+04   0.806236E+00   0.621049E-01  -0.233426E+02   0.859672E-07   0.267051E-03  -0.100561E-05
    98   0.264651E+04   0.820742E+00   0.618098E-01  -0.239468E+02   0.852830E-07   0.245138E-03  -0.957820E-06
    99   0.267443E+04   0.835074E+00   0.614901E-01  -0.245512E+02   0.846041E-07   0.222574E-03  -0.898268E-06
   100   0.270265E+04   0.849223E+00   0.611465E-01  -0.251553E+02   0.839308E-07   0.199599E-03  -0.828821E-06
   101   0.273116E+04   0.863173E+00   0.607797E-01  -0.257588E+02   0.832628E-07   0.176454E-03  -0.751344E-06
   102   0.275996E+04   0.876902E+00   0.603901E-01  -0.263613E+02   0.826004E-07   0.153378E-03  -0.667704E-06
