#    L    TT             EE             BB             TE          
     2   0.155695E+04   0.678059E-01   0.244315E-01   0.359913E+01
     3   0.139046E+04   0.105957E+00   0.282794E-01   0.373716E+01
     4   0.130020E+04   0.118841E+00   0.278725E-01   0.364419E+01
     5   0.123968E+04   0.107160E+00   0.245884E-01   0.330778E+01
     6   0.119878E+04   0.818037E-01   0.199694E-01   0.285199E+01
     7   0.117227E+04   0.546995E-01   0.152569E-01   0.236334E+01
     8   0.115563E+04   0.335623E-01   0.112185E-01   0.189993E+01
     9   0.114628E+04   0.206821E-01   0.818110E-02   0.149904E+01
    10   0.114254E+04   0.145980E-01   0.617016E-02   0.118261E+01
    11   0.114256E+04   0.124613E-01   0.505178E-02   0.956116E+00
    12   0.114610E+04   0.118821E-01   0.463715E-02   0.817900E+00
    13   0.115089E+04   0.116023E-01   0.471502E-02   0.756979E+00
    14   0.115735E+04   0.114041E-01   0.512136E-02   0.749984E+00
    15   0.116486E+04   0.114764E-01   0.573346E-02   0.781108E+00
    16   0.117466E+04   0.120201E-01   0.646522E-02   0.829615E+00
    17   0.118619E+04   0.129687E-01   0.727059E-02   0.879102E+00
    18   0.119799E+04   0.141873E-01   0.811739E-02   0.919364E+00
    19   0.121079E+04   0.155470E-01   0.899462E-02   0.951499E+00
    20   0.122298E+04   0.169389E-01   0.989719E-02   0.969674E+00
    21   0.123539E+04   0.184073E-01   0.108225E-01   0.975964E+00
    22   0.124812E+04   0.200491E-01   0.117688E-01   0.970095E+00
    23   0.126076E+04   0.219453E-01   0.127347E-01   0.958018E+00
    24   0.127355E+04   0.241580E-01   0.137185E-01   0.945993E+00
    25   0.128664E+04   0.266567E-01   0.147170E-01   0.930809E+00
    26   0.129959E+04   0.294029E-01   0.157273E-01   0.918744E+00
    27   0.131279E+04   0.323908E-01   0.167505E-01   0.910522E+00
    28   0.132609E+04   0.356016E-01   0.177879E-01   0.900188E+00
    29   0.133943E+04   0.390294E-01   0.188390E-01   0.889852E+00
    30   0.135304E+04   0.426722E-01   0.199024E-01   0.869210E+00
    31   0.136629E+04   0.465235E-01   0.209765E-01   0.844224E+00
    32   0.137997E+04   0.506023E-01   0.220595E-01   0.806447E+00
    33   0.139357E+04   0.548684E-01   0.231506E-01   0.757921E+00
    34   0.140709E+04   0.593427E-01   0.242487E-01   0.703507E+00
    35   0.142115E+04   0.640127E-01   0.253509E-01   0.631877E+00
    36   0.143485E+04   0.688953E-01   0.264549E-01   0.550616E+00
    37   0.144870E+04   0.740495E-01   0.275623E-01   0.455210E+00
    38   0.146277E+04   0.794987E-01   0.286746E-01   0.349839E+00
    39   0.147697E+04   0.852315E-01   0.297893E-01   0.235962E+00
    40   0.149124E+04   0.912300E-01   0.309028E-01   0.113336E+00
    41   0.150550E+04   0.974818E-01   0.320117E-01  -0.180788E-01
    42   0.151977E+04   0.103996E+00   0.331147E-01  -0.157568E+00
    43   0.153407E+04   0.110785E+00   0.342108E-01  -0.304627E+00
    44   0.154844E+04   0.117862E+00   0.352989E-01  -0.460360E+00
    45   0.156297E+04   0.125234E+00   0.363780E-01  -0.626172E+00
    46   0.157761E+04   0.132906E+00   0.374472E-01  -0.802952E+00
    47   0.159236E+04   0.140870E+00   0.385048E-01  -0.991380E+00
    48   0.160720E+04   0.149112E+00   0.395493E-01  -0.119210E+01
    49   0.162213E+04   0.157615E+00   0.405791E-01  -0.140569E+01
    50   0.163720E+04   0.166372E+00   0.415927E-01  -0.163257E+01
    51   0.165249E+04   0.175384E+00   0.425885E-01  -0.187276E+01
    52   0.166794E+04   0.184659E+00   0.435657E-01  -0.212476E+01
    53   0.168349E+04   0.194206E+00   0.445235E-01  -0.238694E+01
    54   0.169912E+04   0.204034E+00   0.454611E-01  -0.265848E+01
    55   0.171484E+04   0.214153E+00   0.463778E-01  -0.293898E+01
    56   0.173076E+04   0.224567E+00   0.472728E-01  -0.322885E+01
    57   0.174698E+04   0.235265E+00   0.481450E-01  -0.352933E+01
    58   0.176346E+04   0.246241E+00   0.489936E-01  -0.384119E+01
    59   0.178011E+04   0.257486E+00   0.498174E-01  -0.416491E+01
    60   0.179691E+04   0.268986E+00   0.506155E-01  -0.450054E+01
    61   0.181387E+04   0.280727E+00   0.513870E-01  -0.484803E+01
    62   0.183101E+04   0.292705E+00   0.521315E-01  -0.520721E+01
