#    L    TT             EE             BB             TE          
     2   0.148422E+04   0.703204E-01   0.133576E-05  -0.627537E+01
     3   0.113352E+04   0.115413E+00   0.267230E-05  -0.582768E+01
     4   0.996420E+03   0.132164E+00   0.445556E-05  -0.490373E+01
     5   0.957666E+03   0.121239E+00   0.668654E-05  -0.396214E+01
     6   0.969183E+03   0.942711E-01   0.936651E-05  -0.316935E+01
     7   0.100669E+04   0.640900E-01   0.124969E-04  -0.256681E+01
     8   0.105763E+04   0.391413E-01   0.160795E-04  -0.211268E+01
     9   0.111835E+04   0.224414E-01   0.201161E-04  -0.173951E+01
    10   0.118852E+04   0.132516E-01   0.246088E-04  -0.138881E+01
    11   0.126374E+04   0.930503E-02   0.295599E-04  -0.103015E+01
    12   0.133487E+04   0.843777E-02   0.349717E-04  -0.653944E+00
    13   0.140475E+04   0.917035E-02   0.408467E-04  -0.271331E+00
    14   0.147394E+04   0.106023E-01   0.471875E-04   0.995826E-01
    15   0.154610E+04   0.121501E-01   0.539968E-04   0.419384E+00
    16   0.161654E+04   0.133768E-01   0.612773E-04   0.660475E+00
    17   0.168419E+04   0.140260E-01   0.690317E-04   0.808546E+00
    18   0.174927E+04   0.139613E-01   0.772630E-04   0.858647E+00
    19   0.181344E+04   0.133645E-01   0.859737E-04   0.827348E+00
    20   0.187572E+04   0.124893E-01   0.951666E-04   0.726733E+00
    21   0.193694E+04   0.116399E-01   0.104844E-03   0.576332E+00
    22   0.199703E+04   0.111101E-01   0.115009E-03   0.393463E+00
    23   0.205498E+04   0.110301E-01   0.125665E-03   0.202683E+00
    24   0.211053E+04   0.114636E-01   0.136812E-03   0.259538E-01
    25   0.216400E+04   0.123407E-01   0.148453E-03  -0.136847E+00
    26   0.221524E+04   0.135706E-01   0.160591E-03  -0.279101E+00
    27   0.226499E+04   0.150890E-01   0.173227E-03  -0.398100E+00
    28   0.231332E+04   0.168131E-01   0.186363E-03  -0.498749E+00
    29   0.236013E+04   0.186612E-01   0.200001E-03  -0.583263E+00
    30   0.240551E+04   0.205690E-01   0.214140E-03  -0.666960E+00
    31   0.244867E+04   0.225346E-01   0.228784E-03  -0.746273E+00
    32   0.249026E+04   0.246022E-01   0.243931E-03  -0.830853E+00
    33   0.252993E+04   0.267724E-01   0.259583E-03  -0.917716E+00
    34   0.256785E+04   0.291080E-01   0.275741E-03  -0.100102E+01
    35   0.260457E+04   0.316271E-01   0.292403E-03  -0.109312E+01
    36   0.263918E+04   0.343663E-01   0.309571E-03  -0.118718E+01
    37   0.267249E+04   0.373705E-01   0.327243E-03  -0.128553E+01
    38   0.270485E+04   0.406439E-01   0.345419E-03  -0.138203E+01
    39   0.273610E+04   0.441647E-01   0.364099E-03  -0.147739E+01
    40   0.276600E+04   0.479077E-01   0.383281E-03  -0.157501E+01
    41   0.279433E+04   0.518527E-01   0.402964E-03  -0.167758E+01
    42   0.282119E+04   0.560001E-01   0.423147E-03  -0.178494E+01
    43   0.284669E+04   0.603553E-01   0.443828E-03  -0.189662E+01
    44   0.287102E+04   0.649216E-01   0.465005E-03  -0.201374E+01
    45   0.289435E+04   0.696993E-01   0.486678E-03  -0.213776E+01
    46   0.291677E+04   0.746873E-01   0.508845E-03  -0.226955E+01
    47   0.293827E+04   0.798893E-01   0.531503E-03  -0.240962E+01
    48   0.295885E+04   0.853032E-01   0.554650E-03  -0.255843E+01
    49   0.297852E+04   0.909265E-01   0.578285E-03  -0.271633E+01
    50   0.299734E+04   0.967676E-01   0.602407E-03  -0.288356E+01
    51   0.301538E+04   0.102835E+00   0.627013E-03  -0.305997E+01
    52   0.303264E+04   0.109133E+00   0.652101E-03  -0.324409E+01
    53   0.304908E+04   0.115660E+00   0.677670E-03  -0.343435E+01
    54   0.306472E+04   0.122418E+00   0.703719E-03  -0.363001E+01
    55   0.307962E+04   0.129408E+00   0.730246E-03  -0.383073E+01
    56   0.309391E+04   0.136625E+00   0.757249E-03  -0.403705E+01
    57   0.310772E+04   0.144060E+00   0.784729E-03  -0.425061E+01
    58   0.312104E+04   0.151706E+00   0.812684E-03  -0.447260E+01
    59   0.313380E+04   0.159559E+00   0.841114E-03  -0.470395E+01
    60   0.314601E+04   0.167604E+00   0.870018E-03  -0.494515E+01
    61   0.315769E+04   0.175831E+00   0.899396E-03  -0.519644E+01
    62   0.316890E+04   0.184239E+00   0.929249E-03  -0.545729E+01
    63   0.317968E+04   0.192832E+00   0.959577E-03  -0.572697E+01
    64   0.319007E+04   0.201612E+00   0.990381E-03  -0.600478E+01
    65   0.320014E+04   0.210582E+00   0.102166E-02  -0.629006E+01
    66   0.320995E+04   0.219741E+00   0.105342E-02  -0.658241E+01
    67   0.321951E+04   0.229078E+00   0.108566E-02  -0.688162E+01
    68   0.322879E+04   0.238580E+00   0.111838E-02  -0.718751E+01
    69   0.323777E+04   0.248237E+00   0.115159E-02  -0.749995E+01
    70   0.324643E+04   0.258037E+00   0.118528E-02  -0.781897E+01
    71   0.325477E+04   0.267975E+00   0.121946E-02  -0.814485E+01
    72   0.326292E+04   0.278046E+00   0.125414E-02  -0.847848E+01
    73   0.327101E+04   0.288246E+00   0.128931E-02  -0.882070E+01
    74   0.327908E+04   0.298563E+00   0.132499E-02  -0.917130E+01
    75   0.328714E+04   0.308987E+00   0.136117E-02  -0.952972E+01
    76   0.329517E+04   0.319504E+00   0.139786E-02  -0.989537E+01
    77   0.330306E+04   0.330106E+00   0.143506E-02  -0.102670E+02
    78   0.331082E+04   0.340784E+00   0.147278E-02  -0.106445E+02
    79   0.331853E+04   0.351528E+00   0.151102E-02  -0.110279E+02
    80   0.332622E+04   0.362330E+00   0.154979E-02  -0.114175E+02
    81   0.333394E+04   0.373181E+00   0.158910E-02  -0.118133E+02
    82   0.334170E+04   0.384070E+00   0.162894E-02  -0.122149E+02
    83   0.334948E+04   0.394987E+00   0.166933E-02  -0.126220E+02
    84   0.335727E+04   0.405921E+00   0.171027E-02  -0.130340E+02
    85   0.336507E+04   0.416860E+00   0.175176E-02  -0.134507E+02
    86   0.337288E+04   0.427796E+00   0.179382E-02  -0.138715E+02
    87   0.338068E+04   0.438717E+00   0.183644E-02  -0.142959E+02
    88   0.338847E+04   0.449611E+00   0.187963E-02  -0.147234E+02
    89   0.339629E+04   0.460468E+00   0.192341E-02  -0.151538E+02
    90   0.340416E+04   0.471272E+00   0.196776E-02  -0.155866E+02
    91   0.341210E+04   0.482013E+00   0.201271E-02  -0.160215E+02
    92   0.342013E+04   0.492678E+00   0.205825E-02  -0.164583E+02
    93   0.342827E+04   0.503257E+00   0.210439E-02  -0.168967E+02
    94   0.343651E+04   0.513740E+00   0.215114E-02  -0.173365E+02
    95   0.344489E+04   0.524116E+00   0.219850E-02  -0.177774E+02
    96   0.345339E+04   0.534374E+00   0.224648E-02  -0.182189E+02
    97   0.346202E+04   0.544503E+00   0.229508E-02  -0.186608E+02
    98   0.347080E+04   0.554492E+00   0.234431E-02  -0.191027E+02
    99   0.347972E+04   0.564329E+00   0.239417E-02  -0.195443E+02
   100   0.348879E+04   0.574006E+00   0.244466E-02  -0.199851E+02
   101   0.349801E+04   0.583513E+00   0.249580E-02  -0.204247E+02
   102   0.350739E+04   0.592831E+00   0.254759E-02  -0.208630E+02
   103   0.351693E+04   0.601963E+00   0.260003E-02  -0.212992E+02
   104   0.352662E+04   0.610884E+00   0.265312E-02  -0.217331E+02
   105   0.353647E+04   0.619590E+00   0.270688E-02  -0.221641E+02
   106   0.354648E+04   0.628069E+00   0.276130E-02  -0.225919E+02
   107   0.355665E+04   0.636319E+00   0.281639E-02  -0.230160E+02
   108   0.356696E+04   0.644320E+00   0.287215E-02  -0.234359E+02
   109   0.357744E+04   0.652068E+00   0.292860E-02  -0.238511E+02
   110   0.358808E+04   0.659546E+00   0.298572E-02  -0.242613E+02
   111   0.359886E+04   0.666749E+00   0.304354E-02  -0.246661E+02
   112   0.360981E+04   0.673676E+00   0.310205E-02  -0.250648E+02
   113   0.362091E+04   0.680309E+00   0.316126E-02  -0.254571E+02
   114   0.363216E+04   0.686638E+00   0.322117E-02  -0.258426E+02
   115   0.364356E+04   0.692669E+00   0.328179E-02  -0.262206E+02
   116   0.365511E+04   0.698392E+00   0.334312E-02  -0.265910E+02
   117   0.366681E+04   0.703789E+00   0.340517E-02  -0.269531E+02
   118   0.367865E+04   0.708867E+00   0.346794E-02  -0.273064E+02
   119   0.369063E+04   0.713615E+00   0.353145E-02  -0.276507E+02
   120   0.370275E+04   0.718031E+00   0.359568E-02  -0.279854E+02
   121   0.371500E+04   0.722105E+00   0.366067E-02  -0.283101E+02
   122   0.372738E+04   0.725836E+00   0.372640E-02  -0.286243E+02
   123   0.373989E+04   0.729221E+00   0.379288E-02  -0.289277E+02
   124   0.375252E+04   0.732249E+00   0.386013E-02  -0.292196E+02
   125   0.376527E+04   0.734928E+00   0.392814E-02  -0.294998E+02
   126   0.377814E+04   0.737246E+00   0.399693E-02  -0.297679E+02
   127   0.379111E+04   0.739209E+00   0.406651E-02  -0.300233E+02
   128   0.380419E+04   0.740808E+00   0.413687E-02  -0.302657E+02
   129   0.381738E+04   0.742047E+00   0.420804E-02  -0.304947E+02
   130   0.383066E+04   0.742917E+00   0.428002E-02  -0.307098E+02
   131   0.384403E+04   0.743424E+00   0.435281E-02  -0.309107E+02
   132   0.385750E+04   0.743573E+00   0.442642E-02  -0.310970E+02
   133   0.387104E+04   0.743355E+00   0.450088E-02  -0.312683E+02
   134   0.388466E+04   0.742792E+00   0.457617E-02  -0.314242E+02
   135   0.389834E+04   0.741868E+00   0.465232E-02  -0.315645E+02
   136   0.391209E+04   0.740595E+00   0.472933E-02  -0.316887E+02
   137   0.392589E+04   0.738974E+00   0.480722E-02  -0.317965E+02
   138   0.393973E+04   0.737017E+00   0.488599E-02  -0.318876E+02
   139   0.395361E+04   0.734724E+00   0.496564E-02  -0.319617E+02
   140   0.396754E+04   0.732099E+00   0.504620E-02  -0.320185E+02
   141   0.398148E+04   0.729165E+00   0.512767E-02  -0.320578E+02
   142   0.399545E+04   0.725913E+00   0.521006E-02  -0.320792E+02
   143   0.400943E+04   0.722356E+00   0.529338E-02  -0.320824E+02
   144   0.402340E+04   0.718508E+00   0.537764E-02  -0.320672E+02
   145   0.403738E+04   0.714368E+00   0.546285E-02  -0.320333E+02
   146   0.405133E+04   0.709956E+00   0.554901E-02  -0.319804E+02
   147   0.406525E+04   0.705287E+00   0.563614E-02  -0.319082E+02
   148   0.407911E+04   0.700366E+00   0.572424E-02  -0.318165E+02
   149   0.409292E+04   0.695206E+00   0.581333E-02  -0.317049E+02
   150   0.410665E+04   0.689823E+00   0.590340E-02  -0.315732E+02
   151   0.412029E+04   0.684228E+00   0.599447E-02  -0.314211E+02
   152   0.413384E+04   0.678433E+00   0.608655E-02  -0.312486E+02
   153   0.414729E+04   0.672456E+00   0.617963E-02  -0.310554E+02
   154   0.416064E+04   0.666316E+00   0.627373E-02  -0.308415E+02
   155   0.417389E+04   0.660016E+00   0.636885E-02  -0.306066E+02
   156   0.418705E+04   0.653583E+00   0.646500E-02  -0.303507E+02
