#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.197994E+04   0.878126E-01   0.287465E-01  -0.577722E+01   0.828859E-07   0.888478E-02  -0.213509E-04
     3   0.152909E+04   0.136619E+00   0.318774E-01  -0.608967E+01   0.103711E-06   0.816935E-02  -0.272447E-04
     4   0.136530E+04   0.153609E+00   0.301017E-01  -0.540497E+01   0.121775E-06   0.749592E-02  -0.290370E-04
     5   0.131553E+04   0.139968E+00   0.254186E-01  -0.451249E+01   0.137506E-06   0.689283E-02  -0.277798E-04
     6   0.132211E+04   0.108890E+00   0.197424E-01  -0.368590E+01   0.151218E-06   0.634735E-02  -0.245390E-04
     7   0.135776E+04   0.745775E-01   0.144253E-01  -0.302112E+01   0.163230E-06   0.582821E-02  -0.203792E-04
     8   0.140840E+04   0.463445E-01   0.101758E-01  -0.250362E+01   0.173781E-06   0.533196E-02  -0.161645E-04
     9   0.146975E+04   0.274941E-01   0.719818E-02  -0.207954E+01   0.183075E-06   0.489239E-02  -0.125295E-04
    10   0.154104E+04   0.172204E-01   0.538865E-02  -0.168996E+01   0.191247E-06   0.452437E-02  -0.993135E-05
    11   0.161741E+04   0.129895E-01   0.451498E-02  -0.130795E+01   0.198485E-06   0.419807E-02  -0.860491E-05
    12   0.168916E+04   0.123606E-01   0.432330E-02  -0.922317E+00   0.204810E-06   0.386910E-02  -0.844962E-05
    13   0.175922E+04   0.136105E-01   0.457183E-02  -0.538259E+00   0.210415E-06   0.354276E-02  -0.907490E-05
    14   0.182866E+04   0.157165E-01   0.509281E-02  -0.177217E+00   0.215291E-06   0.324759E-02  -0.100328E-04
    15   0.190155E+04   0.180196E-01   0.577222E-02   0.126263E+00   0.219582E-06   0.301250E-02  -0.110522E-04
    16   0.197286E+04   0.200416E-01   0.653558E-02   0.344683E+00   0.223313E-06   0.281787E-02  -0.120198E-04
    17   0.204119E+04   0.215188E-01   0.735020E-02   0.464411E+00   0.226544E-06   0.263023E-02  -0.127422E-04
    18   0.210657E+04   0.223145E-01   0.819602E-02   0.481826E+00   0.229345E-06   0.242661E-02  -0.130257E-04
    19   0.217060E+04   0.226120E-01   0.906724E-02   0.414632E+00   0.231737E-06   0.222491E-02  -0.127835E-04
    20   0.223237E+04   0.226660E-01   0.996171E-02   0.275727E+00   0.233742E-06   0.204797E-02  -0.120283E-04
    21   0.229280E+04   0.227797E-01   0.108777E-01   0.843839E-01   0.235405E-06   0.189918E-02  -0.110641E-04
    22   0.235190E+04   0.232444E-01   0.118134E-01  -0.142414E+00   0.236774E-06   0.177397E-02  -0.102020E-04
    23   0.240867E+04   0.241839E-01   0.127678E-01  -0.379695E+00   0.237872E-06   0.165518E-02  -0.950601E-05
    24   0.246286E+04   0.256563E-01   0.137392E-01  -0.604959E+00   0.238715E-06   0.152832E-02  -0.896911E-05
    25   0.251480E+04   0.275930E-01   0.147250E-01  -0.818019E+00   0.239325E-06   0.140140E-02  -0.854577E-05
    26   0.256439E+04   0.299048E-01   0.157234E-01  -0.101197E+01   0.239727E-06   0.128598E-02  -0.820679E-05
    27   0.261234E+04   0.325242E-01   0.167354E-01  -0.118364E+01   0.239940E-06   0.118552E-02  -0.802478E-05
    28   0.265873E+04   0.353665E-01   0.177626E-01  -0.133766E+01   0.239980E-06   0.109984E-02  -0.805582E-05
    29   0.270346E+04   0.383576E-01   0.188046E-01  -0.147676E+01   0.239853E-06   0.102219E-02  -0.819034E-05
    30   0.274666E+04   0.414415E-01   0.198600E-01  -0.161673E+01   0.239563E-06   0.945687E-03  -0.828425E-05
    31   0.278752E+04   0.446138E-01   0.209265E-01  -0.175352E+01   0.239132E-06   0.869306E-03  -0.821786E-05
    32   0.282670E+04   0.479125E-01   0.220020E-01  -0.189614E+01   0.238583E-06   0.794174E-03  -0.792119E-05
    33   0.286384E+04   0.513252E-01   0.230855E-01  -0.204143E+01   0.237923E-06   0.724165E-03  -0.749706E-05
    34   0.289912E+04   0.549044E-01   0.241762E-01  -0.218347E+01   0.237158E-06   0.662578E-03  -0.707863E-05
    35   0.293310E+04   0.586762E-01   0.252712E-01  -0.233444E+01   0.236299E-06   0.607714E-03  -0.675001E-05
    36   0.296489E+04   0.626873E-01   0.263683E-01  -0.248736E+01   0.235354E-06   0.556852E-03  -0.655006E-05
    37   0.299527E+04   0.669840E-01   0.274682E-01  -0.264442E+01   0.234331E-06   0.508133E-03  -0.638637E-05
    38   0.302461E+04   0.715690E-01   0.285719E-01  -0.279938E+01   0.233237E-06   0.460394E-03  -0.616536E-05
    39   0.305275E+04   0.764168E-01   0.296767E-01  -0.295284E+01   0.232076E-06   0.414369E-03  -0.591821E-05
    40   0.307943E+04   0.814972E-01   0.307789E-01  -0.310810E+01   0.230854E-06   0.371264E-03  -0.570704E-05
    41   0.310447E+04   0.867861E-01   0.318754E-01  -0.326775E+01   0.229575E-06   0.331983E-03  -0.557692E-05
    42   0.312795E+04   0.922824E-01   0.329647E-01  -0.343155E+01   0.228244E-06   0.296233E-03  -0.550546E-05
    43   0.315000E+04   0.979907E-01   0.340460E-01  -0.359896E+01   0.226864E-06   0.263428E-03  -0.545356E-05
    44   0.317080E+04   0.103913E+00   0.351181E-01  -0.377103E+01   0.225443E-06   0.232983E-03  -0.538226E-05
    45   0.319053E+04   0.110050E+00   0.361800E-01  -0.394912E+01   0.223983E-06   0.204315E-03  -0.525273E-05
    46   0.320927E+04   0.116398E+00   0.372309E-01  -0.413404E+01   0.222491E-06   0.176960E-03  -0.503869E-05
    47   0.322703E+04   0.122960E+00   0.382691E-01  -0.432617E+01   0.220969E-06   0.150907E-03  -0.476375E-05
    48   0.324380E+04   0.129734E+00   0.392932E-01  -0.452583E+01   0.219422E-06   0.126261E-03  -0.446386E-05
    49   0.325958E+04   0.136715E+00   0.403017E-01  -0.473326E+01   0.217850E-06   0.103128E-03  -0.417492E-05
    50   0.327446E+04   0.143912E+00   0.412930E-01  -0.494856E+01   0.216259E-06   0.816124E-04  -0.393269E-05
    51   0.328851E+04   0.151331E+00   0.422658E-01  -0.517148E+01   0.214650E-06   0.617641E-04  -0.376499E-05
    52   0.330172E+04   0.158974E+00   0.432191E-01  -0.540050E+01   0.213027E-06   0.434145E-04  -0.366797E-05
    53   0.331406E+04   0.166840E+00   0.441522E-01  -0.563404E+01   0.211390E-06   0.263408E-04  -0.362990E-05
    54   0.332557E+04   0.174928E+00   0.450643E-01  -0.587134E+01   0.209742E-06   0.103208E-04  -0.363909E-05
    55   0.333627E+04   0.183236E+00   0.459545E-01  -0.611204E+01   0.208085E-06  -0.486704E-05  -0.368388E-05
    56   0.334634E+04   0.191759E+00   0.468222E-01  -0.635666E+01   0.206420E-06  -0.193889E-04  -0.375089E-05
    57   0.335590E+04   0.200486E+00   0.476663E-01  -0.660675E+01   0.204749E-06  -0.331918E-04  -0.381983E-05
    58   0.336493E+04   0.209411E+00   0.484860E-01  -0.686342E+01   0.203072E-06  -0.461682E-04  -0.386870E-05
    59   0.337338E+04   0.218527E+00   0.492804E-01  -0.712751E+01   0.201392E-06  -0.582107E-04  -0.387552E-05
    60   0.338124E+04   0.227819E+00   0.500485E-01  -0.739943E+01   0.199708E-06  -0.692117E-04  -0.381837E-05
    61   0.338857E+04   0.237276E+00   0.507895E-01  -0.767935E+01   0.198022E-06  -0.791006E-04  -0.368357E-05
    62   0.339540E+04   0.246897E+00   0.515028E-01  -0.796675E+01   0.196335E-06  -0.879532E-04  -0.349025E-05
    63   0.340179E+04   0.256685E+00   0.521881E-01  -0.826096E+01   0.194649E-06  -0.958817E-04  -0.326575E-05
    64   0.340778E+04   0.266641E+00   0.528448E-01  -0.856131E+01   0.192967E-06  -0.102998E-03  -0.303734E-05
    65   0.341343E+04   0.276770E+00   0.534726E-01  -0.886719E+01   0.191288E-06  -0.109414E-03  -0.283225E-05
    66   0.341883E+04   0.287067E+00   0.540709E-01  -0.917821E+01   0.189615E-06  -0.115242E-03  -0.267215E-05
    67   0.342397E+04   0.297521E+00   0.546394E-01  -0.949409E+01   0.187949E-06  -0.120597E-03  -0.255660E-05
    68   0.342884E+04   0.308116E+00   0.551775E-01  -0.981459E+01   0.186291E-06  -0.125592E-03  -0.247961E-05
    69   0.343342E+04   0.318838E+00   0.556848E-01  -0.101395E+02   0.184640E-06  -0.130344E-03  -0.243522E-05
    70   0.343769E+04   0.329674E+00   0.561609E-01  -0.104687E+02   0.182997E-06  -0.134967E-03  -0.241747E-05
    71   0.344166E+04   0.340615E+00   0.566054E-01  -0.108025E+02   0.181364E-06  -0.139537E-03  -0.242016E-05
    72   0.344545E+04   0.351659E+00   0.570181E-01  -0.111418E+02   0.179740E-06  -0.143974E-03  -0.243604E-05
    73   0.344921E+04   0.362803E+00   0.573994E-01  -0.114877E+02   0.178125E-06  -0.148162E-03  -0.245760E-05
    74   0.345296E+04   0.374040E+00   0.577491E-01  -0.118401E+02   0.176520E-06  -0.151983E-03  -0.247737E-05
    75   0.345673E+04   0.385361E+00   0.580673E-01  -0.121985E+02   0.174923E-06  -0.155320E-03  -0.248785E-05
    76   0.346049E+04   0.396753E+00   0.583542E-01  -0.125625E+02   0.173336E-06  -0.158080E-03  -0.248275E-05
    77   0.346415E+04   0.408206E+00   0.586099E-01  -0.129308E+02   0.171758E-06  -0.160270E-03  -0.246047E-05
    78   0.346771E+04   0.419706E+00   0.588344E-01  -0.133030E+02   0.170191E-06  -0.161919E-03  -0.242061E-05
    79   0.347125E+04   0.431240E+00   0.590280E-01  -0.136794E+02   0.168634E-06  -0.163058E-03  -0.236274E-05
    80   0.347482E+04   0.442796E+00   0.591906E-01  -0.140600E+02   0.167089E-06  -0.163716E-03  -0.228645E-05
    81   0.347845E+04   0.454360E+00   0.593225E-01  -0.144448E+02   0.165555E-06  -0.163944E-03  -0.219245E-05
    82   0.348217E+04   0.465924E+00   0.594237E-01  -0.148335E+02   0.164034E-06  -0.163879E-03  -0.208591E-05
    83   0.348595E+04   0.477478E+00   0.594942E-01  -0.152258E+02   0.162524E-06  -0.163675E-03  -0.197317E-05
    84   0.348980E+04   0.489013E+00   0.595339E-01  -0.156213E+02   0.161028E-06  -0.163490E-03  -0.186051E-05
    85   0.349370E+04   0.500517E+00   0.595430E-01  -0.160199E+02   0.159544E-06  -0.163479E-03  -0.175424E-05
    86   0.349766E+04   0.511983E+00   0.595215E-01  -0.164210E+02   0.158074E-06  -0.163715E-03  -0.165911E-05
    87   0.350167E+04   0.523399E+00   0.594699E-01  -0.168242E+02   0.156617E-06  -0.163944E-03  -0.157373E-05
    88   0.350572E+04   0.534752E+00   0.593885E-01  -0.172291E+02   0.155173E-06  -0.163830E-03  -0.149517E-05
    89   0.350985E+04   0.546030E+00   0.592779E-01  -0.176354E+02   0.153743E-06  -0.163035E-03  -0.142051E-05
    90   0.351409E+04   0.557219E+00   0.591385E-01  -0.180428E+02   0.152326E-06  -0.161224E-03  -0.134681E-05
    91   0.351847E+04   0.568304E+00   0.589707E-01  -0.184509E+02   0.150923E-06  -0.158136E-03  -0.127173E-05
    92   0.352300E+04   0.579276E+00   0.587754E-01  -0.188598E+02   0.149533E-06  -0.153814E-03  -0.119509E-05
    93   0.352769E+04   0.590123E+00   0.585531E-01  -0.192689E+02   0.148156E-06  -0.148378E-03  -0.111729E-05
    94   0.353256E+04   0.600836E+00   0.583046E-01  -0.196783E+02   0.146792E-06  -0.141945E-03  -0.103873E-05
    95   0.353762E+04   0.611403E+00   0.580306E-01  -0.200877E+02   0.145442E-06  -0.134635E-03  -0.959802E-06
    96   0.354287E+04   0.621815E+00   0.577317E-01  -0.204968E+02   0.144105E-06  -0.126565E-03  -0.880903E-06
    97   0.354832E+04   0.632061E+00   0.574086E-01  -0.209052E+02   0.142781E-06  -0.117854E-03  -0.802427E-06
    98   0.355398E+04   0.642128E+00   0.570622E-01  -0.213127E+02   0.141470E-06  -0.108621E-03  -0.724768E-06
    99   0.355984E+04   0.652007E+00   0.566929E-01  -0.217190E+02   0.140173E-06  -0.989830E-04  -0.648322E-06
   100   0.356592E+04   0.661690E+00   0.563016E-01  -0.221238E+02   0.138888E-06  -0.890588E-04  -0.573481E-06
   101   0.357222E+04   0.671165E+00   0.558890E-01  -0.225266E+02   0.137617E-06  -0.789661E-04  -0.500640E-06
   102   0.357874E+04   0.680415E+00   0.554556E-01  -0.229274E+02   0.136358E-06  -0.688231E-04  -0.430193E-06
   103   0.358549E+04   0.689443E+00   0.550024E-01  -0.233255E+02   0.135113E-06  -0.587476E-04  -0.362534E-06
   104   0.359246E+04   0.698224E+00   0.545298E-01  -0.237207E+02   0.133881E-06  -0.488574E-04  -0.298055E-06
   105   0.359965E+04   0.706753E+00   0.540387E-01  -0.241126E+02   0.132662E-06  -0.392704E-04  -0.237151E-06
   106   0.360708E+04   0.715021E+00   0.535297E-01  -0.245007E+02   0.131455E-06  -0.301041E-04  -0.180214E-06
   107   0.361472E+04   0.723023E+00   0.530035E-01  -0.248848E+02   0.130262E-06  -0.214764E-04  -0.127637E-06
   108   0.362259E+04   0.730742E+00   0.524608E-01  -0.252643E+02   0.129082E-06  -0.135047E-04  -0.798143E-07
   109   0.363068E+04   0.738173E+00   0.519023E-01  -0.256389E+02   0.127914E-06  -0.630677E-05  -0.371377E-07
   110   0.363900E+04   0.745299E+00   0.513288E-01  -0.260082E+02   0.126760E-06   0.000000E+00   0.000000E+00
   111   0.364754E+04   0.752116E+00   0.507409E-01  -0.263719E+02   0.125618E-06   0.532838E-05   0.313344E-07
   112   0.365631E+04   0.758622E+00   0.501394E-01  -0.267294E+02   0.124489E-06   0.971224E-05   0.571144E-07
   113   0.366531E+04   0.764801E+00   0.495251E-01  -0.270804E+02   0.123373E-06   0.132157E-04   0.777168E-07
   114   0.367452E+04   0.770643E+00   0.488990E-01  -0.274245E+02   0.122269E-06   0.159027E-04   0.935185E-07
   115   0.368394E+04   0.776154E+00   0.482617E-01  -0.277613E+02   0.121178E-06   0.178374E-04   0.104896E-06
   116   0.369359E+04   0.781325E+00   0.476140E-01  -0.280903E+02   0.120099E-06   0.190838E-04   0.112225E-06
   117   0.370344E+04   0.786140E+00   0.469569E-01  -0.284111E+02   0.119032E-06   0.197057E-04   0.115882E-06
   118   0.371350E+04   0.790604E+00   0.462912E-01  -0.287234E+02   0.117978E-06   0.197670E-04   0.116243E-06
   119   0.372376E+04   0.794707E+00   0.456175E-01  -0.290267E+02   0.116935E-06   0.193317E-04   0.113683E-06
   120   0.373422E+04   0.798449E+00   0.449369E-01  -0.293205E+02   0.115904E-06   0.184636E-04   0.108578E-06
   121   0.374488E+04   0.801821E+00   0.442500E-01  -0.296046E+02   0.114884E-06   0.172264E-04   0.101302E-06
   122   0.375573E+04   0.804819E+00   0.435578E-01  -0.298785E+02   0.113876E-06   0.156840E-04   0.922321E-07
   123   0.376676E+04   0.807443E+00   0.428609E-01  -0.301418E+02   0.112880E-06   0.139001E-04   0.817415E-07
   124   0.377797E+04   0.809684E+00   0.421603E-01  -0.303941E+02   0.111895E-06   0.119384E-04   0.702055E-07
   125   0.378936E+04   0.811547E+00   0.414567E-01  -0.306350E+02   0.110921E-06   0.986261E-05   0.579986E-07
   126   0.380092E+04   0.813023E+00   0.407511E-01  -0.308641E+02   0.109958E-06   0.773642E-05   0.454952E-07
   127   0.381265E+04   0.814117E+00   0.400441E-01  -0.310811E+02   0.109006E-06   0.562345E-05   0.330696E-07
   128   0.382453E+04   0.814822E+00   0.393366E-01  -0.312856E+02   0.108064E-06   0.358733E-05   0.210959E-07
   129   0.383658E+04   0.815141E+00   0.386294E-01  -0.314772E+02   0.107134E-06   0.169166E-05   0.994805E-08
   130   0.384877E+04   0.815067E+00   0.379234E-01  -0.316554E+02   0.106214E-06   0.000000E+00   0.000000E+00
   131   0.386111E+04   0.814605E+00   0.372193E-01  -0.318200E+02   0.105304E-06  -0.143745E-05  -0.845312E-08
   132   0.387359E+04   0.813762E+00   0.365177E-01  -0.319707E+02   0.104405E-06  -0.262396E-05  -0.154306E-07
   133   0.388620E+04   0.812531E+00   0.358190E-01  -0.321070E+02   0.103516E-06  -0.357616E-05  -0.210302E-07
   134   0.389893E+04   0.810932E+00   0.351237E-01  -0.322285E+02   0.102638E-06  -0.431069E-05  -0.253497E-07
   135   0.391178E+04   0.808952E+00   0.344324E-01  -0.323352E+02   0.101769E-06  -0.484416E-05  -0.284869E-07
   136   0.392474E+04   0.806605E+00   0.337454E-01  -0.324264E+02   0.100910E-06  -0.519319E-05  -0.305393E-07
   137   0.393779E+04   0.803890E+00   0.330634E-01  -0.325018E+02   0.100061E-06  -0.537437E-05  -0.316048E-07
   138   0.395094E+04   0.800822E+00   0.323868E-01  -0.325613E+02   0.992219E-07  -0.540430E-05  -0.317808E-07
   139   0.396416E+04   0.797400E+00   0.317161E-01  -0.326046E+02   0.983921E-07  -0.529958E-05  -0.311650E-07
   140   0.397747E+04   0.793633E+00   0.310518E-01  -0.326312E+02   0.975719E-07  -0.507680E-05  -0.298549E-07
   141   0.399085E+04   0.789541E+00   0.303944E-01  -0.326411E+02   0.967610E-07  -0.475252E-05  -0.279479E-07
   142   0.400428E+04   0.785117E+00   0.297443E-01  -0.326338E+02   0.959594E-07  -0.434333E-05  -0.255416E-07
   143   0.401776E+04   0.780376E+00   0.291021E-01  -0.326092E+02   0.951669E-07  -0.386579E-05  -0.227334E-07
   144   0.403128E+04   0.775332E+00   0.284683E-01  -0.325670E+02   0.943835E-07  -0.333647E-05  -0.196206E-07
   145   0.404484E+04   0.769985E+00   0.278433E-01  -0.325068E+02   0.936089E-07  -0.277192E-05  -0.163007E-07
   146   0.405841E+04   0.764357E+00   0.272276E-01  -0.324285E+02   0.928433E-07  -0.218870E-05  -0.128710E-07
