#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.964896E-05   0.195913E+08   0.195913E+08   0.261072E+08   0.261067E+08   0.195914E+08   0.195913E+08   0.195913E+08   0.195978E+08  -0.448262E+00   0.105771E+08   0.105771E+08   0.676811E+01
   0.106620E-04   0.195914E+08   0.195914E+08   0.261041E+08   0.261036E+08   0.195915E+08   0.195914E+08   0.195914E+08   0.195979E+08  -0.448267E+00   0.105771E+08   0.105771E+08   0.747847E+01
   0.117814E-04   0.195915E+08   0.195915E+08   0.261004E+08   0.260997E+08   0.195916E+08   0.195915E+08   0.195915E+08   0.195981E+08  -0.448274E+00   0.105772E+08   0.105772E+08   0.826335E+01
   0.130184E-04   0.195917E+08   0.195917E+08   0.260959E+08   0.260951E+08   0.195918E+08   0.195917E+08   0.195917E+08   0.195982E+08  -0.448281E+00   0.105772E+08   0.105772E+08   0.913052E+01
   0.143852E-04   0.195920E+08   0.195919E+08   0.260904E+08   0.260894E+08   0.195920E+08   0.195920E+08   0.195920E+08   0.195985E+08  -0.448291E+00   0.105773E+08   0.105773E+08   0.100886E+02
   0.158955E-04   0.195922E+08   0.195922E+08   0.260836E+08   0.260824E+08   0.195923E+08   0.195922E+08   0.195922E+08   0.195988E+08  -0.448302E+00   0.105774E+08   0.105774E+08   0.111471E+02
   0.175644E-04   0.195926E+08   0.195926E+08   0.260754E+08   0.260739E+08   0.195927E+08   0.195926E+08   0.195926E+08   0.195991E+08  -0.448316E+00   0.105775E+08   0.105775E+08   0.123164E+02
   0.194085E-04   0.195930E+08   0.195930E+08   0.260653E+08   0.260635E+08   0.195931E+08   0.195930E+08   0.195930E+08   0.195995E+08  -0.448333E+00   0.105776E+08   0.105776E+08   0.136082E+02
   0.214463E-04   0.195935E+08   0.195935E+08   0.260530E+08   0.260508E+08   0.195936E+08   0.195935E+08   0.195935E+08   0.196000E+08  -0.448354E+00   0.105778E+08   0.105778E+08   0.150351E+02
   0.236979E-04   0.195941E+08   0.195941E+08   0.260381E+08   0.260353E+08   0.195942E+08   0.195941E+08   0.195941E+08   0.196006E+08  -0.448380E+00   0.105779E+08   0.105779E+08   0.166112E+02
   0.261860E-04   0.195949E+08   0.195948E+08   0.260198E+08   0.260164E+08   0.195949E+08   0.195949E+08   0.195949E+08   0.196014E+08  -0.448411E+00   0.105782E+08   0.105782E+08   0.183519E+02
   0.289353E-04   0.195958E+08   0.195958E+08   0.259975E+08   0.259934E+08   0.195959E+08   0.195958E+08   0.195958E+08   0.196023E+08  -0.448449E+00   0.105784E+08   0.105784E+08   0.202742E+02
   0.319733E-04   0.195969E+08   0.195969E+08   0.259703E+08   0.259653E+08   0.195970E+08   0.195969E+08   0.195969E+08   0.196034E+08  -0.448495E+00   0.105788E+08   0.105788E+08   0.223968E+02
   0.353302E-04   0.195983E+08   0.195983E+08   0.259371E+08   0.259310E+08   0.195984E+08   0.195983E+08   0.195983E+08   0.196047E+08  -0.448552E+00   0.105792E+08   0.105792E+08   0.247401E+02
   0.390396E-04   0.195999E+08   0.195999E+08   0.258966E+08   0.258892E+08   0.196000E+08   0.195999E+08   0.195999E+08   0.196064E+08  -0.448621E+00   0.105797E+08   0.105797E+08   0.273266E+02
   0.431384E-04   0.196020E+08   0.196020E+08   0.258473E+08   0.258382E+08   0.196021E+08   0.196020E+08   0.196020E+08   0.196084E+08  -0.448705E+00   0.105803E+08   0.105803E+08   0.301808E+02
   0.476676E-04   0.196044E+08   0.196044E+08   0.257871E+08   0.257761E+08   0.196045E+08   0.196045E+08   0.196044E+08   0.196109E+08  -0.448808E+00   0.105810E+08   0.105810E+08   0.333296E+02
   0.526722E-04   0.196075E+08   0.196075E+08   0.257139E+08   0.257005E+08   0.196076E+08   0.196075E+08   0.196075E+08   0.196139E+08  -0.448933E+00   0.105820E+08   0.105820E+08   0.368020E+02
   0.582024E-04   0.196112E+08   0.196112E+08   0.256247E+08   0.256084E+08   0.196113E+08   0.196112E+08   0.196112E+08   0.196176E+08  -0.449086E+00   0.105831E+08   0.105831E+08   0.406296E+02
   0.643131E-04   0.196157E+08   0.196157E+08   0.255163E+08   0.254964E+08   0.196158E+08   0.196157E+08   0.196157E+08   0.196221E+08  -0.449272E+00   0.105844E+08   0.105844E+08   0.448464E+02
   0.710654E-04   0.196212E+08   0.196211E+08   0.253844E+08   0.253602E+08   0.196213E+08   0.196212E+08   0.196212E+08   0.196275E+08  -0.449499E+00   0.105861E+08   0.105861E+08   0.494891E+02
   0.785267E-04   0.196279E+08   0.196278E+08   0.252242E+08   0.251948E+08   0.196280E+08   0.196279E+08   0.196279E+08   0.196342E+08  -0.449775E+00   0.105881E+08   0.105881E+08   0.545963E+02
   0.867713E-04   0.196360E+08   0.196360E+08   0.250298E+08   0.249942E+08   0.196361E+08   0.196360E+08   0.196360E+08   0.196423E+08  -0.450110E+00   0.105905E+08   0.105905E+08   0.602092E+02
   0.958816E-04   0.196460E+08   0.196459E+08   0.247944E+08   0.247512E+08   0.196460E+08   0.196460E+08   0.196460E+08   0.196521E+08  -0.450518E+00   0.105935E+08   0.105935E+08   0.663702E+02
   0.105948E-03   0.196580E+08   0.196580E+08   0.245098E+08   0.244575E+08   0.196581E+08   0.196580E+08   0.196580E+08   0.196642E+08  -0.451013E+00   0.105972E+08   0.105972E+08   0.731229E+02
   0.117072E-03   0.196727E+08   0.196726E+08   0.241663E+08   0.241031E+08   0.196728E+08   0.196727E+08   0.196727E+08   0.196787E+08  -0.451613E+00   0.106016E+08   0.106016E+08   0.805106E+02
   0.129363E-03   0.196905E+08   0.196904E+08   0.237528E+08   0.236767E+08   0.196906E+08   0.196905E+08   0.196905E+08   0.196965E+08  -0.452340E+00   0.106070E+08   0.106070E+08   0.885752E+02
   0.142946E-03   0.197122E+08   0.197120E+08   0.232569E+08   0.231655E+08   0.197122E+08   0.197121E+08   0.197121E+08   0.197179E+08  -0.453219E+00   0.106136E+08   0.106135E+08   0.973545E+02
   0.157954E-03   0.197383E+08   0.197381E+08   0.226643E+08   0.225549E+08   0.197383E+08   0.197383E+08   0.197383E+08   0.197440E+08  -0.454278E+00   0.106215E+08   0.106215E+08   0.106880E+03
   0.174537E-03   0.197700E+08   0.197697E+08   0.219597E+08   0.218293E+08   0.197700E+08   0.197699E+08   0.197699E+08   0.197754E+08  -0.455551E+00   0.106311E+08   0.106311E+08   0.117172E+03
   0.192862E-03   0.198081E+08   0.198079E+08   0.211268E+08   0.209723E+08   0.198081E+08   0.198081E+08   0.198081E+08   0.198134E+08  -0.457077E+00   0.106428E+08   0.106427E+08   0.128237E+03
   0.213111E-03   0.198540E+08   0.198537E+08   0.201495E+08   0.199678E+08   0.198540E+08   0.198540E+08   0.198540E+08   0.198590E+08  -0.458899E+00   0.106569E+08   0.106568E+08   0.140057E+03
   0.235486E-03   0.199091E+08   0.199087E+08   0.190132E+08   0.188012E+08   0.199090E+08   0.199090E+08   0.199090E+08   0.199138E+08  -0.461062E+00   0.106739E+08   0.106738E+08   0.152587E+03
   0.260210E-03   0.199748E+08   0.199744E+08   0.177068E+08   0.174621E+08   0.199747E+08   0.199748E+08   0.199748E+08   0.199792E+08  -0.463617E+00   0.106943E+08   0.106942E+08   0.165740E+03
   0.287530E-03   0.200530E+08   0.200524E+08   0.162256E+08   0.159467E+08   0.200528E+08   0.200529E+08   0.200529E+08   0.200569E+08  -0.466612E+00   0.107188E+08   0.107186E+08   0.179380E+03
   0.317718E-03   0.201454E+08   0.201447E+08   0.145750E+08   0.142624E+08   0.201452E+08   0.201453E+08   0.201453E+08   0.201489E+08  -0.470094E+00   0.107480E+08   0.107478E+08   0.193310E+03
   0.351076E-03   0.202539E+08   0.202531E+08   0.127754E+08   0.124321E+08   0.202536E+08   0.202538E+08   0.202538E+08   0.202569E+08  -0.474102E+00   0.107827E+08   0.107824E+08   0.207262E+03
   0.387936E-03   0.203803E+08   0.203793E+08   0.108662E+08   0.104991E+08   0.203799E+08   0.203801E+08   0.203801E+08   0.203828E+08  -0.478660E+00   0.108236E+08   0.108233E+08   0.220885E+03
   0.428665E-03   0.205261E+08   0.205249E+08   0.891007E+07   0.853078E+07   0.205256E+08   0.205258E+08   0.205259E+08   0.205280E+08  -0.483772E+00   0.108716E+08   0.108713E+08   0.233747E+03
   0.473672E-03   0.206924E+08   0.206910E+08   0.699356E+07   0.661901E+07   0.206918E+08   0.206921E+08   0.206921E+08   0.206938E+08  -0.489416E+00   0.109274E+08   0.109270E+08   0.245345E+03
   0.523403E-03   0.208797E+08   0.208780E+08   0.522209E+07   0.487460E+07   0.208789E+08   0.208793E+08   0.208794E+08   0.208806E+08  -0.495537E+00   0.109916E+08   0.109912E+08   0.255121E+03
   0.578356E-03   0.210875E+08   0.210855E+08   0.370656E+07   0.341224E+07   0.210865E+08   0.210871E+08   0.210871E+08   0.210880E+08  -0.502050E+00   0.110647E+08   0.110643E+08   0.262513E+03
   0.639078E-03   0.213143E+08   0.213120E+08   0.253923E+07   0.232455E+07   0.213131E+08   0.213139E+08   0.213139E+08   0.213145E+08  -0.508851E+00   0.111469E+08   0.111464E+08   0.267007E+03
   0.706176E-03   0.215575E+08   0.215550E+08   0.176216E+07   0.164832E+07   0.215560E+08   0.215570E+08   0.215571E+08   0.215575E+08  -0.515825E+00   0.112380E+08   0.112374E+08   0.268215E+03
   0.780318E-03   0.218137E+08   0.218108E+08   0.133841E+07   0.133436E+07   0.218118E+08   0.218131E+08   0.218132E+08   0.218134E+08  -0.522878E+00   0.113372E+08   0.113366E+08   0.265941E+03
   0.862245E-03   0.220786E+08   0.220754E+08   0.114613E+07   0.124264E+07   0.220764E+08   0.220780E+08   0.220781E+08   0.220783E+08  -0.529947E+00   0.114436E+08   0.114429E+08   0.260214E+03
