#    L    TT             EE             BB             TE          
     2    0.10777E+04    0.52270E-01    0.11241E-05    0.33171E+01
     3    0.10085E+04    0.85915E-01    0.22487E-05    0.41607E+01
     4    0.94284E+03    0.97377E-01    0.37489E-05    0.42915E+01
     5    0.89203E+03    0.87287E-01    0.56253E-05    0.39954E+01
     6    0.85520E+03    0.65322E-01    0.78787E-05    0.34947E+01
     7    0.82987E+03    0.42159E-01    0.10510E-04    0.29290E+01
     8    0.81301E+03    0.24551E-01    0.13520E-04    0.23863E+01
     9    0.80261E+03    0.14297E-01    0.16910E-04    0.19178E+01
    10    0.79731E+03    0.98157E-02    0.20682E-04    0.15473E+01
    11    0.79573E+03    0.83858E-02    0.24836E-04    0.12829E+01
    12    0.79796E+03    0.78691E-02    0.29375E-04    0.11228E+01
    13    0.80217E+03    0.71908E-02    0.34299E-04    0.10508E+01
    14    0.80738E+03    0.63673E-02    0.39610E-04    0.10456E+01
    15    0.81396E+03    0.56837E-02    0.45311E-04    0.10859E+01
    16    0.82238E+03    0.53871E-02    0.51402E-04    0.11516E+01
    17    0.83252E+03    0.55243E-02    0.57885E-04    0.12260E+01
    18    0.84337E+03    0.58923E-02    0.64762E-04    0.12973E+01
    19    0.85576E+03    0.63390E-02    0.72035E-04    0.13624E+01
    20    0.86802E+03    0.68074E-02    0.79706E-04    0.14180E+01
    21    0.88053E+03    0.73048E-02    0.87775E-04    0.14643E+01
    22    0.89361E+03    0.79414E-02    0.96246E-04    0.15023E+01
    23    0.90703E+03    0.88166E-02    0.10512E-03    0.15365E+01
    24    0.92081E+03    0.99727E-02    0.11439E-03    0.15713E+01
    25    0.93491E+03    0.11406E-01    0.12408E-03    0.16086E+01
    26    0.94914E+03    0.13067E-01    0.13416E-03    0.16500E+01
    27    0.96375E+03    0.14936E-01    0.14466E-03    0.16938E+01
    28    0.97860E+03    0.17023E-01    0.15556E-03    0.17386E+01
    29    0.99376E+03    0.19303E-01    0.16688E-03    0.17822E+01
    30    0.10091E+04    0.21758E-01    0.17860E-03    0.18209E+01
    31    0.10246E+04    0.24400E-01    0.19073E-03    0.18516E+01
    32    0.10403E+04    0.27233E-01    0.20328E-03    0.18724E+01
    33    0.10564E+04    0.30257E-01    0.21624E-03    0.18834E+01
    34    0.10727E+04    0.33477E-01    0.22961E-03    0.18853E+01
    35    0.10891E+04    0.36889E-01    0.24339E-03    0.18766E+01
    36    0.11056E+04    0.40500E-01    0.25759E-03    0.18546E+01
    37    0.11221E+04    0.44350E-01    0.27220E-03    0.18193E+01
    38    0.11391E+04    0.48482E-01    0.28722E-03    0.17731E+01
    39    0.11564E+04    0.52884E-01    0.30265E-03    0.17177E+01
    40    0.11738E+04    0.57537E-01    0.31849E-03    0.16542E+01
    41    0.11914E+04    0.62433E-01    0.33474E-03    0.15832E+01
    42    0.12090E+04    0.67587E-01    0.35140E-03    0.15033E+01
    43    0.12268E+04    0.73016E-01    0.36847E-03    0.14130E+01
    44    0.12445E+04    0.78727E-01    0.38594E-03    0.13113E+01
    45    0.12626E+04    0.84733E-01    0.40383E-03    0.11975E+01
    46    0.12810E+04    0.91046E-01    0.42211E-03    0.10692E+01
    47    0.12995E+04    0.97652E-01    0.44081E-03    0.92712E+00
    48    0.13180E+04    0.10454E+00    0.45990E-03    0.77515E+00
    49    0.13368E+04    0.11167E+00    0.47939E-03    0.61679E+00
    50    0.13559E+04    0.11900E+00    0.49929E-03    0.44868E+00
    51    0.13752E+04    0.12649E+00    0.51958E-03    0.26623E+00
    52    0.13948E+04    0.13423E+00    0.54028E-03    0.65327E-01
    53    0.14145E+04    0.14239E+00    0.56136E-03   -0.15612E+00
    54    0.14342E+04    0.15098E+00    0.58285E-03   -0.39227E+00
    55    0.14540E+04    0.15999E+00    0.60472E-03   -0.63712E+00
    56    0.14741E+04    0.16929E+00    0.62699E-03   -0.89128E+00
    57    0.14946E+04    0.17876E+00    0.64965E-03   -0.11552E+01
    58    0.15154E+04    0.18840E+00    0.67271E-03   -0.14306E+01
    59    0.15363E+04    0.19824E+00    0.69615E-03   -0.17193E+01
    60    0.15574E+04    0.20831E+00    0.71998E-03   -0.20214E+01
    61    0.15790E+04    0.21871E+00    0.74420E-03   -0.23370E+01
    62    0.16005E+04    0.22943E+00    0.76881E-03   -0.26666E+01
    63    0.16220E+04    0.24042E+00    0.79381E-03   -0.30110E+01
    64    0.16441E+04    0.25170E+00    0.81919E-03   -0.33709E+01
    65    0.16661E+04    0.26324E+00    0.84497E-03   -0.37464E+01
    66    0.16885E+04    0.27500E+00    0.87113E-03   -0.41353E+01
    67    0.17111E+04    0.28696E+00    0.89768E-03   -0.45350E+01
    68    0.17342E+04    0.29917E+00    0.92462E-03   -0.49438E+01
    69    0.17575E+04    0.31158E+00    0.95195E-03   -0.53600E+01
    70    0.17810E+04    0.32423E+00    0.97967E-03   -0.57855E+01
    71    0.18048E+04    0.33712E+00    0.10078E-02   -0.62226E+01
    72    0.18287E+04    0.35021E+00    0.10363E-02   -0.66728E+01
    73    0.18528E+04    0.36347E+00    0.10652E-02   -0.71367E+01
    74    0.18771E+04    0.37688E+00    0.10945E-02   -0.76135E+01
    75    0.19018E+04    0.39045E+00    0.11242E-02   -0.81018E+01
    76    0.19267E+04    0.40419E+00    0.11543E-02   -0.86009E+01
    77    0.19520E+04    0.41807E+00    0.11848E-02   -0.91106E+01
    78    0.19776E+04    0.43213E+00    0.12157E-02   -0.96319E+01
    79    0.20035E+04    0.44632E+00    0.12470E-02   -0.10161E+02
    80    0.20297E+04    0.46062E+00    0.12787E-02   -0.10699E+02
    81    0.20561E+04    0.47501E+00    0.13108E-02   -0.11247E+02
    82    0.20828E+04    0.48949E+00    0.13434E-02   -0.11803E+02
    83    0.21097E+04    0.50404E+00    0.13763E-02   -0.12367E+02
    84    0.21369E+04    0.51865E+00    0.14097E-02   -0.12937E+02
    85    0.21642E+04    0.53331E+00    0.14435E-02   -0.13515E+02
    86    0.21918E+04    0.54801E+00    0.14777E-02   -0.14099E+02
    87    0.22198E+04    0.56273E+00    0.15124E-02   -0.14689E+02
    88    0.22478E+04    0.57749E+00    0.15475E-02   -0.15284E+02
    89    0.22761E+04    0.59226E+00    0.15830E-02   -0.15887E+02
    90    0.23047E+04    0.60702E+00    0.16189E-02   -0.16494E+02
    91    0.23335E+04    0.62175E+00    0.16553E-02   -0.17106E+02
    92    0.23626E+04    0.63643E+00    0.16922E-02   -0.17722E+02
    93    0.23920E+04    0.65107E+00    0.17295E-02   -0.18343E+02
    94    0.24214E+04    0.66562E+00    0.17672E-02   -0.18966E+02
    95    0.24512E+04    0.68008E+00    0.18054E-02   -0.19593E+02
    96    0.24810E+04    0.69444E+00    0.18440E-02   -0.20223E+02
    97    0.25112E+04    0.70869E+00    0.18831E-02   -0.20856E+02
    98    0.25417E+04    0.72281E+00    0.19227E-02   -0.21488E+02
    99    0.25722E+04    0.73678E+00    0.19627E-02   -0.22123E+02
   100    0.26031E+04    0.75058E+00    0.20032E-02   -0.22756E+02
   101    0.26341E+04    0.76429E+00    0.20441E-02   -0.23391E+02
   102    0.26657E+04    0.77774E+00    0.20856E-02   -0.24025E+02
   103    0.26972E+04    0.79102E+00    0.21275E-02   -0.24658E+02
   104    0.27289E+04    0.80413E+00    0.21699E-02   -0.25289E+02
   105    0.27608E+04    0.81700E+00    0.22127E-02   -0.25918E+02
   106    0.27929E+04    0.82968E+00    0.22561E-02   -0.26545E+02
   107    0.28250E+04    0.84205E+00    0.22999E-02   -0.27168E+02
   108    0.28574E+04    0.85417E+00    0.23443E-02   -0.27788E+02
   109    0.28900E+04    0.86597E+00    0.23891E-02   -0.28404E+02
   110    0.29227E+04    0.87745E+00    0.24344E-02   -0.29013E+02
   111    0.29555E+04    0.88868E+00    0.24802E-02   -0.29618E+02
   112    0.29885E+04    0.89959E+00    0.25266E-02   -0.30218E+02
   113    0.30218E+04    0.91018E+00    0.25734E-02   -0.30811E+02
   114    0.30551E+04    0.92039E+00    0.26208E-02   -0.31396E+02
   115    0.30886E+04    0.93034E+00    0.26687E-02   -0.31973E+02
